sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Tfr,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID003352-2,0.0266329704510108,0.1533825816485225,0.0052488335925349,0.0044712286158631,0.0814541213063763,0.0159409020217729,0.0001944012441679,0.0040824261275272,0.0176905132192846,0.0023328149300155,0.0592923794712286,0.0159409020217729,0.010108864696734,0.0003888024883359,0.0001944012441679,0.0015552099533437,0.0054432348367029,0.0427682737169517,0.0003888024883359,0.0,0.0289657853810264,0.0007776049766718,0.0730948678071539,0.0007776049766718,0.0040824261275272,0.0058320373250388,0.0001944012441679,0.0013608087091757,0.0095256609642301,0.0,0.0,0.0023328149300155,0.0031104199066874,0.0108864696734059,0.0194401244167962,0.0023328149300155,0.0011664074650077,0.0042768273716951,0.062402799377916,0.2536936236391913,0.0013608087091757,0.0499611197511664,0.0054432348367029,0.004860031104199,0.0011664074650077,0.0023328149300155,0.0005832037325038,0.0011664074650077,0.0013608087091757,0.0
CID003353-1,0.0019114367633004,0.0028671551449506,0.0,0.0012742911755336,0.0484230646702771,0.0019114367633004,0.0,0.0012742911755336,0.0073271742593182,0.0,0.0009557183816502,0.0035043007327174,0.0143357757247531,0.0,0.0,0.0003185727938834,0.0022300095571838,0.053838802166295,0.0054157374960178,0.0,0.7078687480089201,0.0028671551449506,0.0,0.0,0.0,0.0229372411596049,0.0,0.0009557183816502,0.0,0.0,0.0,0.0003185727938834,0.006371455877668,0.0041414463204842,0.0003185727938834,0.0,0.0,0.0,0.012742911755336,0.0805989168525008,0.0009557183816502,0.0003185727938834,0.0,0.0009557183816502,0.0006371455877668,0.0003185727938834,0.0003185727938834,0.006371455877668,0.0054157374960178,0.0
CID003354-1,0.0101802757158006,0.0186638388123011,0.0006362672322375,0.0072110286320254,0.0398727465535524,0.0019088016967126,0.0,0.000424178154825,0.0002120890774125,0.0,0.0023329798515376,0.0057264050901378,0.0133616118769883,0.0,0.0,0.000424178154825,0.0021208907741251,0.0284199363732767,0.0061505832449628,0.001272534464475,0.6057264050901379,0.000424178154825,0.0273594909862142,0.0,0.0016967126193001,0.0069989395546129,0.0,0.0,0.0,0.0,0.0,0.0002120890774125,0.000424178154825,0.0048780487804878,0.0010604453870625,0.0002120890774125,0.000424178154825,0.0044538706256627,0.0159066808059384,0.1779427359490986,0.000424178154825,0.0033934252386002,0.0002120890774125,0.0002120890774125,0.0,0.0,0.0,0.00084835630965,0.0074231177094379,0.00084835630965
CID003355-1,0.0004177109440267,0.0153160679476468,0.0005569479253689,0.1172375382901698,0.112225006961849,0.0483152325257588,0.0001392369813422,0.0008354218880534,0.0013923698134224,0.0005569479253689,0.0263157894736842,0.0192147034252297,0.029657477025898,0.0175438596491228,0.0001392369813422,0.0016708437761069,0.004594820384294,0.0505430242272347,0.0016708437761069,0.005151768309663,0.0761626287942077,0.0012531328320802,0.0002784739626844,0.0161514898357003,0.0004177109440267,0.0032024505708716,0.0,0.0018100807574491,0.0,0.0008354218880534,0.0,0.0013923698134224,0.0001392369813422,0.2695627958785853,0.0004177109440267,0.0,0.0009746588693957,0.1280980228348649,0.0013923698134224,0.0229741019214703,0.0005569479253689,0.0048732943469785,0.0,0.0048732943469785,0.0006961849067112,0.0061264271790587,0.0006961849067112,0.0015316067947646,0.0019493177387914,0.0001392369813422
CID003356-1,0.0057940479325783,0.0463523834606268,0.0002633658151171,0.0013168290755859,0.1495917829865683,0.0126415591256254,0.0005267316302343,0.0021069265209375,0.0287068738477745,0.0110613642349223,0.0950750592573084,0.0479325783513299,0.0289702396628917,0.0,0.0,0.0023702923360547,0.0044772188569923,0.0526731630234395,0.0031603897814063,0.0,0.0848037924677376,0.0102712667895707,0.0700553068211746,0.0015801948907031,0.0034237555965235,0.0055306821174611,0.0005267316302343,0.0013168290755859,0.0142217540163286,0.0005267316302343,0.0,0.0021069265209375,0.0002633658151171,0.0084277060837503,0.0076376086383987,0.0015801948907031,0.0023702923360547,0.0028970239662891,0.0107979984198051,0.2367658677903608,0.0086910718988675,0.0092178035291019,0.0015801948907031,0.0092178035291019,0.0013168290755859,0.0028970239662891,0.0007900974453515,0.0031603897814063,0.0047405846721095,0.0002633658151171
CID003357-1,0.0068616829180209,0.0260021668472372,0.0048754062838569,0.0539906103286385,0.1524015890213073,0.0200433369447453,0.0003611412062116,0.0003611412062116,0.0048754062838569,0.0,0.0131816540267244,0.0102925243770314,0.0677139761646803,0.0128205128205128,0.0005417118093174,0.0021668472372697,0.0070422535211267,0.1016612495485734,0.0088479595521849,0.0001805706031058,0.139039364391477,0.0019862766341639,0.0166124954857349,0.00776453593355,0.0214879017695919,0.0048754062838569,0.0003611412062116,0.0046948356807511,0.0,0.0,0.0001805706031058,0.0025279884434814,0.0,0.0595882990249187,0.0007222824124232,0.0005417118093174,0.0016251354279523,0.0592271578187071,0.0092091007583965,0.1533044420368364,0.0001805706031058,0.0066811123149151,0.0,0.0025279884434814,0.0007222824124232,0.0043336944745395,0.000902853015529,0.0036114120621162,0.0027085590465872,0.0003611412062116
CID003358-1,0.017094017094017,0.0484330484330484,0.0,0.0028490028490028,0.1538461538461538,0.0,0.0,0.0,0.017094017094017,0.0,0.0056980056980056,0.017094017094017,0.017094017094017,0.0,0.0,0.0028490028490028,0.0085470085470085,0.1168091168091168,0.0,0.0,0.2621082621082621,0.0056980056980056,0.0,0.0,0.0028490028490028,0.0056980056980056,0.0028490028490028,0.0,0.0,0.0,0.0,0.0028490028490028,0.0028490028490028,0.0,0.0,0.0,0.0,0.0,0.0284900284900284,0.2535612535612536,0.0,0.0,0.0,0.0,0.0,0.017094017094017,0.0,0.0028490028490028,0.0028490028490028,0.0028490028490028
CID003359-1,0.0221992772328342,0.0149716055756324,0.0012906556530717,0.0030975735673722,0.0456892101187403,0.0023231801755291,0.0,0.0,0.0010325245224574,0.0002581311306143,0.005162622612287,0.0098089829633453,0.0382034073309241,0.0005162622612287,0.0,0.0005162622612287,0.0028394424367578,0.0211667527103768,0.0036138358286009,0.0025813113061435,0.4483737738771295,0.0005162622612287,0.1138358286009292,0.0002581311306143,0.0136809499225606,0.0041300980898296,0.0,0.0015487867836861,0.0,0.0,0.0,0.000774393391843,0.0,0.0098089829633453,0.0002581311306143,0.0061951471347444,0.0012906556530717,0.0087764584408879,0.014713474445018,0.1672689726381001,0.0002581311306143,0.0054207537429013,0.0,0.0002581311306143,0.0005162622612287,0.0002581311306143,0.0002581311306143,0.0010325245224574,0.0224574083634486,0.0028394424367578
CID003360-1,0.0200400801603206,0.0601202404809619,0.0034068136272545,0.0609218436873747,0.0597194388777555,0.0677354709418837,0.0,0.0024048096192384,0.0366733466933867,0.0040080160320641,0.0923847695390781,0.0224448897795591,0.0038076152304609,0.0058116232464929,0.0004008016032064,0.0002004008016032,0.0092184368737474,0.0138276553106212,0.0064128256513026,0.0016032064128256,0.1,0.0016032064128256,0.0238476953907815,0.0008016032064128,0.013627254509018,0.0164328657314629,0.0004008016032064,0.0034068136272545,0.002004008016032,0.0,0.0,0.0002004008016032,0.0008016032064128,0.075751503006012,0.0052104208416833,0.0014028056112224,0.0014028056112224,0.0084168336673346,0.0218436873747495,0.2098196392785571,0.001002004008016,0.0220440881763527,0.0002004008016032,0.0084168336673346,0.0002004008016032,0.0028056112224448,0.001002004008016,0.001002004008016,0.0052104208416833,0.0
CID003361-1,0.0135516657255787,0.0367024280067758,0.0028232636928289,0.0296442687747035,0.0426312817617165,0.0265386787125917,0.0,0.0056465273856578,0.0265386787125917,0.0031055900621118,0.067193675889328,0.0132693393562958,0.0045172219085262,0.0039525691699604,0.0005646527385657,0.0005646527385657,0.0056465273856578,0.0609824957651044,0.0022586109542631,0.0,0.1468097120271033,0.0031055900621118,0.0248447204968944,0.002540937323546,0.020609824957651,0.0917560700169395,0.0002823263692828,0.0022586109542631,0.0067758328627893,0.0,0.0,0.0002823263692828,0.0008469791078486,0.0626764539808018,0.0064935064935064,0.002540937323546,0.0,0.0039525691699604,0.0104460756634669,0.2315076228119706,0.0031055900621118,0.0121400338791643,0.0014116318464144,0.0073404856013551,0.0,0.0042348955392433,0.0,0.0022586109542631,0.0056465273856578,0.0
