,F0222,F0223,F0224,F0229,F0230,F0231,F0232,F0274,F0303,F0304,F0305,F0306,F0307,F0308,F0460,F0462,F0590,F0591,F0592,F0594,F0595,F0596,F0597,F0598,F0599,F0600,F0601,F0602,F0603,F0604,F0605,F0606,F0607,F0617,F0618,F0619,F0620,F0621,F0622,F0623,F0624,F0626,F0627,F0628,F0629
CD4-naive,2.036819264544056,11.45998367493101,4.81256932236862,7.279421481129542,3.572632602328947,1.6496224256219933,8.070648449727418,0.032759041435550244,2.7250958045530203,4.6479098598358535,0.08638799029543104,2.4041197700956833,0.05436236906104264,4.242654747468106,0.01059120674719491,4.255964404983817,2.678300623494553,0.5754711238181647,2.2095183922597834,1.2016103843175059,5.466165369474932,0.8197214618895851,0.01083389852371034,0.8673027248066656,5.949062014221029,0.01787159627050802,6.772745274864096,0.0207254318245452,0.0019389951116587161,2.8331085488382133,7.088633646509111,7.648799652154113,5.059963183083906,0.08629822555936799,0.0607915949363125,0.0013465809511773274,0.018222709238234002,9.214323296443586,4.054065866446903,1.7500584776903902,0.10171711253918161,0.1460799633597741,3.9785330486503145,0.008214997022513094,0.012366473153612518
CD14,20.756380321439146,24.16782782229467,30.96901023312959,48.129450244062696,47.762165615018645,52.68534617040037,65.0951843735373,76.41666828408786,70.08556112664056,48.877896057136375,70.60275953500592,47.71396963138516,70.90424661101467,43.69987009900833,97.47555377357556,53.33772168787498,65.27637003687772,67.84351794043822,64.57816054156874,65.72624410735745,56.15020504870013,56.21909873302441,41.64630105504512,43.162362970975785,50.12790134150036,53.80785399476574,41.82652008249344,80.74394611030402,59.65192377894481,46.83689946038248,50.27180314247007,56.21571942825544,48.70860383587731,71.01391611343539,84.60112543195537,79.17377855587495,76.73365426476032,52.216483821097334,49.460875243324644,71.47494528205813,70.98041532373769,70.06044426878574,41.17298235475456,77.29684243107188,69.46046461217131
CD4,1.0737945345113278,0.04594305960365124,0.02293405971038375,0.07619436387043463,0.1295224025656879,0.2574848132693972,0.06484786945372222,0.013189468599358347,0.028833772974852692,1.413519077929528,0.07735888936890158,0.3107055898151766,0.02681911064865651,0.6042415300405602,0.007842318668086847,0.15495192693402032,2.2665018356328615,0.04867138603152772,0.014101426413576923,0.07651245211819414,0.07452885886070612,0.04007051179698067,0.033844237282653816,9.637654399850652,0.8362329634933268,0.006049806441392477,1.5045605372570774,0.007973955558092343,0.00348434841722807,0.2551853436433595,0.033966405380132014,0.010275533379907118,0.048707431885172146,0.04019848331939396,0.05739219873343504,0.039098693060908365,0.017583478935233335,0.26241936622268214,7.901365629559994,0.04016559432585359,0.003884140038676413,0.010945483322894993,3.6745887153584498,0.0684374660431679,0.07840388055830894
NK,9.44017922635554,7.88073740580081,18.347124414607848,0.9915905812217829,4.865979897016994,2.7310118463610213,2.6493147556749133,5.15790147477343,2.7537508575287957,15.202649251217561,8.02835965353917,15.633093743191553,8.533868795224295,15.681684764118026,2.238890984813265,2.6668714172318433,6.210110923552134,3.8592668716176934,4.81166849898812,4.622499876309086,1.8602556095069895,4.938145189890823,0.026981921594244097,9.124332976332344,2.493503809980871,5.550840951322914,8.649479326336374,5.533535555295005,7.257987388559115,5.318485611648767,5.790479469549173,5.89674000433457,6.195553343410966,3.6038119648671887,3.481407095766372,4.943317845390716,7.654537682067892,2.4690421832462532,1.2764483304087682,4.0975103210205095,5.058969080745999,2.9507875725691037,7.51926729588404,5.535276471354934,7.667466383625254
CD8,15.180729701571055,7.391514210927445,19.260316514615013,14.409263537233215,6.215764699637662,15.099179660493506,1.9804559823213674,0.5436636590005822,2.881003289830714,4.609305440345018,0.0068385394588018015,2.7348880101771247,0.8736823995072696,5.197137534737767,0.00246505098471752,2.6152204819281897,0.15452516292732094,0.24547867710370466,2.1204493587807223,0.5188937684080391,3.0880954567775563,6.775895978478252,12.97101111571991,1.709641110612774,6.332664901831656,7.734916567964814,1.0448731083115463,0.024890141000651615,0.10394319298896931,8.523381853623246,2.9082276140668366,1.2877754964528898,2.550045427983251,3.4968112932961253,0.4577906526244479,0.6147091667529827,0.24696255697192948,2.640353995179834,8.079043448127406,4.669295757541909,0.015689898107845567,7.31782877792446,1.4411282537234986,0.07492046188549203,1.643660637803957
CD16,18.117835582590473,26.739563277239085,9.618004746633755,6.51728081515075,20.82250197852157,6.5217344097269025,8.763496125844933,9.116087996398777,7.993735101633261,14.573452781419807,8.631550547831724,14.559722833482752,8.488620069895974,14.619267809966868,0.007124416914137603,14.193814218487496,8.997091208959967,15.045086058198592,11.40198674221145,7.600467068498087,15.95400731340804,13.14269347891733,11.460523993636256,13.60669749791218,14.623701178814793,14.779987854777888,14.739731357336899,6.1708473446487755,19.34695337584719,15.52279064107182,11.456951660909864,13.56573183173608,12.819894012891918,9.136716228842802,6.473920700657136,8.387808512856038,10.288549435677883,16.484619613293745,12.67555729796053,8.669721935879046,15.013568180310772,8.505532723449223,18.657690925441152,11.59365729378549,13.924093157983943
B-naive,3.728708849438387,0.8094488943018128,1.054607173238813,2.646879299732563,3.826892255611266,5.23661645140142,0.07283699808218624,0.10565406992782235,2.7954920300500232,1.5238257092897953,1.4204644125043346,2.67610801464397,3.1133642120436376,2.7204450402488254,0.009462881160959367,4.6067829747455775,3.2095374375202614,0.1178526227772602,5.87177978779602,0.5386740671105096,3.4814530206391985,3.4823526759403567,0.42203527828207976,5.878384479848299,3.6258619742780613,0.21029985322580966,2.6808785916422275,0.99305223418183,2.8147163160067845,3.8707362364795856,3.766467256713883,0.6518266194200839,0.8918474996466342,2.5876953040464383,2.0714961093427116,1.316476104069647,1.9776469887672312,1.1682359448874362,1.5236578626293318,4.131564830287019,1.497458632480297,5.508461925694803,3.6135476674447684,2.0760990741409935,2.8477152128096037
Treg,6.020825681122677,2.234281564955393,1.174222092419271,2.278305360211209,2.678025138666788,1.2990162146373077,0.20916035332902452,0.021489342477981024,0.014314168760129895,0.2524629282144591,0.016112452779663687,3.1825646901782765,0.07848233503699902,4.132695548103473,0.021446355092075292,0.35994280557255004,1.8104591580724436,2.4853979159043598,0.2942770029277819,0.6719476092725849,3.5425730959572888,0.32442396356800235,1.2237738052111746,0.3394977966300625,0.9621893873065499,0.08125190433293793,5.844865821212424,0.0,0.10490372090536046,1.6827027901106684,5.661775690165689,4.186545825806834,1.4727564419936487,0.08328371233539188,0.12442555949499659,0.04229174046392467,0.12788814984780772,0.9411543071655855,1.0797145642368566,0.1388022425000306,0.015035401593301804,0.5814464594290311,1.293755759456216,0.08508445525819815,0.0028409579727355794
gdT,9.02866201517069,4.07889173499888,5.227781940569376,7.375519631911839,3.4307607968410765,5.16644071618991,3.28659858509936,0.17017043463665055,4.525044612695671,1.5908645554267902,1.1800983306925035,0.026526263713129265,2.0971233238226508,2.3148613384053065,0.02293584753368568,9.276366429999863,2.250648582506417,0.059543917871039936,4.93263157570828,5.1135872666338065,1.1574604973657971,4.8240275423451235,13.661028359862737,0.9066495589538719,4.125064189936571,3.3815071352293105,1.832957737360694,0.10833284288896725,0.6775747063399591,3.7942865598304247,3.009731501465616,2.7206780340695826,3.497967219376547,2.313633944881088,0.0827465100088559,0.16088511584087128,0.07567675938332544,3.043927755658245,5.214021784214074,1.8887955067971696,1.9489242283893957,1.314672206464525,4.565479953391505,0.0822112227213963,0.25364044921076045
CD8-naive,0.2507318028285197,1.77342499443171,0.02370316405279592,0.015171644279397838,0.2501503934060738,0.1284800476534838,0.31843721786332235,0.01735849507687898,0.7452555753710474,0.02197906488265534,0.07602718789872401,0.11150493844564215,0.02147976714153879,0.10251172466898917,0.04168055258567831,2.4128061024805296,1.1565990317333832,0.22044824171242255,1.1252646717888797,0.3268886598951959,0.7958337084785678,0.49563888127957795,0.017358597293458962,9.004386152109257,0.29236405049438846,0.01229543000633688,0.224604980080932,0.008566198716861387,0.002491300196205297,0.1114374141326704,1.125487642935278,0.31744176290078635,6.255921675200414,0.12655897354072052,0.06321984318021262,0.017944456147699562,0.05621624804868293,0.8080231744687835,1.2991612814902356,0.06924009196388428,0.0378748506410965,0.02118782764531494,2.2085933237978654,0.035428321815712975,1.6801017652606547e-05
B,2.1007794576489176,2.418114763471642,5.0214962615049155,1.480298409621525,1.5858929898252914,1.8435746531227057,0.02058679941911446,0.9620792661616356,1.3554709606744986,2.7100478108152237,1.9044458239939004,0.2014443786378844,0.04505727921323997,1.7594437581132358,0.002187651685898498,0.05625041150444334,1.671161290071756,2.345582960151525,0.003922077717756546,2.3552789146770126,1.6800088686479784,0.39588249464833297,6.798916094357301,0.27289449083930056,2.20891659893322,4.336418796235758,0.1192583593608135,0.2769645322430612,0.5297172951158459,0.3367189584830402,0.6301981018482933,2.1700684170320526,3.0293145033653257,1.1093130093625148,0.30677888349463023,0.8289115632546202,0.06357101163356821,2.6153692267970654,4.175060522803168,0.023598155351836295,0.779652911029887,1.1359281705497426,2.435216079304416,0.12353685004741585,0.5357943305635142
T_undef,0.2680822649039025,0.036051756014392616,0.09513454923822828,0.031765313710947096,0.2601127231255743,0.05407906494903102,0.6284655235549083,0.05356063560941599,0.03381847162593638,0.07690196468985011,0.04556457530887196,0.33961082243730023,0.6053694487673154,0.1350803936128659,0.012684821788777964,0.3998031249100954,0.31987482908710535,1.1850024658290557,0.41473597706124815,1.3356557442297305,0.007050281924391819,0.22980359398640376,0.08573697442433761,0.10748621454491017,1.0005186177821972,0.06607385090771979,1.0182757045055681,0.03199698744813666,0.12382222745664875,1.3949488102051524,0.29821070027221563,0.5254614578850059,0.05512574719035689,0.00019260591463996318,0.04049221768009677,0.00853515485820521,0.10984129735911435,0.028960490693073954,0.13748241694963803,0.04190105006316926,0.03595619068265042,0.056090106576567704,0.5394392262501452,0.015550528723913312,0.07066153356395415
