,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID003352-2,0.05033981268197097,0.3468497089262749,0.14123926808640846,0.22212692110175303,0.2394442892035926,0.8663265306122448,0.6805100362924049
CID003353-1,0.05392059307977607,0.826382070681112,0.003485579350715478,0.030330455075943095,0.08588130181245336,0.9095697269265052,0.6540549619361237
CID003354-1,0.041777748584659054,0.5948613591885196,0.04065643910489187,0.1248702170869548,0.19783423603497474,0.9107685627442467,0.6860616949854358
CID003355-1,0.5368888034522277,0.2546802086352848,0.04658608462025402,0.022597959135484305,0.13924694415674915,0.9295713845205057,0.5271172055976112
CID003356-1,0.04173410702808678,0.3420029692838108,0.0447996475481265,0.12801087022167304,0.4434524059183029,0.9491836734693878,0.7409700930500643
CID003357-1,0.2480933201898055,0.22494238844619674,0.09420563462267666,0.1038125239339377,0.3289461328073835,0.9151248843663274,0.8200429752734123
CID003358-1,0.20311791186424574,0.5341275871811916,0.044177180382276256,0.08481421121936121,0.13376310935292518,0.8933198380566801,0.7401460598122753
CID003359-1,0.037784207755125504,0.5341745988712965,0.007056509753300259,0.19220889827462245,0.2287757853456553,0.929795918367347,0.6563877266456859
CID003360-1,0.16166227059618765,0.22024700864820626,0.08921347733469401,0.17999797210678964,0.34887927131412244,0.9373643074250978,0.850489618823432
CID003361-1,0.30871655534146186,0.30750823493470164,0.04075687503207883,0.10843947076826439,0.2345788639234933,0.9247720364741642,0.7794338503934644
CID003362-1,0.030082138681914578,0.4985619095841334,0.02280880414209949,0.24988476027596088,0.1986623873158917,0.9293313069908814,0.7044789118403141
CID003363-1,0.24246607841776927,0.4870741756587116,0.02223486175249411,0.06850714729056817,0.17971773688045684,0.9065349544072948,0.7358071709225763
CID003364-1,0.16260753335571876,0.2941384222134266,0.06058607703746092,0.10133437202353479,0.3813335953698589,0.9280286582718194,0.7839974025847486
CID003365-1,0.12227488584771079,0.5015165001660797,0.008508756211384128,0.14208227983913393,0.22561757793569143,0.947459834997829,0.7822118763712542
CID003366-1,0.31213668266296185,0.06390003588913709,0.14482424119328555,0.20587002878230587,0.27326901147230964,0.9212534690101757,0.8633125516033922
CID003367-2,0.14572859761356988,0.13164631163517754,0.1293286969436596,0.2296003377880612,0.3636960560195318,0.9362244897959183,0.8250508171296036
CID003368-1,0.23265644996287307,0.38400320538517196,0.07368805346777617,0.10150459523522862,0.20814769594895016,0.9439795918367346,0.7747027347212716
CID003369-1,0.19299815499714243,0.3831075455112017,0.12704403400899852,0.12830463822775173,0.1685456272549056,0.8496762257169287,0.7617739946221369
CID003370-1,0.34671063656560097,0.320928633625293,0.042444464597974345,0.04060259512328278,0.24931367008784883,0.9041467650890144,0.7863115669161014
CID003371-2,0.3177273550677949,0.20886288486574905,0.09927050652425742,0.0792512047015868,0.2948880488406118,0.9374728614850195,0.8035663057764757
CID003372-1,0.09595008128696604,0.30950999939276186,0.08705705739010675,0.057304116486537035,0.45017874544362835,0.9168367346938776,0.7649698472103814
