,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005226-1,0.023677395403447,0.504933573076304,0.04462259275302285,0.17037873935621037,0.25638769941101575,0.8458446251129178,0.7693796202871372
CID005227-1,0.02594041833777476,0.5022086902491373,0.03918485078544562,0.1726924347238848,0.2599736059037576,0.8899221032132424,0.7673096780631914
CID005798-1,0.1210571137121904,0.24697282488458353,0.040784022233694706,0.360770662483236,0.23041537668629533,0.8554952510176391,0.748176269375346
CID005799-1,0.07828586400911738,0.07725852941296348,0.4697023706150248,0.20432866259795612,0.17042457336493821,0.6860585197934596,0.5289226743865875
CID005800-1,0.13493118246715335,0.6115027855500633,0.0151736941068574,0.11243839683154325,0.12595394104438265,0.7781998831092928,0.7780795697570058
CID005801-1,0.4211188400708721,0.2521782734030492,0.06918438221643532,0.015267861486890475,0.24225064282275288,0.7990063233965674,0.6810975797689918
CID006004-1,0.029238114624966574,0.05646653551681562,0.4927752517010232,0.245108014529107,0.1764120836280876,0.7195909689176876,0.5070696586617238
CID007374-1,0.3658882748272302,0.00016657978656796062,0.11326003873804417,0.10631695100421741,0.41436815564394036,0.8547451561150191,0.7179896479304319
CID007376-1,0.029146529124824506,0.29441181629555063,0.11145624411900422,0.23640732674851486,0.32857808371210584,0.8001133453675329,0.6907170606265138
CID007378-1,0.014731393786687965,0.40030565310430993,0.060715791659242846,0.13314827969062895,0.39109888175913027,0.8255745671762681,0.7050267275537332
CID007380-1,0.34813495115759907,0.20077822029261627,0.07567242960462389,0.1623696349647353,0.21304476398042543,0.8172724511491344,0.6965444894318856
CID007382-1,0.05597904127259294,0.09456033011886349,0.33076155384316497,0.13987709480189459,0.37882197996348405,0.745329751059989,0.5938177365235819
CID007384-1,0.04188651063841429,0.3401391977075112,0.13364233676265103,0.11714494028179263,0.3671870146096308,0.8016806722689076,0.7040813140624633
CID007386-1,0.04151294250797395,0.33287184951019383,0.0337831265928009,0.256853055020656,0.3349790263683754,0.8203328218021135,0.7036581047313524
CID007790-1,0.4884846452939781,0.06643126784150916,0.10109600240719187,0.039237787450788784,0.30475029700653206,0.846613344132834,0.670725953361516
CID007792-1,0.3674444056870247,0.15577935019193215,0.0610094161857762,0.03714190449965306,0.3786249234356139,0.8575883365394351,0.7502598538358115
CID007794-1,0.4842026542901197,0.08930882883865451,0.08938352613057243,0.09805296484318209,0.23905202589747124,0.8267287637946745,0.6638472746353076
CID007796-1,0.010062206843836932,0.8693475323181128,0.014034128008500136,0.03711925256145383,0.06943688026809636,0.7200090334236676,0.5204508324655973
CID007798-1,0.05739285984017749,0.04724524669357944,0.31759536897894947,0.3082122065677788,0.2695543179195148,0.7684114609699302,0.6041119932940018
CID007800-1,0.44560092756357467,0.06069954959911837,0.17487005367891667,0.08541005110149177,0.2334194180568985,0.7498228206945429,0.6460509260337881
CID007802-1,0.40453361498351575,0.04932617462372595,0.18557061778629888,0.14872354453526188,0.21184604807119753,0.7881491121279544,0.6744147895089438
CID007804-1,0.09429177391650387,0.09546330371600241,0.3154332795128344,0.02867417077537061,0.4661374720792887,0.823957852315184,0.6422459001111762
CID008392-1,0.01629630688876852,0.41290530983062296,0.08110785493485767,0.13952504992508222,0.35016547842066864,0.7854427095617718,0.7234612115169219
CID008394-1,0.08009414114666043,0.010328152183447284,0.5111528150158872,0.04709556614446975,0.35132932550953533,0.8104110207768745,0.6114806100973318
CID008396-1,0.20447969962967913,0.110439324756242,0.14342260457070133,0.06861868963988696,0.47303968140349056,0.8048562814945419,0.7446466292344606
CID008398-1,0.020108636155393364,0.3117728636561655,0.06281795673736139,0.29151717935952143,0.31378336409155844,0.8288484950253978,0.7292943534873159
CID008400-1,0.05639040326631949,0.19862401730095042,0.04137593498620827,0.14995872462531717,0.5536509198212046,0.8103067733117344,0.6912544036790067
CID008402-1,0.04336290896956494,0.34900221559346667,0.09631137157509977,0.14441543276925686,0.36690807109261186,0.7449729230510894,0.7503982901633456
CID008404-1,0.04664022212276391,0.36859931455855394,0.14406810483348284,0.05753860604376347,0.38315375244143585,0.6966487799939253,0.6776580534843951
CID008406-1,0.013057297195379175,0.1988880175522265,0.06138534687218855,0.22829673847460055,0.49837259990560523,0.8404022594442812,0.7428892894910485
