,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005093-1,0.33925532382080215,0.03160233167312896,0.054910219253676555,0.3643975985334613,0.20983452671893094,0.9794871794871794,0.7346775879335711
CID005215-1,0.07633454173637634,0.018094469821583255,0.4843099471315614,0.07620364592168664,0.3450573953887924,0.9384615384615385,0.8200739685655656
CID005217-1,0.2658278273001463,0.30559180203860764,0.0006744378172260905,0.25006150352512163,0.17784442931889832,0.9481074481074482,0.816809017691064
CID005219-1,0.23720148670787308,0.04338931154268596,0.06835100641203605,0.5202541927602449,0.13080400257716004,0.9596581196581198,0.686538795946339
CID005222-1,0.3148039685135466,0.07713219773106662,0.129149369480548,0.22919230250159547,0.2497221617732434,0.9340659340659341,0.760624322554002
CID005224-1,0.04850583107990664,0.8629337904311738,0.029907086561512742,0.01750029727172704,0.04115299465567977,0.9200244200244201,0.6634517252794707
CID005225-1,0.2570127918396947,0.1547420032182223,0.08897127590830645,0.2348277412647765,0.26444618776900003,0.9450549450549451,0.8099870314343641
CID005416-1,0.45860027071217735,0.003294751975753875,0.016748072228051202,0.3014885547063594,0.2198683503776582,0.9597069597069597,0.6800869207164036
CID005418-1,0.4253584693874459,0.5574548262927923,0.003335049201889558,0.006519106662254976,0.007332548455617264,0.979360165118679,0.7024133744200802
CID005420-1,0.026014681421045564,0.0008618351769129495,0.17526448581191312,0.7116481977099703,0.08621079988015803,0.8789473684210526,0.7778278416716893
CID005422-1,0.10104657380739919,0.6213519852864219,0.04187606685053803,0.16706237212428543,0.06866300193135542,0.952991452991453,0.6725179541922687
CID005424-1,0.07747360469042,0.722433403253663,0.07448301301545227,0.04642461141506818,0.07918536762539655,0.9336752136752137,0.6761032020254178
CID005425-1,0.5913531498950694,0.17162662846904408,0.10572274799970797,0.062231602608479604,0.06906587102769893,0.8620268620268621,0.712172708644047
CID005614-1,0.23464763007500333,0.30129358098975056,0.060106713873238876,0.21373315640836035,0.19021891865364682,0.9474969474969476,0.7897415646032331
CID005616-1,0.31390470907703183,0.4201548861390588,0.016381498509391926,0.21103077715290264,0.03852812912161475,0.9169719169719169,0.67486168743795
CID005618-1,0.3186727268744822,0.012884180282949855,0.08417852499134125,0.29523597849060434,0.2890285893606224,0.9664957264957265,0.652600182876064
CID005620-1,0.3178651318525956,0.04665264905402666,0.08189043385904704,0.2629693068100026,0.2906224784243281,0.8943833943833944,0.6543064163744218
CID005844-1,0.2916321246522395,0.07230010456202421,0.06644963382607977,0.4222759629061484,0.14734217405350813,0.9572649572649573,0.6782315928144754
CID005845-1,0.1539028732253054,0.1118159851674898,0.01487533884940342,0.09320925107639735,0.626196551681404,0.893913043478261,0.8122367400669472
CID005860-1,0.4759722655344695,0.10683190459113563,0.02990345555901094,0.32922394385218523,0.058068430463198636,0.9268376068376069,0.650345163837643
CID005868-1,0.362254047495818,0.37276878064861424,6.041670394551359e-05,0.21789889372508764,0.047017861426534586,0.8852258852258852,0.7335863788166865
CID005874-1,0.26127861546861536,0.36755795178751305,0.0563418534694223,0.14914602830498866,0.16567555096946066,0.8919658119658119,0.7279714037954009
CID005875-1,0.2743015979550381,0.2226091668997944,0.07798486902437583,0.13535230841592866,0.28975205770486295,0.9682539682539683,0.8192025291154071
CID006320-1,0.09587385235767597,0.10320690944223972,0.10859726770669204,0.2881412633724297,0.4041807071209626,0.9371184371184372,0.7705659858688352
CID006322-1,0.18854383342595116,0.4420061616113246,0.05413467096631138,0.25974466671156515,0.055570667284847663,0.9699145299145299,0.6872201829208339
CID006328-1,0.23753078150470813,0.2640323957627019,0.057603225966749876,0.2848448949620526,0.15598870180378752,0.9623931623931624,0.7879902037120378
CID006331-1,0.3038539214563942,0.0691137759009656,0.253291574338873,0.08087492638816389,0.29286580191560324,0.9275213675213675,0.747684405947636
CID006336-1,0.2667679866964813,0.27252889535699554,0.05480863780129244,0.2377517556554071,0.16814272448982362,0.9761904761904762,0.8109057585182561
