,F0303,F0304,F0305,F0306,F0307,F0308,F0274,F0229,F0230,F0231,F0232,F0460,F0222,F0223,F0224,F0590,F0599,F0600,F0601,F0602,F0603,F0604,F0605,F0606,F0607,F0617,F0591,F0618,F0619,F0620,F0621,F0622,F0623,F0624,F0626,F0627,F0592,F0628,F0629,F0594,F0595,F0596,F0597,F0598,F0462
Other,0.8511559304458418,0.583547275573814,0.5378822127475558,0.47691050369136573,0.6906723036255145,0.3619550548636106,1.0135295239800062,2.5425654434806275,3.931947368846849,2.1475617338386312,5.002821975553206,16.18659923801372,4.0013144047286415,5.6334378568021455,4.0185610316532925,1.5192788320787678,1.7267605389166965,0.5841792848997318,2.0407677233157635,2.3164181314427528,1.2639506354662304,0.19088602490810253,1.6220760430278707,0.9290691196305259,0.0,0.6595070244135792,3.3924525250414046,7.195404213425428,1.5390916183504928,1.547733956578395,1.3079637067019747,0.0,0.8135615181014478,1.5459992927489195,3.4026588611853295,2.126802431073326,0.9527900223976014,1.5734084603123082,3.637980819493452,2.6702064162287953,0.07848339137444309,0.3675139332214275,1.4837186469999204,0.8909952377704147,0.09487305813297323
CD27neg_Memory_B_cells,0.0765702502757723,0.06560160929283773,0.04680760399869404,0.09390476441750394,0.04699843588935901,0.13728964046307876,0.09752757520545952,0.28486413571614,0.44387770406352545,0.30184494326186745,0.032908002249391805,0.030304107047639615,0.26374437335812795,0.05177755491902835,0.2904046396554046,0.2403056541431166,0.31159941528489465,0.0,0.13289879629715218,0.12127712401116995,0.037457578973840396,0.1587318265508565,0.10374135860349923,0.011879929844435172,0.0865555121158409,0.057986135771045236,0.02158345559978284,0.03978203257774614,0.05900120618328574,0.03165391860674925,0.040215592305347554,0.11934453801139733,0.0315752323963932,0.02207612845351963,0.1295461014511345,0.23376296801254334,0.1122688162751303,0.05853089565689526,0.02327589401574402,0.07860397346198517,0.1873375339214809,0.07259468928770747,0.2502094873348689,0.16561057876275875,0.10002947344708325
CD57neg_Cytotoxic_NK_cells,0.6894550888147133,4.143997745124133,0.3452758715752109,4.651265299096005,0.8748551593257415,3.1725220370853062,0.10597978400153196,0.9079175499159221,2.2617135689809107,1.2340237770778264,4.169390720661522,0.237340503919396,5.675389373272752,1.2290826409350486,2.7567184473565844,0.6501074588798332,0.07317572229135613,0.49857940863238,0.38300302202298453,0.0,0.6978833764718729,1.0866115922296784,1.835661310695572,1.513942487694476,3.2088795895643214,0.0,0.44121356273142415,0.07178443073566465,0.015525010399872438,0.3677737447675496,1.8216492790425445,0.0,0.16152336715531973,0.6082739543358114,0.0,1.976431506523043,1.6291033520430585,0.4449458446537738,0.3709399714903683,1.5166838917308496,0.3053449427212853,1.317910881431123,0.17749410992390924,3.4475924618563463,0.942307022304231
CD57pos_Cytotoxic_NK_cells,1.428788208002963,7.902377276907109,4.1293738402763,4.9165331903897975,3.356006634886456,9.16523326382655,1.5113399095966435,1.4505314041994553,4.308215541214412,1.9108288990443607,1.0515752638597298,0.6196161063803893,4.888989465623034,7.700073809503307,12.708490184829607,1.5900398522176902,0.11051395538545086,1.7572989206774403,1.5843494277778054,0.0,2.474499672265647,1.8581673821196982,3.2839417164866354,2.6542543268832217,2.930752776947678,0.0,0.1617528959550847,0.09402215009348387,0.012561495413119392,0.9050085723655152,1.1982043065975412,0.5489540064004764,0.6836644325507133,1.1603938691754283,0.0,3.0178923726994467,1.017594586775272,1.8127977670438524,0.6509044330043938,1.131461222549037,0.27426414199362475,1.4983425215806179,0.5595382153524794,5.635617773971989,0.4151588195083919
CDC,1.1162376837126424,1.1924785240175297,1.476625983402898,2.511188576510853,1.6352677067582528,2.127387085235013,0.5149918641210546,2.322469959751902,3.5007524744888974,2.4288550234543136,1.2623719625310863,0.0,4.22465530660156,3.7655392402557006,1.5112890496916533,1.7086795765982883,1.2449381664470356,1.0704942567441402,0.5882696849606587,1.038872600066651,1.461867517151925,1.3344887258032296,1.1562838617883657,1.2588266268888182,0.9903499518165135,1.203466000541038,0.6029711074886771,0.8445890082994983,1.319233390645435,0.6501013760970895,1.5116107838278225,1.0699561652175735,0.270565852812737,2.257542465915667,1.4639331569143745,2.2443523137973442,2.1745183818007874,1.1290876436109634,0.694926950150399,0.2809051244550683,1.1927123520390588,0.5967562515741357,1.2429097822271193,1.1085979942983157,1.3025329177894314
Central_memory_CD8_T_cells,0.5523783495167061,1.2950097693309925,0.6024757317829645,1.1487380131132625,0.5401773890540468,0.6908365391971627,0.29525993652536436,3.2860276315754633,1.564230410524041,3.172199699900051,1.6397867081990793,0.34437935214246174,1.4568309075002477,0.9712133322007148,3.015763788411334,0.30845607175252493,0.3234485650191062,0.4656863051319164,0.3567854241822923,0.21717206331403763,0.23016542205917764,0.8984900384753379,0.44422752504625135,0.46317693885505684,0.2269248676401555,0.1744104134035401,0.02359929804854907,0.03704219725154364,0.04080169608114265,0.24567971031534985,0.5265968566856629,0.9555362185822333,0.5694090908336282,0.20833511095101498,0.5825497408182932,0.7949714578935981,0.2241637775946144,0.020427283276114868,1.3291945860047176,0.7272444401377851,0.7105095350279464,0.9564857008948293,1.4777456236914688,1.340265577465721,0.7063182442196929
Central_memory_T_helpers,2.606618715289724,5.100409551282495,5.178048491986017,5.089841749197011,3.2311803904086744,7.717963682377038,0.0,16.357535318692808,3.9196317959225393,7.177556957650339,14.504208805522742,1.277596655837971,8.98655773039163,2.6067197851022277,3.876842284881527,5.005391449064691,3.1136756555691636,7.742512672709139,9.922803358142078,0.9558093744610073,2.6720034974581712,9.301672537809608,5.241496334090783,5.915567452059663,6.042674407906615,2.1110859035490046,10.193666746641094,1.5104251441043473,0.6768697249921769,2.8151058832992915,6.3350230704144295,6.08242344419131,2.154371822598095,1.6575896905118939,5.216112546533751,6.285139450999846,2.4259755570363306,1.208915409661722,6.304204048366051,3.885364749960999,8.952869642748324,2.877355289386017,6.9068729949491745,3.4453026896158137,1.1924510700216988
Class_switched_memory_B_cells,0.18815746443287396,0.4955611967308322,0.20104895486936086,0.1858889462698098,0.1413130949343437,0.17733523550905425,0.08253721124300353,0.2831654352168256,1.4649144002938286,0.2720253290180297,0.5076477079887766,0.07316593029146909,0.4157686963931994,0.4020655720182304,0.19088106491572293,0.5095496625609527,0.7930130478468402,0.8165500015433252,0.9479790877469746,0.905593521329816,0.49555613696298595,0.6181100452827246,0.785539776990804,0.37935240269350484,0.4941327781511388,1.1156375134050232,0.14809292965537607,0.32277622585718196,0.11141323651000004,0.5701735092714207,0.2658887613816641,0.8121849362356659,0.7773940758086105,0.42163377833129834,0.6498421478362726,0.5808872957340862,0.14352320813582314,0.25781092016788165,0.3957732829164053,1.2275872351733303,0.404687087773247,0.4725959316620405,0.025192034462031596,0.2565436324523075,0.12721953101666747
Classical_monocytes,7.513339972008384,4.779105922553,7.47005113742521,6.972809192315806,10.468655325194785,9.893500157985512,8.136178188058418,22.562005903790087,20.897765296322735,33.292281993207546,23.09435961118843,1.5427365373474298,9.10038991595426,22.76485547831359,15.584382296661662,7.089614757777625,9.542435240667945,13.27931542191637,6.774370020051383,7.660488042837701,10.277577640060862,6.641761468794508,5.484047091892199,7.593789518268215,9.432501144416387,6.619306662264569,7.958501999076876,3.662798458801587,4.602466638995353,5.4660537667481215,5.683810662451027,6.988767302359568,6.087406564398377,8.175671169517585,1.744067788728272,4.99418478532013,7.229751633444321,7.1143470369149835,3.8523890857432908,5.136558862658905,6.484880543633487,7.227955477206762,6.290484090541924,8.557207208089515,5.701680286460003
Effector_memory_CD8_T_cells,0.027963229361731356,0.2895259836724293,0.16246458777809134,0.24315044601196303,0.11839287855669683,0.180279588119779,0.1434732332634313,0.8248674882812248,0.5572265224098307,0.9973914154907568,0.3055593773978734,0.024477293509526855,0.17772229779190826,0.4644826657155754,1.1806162329250283,0.10139391157820757,0.1188277911410678,0.29177666297457466,0.21067183005567797,0.17411252523312387,0.08497034235344432,0.07139460645171146,0.17792434645206343,0.15770517640844608,0.25808869364287046,0.0013750844427857492,0.03548916565551544,0.030001766202464666,0.13505340154575096,0.020891027157246493,0.18330546452284055,0.11138738973445816,0.02084733821769683,0.05537282848763319,0.15708896070120848,0.08194127332406133,0.025879299047408835,0.00788455738419003,0.18303638419654755,0.1945505987577234,0.043156038611084836,0.3497287996311666,0.8907857167634106,0.445679959259102,0.049577946096139545
Effector_memory_T_helpers,0.24054570360514202,1.2213858693209325,0.023810176789805425,1.42948175336884,0.46435322385009936,1.2923639707525854,0.0,2.3874575691892463,1.9936335725609236,1.0587545906073448,2.717031292695325,1.1675675139076183,5.0624473887933865,1.6139034242118981,1.1919513421217607,0.7600938499437717,1.8956029099629543,2.390418850090048,1.571449931133883,0.5303713061825613,0.6516529245931476,0.7648268011417286,1.393587279176358,1.0084142251332036,0.6818258190367253,0.6487578419506492,0.16301647200778746,0.11438538253123942,0.8117990180733569,0.6042953322507515,1.5273163192872112,2.738395632890942,1.8600754039797693,0.5484956184385641,1.432585158120871,1.4069240333245987,0.709316030683995,0.28839519699217775,0.4043968130356331,1.8923943951323772,0.05308606497113808,0.7977183795290728,1.948277704805737,1.4541279679902346,0.30497117314893263
Eosinophils,17.817827806588117,10.158130075921637,46.56589991579764,14.557871489490443,38.27625365830877,17.609195205042862,11.410843745402374,0.0,0.0,0.0,3.19979256393056,0.0,2.798859694012509,5.856999034608457,3.7903697637372185,3.9328378539873623,4.1597586096172625,7.46003929357828,4.1501713811241165,21.630373024021658,4.026316049094929,5.35999722602414,7.250610059312472,12.835330035424034,5.9144756766643525,4.828723462420115,7.745143357093394,3.3344034926874424,2.020904555977663,10.18729089001727,11.781431387795397,5.525737780845154,7.737386350727501,9.057819255385514,8.24873142322736,5.324558283436707,2.739373912117997,12.000399411636046,3.2801273223959164,6.582591632792514,5.467915096995805,9.89246444144592,20.8659718253306,3.7121036594800207,7.156363604580347
Naive_B_cells,0.8192731574252102,2.4511817165841414,0.5469017797002554,2.818681218568142,0.902887491607655,1.2981087974520282,0.36135221637841775,5.6457591490990024,10.911726331900988,10.666773465909879,0.40531838396093356,0.24651315355827785,6.984486787310516,3.7380808993841304,4.873467758089397,2.4091446951012303,6.020426473105668,2.4730251695089462,5.035082005370884,0.5060467246138552,1.9204277170156543,3.701996704098954,5.78277747075272,1.2584575844949635,3.908801199940311,2.2503473424776423,0.13256288211314887,0.383333602063015,0.3083828980371269,0.2865746303022613,1.3432449682779974,3.924886865480869,0.9386575594668317,0.3585521770707456,3.6503647642049994,5.792517837894902,4.214735825264078,0.364964337569046,0.8446643472720918,1.1245445475678715,1.7131725088113177,1.8960341054025494,6.208200083183741,6.0169031995557685,3.1717136209669525
Naive_CD8_T_cells,5.221242704327984,1.6698240864006855,3.2560887944766104,0.8653808883336072,2.828671971959215,1.0843755553769665,0.0,2.984082791660571,2.866956366465741,5.232777045552595,4.356341081920918,0.4609934567219303,3.126268022192211,4.8755343198521555,6.17646769945932,1.2371729772306002,2.1899348972056245,1.9179611947814237,3.231859739569752,1.1163823299805373,0.8309719594886195,1.1996909915057772,2.7929706220462065,0.04952918086122701,2.4920892005383277,1.1245332973605935,1.6704575052148494,0.5472378704601969,0.16643279904129596,0.8504056969601252,0.7985078387294724,3.3552634542726314,2.326744556617665,0.0554239244091114,0.05658444288593529,0.6221463721168687,1.5832417928412394,0.048342613037522845,1.2751126329180276,1.4610486245081435,3.372548614526704,1.870471521253585,1.21782470993236,2.678494982786512,2.7282035481121505
