sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Tfr,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID005093-1,0.0124408620991764,0.0304888733134746,0.0068337129840546,0.0043805852461888,0.0546697038724373,0.033117224461188,0.0,0.001577010688628,0.0164710005256702,0.0059575959348168,0.0369721394778342,0.0424040651831084,0.0098125109514631,0.0010513404590853,0.0007008936393902,0.0007008936393902,0.0105134045908533,0.0066584895742071,0.0024531277378657,0.0003504468196951,0.0366216926581391,0.0012265638689328,0.2307692307692307,0.0050814788855791,0.0313649903627124,0.0133169791484142,0.0021026809181706,0.0103381811810057,0.0064832661643595,0.0001752234098475,0.0,0.0003504468196951,0.0001752234098475,0.0345190117399684,0.0071841598037497,0.0343437883301209,0.0068337129840546,0.0388995969861573,0.0243560539688102,0.1848606973891711,0.0068337129840546,0.0127913089188715,0.0,0.0052567022954266,0.0007008936393902,0.0012265638689328,0.0001752234098475,0.0012265638689328,0.025232171018048,0.0
CID005215-1,0.0,0.0,0.0004805959389643,0.3077015499219032,0.2675717890183828,0.0066081941607593,0.0,0.0002402979694821,0.0024029796948215,0.0,0.0294365012615643,0.0984020185029436,0.0160999639553045,0.0343626096359485,0.0002402979694821,0.0,0.0104529616724738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012014898474107,0.0,0.0,0.0,0.0081701309623933,0.0,0.0048059593896431,0.1320437342304457,0.0,0.0409708037967079,0.0323200768953502,0.0,0.0002402979694821,0.0003604469542232,0.0,0.0,0.0013216388321518,0.0,0.0,0.0,0.0,0.0043253634506788,0.0002402979694821
CID005217-1,0.013624400061929,0.0305000774113639,0.0013934045517882,0.0718377457810806,0.0507818547762811,0.0156370955256231,0.0,0.0,0.0029416318315528,0.0001548227279764,0.0153274500696702,0.0120761727821644,0.008979718222635,0.034835113794705,0.0001548227279764,0.0006192909119058,0.002012695463694,0.0174949682613407,0.0058832636631057,0.0030964545595293,0.2018888372813129,0.0003096454559529,0.0520204366000928,0.0068122000309645,0.0191980182690819,0.0035609227434587,0.0001548227279764,0.0051091500232234,0.0,0.0001548227279764,0.0,0.0,0.0007741136398823,0.0257005728440935,0.0017030500077411,0.0097538318625174,0.0108375909583526,0.3200185787273572,0.0086700727666821,0.006967022758941,0.0,0.0080507818547762,0.0001548227279764,0.0040253909273881,0.0,0.0003096454559529,0.0,0.0007741136398823,0.025545750116117,0.0001548227279764
CID005219-1,0.0169892473118279,0.1094623655913978,0.0018279569892473,0.0077419354838709,0.0570967741935483,0.1111827956989247,0.0001075268817204,0.0003225806451612,0.0102150537634408,0.0002150537634408,0.0725806451612903,0.0074193548387096,0.0009677419354838,0.0002150537634408,0.0,0.0004301075268817,0.0026881720430107,0.0034408602150537,0.0002150537634408,0.0004301075268817,0.0149462365591397,0.0010752688172043,0.1679569892473118,0.0092473118279569,0.0331182795698924,0.000752688172043,0.0005376344086021,0.0041935483870967,0.0112903225806451,0.0,0.0,0.0001075268817204,0.0009677419354838,0.0778494623655914,0.0135483870967741,0.0123655913978494,0.0024731182795698,0.0269892473118279,0.0173118279569892,0.1389247311827957,0.0010752688172043,0.0362365591397849,0.002258064516129,0.0063440860215053,0.0005376344086021,0.001505376344086,0.0103225806451612,0.0011827956989247,0.0033333333333333,0.0
CID005222-1,0.0066666666666666,0.0973333333333333,0.005,0.1333333333333333,0.0983333333333333,0.023,0.0,0.0133333333333333,0.0163333333333333,0.0016666666666666,0.091,0.0163333333333333,0.011,0.0166666666666666,0.001,0.0043333333333333,0.014,0.0116666666666666,0.001,0.001,0.023,0.0043333333333333,0.031,0.0003333333333333,0.0133333333333333,0.0043333333333333,0.002,0.003,0.0036666666666666,0.0003333333333333,0.0003333333333333,0.0,0.0016666666666666,0.0646666666666666,0.03,0.0033333333333333,0.013,0.064,0.035,0.0756666666666666,0.0026666666666666,0.0083333333333333,0.0,0.0136666666666666,0.0016666666666666,0.0073333333333333,0.0006666666666666,0.0026666666666666,0.0253333333333333,0.0016666666666666
CID005224-1,0.0015748031496062,0.0153543307086614,0.002755905511811,0.0043307086614173,0.0295275590551181,0.0031496062992125,0.0,0.0011811023622047,0.0035433070866141,0.0035433070866141,0.0157480314960629,0.0047244094488188,0.0035433070866141,0.0011811023622047,0.0003937007874015,0.0,0.002755905511811,0.5145669291338583,0.0031496062992125,0.005511811023622,0.2074803149606299,0.0,0.026771653543307,0.0,0.0023622047244094,0.0118110236220472,0.0019685039370078,0.0,0.0019685039370078,0.0,0.0,0.0003937007874015,0.0019685039370078,0.0137795275590551,0.0354330708661417,0.0007874015748031,0.0043307086614173,0.0098425196850393,0.0051181102362204,0.0350393700787401,0.0007874015748031,0.0051181102362204,0.0,0.0070866141732283,0.0007874015748031,0.0023622047244094,0.0003937007874015,0.0015748031496062,0.0047244094488188,0.0015748031496062
CID005225-1,0.0073831009023789,0.0381460213289581,0.0069729286300246,0.0049220672682526,0.1958572600492206,0.0079983593109105,0.0002050861361771,0.0051271534044298,0.0061525840853158,0.0014356029532403,0.0252255947497949,0.0397867104183757,0.0535274815422477,0.0008203445447087,0.0008203445447087,0.0018457752255947,0.0082034454470877,0.0104593929450369,0.0051271534044298,0.0022559474979491,0.2011894995898277,0.0010254306808859,0.1423297785069729,0.0006152584085315,0.0149712879409351,0.0110746513535684,0.0010254306808859,0.0086136177194421,0.0002050861361771,0.0002050861361771,0.0002050861361771,0.0067678424938474,0.0030762920426579,0.0106644790812141,0.0057424118129614,0.0012305168170631,0.013740771123872,0.0024610336341263,0.0102543068088597,0.071780147662018,0.0079983593109105,0.0082034454470877,0.0022559474979491,0.0055373256767842,0.0014356029532403,0.0102543068088597,0.0,0.0030762920426579,0.0307629204265791,0.0010254306808859
CID005416-1,0.0077809798270893,0.0368876080691642,0.0043227665706051,0.0040345821325648,0.1461095100864553,0.0020172910662824,0.0002881844380403,0.0,0.0014409221902017,0.0,0.0057636887608069,0.017579250720461,0.0221902017291066,0.0,0.0005763688760806,0.000864553314121,0.0097982708933717,0.0046109510086455,0.0002881844380403,0.0,0.0112391930835734,0.0005763688760806,0.3599423631123919,0.0023054755043227,0.069164265129683,0.000864553314121,0.0002881844380403,0.000864553314121,0.0,0.0,0.0005763688760806,0.0005763688760806,0.0069164265129683,0.0020172910662824,0.0011527377521613,0.0063400576368876,0.0037463976945244,0.0095100864553314,0.0109510086455331,0.2204610951008645,0.0005763688760806,0.0103746397694524,0.0,0.0005763688760806,0.0028818443804034,0.0066282420749279,0.0002881844380403,0.0028818443804034,0.0037463976945244,0.0
CID005418-1,0.0,0.0040485829959514,0.0,0.0,0.0011567379988432,0.0,0.0,0.0,0.0,0.0,0.0,0.0017351069982648,0.0,0.0,0.0,0.0,0.0005783689994216,0.3863504916136495,0.0115673799884326,0.0,0.5320994794679005,0.0063620589936379,0.0011567379988432,0.0,0.0011567379988432,0.0456911509543088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011567379988432,0.0,0.0,0.0017351069982648,0.0,0.0023134759976865,0.0,0.0011567379988432,0.0,0.0005783689994216,0.0,0.0011567379988432
CID005420-1,0.0183309213699951,0.2884708152436083,0.0012059816690786,0.0014471780028943,0.0045827303424987,0.0021707670043415,0.0,0.0,0.0007235890014471,0.0004823926676314,0.0065123010130246,0.0041003376748673,0.0,0.0002411963338157,0.0002411963338157,0.0002411963338157,0.0004823926676314,0.0,0.0,0.0,0.0,0.0,0.1131210805595755,0.0,0.0094066570188133,0.0,0.0,0.0,0.012301013024602,0.0,0.0033767486734201,0.0,0.0,0.0048239266763145,0.0098890496864447,0.0142305836951278,0.0004823926676314,0.0012059816690786,0.0547515677761698,0.0009647853352629,0.0002411963338157,0.4170284611673902,0.0026531596719729,0.0004823926676314,0.0002411963338157,0.0045827303424987,0.0200192957067052,0.0,0.0009647853352629,0.0
