,CLEC9A+ DC,Inflammatory Monocyte,Mast Cell,Mature Macrophage,cDC1,cDC2,mo-DC,CD4 Helper T Cell,CD4 Tcm Cell,CD8 Effector Cell,CD8 Tcm Cell,Cycling T Cell,DP17 Cell,ILC3,Intraepithelial Lymphocyte,NK Cell,Tfh Cell,B Cell Memory,B Cell Naive,Cycling B Cell,Plasma Cell IgA,Plasma Cell IgG,Arterial Pericyte,Blood Endothelial Cell 1,Blood Endothelial Cell 2,Glial Cell,Inflammatory Fibroblast,Myofibroblast 1,Pericryptal Fibroblast RSPO3+,Pericyte,Post-capillary venules,Villus-associated Fibroblast WNT5B+,BEST4+,Enterocyte,Enteroendocrine,Goblet,M,TA,Tuft,rho_Spearman,rho_Pearson
CID003352-2,0.025921499938997884,0.06881306322094471,0.0005604390885568762,0.009510198396521353,0.040308368212012384,0.002518728007250378,9.804104473144803e-05,0.060403346982726425,0.00041816864707976804,0.0006895927382741993,0.05979459517778471,0.03001096481481729,0.06541504545926027,0.017761776188359567,0.003956776964128258,0.0010845432735156991,0.06131439609501839,0.02481404488622382,6.664344546882972e-05,0.0006651343954668918,0.018331589624080182,0.05553019134200301,0.004718913975933823,0.06372964154510696,0.029523484313557242,0.0014255495884588623,0.011032082675496928,0.0008473840970106691,0.005928104952459996,0.060757545061448606,0.06449704998970499,0.007510487029460049,9.726548475155216e-05,0.05058095970684,6.695693483366863e-05,0.0020886440514700892,0.06938146569564117,0.06474841925230468,0.015078897702298252,0.6820148101492823,0.49814920465316515
CID003353-1,0.006970020664009876,1.8544631886372287e-06,0.006635995639458462,1.2494321327260724e-05,0.00125747467568957,6.031494040864045e-05,3.7705846704738984e-06,0.0730749938938102,0.08018788088331964,0.00012447047109673487,0.0002032169345643234,0.11088133492944921,0.020521333737499037,0.014099015218033827,0.001669261381955933,0.00019782274886339865,0.12233456960518264,0.020813171473437822,0.00032121308771546406,0.05872782745930333,0.0011203077991059972,2.582674781933567e-05,0.0002142231473863953,0.00808781091675393,0.004940110848575162,0.0015545850415569797,0.00020027384094873377,0.0009196065788303289,0.00036269200032390634,0.023940764737407083,0.00014613261339788415,0.00984174196168683,0.007071407928672376,0.12235312591798791,0.0005127134983862788,0.12226743267597018,0.006186730057408858,0.12235201664618967,0.049804459928607527,0.6760466988727859,0.3254608036766409
CID003354-1,0.054125973049751946,1.7516956512330556e-05,1.0152335670774624e-06,0.006937598615887611,0.028242220810962913,4.400479953510517e-05,4.425381208582202e-05,0.0032757162139934433,0.00783273215131477,0.00013522243470243125,0.06438926449784825,0.07841195101596383,0.07989211558979176,0.04914567491982252,0.02235831859744311,2.3249747323718605e-05,0.08063250542715879,0.008637609712300154,0.0002924173184904371,0.055759605305580565,0.00609975831478141,0.0007248662555335692,0.010251503026663566,0.03213292231057136,0.005893136122799062,0.0023663008290643515,0.008147149633570301,0.001300093297958781,0.04965325907040557,0.022155521661080334,3.259025683760461e-05,0.01274995711206704,0.0012197263848199359,0.02984683805513893,0.02347539180291345,0.0755777296593325,0.08034172493647135,0.08069073252712057,0.01714183253283378,0.7131001985657994,0.41249762233975273
CID003355-1,0.05917333437023606,8.308280188146597e-06,0.005244957141121438,5.240395058457248e-05,0.01532373841896587,8.689997359098424e-06,1.4587231712457719e-06,0.026895264603129087,0.08473477715688965,0.0033784924339184384,0.08467535971337929,0.04773970780266789,0.00027507495872787594,0.008732872296660605,0.024798821417607787,5.1219006115278875e-05,0.0666968708321176,0.08081115883857218,0.0847337232527447,0.03224037512484118,0.022551850810203136,0.0068863205044358885,0.00039605585771000727,0.03129155321375594,0.008585534540159779,1.566507366526593e-06,0.0005051759833195072,0.0011515093785793322,0.00037751369355210464,0.003424234745509706,0.004903801276000135,0.00694777878300726,0.00014099438074751612,0.08273123316911145,0.0023068088419830658,0.0009774891713605837,0.08329323217121723,0.08500332893991752,0.03294740971306537,0.640312568787145,0.4597442143690318
CID003356-1,0.047702309344866176,0.05986209762288484,4.4481567069779314e-05,0.008537307326582116,0.025433356251094816,0.030649710177032094,0.002777217028699494,0.06278245282769457,0.0013707135315168565,0.007155478739377998,0.05299965966832155,0.06602258427092027,0.06815459839678889,0.005151751007483013,0.06745428981276064,0.00015260915084593104,0.05298112952302013,0.002688010679447243,0.000557582296417823,0.01380370570192672,0.035619977942947335,0.06856940614465204,0.0015986837007145353,0.06736402010905115,0.029868029644762078,0.00031985249777317454,0.00042385832479886054,0.005141169220835226,0.0023631956326587334,0.009299104301440665,0.006563420721935102,0.018079698106548785,2.2368564023670484e-05,0.004768844921249445,6.787592082064609e-05,0.0015075022240929098,0.06852508185472261,0.06834961543266559,0.035267249809556395,0.6372483984685948,0.47472551721345657
CID003357-1,0.050657398888161065,6.441402239399001e-06,0.009426760574775558,0.036686224276462565,0.024155211193065004,9.952620330604302e-05,0.00023097770715494202,0.06494956707143064,0.06493303205672696,0.002874074639502739,0.0647835960320279,0.03684027065334528,0.002053982442939182,0.007210053122205924,0.030276509425618593,0.0012160595925395901,0.04488046377536764,0.05894115808974915,0.06431775365530139,0.01192903764105997,0.029332273088469692,0.029879113895212823,0.002111810475117453,0.021130361909081498,2.7843409731731864e-05,0.036501118832507,4.922637757019234e-05,0.0008761058194104696,0.03301138861671041,0.008396170266727978,0.005051599119783594,0.006915756253473735,0.004083514911875729,0.06420940519812622,0.021086472676816792,7.098808470519692e-05,0.06426743701417328,0.06304653007027779,0.03348478553724883,0.6117884296840438,0.4785375571377002
CID003358-1,0.040358152432085195,4.1589548501991356e-05,7.18265743961722e-05,0.028230098535506436,0.030150276477389035,0.0004120771861220085,0.002168737269484317,0.0006854502715203971,0.04413891795692741,0.0004855879354835022,0.024580812456229294,0.06082157624879035,0.03425231371179298,0.04774124903011985,0.034123832523724605,4.333199575042945e-05,0.04958404968210974,0.03464945660110928,0.019549212226927296,0.06416488712697477,0.03610542309297732,0.012043708472049088,0.018530650429370427,0.021805374218433184,0.010303871455350192,1.417557898928323e-05,0.009594018066511644,0.001971090207413058,4.9947289659383855e-05,0.03172664424377388,0.0008389450739419409,0.011148913393944868,0.030272429201490692,0.06587084038594763,0.06259192271865091,0.0009360652015960792,0.06566630065817562,0.06505928073248797,0.03921696378829171,0.7354840699114851,0.5697821955139517
CID003359-1,0.04381973333022775,0.0001477052898474322,0.0009106896965094591,0.09255612893594324,0.032078657197944886,0.00010588184176838759,0.0010185119456052579,0.007005430020895959,0.09161541000427198,0.00046060453191187374,0.09294492292372689,0.05186290398114354,0.011505818171909146,0.006965741742516497,0.09265059831523324,4.664060178696304e-05,0.034265052942632934,0.0016272492137154391,0.004227222888634564,0.04125151349422706,0.009830186504290727,4.988341895407119e-05,0.030166478193987482,0.014413003130358867,1.7044722015652763e-06,0.011830677942730315,0.0004108414327506657,0.0038156074701811635,0.04580333558806064,0.006554249809681141,0.0004942279277123823,0.05674833727517005,0.0025741615506380175,0.009064791703177576,0.006409936536040385,0.0031741333950642265,0.090648970031736,0.09219015864394117,0.008752897902871055,0.6736179009265594,0.4033633854907861
CID003360-1,0.041036307357057114,0.0002679792422632585,8.702473333835747e-06,0.00016480329190852775,0.03625565316288327,0.006535848709609544,0.00019058775387699613,0.061665051145577715,0.0401790204864768,0.014013662813240199,0.06846897324762452,0.043472639644203045,0.06792610697707151,0.015290969314611812,0.00519824787519981,7.146961238356523e-05,0.06949029920778818,0.03766873708413045,0.06805008581031756,0.019733151793472133,0.006510409105927944,0.04797339467111238,0.008574162095826312,0.06317187816733805,0.006972107996950715,0.011057974581994492,0.0037297211623471883,0.0001491937444809289,0.008886427853701528,0.06484290429369666,0.01597068279701215,0.003566343483120885,0.0008398494034474323,1.1395631037086236e-05,0.007270068795767407,0.006936993106733202,0.0694955542011072,0.0667559727082417,0.011596669197126843,0.6926822334255714,0.5565059098881303
CID003361-1,0.04364427409998401,0.0002598591608535209,1.5049275841298951e-05,0.010879482132690983,0.05347147165134755,0.005802016595887443,0.0003012234600983868,0.001570191676693043,0.0011811952138175935,1.962873005086768e-05,0.05943523500669861,0.07189852637835599,0.006611753743363153,0.045261484599905165,0.006444126024904278,2.9184247208128056e-05,0.06956697893474324,0.021651639561967955,0.0056696710450287995,0.03343779077201741,0.05766628748316651,0.05847336978675215,0.012998676622974518,0.07338742115536863,0.021984320596120852,0.01973502787009077,0.009949840282242349,0.0033848408548923245,0.00030628035099011634,0.01672795187011794,0.007398473559897028,0.010119742423320031,0.004337900154796709,0.021504134112734444,9.13418504466695e-05,0.0715426449263383,0.07314364322465125,0.07333995324392782,0.026757367319713992,0.6946704067321178,0.5015772798876679
CID003362-1,0.0015250354479867452,1.4161809992427315e-05,0.0003528885923449069,0.06685595012408653,0.029401156457850533,0.0003953716923405965,4.9012819156052076e-05,3.4157490335457314e-05,0.0005854350687794969,0.00012586244651228035,0.06974263574783597,0.04776876167490544,0.060374978932033065,0.021568036849640707,0.04518595718525199,1.5328480520984757e-05,0.06560973081854439,0.006037119861646379,0.0025748930517465636,0.04788432417630888,0.003451625994035949,0.03470204631744398,0.019214170691673492,0.0201225298837718,0.0002498630513118545,0.016668300272047486,0.025002764417679655,0.00538146655552267,0.07271547179474237,0.006934879049731437,0.0005391022144475865,0.02204807632234669,0.07321529531861388,0.002213112829152003,0.010159338126838606,0.05999430058468488,0.07220284540757008,0.0728890060763974,0.016195006364168794,0.669256997553505,0.4795072919365495
CID003363-1,0.032603554008318957,0.05934159362441179,0.0003759781761374831,3.2538704145648276e-05,0.02812263373637987,0.0009695237193224112,5.425542134123133e-06,0.005807327761229587,0.0001917095794310306,0.0034010817953851603,0.027533847993119143,0.049683807423355465,0.05362206455157821,0.011839180529171284,0.050482364814012956,4.017590534215008e-05,0.0616947517624453,0.018707702265887662,0.0440851046616138,0.013704902713465668,0.055597506511741265,0.045777701570671285,0.024467075499680805,0.0594738571162,0.010263371911827184,0.0012218260517400411,0.0002376188035357151,4.854201162985938e-06,8.46181312558061e-06,0.006872717741990181,0.06149611086609676,0.0037461418061979696,0.06246314222117506,0.006264990515712111,0.001555001739410823,0.06131722058148765,0.061864588515063636,0.06234197866708334,0.012780564599209843,0.6782100713789518,0.4919410449433952
CID003364-1,0.04840799926368634,9.500059736258829e-05,0.000531016781153661,2.21262111739021e-05,0.011453588357094617,6.237474773376725e-05,0.0003127549486752758,0.002445186453480682,0.005223030535965801,0.00040339431730599057,0.06252407435413461,0.06450003796050838,0.0670438298434567,0.04399028715857522,0.052021995165438754,0.00019647198988249394,0.05423274805090684,0.0107715915129737,0.04656594868433288,0.01513837727786376,0.009632992487476795,0.009351308955484033,0.0675507460327299,0.06812836095488028,0.008439024534625207,0.0008083475119983985,9.284380415857371e-05,1.253963246194731e-07,0.004198010101770472,0.024793704588044065,0.016127997912115628,0.002291578593498816,0.06294942445663838,0.0036966920082576746,0.0007102417653449128,0.06554636109405342,0.06842992820752272,0.06585926408175588,0.03545121330161396,0.6898980948161276,0.4846735130395343
CID003365-1,0.03007895523554844,0.00010025133882053387,0.00015515459202463988,0.018399294984891068,0.011434418249062828,0.00015989572400004374,0.00044525983019236254,0.010775950374938649,0.0005773291663984981,0.0002919575934553006,0.02421712263704388,0.08240461443241993,0.029008128112056046,0.02449507548800659,0.0638952189936993,1.3891406795470095e-05,0.08139774229271014,0.009297115034477369,0.005571849569253018,0.07877970518179242,0.006884105524171195,0.007133561287349909,0.03496440498543666,0.04465905548005649,0.010917816532747758,0.0036572239507372726,0.019277024837693224,0.0015059442459297455,0.00227023741515567,0.009507327881203667,3.775328191659703e-05,0.02081614540930317,0.06230041504318,0.00041794474480747737,0.009221183559673564,0.08155281857187922,0.0810197751595179,0.08150294870189911,0.05085538314975477,0.7084771943933252,0.44002003000844314
CID003366-1,0.058587271295022676,0.0005285930646307627,0.001541300157914,0.04586118136101052,0.021458826885482386,0.009778697644598567,0.05932988545488856,0.05872035215111414,0.060184544392150326,0.024008350508291323,0.06035694111966115,0.01876472603848058,0.054055320369055644,0.006734773874536353,0.0008463208133101842,0.006451819290729732,0.0528431919016783,0.04874929980303835,0.059253068872065,0.00021921625547699307,0.017945533553308617,0.057298031728125025,0.03978875417238995,0.057248693144014144,0.0030445133046207557,0.006649240043092017,0.00015427815671169146,5.664284352397639e-06,0.0016782103578493017,0.01834048289565849,0.02366160218417243,0.0037823238975635298,0.000990581761915479,3.905467646766828e-05,0.00028626416727534207,0.00013340836103534946,0.059418893033580805,0.03681107862416996,0.02444971040056148,0.702617414047989,0.5390673777646
CID003367-2,0.043866991204248966,0.0004843329773284388,0.0013600946877325398,0.012203327032118655,0.04651055115777622,0.004156875469242301,0.0006391344022707888,0.055038622525190914,0.05753022030667591,0.054826576374817276,0.05976927076198379,0.059694215644023066,5.525831622155101e-05,0.020136269174558404,0.05704373383406347,0.026968519849061224,0.02271305248448098,0.006160741720277951,0.05530850086114516,0.03579861307727875,0.011409548852020656,0.028262707239766968,0.03047416574331096,0.06011316978350342,0.006986275164287998,0.01707495150496461,1.4980255453507364e-05,8.306368942330326e-05,0.01654238817766925,0.006419829352655064,0.009197009455236244,0.019553512067361813,0.00017022647367812588,2.1789054874485904e-05,0.000632129256579433,0.020160548727461224,0.06002442354461024,0.06009873592806854,0.03249564386857773,0.7238539611439948,0.5279457663985307
CID003368-1,0.019820470607234325,0.008608437724817255,0.0007494781866327482,0.05945982830045177,0.017860436686723352,0.06504974627094734,0.032430702643251326,0.061900723224928685,0.0023196311103214576,0.04937606212584111,0.052314935517750065,0.0663639185488445,7.514798597387126e-05,0.008213284178362321,0.00027445615626000604,0.0059923962415958905,0.024540318514418576,0.05108977168130854,0.0668114766685652,0.03220249108935705,0.011094142012891434,0.02577696960671884,0.0018666371288022757,0.06613850388196041,0.00833383858072479,0.0027572810549535555,0.000824510510066122,0.000658968069513445,0.004762293169817649,0.009136311712714996,0.003298313374039128,0.0057739834074917,7.972559432149428e-05,0.02433898858427785,0.00019862129366025977,0.06618457180092795,0.06621263786172622,0.06532949554035491,0.011780493351451581,0.7526471872832242,0.5346146751331731
CID003369-1,0.04180594260741303,6.681818693519619e-05,2.820680333990868e-05,0.06107248629891536,0.040990531020780964,0.0034743397521998995,0.002162497737748066,0.06811650062389048,0.07381706955463026,0.0025583446932214175,0.07333656479595703,0.042803176577720196,0.0001049729253809956,0.01712493150559119,0.024522368401903524,0.0004889966817275567,0.032686757663604564,0.0007037829215639333,0.07244251523652645,0.0029477734743259196,0.011404002992306936,0.0003668017632901604,0.036006708153510474,0.021558164875400528,9.181019455537953e-05,0.022307732550285456,0.001106652898596448,0.0018600194809511288,0.03747259934768806,0.005206991710133838,0.001145147360125961,0.01883625508113095,0.002810308488162824,0.07366953744847235,0.03292131350207304,1.3068604327106402e-05,0.05533503482884423,0.06274272722941507,0.05389054602735417,0.6294283764830749,0.5153314116619835
CID003370-1,0.07269149821320345,0.00010512509453288374,0.00026743319139779906,0.0003830765713267055,0.03365806853762321,0.004453211140457363,0.0004402425906023153,0.05059241126601448,0.08432704997604666,0.009438857605730912,0.001843163397635839,0.07698299025996952,0.08451512687300487,0.008983543940091775,0.0026948546069373003,0.0005213206872418589,0.0876410040633066,0.00750620329301478,0.08748826179903023,0.043775086838208785,0.011039120658433925,0.02875189815290777,0.0002420987521277709,0.011735159957972151,0.018477526433355446,0.005131180060415034,4.018871968503139e-05,0.0009497723077073791,0.0005260244821541974,0.00010042319267807344,0.0013718780834713598,0.01135941821007898,0.05158541013459968,0.00018791749304365328,0.00013123674837124227,3.987636220682771e-05,0.08945409767511159,0.08983547864755123,0.02073276398275143,0.6987445860272424,0.5576548536463892
CID003371-2,0.05904703472525076,1.1015930371153369e-05,0.0002994449031052801,0.014667979281963952,0.029504084154275415,0.0002129580763589155,0.00046767498294259137,0.08242398502071141,0.08086981220378106,0.0009169278402916339,0.07666101914230275,0.03880943246986162,0.0006940402068485957,0.0064038983254586235,0.07899803731976014,0.002090585376058511,0.05062010452059421,0.07918083986491964,0.08176991300224593,0.024860411131376683,0.009432576519255423,0.0017080026520826695,0.0006395085055230522,0.00875116949708179,0.001920798697082128,0.0049864668231656495,0.00025640165521059147,0.00029961066526298295,0.02784069848497927,5.00510100092822e-06,0.0059996509454931,0.019871369154040402,0.006537528006598184,4.767752567603719e-05,7.198353639050144e-05,0.0001682705514800163,0.0822056132007278,0.08247807411899123,0.038270395881479215,0.6848644795900676,0.5068829660735747
CID003372-1,0.04730429546683687,0.0012534987764345864,9.818374759274181e-05,0.05251962565517262,0.0364931585098965,0.037349715884410765,0.017054978130120545,0.05502021443840395,0.00027188621272530796,0.049910932511556885,0.04408315092373822,0.05277704216246047,0.05407499851511773,0.017920427517264234,0.051352488200099786,0.0067894579104160226,0.04419163093411262,0.02114250649105672,0.046540501522162374,0.02383192403644349,0.005380565576072652,0.05000490571543057,0.030367134561557523,0.03309921076390496,0.010254597509167036,0.003233363647813868,0.0011658942390508483,7.604892325905973e-05,0.0029733097029569404,0.0073698618109997475,0.001180017429434216,0.03165393870529396,3.4513831678188936e-05,0.015065586168679755,0.0002710351475054613,0.0013477551150768354,0.05500841474172295,0.0536983877721879,0.037834841092185045,0.7354080588302186,0.549922488582128
CID003373-1,0.038752893840605374,0.054209903354513644,1.0406622249401199e-05,0.04101122807241,0.05397356153297449,1.1782320486337228e-05,0.00020356833238982205,0.05492336434045909,0.022381314414062044,0.0006795447624033711,0.05508072652355895,0.02298455148795301,0.05443801287747211,0.02690114171530598,0.05473500228091524,4.0664170045376464e-05,0.05836070095872953,0.05274094344619791,2.7691318252690443e-05,0.0002383918746286475,0.016976959526550667,0.0005311111571453751,0.0028242463429466224,0.028167414087625405,0.02040868465145958,0.02072288963223424,0.0011120108919645275,0.0001032125724239136,0.026417719787306584,0.006295244581878462,0.002721249206852106,0.029159439647990018,0.05425097182117802,0.058291534963204814,0.017341251673943993,0.00023828962788680606,0.032227700680658715,0.043778845149512316,0.04672582975162446,0.5314269524214276,0.3897806234345256
CID003374-1,0.0038009462565828174,0.08400993001883726,0.005811044491605581,0.004246852991760457,0.037014239951506475,0.0011786167876622464,0.0004413724138091244,0.009596377059359909,0.08415688919869234,0.00012016273914493049,0.0017888973677461777,0.0712366031002806,0.06003271791049545,0.014402129573225413,0.00018486529824034893,2.140894494251347e-05,0.09447575051141041,0.002987671085722622,0.00011118925828758992,0.024377398792117085,0.009233687335563037,9.568441208757492e-06,0.0022015792420844575,0.010531339264399621,0.001008054873139245,0.0016609368064459328,0.02452323129046699,0.002686114343905596,0.0022385784709792024,0.0039014796288572586,0.0009359066860874067,0.02619361017439359,0.04701757057835712,0.08123212047423112,0.0949946877652569,0.09399167266713981,0.00027168465062335127,0.0944746474964293,0.002898466059001969,0.6802903343086165,0.31166270407615704
