,CLEC9A+ DC,Inflammatory Monocyte,Mast Cell,Mature Macrophage,cDC1,cDC2,mo-DC,CD4 Helper T Cell,CD4 Tcm Cell,CD8 Effector Cell,CD8 Tcm Cell,Cycling T Cell,DP17 Cell,ILC3,Intraepithelial Lymphocyte,NK Cell,Tfh Cell,B Cell Memory,B Cell Naive,Cycling B Cell,Plasma Cell IgA,Plasma Cell IgG,Arterial Pericyte,Blood Endothelial Cell 1,Blood Endothelial Cell 2,Glial Cell,Inflammatory Fibroblast,Myofibroblast 1,Pericryptal Fibroblast RSPO3+,Pericyte,Post-capillary venules,Villus-associated Fibroblast WNT5B+,BEST4+,Enterocyte,Enteroendocrine,Goblet,M,TA,Tuft,rho_Spearman,rho_Pearson
CID005226-1,0.0011981417044541235,0.00025751146070793207,1.4542980370701315e-05,0.010058175234018498,0.009579291722466595,0.0003533298800029233,0.004403915276149718,0.018647500047776194,0.00027883598903462125,0.0002395606153459516,0.09701577156876406,0.0923696781408287,0.00015209994845758997,0.04023670804559508,0.0005118530323226267,0.0002379546015816122,0.08659760629021573,0.0016510064195933145,0.002412928631353542,0.0009201501321044483,0.007386906919317427,4.053663050091774e-05,0.003716445791620468,0.024857916108366934,7.052183878169162e-06,0.013421391429520788,0.00016893472745096842,0.009541021795437286,0.02977560056695574,0.010608905474272987,0.00032565586420910814,0.03268298157501092,0.07957303401905262,0.10002876715854589,0.059336245387940724,0.004347186007016326,0.09530304653533393,0.09978568530192272,0.06195612480250222,0.6025226338117452,0.38393057670313346
CID005227-1,0.0004768537133663211,0.017665844104589656,0.011403283479961003,0.01611166845464041,0.01338466260631171,0.0009548061883853969,0.000722956872353582,0.07443113681346095,0.08134566046837426,8.025102891426596e-05,0.08214354384280294,0.040371245009561456,0.0010009949280800428,0.026821793303309263,0.0397686357164388,2.099961375966929e-05,0.0013058689915918331,0.002744331478213381,6.477962266975305e-05,0.0006849131840222942,0.004574786553379373,9.941953868045933e-06,4.042222666236908e-05,0.025690100666636243,2.085537806511629e-05,0.015703751934616508,0.00032445465405147125,0.0003703568927006081,0.028986463203330464,2.3219397084787966e-05,0.0066018583058574725,0.02811204147203722,0.07545566287547974,0.08512224301852772,0.08450649585261084,0.04430959711369882,0.07041913878506696,0.07164275247557696,0.0465816278199421,0.605720341162793,0.3547519729219475
CID005798-1,0.04138160969422167,0.01890626547430542,8.714207001989263e-06,0.07219467904680171,0.07291612089003226,0.005627274947550761,0.013014068852074255,0.007451074943435037,0.06528176777454704,0.0071133009007326225,0.05840722404421131,0.033878559063476484,0.0015663767158200217,0.029624957363935292,0.007905770168401114,0.01263957726845038,0.011861385045741262,0.002237815265861559,0.016834849470297383,0.0001437554674008895,0.06859982310124957,1.978851812031342e-05,0.009448631666452042,0.03034501289990619,0.021137749266298446,0.005647845936931811,0.0008905285958328564,0.07276814064538106,0.03881342385970022,0.011983411370190104,1.7686541068864497e-05,0.011724973817480434,0.07208171763901813,0.0002518728383671315,0.0010477166011316162,6.442043334160489e-05,0.07108706201724307,0.04447747013827763,0.060597577509710183,0.6488114517825713,0.4383217271787029
CID005799-1,0.06318337420888298,0.06704441909704983,4.438759613853068e-06,0.012984670538904631,0.030136731061864454,0.06254517137331933,6.319416619331779e-07,0.00020963694468153062,0.0004299359201875292,0.003910714118755445,0.06893666502683138,0.023543109353889,0.005334895235724642,0.01549410637862747,0.00033990540388453383,0.016848877117741596,0.07234792920221862,0.06502275267115284,0.0008936946329181152,0.011744090109575596,0.00991781220306076,0.04157451300279951,0.011165877195564805,0.002993120392642947,0.006957394765530635,0.0011212115281379585,0.014536087939711291,0.001597721576783538,0.010391885649568448,0.0715906542716743,0.07237887048141232,0.00219057820869251,0.03358979323953758,0.028874260724515745,0.00016314426532314344,0.00012295334913726914,0.07259100844273787,0.06289275774935164,0.03439460591633237,0.6654024891832702,0.500294695716789
CID005800-1,0.0003231780978904236,0.00018811977744224434,0.0779552732443477,0.017551417234450917,0.00793285428874689,0.001613198130370045,0.0006727082502797405,0.07509212700606732,0.0030521529672522265,2.1777060361336784e-05,0.07357312458628389,0.03354389452497172,0.07770403772135304,0.007168093985011099,0.07681507661861284,0.00103959755026701,0.055198341222446844,0.012468594844625291,0.010598563652900989,0.0012252531829695325,0.00787668218491603,0.00010174029501866633,1.4071946257801019e-05,0.0005741301501507212,0.00031264995116162334,0.028362434842027086,0.0016391361993439704,0.017329830855097088,0.04030360562800514,2.6938208662140594e-05,7.573231267727815e-05,0.037634836359104286,0.03082931079342657,0.06586575445750774,0.011533145447198686,0.07508522897589062,0.00015552100013418383,0.07251640848721867,0.07602545795955065,0.7063416805994189,0.41284964049788075
CID005801-1,0.07093862548340149,0.04958085818576087,5.5064708281443634e-05,0.0005479747080579059,0.04971333987686096,0.0015351583145992982,0.00026968262198741495,0.0854542783455913,0.0012254770176397464,0.02504482590554793,0.0851293837837228,0.001444020457641318,0.0011434016893439492,0.01921948108416952,0.01763920705824457,0.0034243624645428224,0.07154716463125188,0.08149401094425585,0.0812353235057296,0.0005820297448061026,0.01091237122614016,0.03371069733174328,0.00014681997769364085,0.0032672205305341547,0.03671860536510588,0.012756532519798887,5.474493226905128e-05,0.00046031879999349146,0.00035341518316905164,3.99024495710259e-05,0.0003955889533577371,0.011362332855939032,0.0001009864935273008,0.08330841961123067,5.4488120449176516e-05,0.0004394465033185524,0.08316584231124367,0.016661801357647867,0.05886679494583048,0.6783431836759733,0.4810973401567441
CID006004-1,0.013017592370436778,0.0765269051780888,3.3141900420205342e-06,0.005911725985250931,0.017011128763730687,0.08176789373053463,0.0012785567657856143,0.07816606700841618,0.04963617511381748,0.000181836676109941,0.08042641524697237,0.04849708650719193,0.05128583598518322,0.0036856284588795084,0.001888041370549454,0.00019654000846389577,0.019776540011244306,0.06533309491533613,0.0014797376140319306,0.01651955961096062,0.008779092803370915,0.009173989109815,0.00037892709028532884,0.0037298331141799577,0.01717938653929305,7.882087999712472e-06,0.04612963375355604,1.3565614947141026e-05,5.7733073090230524e-06,0.08031335536865998,0.08261978251628195,0.00021942508729903595,4.396970160757418e-05,3.509094016200013e-05,4.9308228386402214e-05,0.001079891090188155,0.04890292552190034,0.06708636484974946,0.02166212776398271,0.6797804193562966,0.45415242824688873
CID007374-1,0.01562664841509273,0.007022944616739057,1.2390845166088902e-05,0.07588359526472406,0.024745199556335414,0.07681454681839746,0.017024189794512694,5.0573598572189676e-05,4.409836843106547e-05,0.07743726758041933,0.04646769045596678,0.024163685071663603,0.00010541123113682121,0.0034575770970028136,0.0769233622931896,0.07048614545136274,0.05039176993312636,0.07558445839708183,0.04021431215909252,0.010991607217487872,0.012568895973382815,0.07611737083016107,0.001315627802419092,0.01010209496846561,0.011161620068828374,0.005528322933617469,0.0004606991397383185,2.843340103347151e-05,0.00038646933815711046,0.016463754123075398,0.0015107476236892452,0.0027717709591513298,1.2410168348805023e-05,0.0031976531067459376,8.987676903676757e-05,4.115383074882471e-05,0.07759992979436586,0.0774695229175512,0.009726172085982166,0.7373808511930059,0.4206513647782504
CID007376-1,0.015179822854716536,0.05595599128990446,0.000166440998285448,0.06655840135771507,0.028417428600417873,0.000273583493998139,0.0032514174177296685,0.07395758689398405,0.0002553006414207302,0.03587792631306404,0.05081642726810666,0.02318117580668726,0.07743075379393019,0.016470672366553942,0.0008561431229814824,0.002205398686379236,0.029970828426987242,0.02206486644568327,0.0001225918618571949,0.0018240720382440964,0.02174062880121874,0.04160052557578508,0.006260311259937748,0.04908335332327011,0.018211619915503623,0.0010444010512401644,0.0014515268707923866,0.0002419643229926743,0.0023653430238219347,0.06919187779470524,0.01856441752350715,0.01346130780488439,4.0838823024982636e-05,0.07849725015645448,0.0007153278539055876,7.77117862412388e-05,0.07775285546721045,0.07699734791264616,0.017864561054211164,0.5972942938135106,0.39878792902995075
CID007378-1,0.03421719002708106,1.9385571976938315e-05,3.966308075544408e-05,0.014730281336783321,0.05400235119102058,0.0021567087435845787,0.0005801778677482761,0.04920005020363247,0.02272031494169367,0.01792219256576802,0.078042983707749,0.06292072746647873,0.01647735808003379,0.03268331498366287,0.07476687269365527,0.001634559646761598,0.07772432599423547,0.0070390928155487165,0.0006218265877213963,0.02347348991121974,0.01144114454061189,0.0015386216383506488,0.044563250171295164,0.01605844675270416,0.00022991762980599552,0.06112955305221207,5.420724528916498e-06,0.0009340099126277521,0.00034879023994210923,0.003046483660833906,6.830047669888515e-05,0.029334490440195395,1.8440587908733893e-06,0.08094315882555914,0.01292788499933349,0.00100096115752501,0.03506656502968655,0.07999373514961251,0.05039455412257452,0.6013021061606993,0.4323669039576288
