,CLEC9A+ DC,Inflammatory Monocyte,Mast Cell,Mature Macrophage,cDC1,cDC2,mo-DC,CD4 Helper T Cell,CD4 Tcm Cell,CD8 Effector Cell,CD8 Tcm Cell,Cycling T Cell,DP17 Cell,ILC3,Intraepithelial Lymphocyte,NK Cell,Tfh Cell,B Cell Memory,B Cell Naive,Cycling B Cell,Plasma Cell IgA,Plasma Cell IgG,Arterial Pericyte,Blood Endothelial Cell 1,Blood Endothelial Cell 2,Glial Cell,Inflammatory Fibroblast,Myofibroblast 1,Pericryptal Fibroblast RSPO3+,Pericyte,Post-capillary venules,Villus-associated Fibroblast WNT5B+,BEST4+,Enterocyte,Enteroendocrine,Goblet,M,TA,Tuft,rho_Spearman,rho_Pearson
CID005093-1,0.04025443848690216,0.0005742823600924691,0.0006416999598749965,0.005645639950409831,0.03113428601000881,0.0003248147594729272,0.00025378188411467705,0.017937011333021693,0.052716327403916415,0.007746033282795126,0.06175484887290923,0.010344506133386134,0.052239888868839145,0.06415623879595922,0.0058570780335866985,0.0004251644450053422,0.05874476000205337,0.03363439710419313,0.06159325570020021,0.0005781331031131965,0.010986112152889648,0.05675823475578866,0.028619477496646898,0.058998579517277244,0.00024629414095603085,0.012877561713861655,0.04865045028393521,0.06436585775919196,0.029741257072313954,0.014708531202130854,0.0015308256306535537,0.04925027137268281,0.0010844844862163091,0.0002860140259882496,5.9138524237940244e-05,0.014282200104842045,0.06456252021960575,0.027872206139702434,0.008563396911223762,0.6545256773683169,0.47077354578536446
CID005215-1,0.030397647203885,0.055563226049117564,0.003599042928692946,0.007674135963987737,0.04173740983470487,0.06297354749034675,0.00019986948074279806,0.045398076808431304,0.06301233903801183,0.0630065914127288,0.06314792993191873,0.0016507896952405617,0.015821445949684453,0.016770753928492144,0.06218950338863864,0.06229121521239702,0.062411707371808435,0.013925640728002812,0.06215015189725213,0.00036876141123606896,3.3164967291885604e-05,1.4297882136881256e-05,0.001463021372778984,0.0201181502526583,0.05487529285896844,0.011573301207941318,0.00022443706332017519,1.7786566831082768e-06,8.152528136876986e-06,0.0018434296406783033,0.001920916737070707,0.00221050415582606,0.01057003587992764,0.00040025769243837227,0.03956332199193164,6.667927442926779e-06,0.04735585640148641,0.01796480927969668,0.05556281777826481,0.5972562070356893,0.40896611284497586
CID005217-1,0.0674069046218282,4.971416445223547e-07,0.00017300426473911047,0.007365619213089124,0.014117967746829727,2.3723375089892593e-05,0.000548808657133731,0.0025695471175483007,0.08306266036792131,0.00014125761820314362,0.086219080874472,0.08290077290641766,0.001552089694298401,0.0587213787064337,0.028240779674123542,5.8262403122981555e-05,0.07191173616867133,0.0001233657085401424,0.08585142315963218,0.01982502161283526,9.799359653209661e-05,5.304944866014176e-05,0.0006069693187359751,0.03629335182506409,0.00017492610156082553,0.019723291160380862,0.00046526452827789025,0.008771229028958914,0.02565492181468452,0.01496176442052868,0.006539113443443325,0.06053517725352042,0.01565542579950008,0.0001482275032897392,0.004558751720397434,0.004628461672267954,0.08384895763720268,0.0859554504573376,0.02051377223708248,0.6113114410693677,0.3986978229634093
CID005219-1,0.024975034796281943,0.012940936369861288,2.122695134671309e-05,0.0026851251983216473,0.0207258329530188,0.09297379444565851,4.9440906467714e-06,0.019000932737085332,0.0021323360317347605,1.548593666073438e-05,0.08017389696833083,0.005537500391467173,0.01938338896538082,0.02601589305244548,0.00020918182382469137,8.420676668015553e-06,0.09365033336408707,0.09262135472225401,0.07948392760635417,0.00020676808817284286,0.03525238721991366,0.0005330991272283526,0.004330239099309052,0.08685400132315099,0.00556220060597407,0.011274846673273794,0.0566536886862333,0.005410398366543029,0.005038639436144888,0.022390859056494957,0.03545715153907671,0.01822089663291527,2.5946899191121327e-05,2.076749712179418e-05,0.0001471832351582208,0.0023519802871180746,0.09351564046616878,0.03580326588180992,0.008390492797572136,0.6522514124228279,0.3299416392561575
CID005222-1,0.035324304611724554,0.04633383422003551,0.00024145721139590346,0.002369295871722793,0.017619523192728248,0.025301748066132917,0.00041361314407867744,0.06354544607655074,0.060625388016902815,0.003618926067667783,0.061918007152820316,0.020256094991472667,0.04079707242858116,0.030932940224525033,0.06244234543156231,0.006646640240891214,0.034024801724851374,0.06342554049486206,0.06329556860855486,9.444005777818492e-06,0.014333316288610416,0.005771806967169427,0.00550627064450891,0.06353783269874722,0.018984345837585286,0.011432532809208371,0.0035604726997886813,0.0004544875267700676,0.0002580341717475134,0.06270420806080974,0.013550156514333429,0.007661845115176975,0.0001543521983176436,0.0004505056477140577,0.00035332140628815907,0.0016875837573634021,0.06135107706031752,0.06356586747555679,0.02553999133714771,0.7122949608393676,0.46656312368889497
CID005224-1,0.012805979990846742,0.06773884441383443,8.460021294008064e-05,0.06127619793750853,0.03455435765000884,0.0003588309841036895,0.0033943580689117033,0.005475211580475714,0.059234364664094784,8.153793418689053e-05,0.0032172470317791916,0.06179526611283126,0.056445276826817006,0.023719033080473143,0.0035556831763113696,8.934610907581423e-05,0.07029502945407484,0.01488520931776717,0.0024753935630488617,0.054974319247470996,0.020416871847868296,0.0005947057307969289,0.0001669139841383659,0.018213909925352018,0.006984473348436781,0.000825680365940534,0.010468180701746103,0.00186093551142863,5.497378308937491e-05,0.0017861641965478603,0.002617310395590321,0.011715102395938355,0.07177549116693192,0.07429071922861341,0.0029838384453650755,0.0707887494883684,0.07494878127767626,0.07498778985721061,0.01806332099239971,0.7233694781261685,0.4114827998665743
CID005225-1,0.005618544740096761,0.0014997170875793047,0.00024030338641857764,0.022793614862707687,0.06601207906793417,0.03304231049212093,0.005739703275954865,0.03735920524801304,0.05601104062542779,0.05789226970158922,0.07017760593629288,0.06816215245612076,0.03146303972374791,0.04606955573494636,0.06882987450977311,0.00397916130686917,0.005017184107485898,0.002666288721236725,0.0012040082609365657,0.038950364549860186,0.0105828286701576,0.00023789838994946584,0.007419034365497227,0.057977832790955273,0.0032211350088165646,0.011303766849283388,0.0023469224955919663,1.3871964578283273e-06,0.047816906259879936,0.006348285780156748,0.0019571216263877356,0.04514707112048096,0.000546736191373317,6.196330375846444e-05,0.005935072960378868,0.009194766694594372,0.06776727484559696,0.0705209117551577,0.028885059900413724,0.6639272301614397,0.42435796824423866
CID005416-1,0.0567183717316322,0.00028247349870822694,0.002265552176118913,0.0022393973491869126,0.04732423300093208,0.000453246737464804,0.00010817733627693392,0.02094051433040455,0.027834407808124663,0.017661695963130823,0.06852898353441018,0.00017523847764714808,0.0002973433339864389,0.0094119755283305,0.09156704968529125,0.00011047270798857556,0.06958549071909101,0.0016768421135713622,0.06323095487366699,3.636583381870446e-05,0.019557621248278145,0.00022196739595868058,0.08202374171800594,0.0021136749758604912,0.005312771335162627,0.0921681670719939,6.922142884096034e-05,0.000988383509700454,0.09207206137772833,0.00016830080113642426,0.0004287166098687936,0.07278045738832199,0.00022127173326235688,0.0004481489048780003,0.00035050893634471793,0.004779787335254152,0.09265014468902011,0.01099253618551023,0.04220373061509151,0.6469022087495326,0.47751939144191624
CID005418-1,0.0405383171566241,0.07614938151003538,0.0011956276603063358,0.00023313890997581836,0.03760987483492467,0.002580141162422735,0.005065031420725721,0.07361573040929247,0.025982007454729266,0.00026045833639026306,0.010144527809334954,0.06824472924813837,0.07740672708568364,0.036571642502290544,0.009615214478936908,3.0306483888630795e-05,0.07381265680027169,0.00021020456966995186,0.0004268307992423183,0.02958702291312409,0.0008783257443457552,0.0011936649832689438,0.0006348591757458106,0.006740157003668134,0.0031865180708215883,0.002118638070030476,0.00466283018859002,0.0033074159835787538,0.0002144812233072381,0.0006383803831134312,0.00025520793207921044,0.027913800613461034,0.07268425773482401,0.07706837591935507,0.03749524544311387,0.07336739901993829,0.039631525760410465,0.07767738862257288,0.0010519565817669857,0.5756795171765323,0.211752091659146
CID005420-1,0.0028066829767661857,0.11743073893831305,0.0019237613228316281,0.024658872790238887,0.008453752850865652,0.0002487585737245885,0.003455599413994692,0.0034009412769403983,0.0005482369833450056,5.209979956137775e-05,0.08245560733373582,3.3049887320666794e-05,0.0020642475657437626,0.02003556147162606,0.00023558063855946194,1.072578722441084e-05,0.10869123266671547,0.0026252236468735615,0.005090824447334319,5.2122961161545945e-06,0.0002357209110885019,0.00010675606198605138,0.0007760058508490119,0.1171159708335797,9.407633168608204e-05,0.0022594306365963804,0.0004522188002266129,3.693633326260344e-05,0.0297730890151013,0.10701451054759065,0.11668676094097048,0.00016956992681359503,8.514640952488956e-05,0.11127211701639741,5.811631249355197e-05,0.0014287497929079934,0.11662570497202154,5.8950890850068006e-05,0.011523457748222157,0.6793994665383717,0.2756315728550218
