,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
CLEC9A+ DC,0.0,0.0,0.026750724235978896,0.04438624691466022,0.015153679067711631,0.019212807905991686,0.029115770521472874,0.02843444310820454,0.0,0.007338878286490679,0.038768783368696685,0.025339281308254816,0.012442918840891158,0.01115329881716474,0.014154418174118864,0.019747212760793036,0.016204221007311465,0.0010958684529624898,0.01258151097183018,0.02743276418275593,0.0321179021839469,0.02934653877494837,0.013006517819943718,0.042674977575185104,0.020317888859994096,0.0063077365344565645,0.028777268926510224,0.013953278378341023,0.02193226944246286,0.02394255470646491
Inflammatory Monocyte,0.0,0.0,0.0,0.015556855667546256,0.0008668280666081676,0.0,0.016052059078250847,0.006015238550851292,0.003474589286730248,0.0009857345410003901,0.003931044647127202,0.012751640805113222,0.006602809296488514,0.001483408593171089,0.006540654762696558,0.0068724051692576425,0.0013183733129220406,0.0,0.00950101863723571,0.007193474626410663,0.01190001719590374,0.011701169762747337,0.006194522004737467,0.012518244221299251,0.004589300859653852,0.0,0.0,0.0,0.010558547055031125,0.0
Mast Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007158949878364293,0.0,0.0,0.001428547113202378,0.0,0.0,0.0,0.008132378310783044,0.00023864146423868354,8.795154637333806e-05,0.0,3.639815286814019e-05,0.0,0.0,0.0,0.009712085143656415,0.0,0.0
Mature Macrophage,0.0,0.0,0.0,0.02259501285172942,0.0,0.0,0.0258854323290721,0.0,0.00037780491429809045,0.0,0.0,0.014411878985057584,0.0,0.0,0.009158973555265182,0.0,0.006021723380550535,0.0,0.0030690836418843554,0.001244354113597336,0.04136139713699283,0.0,0.0,0.03449488061772225,0.0,0.0,0.0015039202420619154,0.0,0.03173565493049454,0.0
cDC1,0.06224849914022738,0.11053624793279751,0.024401957245651383,0.06617485582669207,0.023263212498047293,0.06707482112383642,0.022184447007773955,0.09645193625516114,0.10287733731166389,0.13413532510749115,0.06504447851495668,0.0383913725498877,0.10922065866427566,0.09488710619803999,0.09237663681881608,0.12357534946429043,0.05124996025707506,0.13040541944266698,0.01745465882748238,0.11691615859128891,0.07272060681229547,0.16384962740443515,0.1273504036582611,0.07109865082370773,0.07553740225420767,0.08949519509299289,0.12921741060134673,0.09867573930030535,0.04743072629717784,0.12799595582951495
cDC2,0.0,0.0,0.0,0.0,0.0,0.006121688060829756,0.0021418408853159016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020341837830172285,0.0,0.0,0.0,0.0,0.01085700419597392,0.0,0.0,0.0,0.0,0.02357360481621166,0.0
mo-DC,0.0674627192391845,0.058850892529602544,0.030814923520540678,0.0,0.004593715939538559,0.03348388688121173,0.0,0.020829035814560637,0.010274805658164276,0.022600707215135973,0.054323396574282194,0.0021151135791457683,0.03284716393064969,0.05547947433336982,0.0,0.025413310673583454,0.002875095329259479,0.05515686983419029,0.013418350021325184,0.008438266688834793,0.0,0.0209482453273697,0.008605433396468125,0.0,0.023857828768681717,0.04972056046211753,0.0029155090583426503,0.04527190745813174,0.0,0.03776796679194196
CD4 Helper T Cell,0.015068445404004023,0.01315185822725137,0.0,0.10647648271844347,0.1740744941469866,0.0,0.1797414986851178,0.012115691142559129,0.08187752972759704,0.0,0.020887718905603696,0.09677998844513196,0.08070288793010175,0.0,0.04347905281074344,0.04815389758197459,0.036174722199963136,0.042791210964366444,0.11977099685402408,0.11522785411580172,0.043074065098315954,0.057455080149193385,0.08643372205738034,0.07153555050964651,0.037426703700000286,0.007666118864440137,0.005916978658058291,0.00456825402235274,0.054019820381805146,0.0
CD4 Tcm Cell,0.24943019652309262,0.267855061756673,0.07894772107525268,0.038528181971439784,0.18382289550685915,0.26784566632886314,0.0,0.0,0.01002831299258376,0.2677246186486592,0.08804812275163454,0.11308836844978475,0.16088833535779892,0.2282158916554472,0.1381194902971163,0.060994960187541435,0.21477861750956995,0.2139436102289319,0.006685784794619347,0.013920090086052604,0.04969424040725699,0.06716655667823872,0.20103623477057678,0.10261553649439743,0.13006045723015383,0.25060260240577353,0.2290548327942077,0.1584501697636554,0.1932811492748032,0.21332302054037452
CD8 Effector Cell,0.0003339474640227904,0.010373987237493098,0.002042955259928501,0.013070430353466318,0.0,0.030668787194654126,0.0010735605237785484,0.014531693718738156,0.009250234016036286,0.007613609344446618,0.015963154733708573,0.01702057621625213,0.023482416351287658,0.015127409371716746,0.009284754308909132,0.02183145611081355,0.03075265544193004,0.004868314622775839,0.01238931389553357,0.018961461793228433,0.019166441337184825,0.02366451227274922,0.028874864585516507,0.020380439330693608,0.024132404848377205,0.011559841050951713,0.03542953882781342,0.01788417323820463,0.02531685920162382,0.015356040309413345
