,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
CLEC9A+ DC,0.033867731918457135,0.0,0.014599474919409862,0.008984957645893854,0.03829030721782635,0.018774228884411492,0.0,0.010135104070226749,0.0,0.005396424058666079,0.020945977288027617,0.030607185381688516,0.012406322855165457,0.02215901076086563,0.023179968731501334,0.008542165401910856,0.0357497581551465,0.0,0.030857024764128663,0.017321515433248787,0.0014820015491103199,0.038558696078697524,0.021021058353822345,0.0061446947621174594,0.022040779887141253,0.015076169698818776,0.014461692675465276,0.0106186437363169,0.03970652283228177,0.024410854162373458,0.013572487424886615,0.03151398539849236,0.025854227747433844,0.017327461330669276,0.028006985707335952,0.03369794988583753,0.012370684829963372,0.01883970296255201,0.04272043772014792,0.0,0.0007999514284139869,0.023755568253858474,0.030440694575247073,0.029674292017881753,0.004037983244758836,0.027976554919311905,0.03099335290747283,0.0,0.012417476548960143,0.02037783925513503,0.03108696842383773,0.02649091907733602,0.020794782193141233,0.01706758379803813,0.008415374270332527,0.0215222339266449,0.020028754673704866,0.007562118387450837,0.010923839633186175,0.0,0.010243252262357037,0.007845990923606203,0.026150604919236622,0.012325098801118513,0.01081986155268502,0.015413394317807388,0.02845106571500419,0.03016549076360267,0.03683020714577917,0.00045684365451465354,0.030124315531712263,0.007561256234724318,0.002943909292879223,0.026863049879837127,0.011973675706363651,0.04246429208618561
Inflammatory Monocyte,0.0,0.01775088087818711,0.0,0.0062540520487558105,0.007947689468975937,0.012225169428897497,0.0,0.0,0.002363745572374566,0.008720220604130517,0.006639530567209719,0.007958826202323098,0.009990812236056546,5.2990642509532116e-05,0.0,0.0009996484443513319,0.00624128222187935,0.008358145327437816,0.0,0.0,0.00513875573574562,0.0028930186543406873,0.0,0.006739469344414866,0.0,0.0,0.004696423042128425,0.0,0.008414882998604366,0.0006984636928208006,0.0030734912429740266,0.00396253379478115,0.0,0.0,0.006088285965670409,0.0,0.0,0.0,0.001878990066326658,0.0,0.0,0.0007264156425434445,0.002497032836293814,0.008351189385809825,0.005876774556788034,0.00176021879132908,0.007293684202373122,0.0,0.0,0.005829130114501539,0.00993050606777853,0.006934226006796976,0.0,0.010466165025959663,0.010820138891569532,0.0032346136726352473,0.002851657581536252,0.002454646262062215,0.0,0.0,0.0002199141587515956,0.0,0.004839726853981573,0.0002983085797070085,0.0,0.0,0.006296291920984236,0.006043320682014307,0.0,0.0038190121339926643,0.00025099768337042387,0.006961600287648389,0.0,0.00841513246446579,0.005771483665675125,0.004567156462573408
Mast Cell,0.0,0.0,0.0,0.0,0.0,0.0,4.2741384553969e-05,0.0015177309066821305,0.0,0.0,0.0,0.0,0.0071424571967934,0.0,0.0,0.0,0.0,0.004917806296419336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002042349958175917,0.0,0.0,0.007643513849586526,0.0,0.0,0.0,0.0029189948587807746,0.0,0.0040738141232574045,0.0013461731592293604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004582610672617448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014734681341319809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mature Macrophage,0.02165840381357449,0.0,0.0,0.0,0.0,0.011496879639439569,0.01721712032969144,0.0,0.0,0.019676726166550324,0.0212790991021584,0.0,0.025629731891842974,0.016688239289930056,0.0,0.008223274830395998,0.012147534295052772,0.04323269361779928,0.0,0.0,0.015391371588202907,0.008325517377675435,0.0,0.0,0.0,0.0,0.018920147851458114,0.0,0.015929069971269732,0.0,0.0,0.02097158909012027,0.027643864291206258,0.0,0.0,0.0,0.002576483953632822,0.0,0.010095614346140992,0.0,0.0,0.009381817357402768,0.00022724612729516167,0.0,0.006605893382726831,0.0,0.014152844246098022,0.0,0.012852172585355598,0.03504769473019446,0.0,0.0,0.03015324033878416,0.0,0.0068161804176185125,0.0,0.0,0.0,0.0008230614812782573,0.0,0.0,0.0,0.0009060320876205895,0.0,0.0,0.0,0.0,0.0013974817929965457,0.0019440574695617288,0.0026022760566743654,0.0006749708681798594,0.030046434623673884,0.0,0.008111569497919672,0.0,0.0
cDC1,0.03802351694690966,0.062201625339168995,0.002164752227541847,0.01779442546595035,0.023489241608083973,0.029262133183179034,0.10379130122804449,0.0349905635612148,0.06942147393160371,0.0,0.024672897887512764,0.04395055551227336,0.04538365814188797,0.0,0.035665304556816595,0.003511708377734961,0.084568414609851,0.0,0.09495277605894079,0.0,0.06854622978648726,0.0497950698451304,0.0,0.04878608370639048,0.06713824155151878,0.0,0.12578464520931143,0.0,0.06270785875203519,0.07628219468958632,0.08348069296230311,0.04774612327740052,0.0514417820251399,0.08647944534805194,0.11298571209267592,0.036399436491708036,0.024487878695629964,0.023647318671050386,0.061182411612362125,0.0,0.0,0.08114648962463773,0.0,0.04628386337023203,0.055529659908354984,0.026530632811443307,0.06368603941595967,0.028872361993283874,0.0,0.019509412080024848,0.048481948437340716,0.08100155386464684,0.029509852609449248,0.060459873674590894,0.07890155144841873,0.0,0.0020412186707705598,0.0,0.04466439679928545,0.043080553822979435,0.05777653543704157,0.02686910247052318,0.08853803220981918,0.0,0.0860966137757412,0.04921597334436253,0.08401404498175125,0.028051947270421675,0.05800618553894871,0.064052502229669,0.030458641904796226,0.02752471344029994,0.04917798834959494,0.06589681230847576,0.039459045170826976,0.0
cDC2,0.0,0.0,0.0017592385057694686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006266825400282868,0.0,0.0,0.01673941565458483,0.0,0.009525968822193769,0.0,0.014069524939313778,0.0,0.0087954023033179,0.0,0.0,0.036185809277478845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006549806445351822,0.0,0.023587511250022456,0.01688129766034134,0.0,0.018945241307638357,0.0,0.0,0.0,0.0,0.008518856895024825,0.00931572909626071,0.014392109770579597,0.0,0.0,0.010027326788198659,0.0,0.0,0.024680511400167263,0.002449825528977096,0.004419149965894102,0.0013467150409838978,0.0,0.0,0.0,0.0,0.013563563547758709,0.0,0.0,0.0,0.0,0.0,0.0,0.0064814514173557785,0.014332005918294028,0.0,0.0,0.0,0.0015814622015645108
mo-DC,0.0,0.027030540365750016,0.020964520499856035,0.032051408013344204,0.028988432744625522,0.0,0.0,0.03657564376331072,0.035318591483208345,0.0,0.0,0.013911322395479013,0.0,0.0,0.025460757552366,0.0005544698066687872,0.0,0.0,0.009418048537992095,0.011295105334930331,0.0,0.0,0.008812794324153488,0.009177716128821376,0.01672711987250894,0.016658810169413552,0.0,0.024582393999188597,0.0,0.0,0.011368925856396126,0.0,0.0,0.0025470645275717336,0.015882024022936755,0.010413979852651975,0.0054031163411554515,0.012306656557142413,0.0,0.03318271272619598,0.03576489660307295,0.0,0.003996205053735343,0.0200701964856165,0.0023027075486023855,0.042422139560411395,0.0,0.007729410012988408,0.0,0.0,0.04961054551775521,0.0008321381632280436,0.0,0.046346990414894935,0.0,0.021466314985263267,0.04124071810713758,0.024956908056821242,0.0,0.03701688309627342,0.03703323751695767,0.03891974992677348,0.0055223457676449005,0.009074624840170907,0.011610524898599409,0.030704439407566824,0.015547699447238677,0.007949918784879169,0.003838102556159827,0.00342232771010756,0.0,0.0,0.05073532774553628,0.0,0.014813290916769277,0.013421849506870176
CD4 Helper T Cell,0.0,0.05913097521793433,0.0,0.0,0.0,0.0781021012816411,0.0,0.0,0.13039273852919922,0.0236715152718035,0.0,0.04775369483200647,0.05735009337166755,0.0,0.0,0.0,0.0,0.06810377855808858,0.0,0.019950962869791478,0.11322659724331277,0.0,0.0,0.0,0.02215368559889439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014918580063691558,0.0,0.0,0.0,0.054527740924624826,0.005316739780059909,0.012998092986976958,0.0,0.0,0.0,0.0,0.0,0.043894020650642504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03242758684953205,0.0,0.009636742683953599,0.0,0.0,0.0,0.12935205630316185,0.0,0.0016315303354330795,0.0,0.0,0.0,0.03376428952588422,0.011298817923798254,0.0,0.0,0.047250495899194486,0.0,0.0
CD4 Tcm Cell,0.2185326976297662,0.19338526522566776,0.2157678659067504,0.05540911906238007,0.21182765734020212,0.05707693800536242,0.1628021372430874,0.26428637351070183,0.13265556248617316,0.16592455396713598,0.2513851217181496,0.06446346192701746,0.1563302628524057,0.2693253238509977,0.29112713536009754,0.20295987156282652,0.19049914642699836,0.17790099187752992,0.15071922103087734,0.2985441787803965,0.07221189819554401,0.2711218363321556,0.16110103758949068,0.19217811310646968,0.2262462731817054,0.2588183841877578,0.14617060786581226,0.2521744677429797,0.2556015315279594,0.12056758814646802,0.2309968822738292,0.286500355367722,0.17295450072069782,0.2781940304673613,0.242853543085397,0.26659872577605725,0.2799349282015134,0.2985842554769372,0.04760003295071082,0.29461387812036116,0.25643310717633105,0.25793357141095,0.23280090376699428,0.22060120468140548,0.18841392914287655,0.21266116373222477,0.2461961243656695,0.16170977845377205,0.1969286715585578,0.1756425351676674,0.16434315662880986,0.12911068550742982,0.27376077196601367,0.14989173140789014,0.15586156501855822,0.2341352500356873,0.17749348334333392,0.11404756086625129,0.1913870491329017,0.21493055294193977,0.2578453855686976,0.3240133820261477,0.21163192540362402,0.2518200220758522,0.15660590530196447,0.11435541076258363,0.21383292604295318,0.25166261067876616,0.19469262470575482,0.1291927366946036,0.18982478333253816,0.13625967869833785,0.16998719331047424,0.22318432789693696,0.25566699737033144,0.21747695132366332
CD8 Effector Cell,0.01905736293346769,0.02092897685455445,0.003865169414057194,0.0035724820190097023,0.010522581850247431,0.0,0.016136919246512282,0.015502491050580046,0.0,0.006266189902823134,0.0,0.003462651466039878,0.0,0.0026002483957449397,0.008932920026297874,0.003643889344868079,0.0,0.0,0.003172087830672029,0.02337380169197279,0.0,0.014171365967378304,0.0065986551113110005,0.00306475586975657,0.016673775350210387,0.006567766925095234,0.014254079172001926,0.005152803595206942,0.005086584192055889,0.004322213483649284,0.00037880071501376704,0.0,0.02208369069023499,0.01678134425215004,0.01800148302902051,0.006222671909424917,0.01615835916231353,0.00022801176756378992,0.01290133068173501,0.01152101679174929,0.005979112715879885,0.004092723800703329,0.014565387450110032,0.017389801783024548,0.0,0.007251982301279462,0.0029603498191264786,0.0,0.0,0.0,0.00656703433041044,0.009784661133714229,0.01324469432629076,0.0,0.0,0.00464155975567383,0.014669696856227056,0.0,0.0,0.0,0.0,0.0014726581335023844,0.016969284123408337,0.0,0.0032465970626920724,0.004774165913064161,0.008959297149144722,0.012966931453820855,0.01357716210083543,0.0,0.002182489497613458,0.0035552940039946333,0.0,0.0060996769261313505,0.0,0.0
