,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Memory B cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID003352-2,0.04393576839877045,0.0003147619696519963,0.00018513421228883903,0.00033034878029850675,0.001813495398201032,0.002220499192808027,0.04009395320979726,0.047505640976996846,0.008429875853441293,0.0048831724040910626,0.04724528485598689,0.03727985340821252,0.02204691153191254,0.010506973584702565,0.044718589177149,0.05498487534156094,0.003921400627071605,0.0005298746778427971,0.04044427201871667,0.025046838749989045,0.043717373526421785,0.0015530798289006718,0.006897891440693332,0.0003245841460490055,8.629113670435441e-05,1.0808381903304859e-05,0.04773830017566236,1.0914693093818101e-05,0.046506856504926204,0.05591112785140157,0.05584622817784642,0.05581409212987946,0.0224440973099818,0.0016342252321770662,0.007014482693426273,0.0002490649078130848,0.05653659008781418,0.05633516882057339,0.026027843567687607,0.001195539221171879,0.0032124133341677953,8.266560731440233e-06,0.05261937567786313,0.002903331049844364,0.003931922073972735,1.3954238079603731e-05,0.015018652861723582,0.7489468232169884,0.47422484980847
CID003353-1,0.0002587179889710154,0.001334283071922927,2.538831667284056e-05,0.000354189453042063,0.00761032526412766,0.015233063758653334,0.028589498159101587,0.00013045673073208808,0.0447921728765974,0.00042707899805517524,0.05239069655813466,0.04467457235990284,0.051866077084424665,0.00039518389572308567,0.001135085465773959,0.04849960340048337,0.0002889384469021439,0.0011240354402350875,0.053516816995587434,0.015329922381508434,0.03841823492579999,0.00041649574309238755,0.05134407182647155,0.020368730068859045,0.0010901207149092223,0.033101682221117756,0.037261633576841334,0.00024567864521449944,0.05364443899826976,0.05446146862065316,0.012393483816398512,0.00012571448437911288,2.2959890431871323e-06,0.006115260479695409,0.00036168311922397326,0.0005674106846886858,0.013235843347782114,0.0017507346735241437,0.026826662322636873,0.00042278490182212484,0.0541414762092194,0.006453211652783146,0.05126357231677191,0.05472441855966119,0.05452674829657849,0.04301042865452248,0.015749608503488822,0.7111221239244473,0.38412053541521973
CID003354-1,0.013617018951720648,0.00026368932091546407,0.0005927661902442728,2.340867884981114e-05,0.00871279345553512,0.00023799116443624368,0.04603942972318913,0.00020972706746099032,0.038295222986225445,0.00037526923343269994,0.01829644950816731,0.016260549792989798,0.054983400067611335,0.0002944928818556849,0.00026082568054215666,0.058403805546114455,0.00047787566386059817,0.0013433378179151792,0.02934719539521857,0.05868078822377643,0.013855363785931146,9.620024855430918e-05,0.06084599774216999,0.019038503587069277,0.001590101494220915,0.04276618443317659,0.05121285070213111,0.00015442907565705943,0.06043134285217116,0.060334079954583016,0.03895837496999134,0.007244678503226111,0.029169058612828428,0.004622248902960324,0.0003392713833609761,0.002635603591993775,0.009174261635535506,0.0017376777660843138,0.04289241591166238,2.1673840449485787e-05,0.00921758616959829,0.00767975400169995,0.0590781132586769,0.06056350465420395,0.0608912242260891,0.000122451735044991,0.008611009610868161,0.7418256904011538,0.46925078020875666
CID003355-1,0.0033407602953905006,0.0017278748198481784,8.414188723888228e-05,0.0031872132488688573,0.005350378471853591,0.010053437107290949,0.05072427412892329,1.966518104855422e-06,0.05014890555717004,0.0013495838453445764,0.05233002418444418,0.028148995766132005,0.02417765132254682,0.0001423756257384822,0.00018066570441094824,0.05288845622593021,0.0007161174935233496,0.04197997009307255,0.0537979095080874,0.01215208213405839,0.044461474438901555,0.000583568907101978,0.01292121612830218,0.015874938515669818,1.5694114394402184e-05,0.03387562798463602,0.053792096058364436,0.05381495561931466,0.052145210830650844,0.0301928513435012,0.002319909105120136,0.053740654238433425,5.962386981178404e-05,0.004191856203130688,0.00015185301666659047,8.344060182453957e-05,0.0015011687233976545,0.006331487126781469,0.01600556285061164,0.0028701637356263127,0.047720453909821485,0.0020250861633963444,0.052675498639715976,0.053706377103237564,0.053764704773625584,0.0005886951086453433,0.012103046951338011,0.7591839208537502,0.4313361399847072
CID003356-1,0.02879793471532161,8.426367242169548e-05,9.464355933291303e-05,4.757676878926778e-05,0.0026015201367237967,1.7146554690770828e-06,0.03656807866178284,0.015048710930997827,0.013914735106633323,0.00012741698045564925,0.046326044255708305,0.04815118349631414,0.04245196691063514,0.005632776906619548,0.04592727359738098,0.048996137159065783,0.0016788531806868343,0.049229553249334736,0.0348240972425477,0.017760788724608467,0.04559771604396349,0.00025650345784640255,0.011621220274959987,0.048559893561910615,0.001791907437518289,2.9683950736440242e-05,0.049001497924476126,0.000600075758927925,0.04963264789757803,0.04951429068783869,0.03971767486610155,0.047731474186432296,0.023598148533662107,0.002347885798898314,0.02577193927896783,0.0005342963614859604,2.6868420327840707e-05,0.0013095011011909378,0.031093705338487765,0.0009274389427985778,4.849708058038118e-05,0.0011097711989567598,0.0497619222635706,0.048640772046545065,0.016296356250007346,0.000102719079503586,0.01611032234589784,0.7197794944873621,0.4987456863974358
CID003357-1,0.01985873600596133,0.0010697110386170203,7.662546972917723e-06,8.616220820927153e-05,0.002431350395857719,0.006371618316583183,0.049689008355493704,3.0341816103209154e-05,0.04080363086094681,0.00026182734293855555,0.05204754006818952,0.051758916350210064,0.00152577423458229,0.048921102817610064,0.0005110865230017836,0.05460082678575473,0.010472630421777478,0.03767360649468351,0.05503746804319744,0.019977780198610955,0.04830842422911346,0.00021574676643397518,0.0007161321822139307,0.04362422976346818,0.0002841246730548794,0.009142956687179233,0.0549379236511228,0.05476619613002871,0.05433373523265302,0.04598855583485951,0.03514287693156279,0.018050102396517966,0.007418581040546711,0.025257266569032658,7.280346498686702e-05,2.2590759074163317e-05,0.0017440358077872083,0.0003196406189294059,0.008768295462369097,0.00017724236025830467,0.00011053478608785732,0.004836942787326108,0.05386636493547451,0.010465236292935576,0.05493241666573177,5.035553125722652e-05,0.013309907614692492,0.7255013028208905,0.4609666824704306
CID003358-1,0.031647624068092066,3.967530029054084e-05,8.765335397778244e-05,5.6857253339700246e-05,0.0030825584472071927,0.00263422073062816,0.033944489292397094,2.9845537712829147e-05,0.03351119249051574,3.9733938042105716e-05,0.0579761736210057,0.020245532272779733,0.003688737408091871,0.0213751786342124,0.00462345315064367,0.062036265318174875,0.00024337115292135254,0.0011015470651911882,0.062116186730895265,0.04284458146116622,0.003550533684705986,0.0012680270525558552,0.011800536115963219,0.008276585654271126,0.00262901979360302,0.009758449675055254,0.01042595479693498,0.06399837001267526,0.06707007590397561,0.06756462546368658,0.014927081126040465,0.04029679758356029,2.578200209886171e-05,0.002818976249765696,0.007303404400221901,0.0008970657932949443,0.02648715472766453,0.003704987859952644,0.04098565179149207,6.593275823937854e-05,0.06815946856390782,3.856574255979877e-05,0.06694663522302585,0.06315872240567141,0.021392463173919362,0.0005100059691404318,0.014614249248732081,0.7684684503140204,0.5426841366831423
CID003359-1,0.006857453017516125,0.00011015861107814963,0.0005854203018640276,9.70681793279092e-05,0.007096311732074825,0.0030610667703104485,0.054918071964745095,0.00012594197392827388,0.041073079596185245,0.00017288485962784758,0.05295212488925321,0.00012267807716928619,0.0004284300063296054,0.0002252808416167279,0.0008545703164892176,0.059214260586261634,0.03611530789295249,0.0509420916775569,0.007747261687310295,0.03146288481394668,0.04752611125425713,0.0013014564537792079,0.023199329714383703,0.05401024937822068,0.0007610980639025384,0.0011611357203039397,0.05328575743399077,2.733253434047995e-05,0.05694515411886653,0.05897421612398714,0.039616425240054806,0.00401534158991709,0.057173795663839296,0.017291530863058367,0.00015173929740465108,0.008330215926239306,0.008505082933773318,0.000696599425298336,0.03934897810806915,0.00022266048323772012,0.004723947480664266,0.0035680778429867236,0.04572577749327859,0.059188500165178674,0.055806937705302734,7.99577395122128e-06,0.004272205416169639,0.6896114632130064,0.4596367605845787
CID003360-1,0.020623813858175764,0.07535402222908862,0.0712459517379519,0.0003097154765978073,0.0010539488987440918,0.00018147877284411287,0.019849964260385475,0.0031862244450463696,0.002212162109768397,5.72236150286493e-05,0.07555044584557205,0.005950588135974292,0.07548269205333775,0.0003157834567832525,0.00022026291386131335,0.07532284097509927,0.01778998848106035,0.003453659354082073,0.05008672742408117,0.024351603245533034,0.0036613358856338414,0.00011016758840073569,0.0032026315431182167,0.0016850561148892699,7.039883178820327e-05,0.00011719840628091097,0.05430171734273834,1.2454957554133082e-05,0.07552657760089077,0.07415165077884672,0.024488130625249575,0.019038755984238438,0.001971160132145888,0.00985858346188715,0.000701166241023741,0.0006119766963019904,0.011100773844488912,0.015836141412442457,0.01709432898303559,0.002201136109397616,3.5876630067155107e-05,0.0036227181380556576,0.07223374967427675,0.02277054989541173,0.058577301221654735,0.0003197744432706459,0.004099590167895021,0.8071941798544964,0.3983867114769367
CID003361-1,0.023253015250261376,4.593639813011359e-06,5.7210935141661314e-05,3.316210189747172e-05,0.001490665403486069,0.00021697748209877006,0.033837821262328024,0.0015425382242644915,0.04385991557734297,0.0024753485825771628,0.06953031322190972,0.00647974840686638,0.06951418555089262,0.00191976306582728,8.762914459215574e-05,0.06950712902165973,0.012696335117287095,0.00014341387136906512,0.06705218581045237,0.006304768363059427,0.0012522837278465824,0.00020239920150454693,0.0002726546331556622,0.0009869528134949282,0.0003813116075884731,0.0001518804524913113,0.06475468631068176,0.00016912634252726758,0.06739328768739722,0.06994947224241282,0.0013506023268938963,0.04722613669023858,0.0005941448893433698,0.01128061417234549,0.003115725896818704,3.4955986187671255e-06,0.0021588501899955613,0.0013217581739993502,0.03548125953033094,0.0002169210593009167,0.0049176625535729485,5.394602011310252e-07,0.07043837399182198,0.06944876876825654,0.06448948284171514,0.06958565483395997,0.002849233970359279,0.7978645879656062,0.45078419343591114
CID003362-1,0.029768674127442548,4.031701114361527e-05,3.242742476974776e-05,9.503401988099712e-06,0.0010965920903998176,0.0008738328345187742,0.05002718357737591,0.00013992841715674284,0.03335116511521764,0.000554086905814837,0.05945872222225666,0.008714228299344727,0.06083707215590023,4.414831851469462e-05,0.0026959847652477686,0.06071086706114787,0.003964609584630271,0.002435031392257442,0.03983126093622553,0.03257436690559532,0.007398571114389673,0.0002568943064341536,0.013030772996370161,0.02728307887591347,0.0011335860630291787,0.0007080978158446899,0.004504206804267686,0.05255039382946586,0.05867095989136599,0.06169261816859962,0.034366373252051004,0.00579368928249301,0.05014232577322212,0.020457376154633406,0.007330773993912778,0.0020479721696799458,0.0024114976020876344,0.0014972582123483499,0.0373756339162814,0.00012319109072251664,0.00021534827018709608,0.004079106545799167,0.06167426858199462,0.05861846531676724,0.06154628624799562,0.03405465244084915,0.00387659873634643,0.748091202280057,0.45935380945006665
CID003363-1,0.01057942307013015,0.06938689588224768,0.06947350683343137,0.00023521950571401315,0.001519730604822992,0.0012724701995479282,0.013514995186148753,0.005618256330809465,0.003519681782659048,9.857824403208563e-05,0.06946655451446984,8.180325929478961e-05,0.053161357443047466,0.00021086772306667416,0.00014237667390515216,0.06924789679233505,0.0071611880724302005,0.0011310435236685057,0.05160588009809038,0.014235482860887647,0.00034297225974969754,0.00011019364146605931,0.0017767712899568434,0.0040638794087963824,0.0007746007504756872,0.005224186774519988,0.05493591661639229,0.0035586730432960907,0.06894066547096307,0.06893571611134405,0.0008833773766206246,0.047008632337590714,6.674710617417109e-06,0.004044297114540933,7.851926642912246e-05,5.515959603202197e-06,0.006386176946708616,0.037590099635159656,0.012280676004339141,0.0007898387487182459,0.06106290555094821,0.001655227033626376,0.06903301899171586,0.063566544311545,0.021901551549819393,0.015200919916307148,0.008179240578010819,0.7720618015450386,0.40254656364915054
CID003364-1,0.0183786225825341,0.00026939810166180686,0.00026794399292094905,0.0010303955965228213,0.0014908060828825002,0.0017780886928482678,0.036593491246970485,0.00019816109294210524,0.02289752696819881,0.0004550381422547669,0.05635004720633423,0.026325001786679167,0.056104339013195365,0.007923229765910113,0.0013153033542983518,0.05748079324896787,0.004516719840462141,0.02817629551136895,0.046271924002530176,0.03233905184610303,0.02328895720912582,8.880096555181414e-05,0.008749848827569339,0.041331341108731615,0.0003409435109558994,0.006616180792381983,0.057555025349541676,0.010217454893734643,0.05213747461857246,0.05614226461362828,0.057505807776707066,0.04431855188361725,0.0018059418303860806,0.0023387719285042296,0.00012161613869826428,0.00011424833684645162,0.014726055232693302,0.013282951476793835,0.02596518816839133,8.362177039506186e-05,0.00026562909683779703,9.494164965757423e-07,0.05730375590742519,0.056814006759564654,0.05750083669351727,0.003063828824109896,0.0081577687936365,0.7844783264782864,0.4788533344514797
CID003365-1,0.002361436950555577,0.0669927168470621,0.06655613785320823,0.0013403894121013405,0.0008325844481008615,0.001368787874358855,0.027385382547554966,0.0002011016754567812,0.0147566764799935,0.00043886774575225933,0.04820071905477606,0.006601157447633676,0.0012609813070584962,0.004596267539619079,0.0003706403050139191,0.06675040285841466,0.00029588368787269385,0.005989579833994533,0.052524191362268026,0.019203394671285533,0.01665874461683114,0.00012751600705013239,0.03210577041776752,0.0179580962027027,0.0012308504926183653,0.0009408117564019165,0.05543867847294092,0.0021372927330140248,0.06618813581202962,0.06685616843789692,0.03495768703622543,0.0028666582400116,0.018538539651340908,0.003898496610796792,0.0010752492495451622,0.0008664289166365177,0.002924843753813124,0.003380853501470456,0.037591628105339184,0.00011002736707054137,0.00019617781397523288,0.0021597095141929414,0.060214807346012734,0.06514895115486487,0.06699759559125229,0.0395246990320268,0.011878282264090897,0.7918766666803632,0.4209437985804537
CID003366-1,0.02924851462248898,0.0002960379997556175,0.0005844936228907369,0.0008886310798810253,0.0033305638619292506,0.003491027487058063,0.039861480710810686,0.022078529009744854,0.006924906581504941,0.0013505229242054245,0.05947657998176817,0.056465659048587004,0.004630459770340978,0.036925501544568834,0.002069448806419561,0.060186355674453955,0.05945047886935769,0.0025955675345451677,0.060108280705702066,0.026996054243639565,0.056014635615542,0.0019966538236660157,0.0018077584216567568,7.626816664765025e-06,6.446888670001047e-05,4.2331881262961916e-05,0.054053314289188754,0.05972980971459172,0.05820917447108613,0.03424191099536905,0.03999100292706209,0.05601559255144477,0.0024815206573744098,0.007640114025878474,0.0030767837285808415,8.662264485087648e-05,0.0016398265348516756,0.023530504342576405,0.00809428804987424,0.0010881060214303325,5.645737076638502e-05,0.000491341346424311,0.06003994045989791,0.017815134380048593,0.027240766000073,0.00010620846272911629,0.007479011500755864,0.7489066544845439,0.5124268061501901
CID003367-2,0.03005049298754781,0.043775372339942414,0.04492735633512188,0.000314338193844174,0.0014898026653390045,0.0021904596037992325,0.0432450458130996,0.0037427470007310834,0.032532566636455866,0.0026581165565074776,0.03570919085555097,0.043920545862169834,0.00032738991398916775,0.026923866551586722,0.0002855998946080384,0.04618842537399735,0.03274613379770091,0.03298501295990104,0.0403300333698174,0.036440825694233354,0.046295420674887205,0.029084439155544737,0.008053388207859042,0.0032340483532739307,4.9251962984858514e-05,0.0068111842054120525,0.027821732681641325,0.02413090799562849,0.04592981471018458,0.046277178590044384,0.012832846304666613,0.039569844672960264,0.0446534686742644,0.01906431674020396,0.003307742632273514,6.169496737731655e-05,0.0043678636095415635,0.011577087367342438,0.03424314703479323,0.000242103268096237,6.431822674489859e-06,1.4813101801085421e-05,0.045278759410675294,0.0176834215740923,0.020779895606768573,7.866250191665779e-05,0.007767211767148013,0.7351056598197133,0.4670721553398779
CID003368-1,0.030284535166111425,5.7684530065646295e-05,7.25488164176704e-06,0.0002440900554660913,0.0019786870431089394,0.0026329085386275187,0.04050173620259707,0.010205348748592295,0.04171865132292614,0.00033615215568093206,0.04226637325505587,0.0027786377921851495,8.231387699773691e-06,0.027164152308316168,0.0009691768929934054,0.03637347043340677,0.03786775501678046,0.03825895921079188,0.038682826559465006,0.04321100338849898,0.043036378857406556,0.020843315467805795,0.041972076660784174,0.003647656240589553,0.0006089045206673494,0.005611364344876783,0.04494951718204103,0.04471937667200818,0.045570934258599656,0.045641609395035615,0.017384737827015658,0.044582989873562955,0.0021171358840980864,0.002787496401059907,0.001685695491577258,2.7881138290908675e-05,0.001788154110299151,0.004740295054188942,0.038270890094339,0.01244166746633301,0.040580438066830114,1.493732334585112e-05,0.044305526370233224,0.04428450484027275,0.04473901891072068,0.00010412918386887539,0.007995733474137493,0.7452918575439634,0.5027509245621574
CID003369-1,0.027119639907510013,0.0006390725444975426,0.0012334704348840365,3.7111542835045304e-05,0.005692516150955468,5.8703034762816144e-05,0.03853019366539317,0.0007065827374433925,0.03334500741237757,0.0005078280068021962,0.036916453399293336,0.021717467832784915,0.0014488682353133453,0.01914908122629332,0.0006284715038152147,0.06330088381890357,0.00033604277861760197,0.04354423954684749,0.06216333618519988,0.023612806198839733,0.06260996464362806,0.0001500447718464117,0.0016489795332308278,0.003930119156969964,0.00031188247422900126,7.573812754778242e-05,0.048310165882306556,0.0228952720099559,0.05972132299565201,0.06374531444065902,0.028941560213768404,0.0049855138057606,0.03934286774659037,0.020937976242316806,8.224845083945727e-05,0.00021752542600050165,0.004397660121601683,0.0009628648685953012,0.013793353201298599,0.0006256259428503378,0.06245450927472328,0.01121252418291473,0.05759153526350817,0.035039802558551235,0.06379124507649718,6.665126799081833e-05,0.0114699561567971,0.733876846921173,0.43835432740520996
