,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Memory B cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID005093-1,0.028246312080231706,0.00015142463992217525,5.0428256448403846e-05,0.00018071093505310571,0.002889878298553644,4.7702696961331386e-05,0.04776320183647069,0.0002992054727392736,0.008734188550718615,0.0006690928529151952,0.04579392163532923,0.04225351233641328,0.049968589791823365,0.00032608087861202284,0.004091143764758524,0.05028538397861225,0.0180596069546219,0.047570825610056974,0.025406004036563044,0.04515842821186925,0.048430225923692886,1.4938249667085186e-05,0.0036040438026163323,0.01731483845372912,0.0007389089562669698,5.233434516527396e-05,0.03945268341001649,0.03145524681932987,0.05051721700352791,0.05015644497436766,0.04611323664353178,0.004764851765691994,0.048959767159171365,0.02109283995295636,0.049901404625861186,0.04381788810593237,0.0008401931414425563,0.00658583414956883,0.015369271546885279,0.0008265529861455767,4.049204634281825e-05,2.3400248892884163e-05,0.04834722322443369,0.0011738509288080606,0.04919529869657495,0.0005062731918905439,0.002759096828816499,0.7662872120949309,0.4660786398699718
CID005215-1,0.004155168888562466,1.0930405051391393e-05,1.1965808727486688e-05,0.004725388652388304,0.007892992736099728,0.00501642462311931,0.019441772280200578,0.06924912739602951,0.003641777853277055,0.0005136583028604205,0.06942365974200983,0.06864868202180364,0.06550343706009631,0.0020654391113832165,0.002894821324484085,0.05673929999150056,0.062325040313049446,0.016556702516518015,0.06991640007315814,0.006914304789265814,0.022671229366161505,0.05818973216077978,0.0003728360251345862,0.047674786862953455,0.0007737327459103184,0.00016888889732025753,0.022218840041787574,0.048064594500716526,0.00022237204703812468,0.0181441032458881,0.009289723903615123,0.04586247935423769,1.4912070928122325e-05,0.008097644088084131,1.321449047122729e-05,1.3305530353444842e-05,0.0003253091917644949,0.003246822190662171,0.00027767219875628115,0.003648822616624277,5.356659990611093e-05,0.007741090379906687,0.06927695349846598,0.016761390334653032,0.0679613393895612,6.290256572306292e-05,0.013204741813011537,0.6555974142728712,0.5046604707894041
CID005217-1,0.007173148341104957,0.0008645999410150381,7.069716713964347e-05,0.00011297031424884824,0.009896305717227678,0.0006760524643590903,0.05500955997211539,0.0011042311056804796,0.016456568417402506,0.0009639967071834259,0.062289585473552796,0.00228875242230945,0.0430976150126449,0.0012207514570410523,0.0004986494546670385,0.05902038170142628,0.018289091070400824,0.01003861256198468,0.0626796129932365,0.049622590936724734,0.061173223455173446,0.00012453711157688033,0.048550725556866195,0.01741775378873435,0.0008106520122261321,0.014752920062788286,0.027283910040135056,0.06309246085342632,4.5776547921068316e-05,0.0016184002739427737,0.02367991435713797,0.04125218702532528,0.0011442602566326078,0.028963277420062102,5.7335070832521305e-05,0.012105512101281387,0.003006504010378456,0.004275162077455001,0.05423828397528407,0.0001617901375868266,0.00029067175720412383,0.005197007083797653,0.06278187594861047,0.06251824543794042,0.05500681446939796,0.0001728385552467313,0.008904187381570504,0.7239555988899723,0.4717752531004147
CID005219-1,0.038716359580820675,1.633838538011241e-05,1.1283329796592866e-05,0.0005115515393529052,0.01485530504391653,2.8784603865423974e-05,0.04370321865407612,0.014370348834977035,0.00029986359906501134,0.0002864126524121351,0.01187425914308299,0.05591676740752846,0.05465768175420811,0.012921953386308286,0.05500293545832008,0.05589998147670257,0.0015311169911196142,0.0032447909286811923,0.00048292132810974573,0.05406842891027173,0.05670249097694049,8.59401922813035e-05,0.0003588427796062478,8.667570904060775e-05,9.555065105744441e-05,0.001953763524455091,0.04393196000905346,0.04414349605857302,0.04649120018553053,0.04793024657576654,0.054257750974366366,0.03389140408908769,0.001276941426101298,0.029818927201174922,0.05668056981640692,0.008556158269728218,0.002379986372732118,0.046802868549744955,0.028873426095353465,0.0175881773749913,3.282854521673858e-05,3.5621692205190343e-07,0.047906388238188206,0.0012901555741906823,0.00840363096043325,2.7964875846940467e-05,0.002031995749214854,0.6928219006121208,0.40167203252130634
CID005222-1,0.03994910125946772,0.0008753025760740655,7.190966265204374e-05,0.00015680633290198262,0.0027888085083244934,0.00036106389230911295,0.03321221479732115,0.04506723805762265,0.005712039459449964,0.0033132915660829816,0.021562708578231757,0.05896834491647038,6.554600304701208e-06,0.0057063403880650955,0.0001739788515993095,0.05857956067189189,0.059297479295164025,0.0016880480379239313,0.05536380589119416,0.05038232019255999,0.05408707945413101,0.0027999515591361213,0.0004815530730748846,0.010834004042210823,0.0032333453284625192,2.7194221658704203e-05,0.0438260063155871,0.04149959135019728,0.036029261738188906,0.058778730668154235,0.06072227032839773,0.05732777058671259,0.004126205369953172,0.008496275021180453,0.009980891820628442,0.000850621553161539,0.03269993627351241,0.01430404785925894,0.010260991053596432,0.0001479708725458406,0.0001719854555634698,0.00039875556122552866,0.06043369726580836,0.010090976609365424,0.026485554815941375,0.00011714367247984491,0.008551270594255289,0.7576667403048621,0.4837099629706587
CID005224-1,0.007583896062987063,1.4179137359043808e-05,0.00010420842539496093,1.943381134963022e-05,0.006137089997045433,0.0015057831106989228,0.027902636800205525,0.07354176197358857,0.024908372230435596,0.0003129984528677542,0.04006162276643622,0.00356470536354987,0.00014198681277324474,0.0008194598696956094,0.0009595884870023975,0.058648130989957914,0.001366504924318205,0.06650056760061789,0.03510678636271307,0.016806534627486682,0.027118597594174242,0.0006315210167095902,0.028078318089755,0.009530444660292266,0.000787176275790447,7.331081690286858e-06,0.051953151390009986,0.002933739197055861,0.08409996416523521,0.08529965459459976,0.00019941927233956854,0.004817913839503253,0.0014480551464563954,0.0029442255614248597,0.005080730076939941,0.0017981986385165922,0.0003649796238952308,0.002469598794428685,0.03893437450169767,1.1202068663039403e-05,0.08525228742231737,0.001985196684654708,0.08537164932263214,0.0824355590153099,0.0005831194872286347,0.019210067578098865,0.01064727709409685,0.799748743718593,0.41309163941494087
CID005225-1,0.024233723585572704,4.40157116198324e-05,0.0002534805596532366,4.741948407633661e-05,0.003931601581907171,0.0014783491291972277,0.03928229158327421,0.0032923877592131337,0.05333781907260829,0.0008629022888763854,0.05171367747306019,0.02787393165050494,2.9972247409379046e-05,0.00016607660160444026,0.0002909824602687672,0.05455898544411725,0.04297660013626812,0.01146401294131644,0.05479807490154361,0.05481681136772948,0.0459708567384529,0.0005051023091751731,0.010381719275241825,0.032789566098418196,0.0010377750146867736,0.0004930379973778631,0.05147302636146453,5.19102268118491e-06,0.04794938483858938,0.05449871160990445,0.020358384754037572,0.0412461721118397,0.05437596338193543,0.0136022667071403,0.0002128222315836927,0.00012035825120389245,0.0014596784146741822,0.0010233314831197473,0.028103455122097328,6.110128523033102e-06,4.095299722554466e-05,0.002862225947291996,0.0512804277420148,0.05417471311836947,0.05384771638746058,7.444210138719167e-06,0.006720489765530634,0.755319882997075,0.4634563620722616
CID005416-1,0.028154898814059023,0.001086143830905804,0.0016155803680123668,0.0003540917998680017,0.0018301023877239813,0.0034068607496467412,0.06854088531593366,0.002637673837175869,0.0014281551285338816,0.0004471417231630694,0.04978967228798895,0.0018758665269752058,0.07252671791312947,0.0017459740906534663,0.0032667887376109277,0.07571322834348496,0.008121902716995982,0.0016763600932470572,0.022192417668401396,0.0656569680837301,0.0116177859504933,0.00013898866728375526,0.00016624345130891862,0.028662822758553703,0.00039641952332639097,9.543109953008509e-05,0.06570562310765815,0.00708061979787537,0.07576481648808632,0.03647621714451813,0.06957773956973129,0.011526547681197192,0.07597072965551778,0.07568069410013795,0.0002563892771816368,0.009805243303533977,0.0004731897206689236,0.003842884398861589,0.0005991102131111799,0.00020804657252298758,7.314794182774859e-05,0.00021760075493681256,0.0701855105806685,0.0028206018976801896,0.0209832331108454,0.002413577776188264,0.017193355039514423,0.7362120079055606,0.4341313034963372
CID005418-1,0.006916132528966528,0.07687404567839054,0.07533017630014748,0.008215493583770528,0.0002019335160557048,0.00028213858448157574,0.005469440866641814,0.00019525105982041508,0.07644687952727283,0.023006361188876185,0.009596970650337351,0.03679044627034604,0.038531304996486306,0.0021150498253372447,1.5361208213974597e-05,0.0024368055465234777,0.0007336195416872003,0.002852191361147503,0.0012599489994208355,0.01825449176812182,0.011026828416358771,0.0013820135625464075,0.03705670420861751,0.005316873515483413,0.006853113010017232,0.009610118118328464,0.027372037555717422,0.03205810838599241,0.07288795217645203,0.07669564072716864,4.939894341563071e-05,0.0018230012492385353,1.3152742562294484e-06,0.001886235813444562,0.00010932961346892418,0.00027126603143776763,0.00019265989973636763,0.0021510792238121747,0.01530740472122024,0.0005429218326113562,0.07688608834015498,0.010086830271720115,0.05165939996597194,0.0770571851713256,0.07590582227721376,0.01889667360297411,0.0013899550892698446,0.7094656473831856,0.17922875862093746
CID005420-1,0.039500184599197276,0.00011003008723690416,6.278936778701945e-05,0.000240987606107058,0.0032520130251089243,0.0018644326239768915,0.016294973684502067,0.01438689241903496,0.00012760463947078017,0.00012720585835907772,0.0803826857377053,0.07750283394411207,0.0003093455647816319,0.003831905375692108,0.010095660506955187,0.08429283379980072,0.0038621953163178635,0.0006067349116211173,0.053471186034312425,0.03691234619932024,0.005485820583601102,0.0002963418047012673,0.0005833699234288827,0.0008260184655498324,2.792208665044794e-05,1.252913836825488e-05,0.008506814374713765,2.2372540415993256e-06,2.7289232900987086e-05,0.00425263235530043,0.07747548178372438,0.09123329003785505,9.38230279620677e-05,0.0037633918985760504,0.0158988006688145,3.5523976005572245e-05,0.07217213859039327,0.09095834891405288,0.0002941101521996556,0.031984837893173766,0.0649219230955326,3.0137292789189703e-05,0.09012830974525571,0.000877002136231066,0.001936135837336529,0.0009136315009277115,0.010027296928513953,0.662056067713308,0.40355580882717124
