,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
CD209+ moDC,3.0041057430278375,5.667760740354271,4.422539802947136,3.484316233708466,0.7785481783361436,2.105291214000725,1.760250096028731,0.0,0.0,0.0,1.5587354858909344,3.6097328718947304,2.9520926230645914,7.655895631473967,2.071714436152193,1.6491107667683986,2.406411224143614,3.839872536018009,1.6690862338782821,0.0,0.5914482149474294,0.5924712530438119,1.39511278321064,1.7877986195753461,0.0,3.119240652737633,6.476574535028852,1.237741430090275,0.2966227806469289,1.3366721060966849
CD83+ CLEC9A+ DC,0.0,0.0,0.01918591971740888,0.0,0.0,0.0,0.0,0.7739104214658441,0.0,1.3481821440118618,0.0,1.4301178362739022,0.0,0.0,0.0,0.0,0.0,1.2501683526447787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8633213739309177,0.0,0.0,0.0,0.0
CD83- CLEC9A+ DC,5.064401221824879,7.347765819235221,4.0489247726947015,3.6616208457426116,7.216619032576109,8.51274816073953,6.651668146327905,1.0958341478831657,5.797525352510688,1.6771007912561555,9.055283466831193,3.8136941148324754,8.67954956494489,5.92299869518934,4.882465658953982,7.785290230254229,5.383413406703998,3.066721659433787,5.090643765463129,4.228907011078496,6.989007856920735,5.13504130222004,4.399921517974647,0.22588458782684503,6.070177214285036,4.782115989518736,6.202393849038263,6.439318824478899,5.17034335308084,5.982475323978907
CLEC10A+ DC,0.0,0.0,0.0,0.0,0.0,2.7511223473079665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL7R+ Activated DC,0.0,0.0,0.0,2.2867490852778807,0.0,0.0,1.7905950932168397,1.5143090777863557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606177507362508,0.0,0.0,0.0,0.0,0.0,0.0
Mast Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17345990618337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0731163786125442,0.0,0.0
Memory B cells,3.3588910419748865,2.2468135236262716,2.5775236526494507,1.402369059963894,5.321383078130752,3.0706365906027466,0.4251544099439378,2.947810589547734,1.0932785688263766,1.1892915828584272,3.6378600258080755,2.1190777311299187,1.8783454141078262,2.5175721686006,1.6470446661739153,1.9225594892532654,0.0,2.9167137158668845,1.7636653541087257,0.4620138466961595,2.8348474388398563,1.8284786908150206,1.7411049722124785,0.0,0.7796801984372572,0.7575065214294697,1.787723464999361,0.7222951945593252,1.1056471953003963,0.5236922955929841
Monocyte Inflammatory,0.0,0.0,0.0,3.595777916400806,0.6713529047242867,0.0,3.47412649730474,1.6576085511102654,0.3405148990856315,0.0,0.6580311632134733,3.6264581373077927,0.7415046225932089,0.0,2.877427468480408,0.53933978098233,0.0,0.0,1.8678256289565167,2.0853505750598167,4.021600586630178,2.651140351052729,1.3441555694200824,3.462331617564913,1.6341671730913256,0.0,0.0,0.0,2.499104541710818,0.0
Proliferating myeloid,4.077236008278989,0.6838185759386787,0.0,1.234215403560193,1.4182141053754576,5.257586699889732,5.5436011067090964,5.609187366261032,5.818660421599177,9.669575071521521,4.214791172049929,3.715515259775414,3.559270067262626,0.0,8.29452654781658,5.665420576625867,5.429854638361134,1.9519021138539143,7.822252917223327,8.490931445384657,9.929927857413192,8.276337786796283,7.225098045045694,7.927536338297078,6.921138474356544,0.0,0.0,4.222443965440795,12.854231803865728,4.122214206410104
Resident Macrophage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
