,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID003352-2,0.02268269441228162,0.0818513539407695,0.0001402162218863292,0.00029487914564221715,0.0037912685290971684,0.0017837093724667019,0.026940034914438523,0.0007481399230000841,0.00021179808177293412,0.006799576206497826,0.08153852939793244,0.06572102201726251,0.007797183037864149,0.001142812146256302,0.04576874766979506,0.0005377986179446465,9.228176973795131e-06,0.004493847798613387,0.05465973007198295,0.0059008069646116395,0.00029636115538009456,0.0016494738963136921,0.00014917888274072505,8.197266471542159e-05,0.08174694125011375,0.0036559929319434185,0.004817204364804088,0.04748417066219237,0.0809560435290899,0.08135244667679521,0.0028545571334803333,0.004040272044654741,0.03279950460914846,0.00026214134516939,0.03759562151662963,0.07190761625928518,0.0009297715345364809,0.00031724134995766686,0.000575093443672687,6.467431217903354e-05,0.07590155338247882,0.0006554774689983073,0.056184161194839995,4.483517718357404e-06,0.0009046682260724732,0.7792572405505616,0.4483486825322949
CID003353-1,0.0005206121695986997,0.07508644484340968,0.07508437161741073,0.0008469431286827843,0.011415912473060917,0.012772444038740284,2.315104535822474e-05,0.00010549214633583383,0.00024656075495003104,0.0076451405931876465,0.038591636189787545,0.07534617641764091,0.0002583035895528807,7.213988479445342e-05,3.191853708596339e-05,4.4224742130804545e-05,4.9086632191029646e-05,0.0007377193155773523,0.07304891254431982,8.256519818822025e-05,0.07484862359083465,0.0005924113510778464,0.035432427225111224,0.0019161904384434254,0.06108208838357009,0.0014436707649409396,0.009206306861761887,0.07377854425384563,0.00305346200000639,0.009257590332363652,0.00011808954917595192,0.005654378370033233,0.00022815502639673564,7.522530343309962e-05,0.02307462125454975,0.004224392260146349,0.0016935718073920892,0.0002018263494193358,0.07103427367595715,0.007835110003631074,0.017464677059145565,0.07485219250990487,0.07531290107883014,0.0593314802869377,0.016278034401087424,0.6936884625835273,0.3597960225021919
CID003354-1,0.015197570122264198,0.08338502069891669,0.08332830234118077,0.0007043111116624069,0.012048859191158853,1.5686453748106575e-05,0.00024757899363291166,0.00019518167592897737,0.0001581577705970739,0.012002909572320615,0.07881090702797255,0.07171884833035742,0.0006056564133326193,8.766222866567886e-05,0.001089341863079846,5.4498982116663715e-06,0.005193492401954306,0.023801602782202034,0.00018561734673502509,0.00010355402498386088,0.06717531551754063,0.00021749162954421002,0.010193417589682792,7.499602687571138e-05,0.07671964375242896,0.003990783249956866,0.0010237590524182192,0.08355414717050925,0.0023612805406859347,0.04072077372981041,0.027182540377517172,0.005270860537313658,8.837080028715707e-05,0.00017112863810603878,0.021917197968871815,0.0042817589026993425,0.036615263857280166,0.00029223866056206355,0.04399837063454175,0.01202462965582663,3.695838338273799e-05,0.08334963598982077,0.08161723826017064,3.137651161601141e-05,0.008205112313645603,0.7007925802022817,0.30904979497082397
CID003355-1,0.006441031429646095,0.08549419847543915,0.05511387211667577,0.0034508574678261336,0.005793418675076613,0.000569393294783576,1.5021671919618138e-05,0.00020445974122196704,5.070334933018607e-05,0.0853679631404712,0.08089403207972594,0.03989190683595066,0.00041575273527991977,8.24763013159698e-05,0.00982679496726003,0.0001438910808577888,0.08120601146849254,0.0014081011552021447,0.08225744310728897,0.0005585154203526917,0.0011371152661428176,0.0022367846405913845,0.0037097842929303742,0.012833540524264385,0.08559037850054046,0.08564870188848964,0.0006642576449758597,0.07557658139652637,9.378309426963337e-05,0.06080191312030145,9.106521345583039e-05,0.002228701766645917,7.401016848648994e-05,3.397457560632361e-05,0.0009083606276614894,0.006315550373682083,0.0002581499590427166,0.0021266588525102647,0.02945858106921776,0.00235714529626048,0.0001636378670142541,0.0003190472112753121,0.08466557627080955,4.622433764148572e-06,0.0035162334314178677,0.7525230544714783,0.39812913375526127
CID003356-1,0.004957145684638451,0.07306030809110826,0.06216076495254977,0.0012033942691210347,0.00782608124667612,3.992254620801145e-05,0.00220721527264606,0.0010315125804641182,0.00030685535624771257,0.02483550880400089,0.07247346680231308,0.07259122621273446,0.02966221375321735,0.005968617158609462,0.0730753986607965,0.010780447983905386,0.0728267639291995,0.004285768569192201,0.07217010323393437,0.0006967409349921639,5.959394962421707e-05,0.013098038725600312,6.112419772737972e-05,0.0003911871373906842,0.056264213404223204,5.889147910621821e-06,3.2430413639066094e-05,0.07235588205211703,0.0050140710019988734,0.035527447614980466,0.0005910562524618084,0.002649395646643855,0.07168649703647118,0.00045161197299657007,0.008397982258500181,0.005225625107180791,0.0028026856946973965,0.002104057535441617,0.003788566331766203,0.0021743652176730646,0.07298772287245456,0.0006313720786091576,0.04453442937231376,1.8954367462288423e-05,0.006986344567560425,0.7362192429419321,0.38075048909823495
CID003357-1,0.018525093161863147,0.08680545381057715,0.08196887736119159,0.002468421503234114,0.00753826452803271,0.0033494431340253634,2.46700584467847e-05,0.00022293025607045855,0.00038310117103086813,0.08585349314991413,0.086790259088989,0.025992596617766223,0.016234614010380143,2.562791733253284e-06,0.05139857576447068,0.00023263265295429068,0.0019467844372633475,0.005797898007483249,0.08783810664095087,9.99890615089346e-05,0.0010337538454287662,0.007140299393740462,0.00117301370957232,0.004157643040241467,0.08373729682356341,0.08792032951278013,0.00019082067913895261,0.02583270943456792,0.003259469451632829,0.04310978802404488,0.007299564944648717,0.020782100771652087,0.001249474973028876,4.400731197123202e-06,0.009721414396105632,0.007468220318915668,0.0025439079253179327,0.0003731291355340394,0.021397445987422374,0.00456268735839476,0.0018789730152045888,0.007026434540591579,0.08789720757895467,3.2457558703676065e-06,0.006762901444564277,0.7037448045520216,0.37608723324450666
CID003358-1,0.01298119531052472,0.07843450179236251,0.08086625045312483,0.003732986379380461,0.011489698069354844,0.00015853790484239203,0.0026675749642620134,0.0011006911469831646,0.000884349489029117,0.07828541477688078,0.0781293449546701,0.07683183466399467,0.002632466236292962,0.0004725560231306844,0.0008941546034843957,0.00021895611574346906,0.025513386323123874,0.02830601463499746,0.0024459863420913243,0.0004424146899487805,0.012472846508551284,0.000576168834332186,0.01206122289716445,0.002271946442071959,0.054953818363596196,0.0588657386122167,0.0024842590702477043,0.0782111990352298,0.016479840750835747,0.046387251048239174,0.00025604585862532014,0.0035702359721349404,0.00025325367063993627,0.00019037542990421022,0.01789226741004057,0.0005750674298873565,0.0021049498238390665,0.0019194069485956734,0.08093596607705997,0.002180606324147685,0.015408327646774992,0.01863667737845182,0.07809450123849974,0.00020886232707781197,0.006520850027613391,0.7138288270236333,0.3648394762191358
CID003359-1,0.00409591785505309,0.08482622320007885,0.08650031428620626,0.0006178182767682052,0.022047413531476677,0.0031195299957606495,0.00128451639358167,0.00023205915689109146,0.00037015340182612166,0.014810398076643956,0.047704145858659154,0.019503574470680504,8.571800813620927e-05,3.790077922900977e-05,0.0009423798321816633,6.204038826073874e-06,0.03426091979179984,0.016478347349093255,5.1203612327982614e-05,0.0004112039916761319,0.004841810299011895,0.08160206866090391,0.07635127338668912,0.0002912826228944475,0.08160290177910359,0.00044662672193858654,0.0005284015910167495,0.07229038929071362,0.029520476769170436,0.006242101271582596,0.08554134664131235,0.01720222062802156,0.001083810021675852,0.00034181257858074027,0.018781005556905882,0.0009363612401747948,0.039145242367024234,0.0012934600508276084,0.019641722936010842,0.0033497274207012675,0.006312002366095372,0.04140651025294332,0.07099171269605356,4.777958762731616e-05,0.0028220113561240765,0.6676196214560214,0.3055831531853668
CID003360-1,0.017776108121184908,0.07774293280739948,0.0433120968207548,0.003601150481638842,0.00890725514070369,0.0006330511639811009,0.0038383192485194092,0.0006913504595180657,4.6884496263510585e-05,0.07605930943824707,0.06669182227262735,0.07758201009669607,0.004690508831600801,0.02347154010066773,0.07791503191941541,0.00037843077111124915,0.046751764902420216,0.009602492137895673,0.07655795669116253,0.0036875093128112503,0.0002032742566142778,0.0003076722692603983,0.000547708076971882,9.701110777209628e-05,0.07788288010914193,0.005996599282161067,0.0005085103221044117,0.014476611895723811,0.013580338339114637,0.049528545887469556,0.0014700924538429648,0.011968198436878094,0.0061716336253676216,0.0005450861110573437,0.020014722253344244,0.02173702456810252,0.015396701730016392,0.006736865358647854,1.9795355865091653e-05,0.006210619033189327,0.054057729352197444,9.724082719111065e-06,0.06968576237742252,9.943973649278111e-06,0.0028994245267468122,0.7987942135962527,0.37832133660095724
CID003361-1,0.010683553746301509,0.10184541911814801,0.04538638183370474,0.002428937306393777,0.006878336140105823,0.0005673832815116895,0.003508694962302192,0.000733971471092952,2.4503577983691228e-05,0.05363092300919129,0.1015343980309233,0.05880504348127426,0.0128470136393975,0.004548526720541866,0.09781458077248638,0.000384870321905688,0.0006501121527069745,0.002772376472037122,0.0004799502728010274,0.0025117214305177813,0.003277611253302032,3.0079567024862683e-05,0.0020542157357346567,4.899740716303724e-05,0.10044463110541328,0.0002837055788522872,0.00010069974105028127,0.011404187497218821,5.920543952525102e-06,0.042897450784618665,0.00014488886928748553,0.014874096181095016,0.008723384504574846,5.46252804357596e-05,0.011493968296656878,0.007788260326513002,0.022554745489544295,0.00010911831191312797,0.0005201245157320334,0.0004032236683749816,0.04239435386364269,0.027685813315485475,0.10186580214852432,0.0916515405178581,0.001151857754703945,0.7941516274688973,0.41019978551467395
CID003362-1,0.0016238580086146846,0.09896216897725542,0.09865221548869584,0.00216765295577888,0.005998455685927972,0.0006931378219851971,7.8258769417545e-05,0.00030523525140619805,2.9325882946360277e-05,0.00044251221058316125,0.09402255295466427,0.09795460929606678,0.004111963948433177,0.001238223968776403,0.06615090050960243,1.7001928085936274e-05,0.004531565639773533,0.013048507427850183,0.00019141560409735039,9.134028784235723e-05,0.00011861987106172673,0.0010559049819014344,0.010423004433999619,5.6408840406504376e-05,0.0030734623091097906,0.04362127977813314,8.867097694700524e-05,0.08430534920450962,0.028153771829718968,0.00016187289137409077,0.036541609766668016,0.012340986919882762,0.011672024956458077,0.00039830895938830626,0.002310735223934839,0.00034345975524391223,0.011940049484463679,0.00222997171515159,9.082099550409644e-05,0.002364578202319349,0.036699645018893126,0.0992598549269054,0.0993118448336216,0.02258961986882625,0.0005372416377736366,0.7248054906369257,0.3244713017479164
CID003363-1,0.0022017596006369752,0.0893368324971111,0.08910783900713373,0.0005014005539199222,0.005104784610953944,0.0010825766368218425,0.0034648531515368095,2.469386329548446e-05,0.00010120146316175211,0.012588946525397613,0.061290241274647474,0.052468934066492806,1.160024876696494e-05,0.007612835532808966,0.087653307412551,0.00014631922571206553,0.019365254646643792,0.004691797707801417,0.08737096580006322,7.235177782048177e-05,0.002349248519546773,0.00025906799865676414,0.00782067819838434,0.0013827748580390365,0.08912120022614928,0.006455596185777972,0.0004948701313144683,0.06388734483059226,0.0009709080133695018,0.051173451627520315,0.00012421489476077913,0.0032338269718513416,0.00010843167702014843,0.00011774867666644943,0.008792050544690929,0.028378792954040964,0.0006543441579247896,0.0016501848180232599,0.05588709401496443,0.0024296065843739494,0.08938645059190889,0.0036405531712795183,0.053715576757652234,0.0010125151851322406,0.0027549728070819087,0.8126670011640704,0.3952917543181076
CID003364-1,0.010971215741749777,0.08544435908511856,0.05961408083507147,0.004072503432464056,0.006036020634328693,0.000895963810737882,6.853766770636014e-05,6.393615556917954e-06,0.00020461789118414724,0.04191070956762236,0.08402000940314289,0.06863031404145112,0.037262437050133226,0.0004805881579025697,0.07918332039466676,0.00024118413492686498,0.0001641702388486497,0.012944013878881333,0.0826726513634733,1.3418829488865642e-05,0.012338605242566004,0.02064065403973515,0.0002131003631499691,8.529680590661105e-05,0.08517626836854439,0.004499422599183844,0.00010677794350482716,0.004641309781946669,0.07218011445977851,0.08554234382166573,0.0004503250363483014,0.0014383436178931938,0.00026822406960915537,2.310292282872093e-05,0.004418518635921786,0.0006007194988814295,0.00018121271658206713,8.523458475770583e-05,0.006653376943074416,1.784971716508252e-05,0.04848751166269268,0.000756821680479165,0.07261563406686719,1.1997234444491851e-05,0.0037307244120170285,0.800760981586764,0.4058967167280174
CID003365-1,0.0027170607753468703,0.13771968108957713,0.13418576305482074,0.0007460131601101948,0.003974386232218739,0.0005023386207071235,5.762193973102316e-05,0.0005138713292353058,7.683862498124425e-05,0.0015255817173945555,0.13757416210865103,0.018400935197889236,0.00040141698405671386,0.00015161573490761032,0.00012933328309530412,3.348453521255562e-05,0.0009656659701729614,0.0059093964565863615,0.00024758274255137986,4.3576738299997396e-05,0.02565596691684932,0.00023128722013878643,0.014819642424912276,0.00024013038415751813,0.09860363247413712,0.0003328974731093328,9.582865435760276e-05,0.0018114579582136337,0.037004986480286266,0.04898023827261833,0.00793283316636388,0.0039228503214153955,0.0006159559244848901,0.00047268126781059653,0.0011274527232292273,0.0004499677587432667,0.013681124435678696,0.0008645622967982415,6.297904287857035e-06,0.0007420236398556432,0.022831109234809275,0.07572417525427635,0.13743672021299022,0.057305064518140485,0.0032347867867897552,0.7835338629343246,0.3193200604129751
CID003366-1,0.019385714460959998,0.08777619740908593,3.475882688038818e-05,0.0006460623336731117,0.012982096871315766,0.002322288744459573,0.013137107940075669,0.001059061454175952,2.20446100104205e-05,0.089394889432177,0.05962605194358453,0.018069604471296862,0.008300234029006889,0.0035413050053713885,0.08376172282492438,0.0006813926192941788,0.013905284621288342,0.006471843151729042,0.08746625587024787,0.012372955484261537,0.0017941513725947432,0.0003233852107166692,4.302916058112444e-06,0.00023311786393904693,0.08947134798624308,0.0893318670351724,0.0019167878992383933,0.03660647681962579,0.034400750187821585,0.05668886212796009,0.0025493337597095466,0.009466611722133126,0.007655618358628338,0.0004540556283508003,0.0014705286234344397,0.044846279416843216,0.0018238441090727016,0.003376320846367732,2.915659950573873e-06,0.0015927206642739515,0.007034211910236558,1.7815149284032318e-05,0.08651449702886532,2.0742984320832334e-05,0.001446582615340064,0.8001119094965633,0.4665032112313259
CID003367-2,0.03414215188334901,0.06468138474458965,0.045245228522473334,0.00034972305831154464,0.015131166688401232,0.0015206889819984644,0.003991444076689777,0.0006495632812071509,0.0003417401539951898,0.06425788953489905,0.06260765945048324,0.041475789677162575,0.029428567736343704,0.00013789516025145243,0.06409204377444762,0.0019904741196913067,0.06396600575087388,0.015819745847428103,0.06459973991353228,0.033363860249699714,0.0001877122901941241,0.0036474369268053425,0.0017103945494615649,0.001070578266885806,0.06367788083250292,0.019232339476295008,0.00012975125643247334,0.04358325547977468,0.036193046200333645,0.011981797702575528,0.020871519163981812,0.018967172464776177,0.024379041682942994,0.00010600365925835988,0.00024323258350262533,0.013063475112079266,0.02643971944200204,0.0011015179631537646,1.2618389847259286e-05,7.157726474496796e-05,0.032256218203629186,2.082043508576169e-05,0.06350177893664391,9.87554190907475e-05,0.009659593692171774,0.7757813787557514,0.4104768900818129
CID003368-1,0.029742098847454115,0.06189690070006109,0.06225968372170074,5.362558360418408e-06,0.011724582589405405,0.0010755333674267902,0.00509871265119174,0.00040063078401502154,0.00011682699661536597,0.06218621151889618,0.062419343290647286,0.03430269817373825,0.0063204253070983235,5.1340894743588424e-05,0.04224874180361569,0.0003570125920306586,0.060619824601188546,0.014373729074752775,0.0624267784601294,0.016586497879102474,0.038528523701701935,0.00043339701097710694,0.003935616815312263,0.0005358308871722183,0.0621308523539462,0.06152055312580457,4.663368818751397e-05,0.018269063724332856,0.0067522659616515756,0.042197718809584985,0.001270440377548566,0.0022756017316954698,0.007176301082488828,4.125742603708273e-05,0.010514104705000922,0.02091452954217932,0.0037554946761042046,0.010321601766016333,0.026908578517682812,5.671846880847025e-05,0.040445472118267295,0.04264618194854398,0.05948895807729217,7.30100942800998e-05,0.005548357577209377,0.7834790106353359,0.42395306235009844
CID003369-1,0.015657745071053494,0.10147058738113938,0.008230182669140657,0.011284556931360856,0.00925473402673706,0.0001747298181135268,0.0005920199834292872,0.0016625427719321178,3.42283494286121e-05,0.10282641069019524,0.10255493277171777,0.02249424501772705,0.00469567012315302,0.00011665734042350775,0.03346003421009655,0.00011566126051666646,0.005149425692338433,0.010018499376042262,0.1018936904966192,0.00031792361124451834,0.000963535538858381,0.0041658192477902955,0.0018369480730307198,0.00040218901720845353,0.10166350157518148,0.01064602026707846,0.00010727221446706703,0.016396893450217966,0.03402437781675212,0.0060018059368449886,0.03154086344939854,0.019476631171060042,0.004923024580470535,0.0008752374362761499,0.003344068308076217,0.0021976514162891756,0.009401355107895514,0.0019241075230473073,0.0995972983397429,0.00975582818064576,4.293221263423063e-05,0.00020429065649120418,0.10067069787387217,1.0947714558732233e-05,0.007822225299702066,0.7306473205708746,0.4011167474874311
CID003370-1,0.01080718302350282,0.07194384851937353,0.06565246487455524,0.010718633522388343,0.009774695228656028,1.3843247093591454e-05,0.000740411548691048,0.00010381225468773047,0.000188620186105066,0.05524679674281107,0.07165584853703819,0.04582766731795688,0.07169179220543748,0.00028530546636628274,0.07113925718805299,0.00015764537996741028,0.014639762729794259,0.005138545134721145,0.07159784382391944,0.0036574803334316385,0.022929950308392295,5.2224820405328985e-05,1.4425474843203682e-05,0.009871488109533954,0.05683938561594592,0.07196944760051868,0.000351078666514243,0.016222082637063522,0.006778893214528032,0.007869277127780433,0.0020417777355603373,0.008112141905803623,0.005235009204904663,0.00036067234241138866,0.00029545442579189004,0.010778474324978924,0.0004806381343849478,0.00504647335414883,0.003685936381439928,0.0012168514495312346,0.07083701673510194,0.060320427781885996,0.05338487865783877,1.9141456092699875e-05,0.0043053952700494716,0.7560141820604516,0.4356033168106743
CID003371-2,0.013919136504309756,0.08923881343365532,0.06933108318695788,0.005901471392569605,0.008963442835025422,0.0007511943904542485,2.6988681448278885e-06,0.00012196867699693794,0.0010746101504897061,0.09081871634358098,0.0882362628228577,0.029182274661527213,0.0018903868705910294,9.861566170257417e-05,0.03571083932682653,9.31695737494312e-05,0.024406268656037084,0.007789714404032646,0.09004107487602127,0.003242591764457459,0.0005051622770159036,0.0017250820483936593,0.005723254856164751,0.003891114388265808,0.07921865015722701,0.09087494237408271,3.900733493285915e-05,0.028573723205504647,1.551162753830269e-05,0.01812357021101155,0.05867126675361833,0.004847515009507385,0.0001675756883399801,3.1301657479380846e-05,5.372219043843314e-05,0.011711469151999727,0.0032102540591168447,0.00299428153601274,0.00045446328678337103,0.0001137166377565719,0.025510773185057064,0.0066603379882848295,0.09080117052024896,2.56229992995484e-06,0.005265237155301541,0.735003627163558,0.44429808552049144
CID003372-1,0.01503998937990591,0.08162418838331217,0.0096819019542295,0.006449016352482859,0.013131211209112547,0.0005585148430842006,0.008585925814449339,6.980297155118562e-05,0.0007569668137888048,0.04831700956214475,0.08144035535393479,0.02111216021985208,0.08027935520564045,4.360317962333586e-05,0.0815537668830357,0.00040050369747848336,0.07852336385704037,0.005436468302453371,0.07966367887355892,0.0056030052154751875,0.007585833739907267,0.007402454361102062,0.0020285601180535322,6.021475395022482e-06,0.08146389851086752,0.005891961182178662,0.00017279353687988001,0.034649683198180514,0.034138537918858354,0.013546845688722485,0.019295076732764836,0.002970505299487615,0.01817635119480315,0.0012076793772199832,0.001760547914138671,0.002747688237154744,0.005301642717158094,0.00012240278635946997,0.005510449686775887,0.0003912364513076682,0.07882875850373872,0.00077875219049324,0.05150349861665406,7.423638123036953e-06,0.006240608851521708,0.7326080966619384,0.39567423442680183
CID003373-1,0.023077228646240806,0.10372224119312558,0.003772129786796748,0.0039760530456969196,0.005973603500802027,3.5733173880417794e-05,0.0003014306784858148,0.00015562428468814373,4.001860858995559e-05,0.031683234524934004,0.1054065443686312,0.01267882330096632,0.009813002961653274,6.559885007015171e-05,0.0005821033136594831,0.00018413333048250994,0.0805692220598639,0.010249006579696456,0.1083462173415791,0.0003624310968162407,0.0019383675228667383,0.004122418008913227,0.00264111429806739,0.0001271690839807104,0.10863551468960836,9.264355808524534e-05,0.0003492909342405322,0.011636181544908876,0.002481267372777099,0.03709205846432625,0.06887382394058861,0.014747279420049596,0.0005831560904259614,0.00019912379063700004,0.010797063974791998,0.0016940983902193085,0.0013038746571582408,0.0015625706206143768,0.10821021943860035,0.004311086290789538,1.971463691521016e-05,0.0008818899671055037,0.10742425960311369,7.331055162987104e-05,0.00920812250292705,0.6972141769049436,0.3935080787904395
CID003374-1,0.0022089780218246067,0.11938326431257228,0.12543523358562803,5.72337219983889e-05,8.505372950157838e-05,0.002549845394429972,0.0026809497727586424,0.0006737172135035645,1.0534807373396521e-08,0.0005855985722007857,0.0983392858416933,0.008179306311168595,0.00018158862283883844,0.0002576837108248857,2.9446705688911907e-05,0.0001530907262924206,0.00015245245069696694,0.007303438181019827,0.00044023235855878074,0.0003442958622513052,0.005267469703327251,0.0002832158729383427,9.821592658708426e-05,0.0008494840253070647,0.008845107813115415,1.9886629635052435e-05,7.450667504721997e-05,0.12569507726620055,0.002013523374483946,0.013429636294521359,0.0004885485476405381,0.0034833396858475526,0.00010337259808514358,0.00018579244296327383,0.001999829709640253,0.0029746112328452763,0.018808966087668428,0.0003174942838649943,0.12290330322190215,0.020188479569872603,0.0008237695994226203,0.125752463374357,0.05268818908597355,0.12364584071968963,1.9170628804896316e-05,0.7035527898181989,0.28672340230068327
CID003375-1,0.005651885222002969,0.11644088934079405,0.12825782241719705,0.00041254116851439297,0.003370993515557331,0.006424859396543325,9.081437832387346e-05,0.00029459860677174654,0.0003535667379926561,0.053844875754290235,0.034389086672238,0.08068366371713116,0.00010267168353555623,2.763945562442969e-05,0.00023018977263506555,6.314490341400328e-05,0.0007457575152131641,0.010962492918016094,8.433609727534408e-05,2.2053788129815e-05,6.525311049500392e-06,5.4529151243647834e-05,2.8835660035912096e-05,8.399849900279598e-05,0.04103428173448442,0.0007713850790578065,6.404994245854232e-05,0.06294608389275066,0.032100290375942496,0.03065414614846766,0.030880283832501916,0.00893868699206886,5.041034560005025e-05,0.0008163707129269309,5.5705347383782414e-05,0.0010461075300192927,0.022750120318351094,6.059039889227836e-05,0.12867647831337262,0.004278628329721464,0.020228180765508485,0.1287707918095665,0.04019612202298096,0.000177659303660316,0.0028758551217516197,0.7469748949764615,0.3125054261994099
CID003376-1,0.018815124546759935,0.08601207484504016,0.07371145464315773,0.0028972981345559497,0.009573508620584299,0.007044643568719375,7.127620413567723e-05,0.0009066980833559575,0.0002146782674051877,0.08511628159148396,0.08549942892708502,0.08483725935018585,0.0003825527439929734,7.289162272787398e-05,0.0026797132678259097,4.62493456930415e-05,0.0005748079869557023,0.018591062432088457,0.0006855196280262035,0.00017554080682469027,0.00042767853786448875,5.42462715925807e-05,0.0004184789563665427,0.00028049403541559423,0.08093494518398885,3.367018120362817e-06,6.18421932270487e-06,0.06644552281816556,0.039518489476112986,0.04285103946040866,0.03414589843134837,0.014283323491316946,0.00012916841882040485,0.00043101237401174,0.0019315274409121175,0.006506305498040864,0.023476401040604864,0.0021110993376686478,0.08593677786560319,0.005252093503758424,0.016457050449189305,0.026931512276032486,0.07122819870900551,3.790799935443948e-05,0.0022932125703704833,0.7310429140152346,0.35728875160825013
