,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID003352-2,0.01069631838407982,0.0015635492048640433,0.04507218576122695,0.5063170600355502,0.11885469152638997,0.317496195087889,0.8449224851532754,0.5623105662901878
CID003353-1,2.8539857979490828e-05,0.33093181555975104,0.000432304280656885,0.11338640741484965,0.23299891320562735,0.3222220196811356,0.7667910357651718,0.6988592378755789
CID003354-1,0.004916695615452611,0.21860431487043944,0.0036336108504354298,0.25965784045954565,0.17005705607679192,0.34313048212733493,0.7167691650651292,0.6469826611968365
CID003355-1,0.6275187173104777,0.0623763974520651,0.02171346635685031,0.047157217149181974,0.18836243406075714,0.052871767670667785,0.7340865419833994,0.5537471821275262
CID003356-1,5.917419200040324e-06,0.06633321198297823,0.018420961851209512,0.22426598712410534,0.3554842247515897,0.3354896968709172,0.8524375400384369,0.6485038667667635
CID003357-1,0.3415610537751922,0.12169167743914427,0.04847357042277599,0.15547592876042857,0.3158903840637736,0.01690738553868538,0.733220674397145,0.7018154898910364
CID003358-1,0.061247991446136844,0.07993492576358685,0.0030167120815369044,0.2073058381757028,0.12942537076873295,0.5190691617643036,0.7638265956648916,0.6535495709797695
CID003359-1,0.033422370488021234,0.1263296979035181,0.0007135285785099749,0.3436287002755617,0.2508599840423451,0.24504571871204378,0.77801785715265,0.6388846172355552
CID003360-1,0.14920915484361325,0.08756206010608465,0.04128576592059999,0.35009256397811966,0.23519278573592123,0.1366576694156611,0.8429930467762325,0.6747593444577626
CID003361-1,0.07068061754017686,0.09618471515064846,0.025703133144861754,0.2884687143474322,0.1329997094547434,0.3859631103621372,0.7823746312684364,0.599554426657223
CID003362-1,0.01162265068805576,0.1409372854566319,0.0005362059280111681,0.32409803665255854,0.13190666598828554,0.3908991552864572,0.8074482169549435,0.6410918929288626
CID003363-1,0.12714300382759447,0.07869539992668112,0.013220420742648273,0.22332949285022555,0.1544733004959327,0.4031383821569179,0.7479053448208647,0.5734076816343886
CID003364-1,0.12265667912882434,0.056553414338329916,0.02759794236231551,0.35090695135040184,0.29375775134008597,0.1485272614800424,0.8100685776753463,0.6280629165299916
CID003365-1,0.06195555696737052,0.24295510284671235,0.0001517116330176225,0.30947687691138,0.1703704497995609,0.21509030184195857,0.7328172479847499,0.6536922432611838
CID003366-1,0.41758981602644824,0.015783920582389466,0.09143832063104033,0.24298208515697808,0.20603561431203418,0.026170243291109722,0.8831518257527227,0.6874128347540579
CID003367-2,0.30509430857145864,0.04967057909017979,0.08640307700157007,0.21520500124344175,0.3014770181803643,0.042150015912985506,0.8763643067846607,0.6863748575000542
CID003368-1,0.22416661926920262,0.08205239434247988,0.060310983884874825,0.1929467248922395,0.2527905663356872,0.18773271127551594,0.8473998414616715,0.6647787546562856
CID003369-1,0.22890981781899736,0.21688405243754227,0.11118469074297624,0.23563187203907632,0.20679755050879695,0.0005920164526108098,0.695989230742594,0.6509150886973514
CID003370-1,0.297652172603595,0.05545229762462844,0.05243002310003422,0.08102119912056749,0.27118983087561677,0.24225447667555808,0.8352791824694479,0.7082231503115334
CID003371-2,0.4422624788205715,0.05069183192049332,0.06417510501509183,0.11115027700147517,0.28058380742846767,0.051136499813900345,0.8348316230669173,0.6925711688786075
CID003372-1,0.03989272639408996,0.029739263448859785,0.06537491794196655,0.13797511196017545,0.5460416561178814,0.18097632413702686,0.8377408248479965,0.6506299918708851
