,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID003352-2,0.231396037682334,0.05715382279119396,0.06682366453819383,0.5115126204241424,0.13311385456413583,0.7944402447171337,0.6102951490141998
CID003353-1,0.14025410554603612,0.5563508103164776,0.007581915344744927,0.07933119838928143,0.21648197040345998,0.7554185351270553,0.7024334260477103
CID003354-1,0.14401571320408224,0.37041387395084313,0.01261473091153036,0.24725873812411345,0.22569694380943067,0.705015153454645,0.6612675465106292
CID003355-1,0.4571720080073515,0.14091776123008432,0.038156563470007204,0.06557076913640655,0.29818289815615034,0.7366828820136501,0.6587584434223344
CID003356-1,0.25358563051004435,0.1185618794698622,0.030621143425335378,0.2052891091180697,0.3919422374766884,0.7874883486971275,0.6396053508435112
CID003357-1,0.36887154693035984,0.11206699194990632,0.038546474786170785,0.13534635373936277,0.3451686325942003,0.7530623512938149,0.675018536406809
CID003358-1,0.37204074660000214,0.2463060453997274,0.03506359151376332,0.16590526718909412,0.180684349297413,0.6864997542865778,0.6641809998502891
CID003359-1,0.11577915783745843,0.18310786752258038,0.0020358730064744396,0.37059800105078566,0.3284791005827011,0.7465283364309689,0.6197927195923043
CID003360-1,0.38150919431467656,0.08511056422396393,0.04045713212800315,0.33264650835391363,0.16027660097944274,0.8487860834710453,0.6656086195672777
CID003361-1,0.4333285001079085,0.18799434129063375,0.036509536010956974,0.22494340213896008,0.11722422045154057,0.7467204036426286,0.6260576226536179
CID003362-1,0.3283709629004743,0.24110285012087737,0.0069960610591867315,0.2743024682621317,0.1492276576573299,0.7778517972303703,0.6606095164404923
CID003363-1,0.4959490985501522,0.1747531874650767,0.018156424098293475,0.1820525435561995,0.12908874633027814,0.7310722196828522,0.5870798961311748
CID003364-1,0.22100004392051753,0.11749211427897023,0.033149315511198076,0.33304531526817577,0.2953132110211385,0.796966685822687,0.6324434845105952
CID003365-1,0.19140390686200287,0.28884463547350503,0.007024151004797284,0.29782422646040524,0.21490308019928958,0.7367171713624092,0.6671093630720405
CID003366-1,0.5962627395442688,0.0210470410447928,0.06894819614177737,0.15690833814320831,0.1568336851259527,0.9083530239594382,0.6394700708069052
CID003367-2,0.39933959189457496,0.053224139696823866,0.07986472621938648,0.2094361505404905,0.2581353916487242,0.881287444271708,0.6818353506484978
CID003368-1,0.3167944751670376,0.13451327053726933,0.06605368196152599,0.1748060190741758,0.3078325532599912,0.8131966175591575,0.6600505900708464
CID003369-1,0.17588267510625455,0.2574473894523331,0.1062780029045611,0.2320775741367055,0.2283143584001457,0.7011569270488714,0.6354468811194834
CID003370-1,0.5398115369465466,0.07237038357194935,0.039027884313541136,0.057298533082842384,0.29149166208512045,0.7904775727068343,0.6590689163188835
CID003371-2,0.5086629867605943,0.0644513190222451,0.0548877439377646,0.08695142382942583,0.28504652644997014,0.8211417292414461,0.697403298494662
CID003372-1,0.4110063907868948,0.03991732066855923,0.04743116063787116,0.09927483926972122,0.40237028863695357,0.7997556190541243,0.6507475935612996
CID003373-1,0.07340014197569954,0.2819636014102087,0.06759594566260908,0.19330464653182625,0.3837356644196564,0.6628694387001743,0.5883589657221745
CID003374-1,0.06207828939202311,0.7777839262086054,0.018636102530751205,0.09862163732627102,0.04288004454234925,0.782350117447054,0.6291887204306257
CID003375-1,0.10892796978249113,0.4186295743164479,0.046947027348367094,0.36836659953270895,0.05712882901998487,0.7257889862157458,0.6248423564433352
CID003376-1,0.12785631460222616,0.2501014411612776,0.10271243405006604,0.4474296755080514,0.07190013467837883,0.7148648414034965,0.6216704273395417
CID003377-1,0.14230694517986775,0.24777854145860362,0.2681241116130026,0.17187401123910914,0.1699163905094169,0.6034170672665019,0.5810079146180672
CID003378-1,0.10703453743878505,0.61291882768856,0.010449740545875483,0.16060637038376188,0.10899052394301766,0.8009500119534159,0.6606987855784732
CID003379-1,0.09790337469392382,0.5240199482120975,0.044108549343025764,0.16834439116389963,0.1656237365870533,0.6562668042197136,0.5837843058741741
CID003380-1,0.15629064387495506,0.27184283372736795,0.06711024650413736,0.1343325859981802,0.37042368989535945,0.6803382440842446,0.6493852022579722
CID003381-1,0.12379776461936788,0.09405534531881918,0.07529156350971221,0.16603575898187192,0.5408195675702288,0.6793063309398494,0.6266508272126458
CID003382-1,0.298816313496823,0.14909443499088706,0.04890638035472397,0.1843533001499557,0.3188295710076102,0.6738270966455541,0.62418589043856
CID003383-1,0.13643470064909433,0.351871587183857,0.02345534983903628,0.3257078804587728,0.16253048186923957,0.7793994140212094,0.6601363398166884
CID003384-1,0.15778300330060926,0.2870820897233287,0.023755754655171737,0.32825805754725723,0.20312109477363302,0.741635248453494,0.6620384584824351
CID003385-1,0.13734166179245735,0.35231367870526076,0.025352113496669666,0.3901205344240822,0.09487201158153005,0.6911725983059415,0.6174486036482343
CID003386-1,0.49170555782513503,0.00012927002828727342,0.05753168118215824,0.08284799548562306,0.3677854954787964,0.84273916772566,0.659121901701877
CID003665-1,0.12328195160657184,0.321822965663272,0.037780509396446095,0.10862652809116542,0.4084880452425445,0.7292985419870587,0.581457147406845
CID003666-1,0.055419590357486774,0.6922954042159513,0.04465005836095112,0.18347418322539444,0.024160763840216416,0.756659760248631,0.6750949551408336
CID003667-1,0.35302369844277337,0.018302172774730265,0.04477954866952149,0.36890041459772066,0.2149941655152543,0.9142869763223891,0.6268670717208799
CID003669-1,0.42871058064050804,0.01943967327218471,0.04238131580435252,0.36834133270576624,0.14112709757718844,0.8669153105293405,0.6089278241140372
CID003670-1,0.45944283782030865,0.023646979731143686,0.020880691382370073,0.3298055761080993,0.1662239149580783,0.8748714533456283,0.6097787216168257
CID003671-1,0.43667377083325554,0.02944872296895396,0.14247528938326218,0.17995191451670023,0.2114503022978281,0.8731106962200643,0.6431520302634112
CID003672-1,0.3730164180722332,0.06791391028102811,0.03891469145228665,0.14763347356355405,0.372521506630898,0.8705238782129026,0.6729315208617623
CID003673-1,0.15974819649358066,0.4083373025949723,0.07961214575250909,0.0717873099490786,0.2805150452098593,0.7600624466487421,0.6729306154719153
CID003674-1,0.45104112892141757,0.09688371008450486,0.06349530461848718,0.23386151711543335,0.15471833926015707,0.741508746815611,0.6048861547228493
CID003675-1,0.39713001480970883,0.17484705981157903,0.044016086180772934,0.2284472791456091,0.15555956005233013,0.7191040390521973,0.6594398651746772
CID003676-2,0.2976995907705364,0.2321578215309913,0.057917334758337435,0.23985223051594626,0.17237302242418873,0.677443733173583,0.6416847037514112
CID003677-1,0.23558494791452148,0.12392471346531722,0.04245258173914537,0.0725155604670212,0.5255221964139948,0.765270193037524,0.6372452087868062
CID003678-1,0.20392373401693697,0.2856289762937861,0.0864344877560229,0.055067512300608336,0.36894528963264567,0.684979886178643,0.6175008016359621
CID003679-1,0.3745043572725409,0.10861834543271473,0.05769208833499636,0.060307658612990304,0.39887755034675776,0.8376859111845575,0.7186719153041519
CID003680-1,0.12088139257826594,0.31628845128776933,0.012319544044157941,0.1325194137043162,0.4179911983854907,0.6856169934739428,0.5842805971347692
CID003681-1,0.33781973750038946,0.2964047200475745,0.020741479600945606,0.16657826770235193,0.17845579514873847,0.665436341900777,0.6104408733690975
CID003682-1,0.1950357228156417,0.4851053249279652,0.00023543707414623263,0.10707022901140356,0.2125532861708434,0.730154701529669,0.6611148879710903
CID003683-1,0.159668685687098,0.6776336113974294,0.01524210328263841,0.13588833144465434,0.01156726818817989,0.7695272669737351,0.5797997535608418
CID004696-1,0.30858386738707577,0.10766317553746207,0.04844684257956486,0.26394654726321026,0.271359567232687,0.7409350236252508,0.6330521377902698
CID004697-1,0.30975306963428917,0.07461491939815282,0.05321424283610918,0.25957738190062024,0.30284038623082865,0.7607652350702475,0.6225933973452303
CID004698-1,0.30959989680898103,0.07675651127179688,0.04398353583795778,0.2625571472725487,0.30710290880871566,0.7929900629284075,0.6303988316643799
CID004699-1,0.2986684657431978,0.1305970754268712,0.013520999294619631,0.32743705823148017,0.22977640130383117,0.816010246107954,0.6638507369676653
CID004700-1,0.14146690912809232,0.21150632548927872,0.0020332324732957683,0.454175600015455,0.19081793289387822,0.7905964841806388,0.6604843310159533
CID004701-1,0.287251935685915,0.10436775630161187,0.011489348982820599,0.42994401109652125,0.1669469479331313,0.8542014102358385,0.6853940285539266
CID004702-1,0.16420735819230872,0.4653518558069481,0.008333419227108499,0.2756123880783402,0.0864949786952945,0.8116269122976768,0.6446578149024473
CID004703-1,0.4095742114128311,0.10203630669290066,0.04311366116397118,0.22014256939108484,0.22513325133921228,0.8031710619976041,0.6465836995352651
CID004704-1,0.22459127907779272,0.15996988973306928,0.019597036951136158,0.3457686125251144,0.25007318171288745,0.8558863869164395,0.6718424755961615
CID004705-1,0.5083705097280466,0.10077517292735666,0.07939738197411879,0.07490608821577564,0.23655084715470226,0.7338909077459383,0.6051603164666414
CID004706-1,0.3294424864790698,0.17003943873514826,0.07133116822207085,0.18963660296773976,0.23955030359597126,0.7121660098265594,0.6249531550482361
CID004707-1,0.37331971524215946,0.14918571125381846,0.06115706492689641,0.18228698698789553,0.23405052158923012,0.7468364333180971,0.6478009224205356
CID004708-1,0.23343942472471194,0.19212534717009597,0.03553150007206765,0.06380373335296953,0.47509999468015496,0.8375479348572725,0.6562068353251775
CID004709-1,0.2458683259517228,0.07542562330625859,0.05369642288128355,0.2559857579177789,0.36902386994295616,0.8927193161144398,0.66809785261437
CID004710-1,0.19959088763684715,0.11495018032591744,0.03601730523961656,0.3244455116093675,0.3249961151882514,0.8513706835188111,0.6833848094245855
CID004711-1,0.2456841005266355,0.17330844848829596,0.03270879104271095,0.1989917779901467,0.3493068819522109,0.8206731019635757,0.6757047836379619
CID004712-1,0.5039092238400269,0.11883428648123902,0.010685051347913367,0.04401079900629914,0.3225606393245216,0.7744048416464197,0.6225183069975025
CID004713-1,0.27726637586656644,0.15920278820063327,0.022640997455855433,0.26431759528419113,0.2765722431927538,0.7540197250448297,0.6383811374104272
CID004714-1,0.11273752855184299,0.2952961045374686,0.024355882898490645,0.2981620281492969,0.2694484558629009,0.7417509665801599,0.6625702093195865
CID004715-1,0.03848478545095876,0.8166373435348717,0.006161094104531961,0.12360731128709838,0.015109465622539191,0.7993231434991261,0.633707987401682
CID004716-1,0.09920901819921958,0.4753879336296833,0.009773166174842505,0.25104181095950284,0.1645880710367517,0.8029835587423392,0.6512400861351426
CID004717-1,0.07117661994076192,0.27853084559129243,0.09312238150355129,0.116512155828779,0.4406579971356153,0.7210383120463906,0.6164404983599826
CID004718-1,0.05066712441872172,0.38249055099630025,0.025122918232546605,0.25672363532880704,0.2849957710236245,0.6861235011906183,0.5919101296478817
CID004719-1,0.06821307772347995,0.3229224879861515,0.009389741993388961,0.4813393927917927,0.11813529950518677,0.775806078763165,0.6426503077815541
CID004720-2,0.39538378816449987,0.14957285220416477,0.008129645129826705,0.24565736545503672,0.20125634904647188,0.7854576140079463,0.6687695031057577
CID004721-1,0.0873863586943018,0.18778467297187204,0.34400736297540213,0.1655551517173391,0.21526645364108496,0.6866905016336283,0.5512182574594644
CID004722-1,0.20515753718999696,0.31272463221060576,0.025867959357207756,0.21053150166657714,0.24571836957561238,0.6982217903252268,0.6298515486595647
CID004723-1,0.10372170684616246,0.3655629808512288,0.004993411574908655,0.3764379274857562,0.14928397324194395,0.7275019426350243,0.6200122687804638
CID004724-1,0.08847173004555743,0.5160765258008322,0.0427698677535091,0.23110482268820537,0.12157705371189588,0.7725490375090726,0.6451654819756117
CID004725-1,0.4097080615418347,0.12035565627525682,0.06201293595550351,0.09241857139467301,0.31550477483273187,0.8372958632104925,0.7123529691716846
CID004726-1,0.31102249559709466,0.1527903456520927,0.11822058356922928,0.17664128492785777,0.24132529025372557,0.7633674195732564,0.65248364359961
CID004727-1,0.19374434618712497,0.5100995618073065,0.02745271353942409,0.17598563383970703,0.09271774462643734,0.80440209556626,0.6406931274424795
CID004728-1,0.3710753003709885,0.1641955753105881,0.015428985682064047,0.188168760761744,0.26113137787461543,0.80195219044494,0.661752812600252
CID004729-1,0.1820751759031348,0.34926667000948963,0.020817149708594714,0.3213455645196819,0.126495439859099,0.7766753981927499,0.681937751081454
CID004730-1,0.37771176125570893,0.30954511571161625,0.022676666188502462,0.13799294426231132,0.15207351258186105,0.8318581919824997,0.6723559566970089
CID004731-1,0.45317734763981765,0.07355666543457622,0.08107696037299365,0.0903246680191844,0.3018643585334281,0.8085776032630201,0.6768182813168597
CID004732-1,0.08733728556562698,0.5254457578369645,0.009494108279318942,0.29262430757170665,0.085098540746383,0.7617254209621781,0.663826346897123
CID004733-1,0.17300421598785543,0.2325998467687343,0.01952497325690124,0.43249759554363176,0.14237336844287726,0.8413718177543856,0.683025458456587
CID004734-1,0.32226239488004876,0.2662770403544174,0.015596269683417917,0.2673126390732793,0.12855165600883667,0.8423950571432177,0.6458824574725026
