,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID005226-1,0.026298226231122056,0.09995587474640741,0.08460273942744419,2.8127751687203666e-05,0.00762602909645097,1.5815401566676087e-05,0.00022754053848175816,0.0001431470468719331,4.5926942552572904e-05,0.05571097076340614,0.09489234236043555,0.09192722447841102,0.0023039423729898662,0.001061810708434034,0.0017127916217368826,2.127595330720527e-05,0.002042983041460842,0.007958891598158217,0.0001396254871914791,0.00018199971013526373,0.03532930594055121,0.00035024827244055877,0.008045577257110319,0.00019533531120114592,0.09579742237957609,8.488907731922168e-05,0.000743365150005848,0.00905103391541031,0.003068286082288969,0.02505131336121681,0.016871225694218797,0.015303957408155239,0.011386732270518878,0.0044990395605463826,0.012744884109604492,0.00565638314486322,0.009972881271765871,0.0026889832142963795,0.09990714729708372,0.013132327935354309,6.188355547666566e-05,0.010833037153696639,0.1005998982886376,1.6502910210889017e-05,0.04171105416019921,0.6332366589327146,0.2784818780139202
CID005227-1,0.006624631535827815,0.11831303942898681,0.10225352966934302,0.00016133779042216886,0.003993554582040778,0.0021079678661514163,0.00017363726776076455,0.00021409381631219465,0.00015633386864072124,0.06203980447729504,0.12018753153639439,0.01711295057985313,0.023374918195583665,0.00028870092793042024,0.04446007769808228,0.00021468051958869856,0.006226789083167128,0.0021153738379311796,8.116868248994803e-05,8.117166493263857e-05,0.00016557508176549065,0.0009128429192627814,0.0008704740017015999,0.00014185774053281796,0.09255310117999423,0.0008070021900861933,4.4247381307731e-06,0.01619564767867949,0.0013906443590330358,0.027103286492985847,0.012758872194751688,0.0156510352306515,0.0028291934928762123,0.0002559706805515332,0.001493591031925016,0.005253403096513515,0.018475031583399026,0.0002085457879369522,0.12038657317799002,0.026842014727535873,1.6950374820634737e-05,0.002351739519511958,0.11516536186815059,0.00028248434010668544,0.027703083482372416,0.6500883022338467,0.33017042239150696
CID005798-1,3.982056903335114e-05,0.009614562311031014,0.0009510374238971732,6.856790484368729e-05,0.012561791432323721,7.75988133646129e-07,0.09536026121506234,1.0220573978270612e-05,0.0001998652493007909,7.063134416271067e-05,0.08819024997651591,0.09163962461227411,0.018419642929449292,4.382128954096039e-05,0.0012925457364114257,0.0001516122242472272,0.09332798567257018,0.025612918637213523,0.0003091182840905803,0.005204033836763522,7.293924248751297e-05,0.0033043733466300734,0.007661858658524738,8.791513535811567e-05,0.08466668467514381,0.004090771104272053,0.00012692991633898523,0.0454782401976469,0.01001331483977187,0.04390457536280271,0.09246345342596293,0.006469794942346417,8.81196274101369e-06,0.08857494160778685,0.001226369833268105,0.0006114188159636121,0.012321863295731261,0.011067738737841068,0.00710348376853729,0.00028824395461040525,0.015116856935318595,3.362482550496925e-06,0.09273109494917202,3.754417179996464e-05,0.029498331426549486,0.6439216916218009,0.5021950155282149
CID005799-1,0.051244142123356554,0.02459433017476868,0.0007330167779610494,8.249469332246818e-05,0.06926450381269308,1.251429726933403e-05,0.09520481940953057,0.0012378531298509762,1.9742750187008263e-05,0.08645079287220232,0.0006988345960942501,0.03963148519258776,2.1073679851477967e-05,2.2590364882379345e-05,0.09495784462382033,9.523969919170266e-05,0.0788114469016041,0.0003015775464201923,0.09468648074051832,0.040587876034288,0.000634222784461662,0.00048617987916993764,7.163321218736296e-05,2.4034833220904125e-05,0.09526623755149866,0.00035274810037423925,0.0011614164832057653,0.05908965298669852,0.010659024377153927,0.0027813956147380806,3.5227256417872145e-05,0.0022131744204642373,0.02044939186331955,7.303897797328939e-05,0.014833004515545173,0.052211741275588905,0.0009964073177496802,0.0013479875946893992,0.00013369659809979245,0.000503012637301394,0.01557980849424994,6.337011301243793e-05,0.03748609477599889,4.992486388795466e-06,0.004883846430090926,0.7378990030470668,0.43529481972874506
CID005800-1,0.049971841573860684,0.00381476216986334,2.3193435188071594e-05,0.009776341929581074,0.0011386719617854485,0.09208650396351722,4.063771905168828e-05,9.960436600026107e-05,0.0018843564636535578,0.00040699572776522005,0.08731769736785244,0.05225927119970022,0.09206049553412662,0.0006745658434291463,0.0018869858518489081,0.00023982148487230749,0.00014040424703362178,0.0001326986419356384,0.00022493892970531972,3.642939406755717e-05,0.04703645216006084,0.0001770871764103602,0.033365001492129724,0.002502672239080365,0.08963609026283972,0.0022375155126595826,0.0007842446311371386,0.058434636050019605,0.0009068604925278837,0.005838768793295091,0.02274562950212375,0.07364039626560845,0.016585223624135306,0.00021648307132367275,3.8471753323663884e-05,0.00611935238804856,0.0002724901642498159,0.0001936788391817122,0.029363970328291196,0.006605339423842439,0.000192907692015622,0.0265629105436084,0.09115931593864246,5.717766767354751e-06,0.09116256608383895,0.6677937188608581,0.5362000505041511
CID005801-1,0.022687716955641188,0.04261420099430062,0.00027925895340291613,0.012922578812629574,0.01667374285538194,5.2241713355137395e-05,0.008746781520854783,0.0001799421341197437,5.994006419456006e-06,0.0754193907444484,0.026197721003149554,0.07911724591637079,0.0016454686396886614,0.0016151797838898688,0.01955824266932364,0.029340033071389986,0.0787885845359959,0.00996795890043379,0.05444237742579646,0.0007924038349646066,0.00026318383814356833,0.06691330821436015,0.023887548309228877,0.003063366992901543,0.0791350819526425,0.07891254913310522,0.041371431012440125,0.0016809576006175202,0.0003831636985767637,0.024446546444048787,0.000178721532824049,0.019008740586658482,0.0005946249946261086,4.803681684720612e-05,1.2193075558339145e-05,0.000400633935125393,0.0006699944587928599,0.0030994421726979913,0.07912311087824099,0.00036115287934687526,0.0003551652378237018,0.0023340685981092938,0.03719937416880109,3.9842894326783964e-05,0.05547069610259828,0.7180866291809158,0.47172439541948663
CID006004-1,0.05102819818649936,0.010422909875563715,0.0007422655965229232,0.00011989771139640552,0.06772814559322679,1.508712255832504e-06,0.09266036280742161,0.0017093349020473633,0.0013333694857190108,0.0908829515323214,0.08811029451127073,0.00470789759171988,4.848072569980337e-05,0.0007650019594467876,0.09248342255930933,0.00016394052406698998,0.04451881568664877,4.0544631723239464e-05,0.09028155907024214,0.028219919359081514,0.0011337466115197731,0.0025015442493255364,0.0002976069622326874,3.5775536664654075e-06,0.07791708005092883,6.0630020999062536e-05,4.253525671065301e-05,2.3830558197746147e-05,0.016782214983245756,0.00016538401340467548,0.0001339125971757079,0.0019713522155633883,0.020448616214667793,0.00032440536847533206,0.025357843498446678,0.07576279018795357,0.01979534993311944,0.0030426331522062284,8.281275034289838e-06,0.0017050190751646212,0.0006159719465430247,0.00022720369811373459,0.08335607797496829,2.8301725157966053e-05,0.002325269854994902,0.7543367396092671,0.44349181397583903
CID007374-1,0.016794150450518783,0.0893588875822447,0.0001503830710017722,2.7889159686742318e-05,0.023959640699402127,0.0005990191235624673,0.01333081053915001,5.037162067583132e-05,3.8293415953233555e-05,0.01437930202689685,5.256528635700655e-05,0.08809813758483054,0.00033306322554307383,9.644699233258553e-05,0.0708027029043444,0.03808137402357207,0.07104462713092488,0.006381452957755538,0.0802185591624447,0.06781898403405724,0.024296037762149114,0.0385346350543373,5.569895552901067e-05,0.0005100054722785202,0.07541306903163555,0.08923108211294677,2.6598773343828566e-05,0.044483073336801716,0.0003782499793868886,0.008371219229706742,1.603329999039247e-05,0.003815798792665387,0.01864495359092345,1.7032100774702357e-05,0.012772095586731685,0.006137338391536728,0.003600500774900194,0.001020750016654944,0.00016486600194294489,1.1127728131659146e-05,0.0004607036868682711,2.4911084870693128e-05,0.08812021144356275,1.2684298155976038e-05,0.002264662502920332,0.710783213961027,0.44198642177867686
CID007376-1,0.022663338641125737,0.08655796566558538,0.0003856227870778506,0.007199156260312613,0.010178142166904377,0.000457723907053333,0.0023370303858644944,0.00056088126658347,5.484781639543699e-05,0.07731362179362077,0.08513902170502062,0.04453462916996823,0.011514469195134235,0.00035358558615607074,0.08633260040832702,0.015464748153941561,0.08655503610562662,0.0034460064468501434,0.08630109660690446,0.00036819780671683977,0.0005382683562399045,3.1181489777893655e-05,0.00026153509133366266,6.361693623546935e-05,0.08421409125969789,0.0001413374294481007,0.00033359256105195697,9.186935791768365e-06,0.019260699175084113,0.08509032219960097,0.00362316400707382,0.0025715520141922554,0.0015792629507281016,0.0001837624016096454,0.008363053818346492,0.008226786687659903,0.009534707831397845,0.0020176466202297973,0.04930727169303481,0.0007813861894769986,0.009534842931533958,0.0010669730468111974,0.08185934760675408,1.2163021697065374e-05,0.003676525870023247,0.7435567646383011,0.42391401314886057
CID007378-1,0.018070492143940298,0.1124239066361601,0.005236480587652971,0.0052784675354614966,0.004171308600181083,0.000174149599129947,0.0005069355470685011,0.0007395245563415608,0.001027430099548797,0.08469084689490647,0.025830854273679725,0.035403405319721734,0.009376254019302558,0.0015213234342578914,0.0447763744310386,0.00016693797709682075,0.06699143214756936,0.0010774667676723337,0.025827629860522967,0.00018235440332491507,0.01932612792276859,0.10562572737729836,0.006079196054101551,0.00027201824635532835,0.08481501784807897,0.0009853761633983893,0.0017528581388456513,0.003069947882142807,0.008391200706899922,0.027017976389658936,0.00032261244250240983,0.023802008425953695,0.006993720143367596,0.0020067631725280474,0.007625051829139163,0.008487914022862487,0.001253463112562181,0.002278667504164051,0.11467939096757983,0.0057832766116940795,3.5830541636965985e-05,0.00018084844350550717,0.1146580584264907,0.00034559903406770475,0.010737773757818753,0.7400355160176671,0.42141028971131034
