,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID005226-1,4.3178596860655334e-05,0.41267846887322746,0.027523546934798408,0.19884894285670002,0.248188725621988,0.1127171371164257,0.7645235527588469,0.667326292677615
CID005227-1,0.007798918211562882,0.4556709655794676,0.01216318703218132,0.1485028416794569,0.31235551772348424,0.06350856977384707,0.7847742909789646,0.6638016459058683
CID005798-1,0.19809420371857786,0.12409259419295025,0.030788071511228882,0.37593711964261106,0.2706405971051033,0.0004474138295286718,0.7405952778024181,0.6912456286248061
CID005799-1,0.14309598545380114,0.006479019494010338,0.48979818878240877,0.18471063644033367,0.13514945161178765,0.04076671821765843,0.7689494376384378,0.5464061329480017
CID005800-1,0.1656823322875833,0.42161058596803913,0.032314100259678624,0.17910747624325124,0.2009690254789726,0.0003164797624750234,0.6361308975733952,0.615778702887831
CID005801-1,0.549257983701008,0.08410930393283143,0.04652681342224793,0.015521105246087016,0.29855963501454447,0.006025158683281165,0.7177086944434042,0.5888748138486323
CID006004-1,0.03116667889156348,0.03644360160757873,0.44082964429881494,0.3344762260095145,0.1416024616530697,0.01548138753945868,0.7681590543137629,0.5488354013124964
CID007374-1,0.4141991947891346,2.1988331036376408e-05,0.08885488127657873,0.09879656974002997,0.39811278056919686,1.4585294023446012e-05,0.9041027558521282,0.6398864887965425
CID007376-1,2.9444614680336923e-07,0.05487616366345825,0.107607764186845,0.26883722057085896,0.3355283362139685,0.23315022091872256,0.703188040829824,0.6288099276942759
CID007378-1,0.0016748666306127997,0.19608997744931225,0.034159749170309374,0.15547137077160864,0.46566310430604085,0.14694093167211617,0.7101444413664144,0.6300962447867074
CID007380-1,0.34677817743097344,0.11066264159270577,0.09640960085625973,0.14300268601297322,0.30247455257697986,0.0006723415301079818,0.7455221012171684,0.6333015370988321
CID007382-1,0.0864406365149895,0.06563769432326103,0.270935176997058,0.13133091497848262,0.40095972670250496,0.04469585048370381,0.8031240657698057,0.612299435102694
CID007384-1,0.05590176566802808,0.1754409543217236,0.13682672145902314,0.12339995499491563,0.4051158050181441,0.10331479853816537,0.7240563887622711,0.6538599519064746
CID007386-1,0.053220457334184616,0.1022948828205601,0.031082367325022543,0.34377146629270644,0.3725833112045107,0.09704751502301555,0.7176363100921265,0.6266775294091236
CID007790-1,0.5701323527783707,0.024773411270098453,0.10750367655979005,0.03696242259861531,0.2603903868528834,0.00023774994024204556,0.8365814966151289,0.6436705743339465
CID007792-1,0.37948862484522794,0.10078301345315156,0.1021813136971195,0.047575389220774165,0.3695801023701201,0.00039155641360671164,0.816221439248345,0.6832195899965617
CID007794-1,0.3014336700056843,0.050329054351479406,0.1192528285482086,0.17516301173224236,0.29981691549638617,0.054004519865999356,0.8662092839923681,0.68393517088833
CID007796-1,0.0003082048564167432,0.3485583349757005,0.051983289906898524,0.11815009106893867,0.16917101994984818,0.3118290592421975,0.6605915888811452,0.5857338340090164
CID007798-1,0.049311416552768605,0.05559993933105431,0.28469513134727187,0.3100782717597367,0.2676372892456044,0.032677951763564125,0.8004335886688828,0.595079655029726
CID007800-1,0.017162796772699065,0.021823976138315222,0.2354028372613977,0.14096057268879936,0.34979600976025865,0.23485380737852987,0.8274023062139654,0.6201574212593254
CID007802-1,0.4634671919039322,0.05948495343460534,0.14124213509674946,0.1225553289916455,0.2131711333170524,7.92572560152031e-05,0.8386472346786248,0.624408104709279
CID007804-1,0.1975890221253886,0.0872076702861558,0.22237817699176313,0.03845583703833104,0.41596177454425454,0.03840751901410703,0.8398032265880775,0.6488197316897225
CID008392-1,0.0002306498387166651,0.22200207544425313,0.09013348367408935,0.16219757254816086,0.31027673210677514,0.21515948638800478,0.6588001823295941,0.602708483285037
CID008394-1,0.06595987866243799,0.005469821548819318,0.4792574462500244,0.04278660559828649,0.40535185576516963,0.0011743921752620245,0.839810266011639,0.6425801377975527
CID008396-1,0.2727200744207708,0.040126153241931736,0.12405258132387442,0.09756118575542175,0.46553246857252517,7.536685476022562e-06,0.7933649689680987,0.6885394426879226
CID008398-1,0.012654381716026467,0.14317918654680015,0.0626213103260889,0.30965386207750445,0.3969060083767539,0.07498525095682616,0.7279193431099261,0.6549148502526517
CID008400-1,0.2670515026462414,0.08124113921105869,0.06728968435242702,0.129396762611219,0.45486419091091446,0.0001567202681392165,0.7342390518861107,0.6485132818019005
CID008402-1,0.00912781461239544,0.20254389019778488,0.06603701458925727,0.12905457952785654,0.4354945116798275,0.15774218939287846,0.6702304482573541,0.6437757240689693
CID008404-1,0.20800060270963996,0.22637503260721847,0.14636203038960785,0.08063937096045311,0.33103720168547457,0.007585761647605909,0.6953377945530412,0.6403116625650546
CID008406-1,0.005691180016576695,0.08451667129261552,0.03988237551450544,0.14695921012909183,0.7034592939796287,0.019491269067581824,0.7536857004345793,0.637756883272497
