,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005226-1,0.03158360073578066,0.46276522270379894,0.03410857612715889,0.190660375539306,0.2808822248939556,0.7753308060397006,0.6826257334581346
CID005227-1,0.024122276735835658,0.4961894835933005,0.01731873564240734,0.16015465007314622,0.3022148539553103,0.7692061034520706,0.6655180674975556
CID005798-1,0.17762616977843204,0.1218692029571423,0.03307376032597261,0.3559001350920324,0.31153073184642055,0.7723483794227306,0.6157489546184365
CID005799-1,0.3001971061703528,0.035337187012463814,0.36986772179318606,0.16081868305712416,0.13377930196687315,0.7552849128348862,0.5612494852689207
CID005800-1,0.16654155340641166,0.5018186056507723,0.015563815596726293,0.1719556377441988,0.14412038760189097,0.653964440962568,0.6193071475979812
CID005801-1,0.4008367003023383,0.12052571983477127,0.051677177050413074,0.02585071223285546,0.4011096905796218,0.7168751367125186,0.5367323422847639
CID006004-1,0.04153426966369994,0.04404546130018212,0.4356378151835549,0.3227664761791837,0.15601597767337946,0.762429840864749,0.562240151738194
CID007374-1,0.4105735734979868,5.315700926372851e-05,0.09640163348836639,0.10754881070885519,0.385422825295528,0.8987808482340772,0.6519432729308083
CID007376-1,0.09664880762723349,0.14752416165677087,0.10456970274696842,0.25125136862523034,0.40000595934379685,0.6767025613168574,0.6340392720215418
CID007378-1,0.07186554062689712,0.251523803060197,0.0513627915556575,0.19049831690353317,0.43474954785371533,0.6623520036635122,0.6070523755910646
CID007380-1,0.5336431983526471,0.07973651773604258,0.06136855178592915,0.10877320545508616,0.2164785266702951,0.7320404354740148,0.5895359768764853
CID007382-1,0.1543017609800857,0.07204174531392443,0.2564846055825512,0.1433826112893609,0.3737892768340778,0.7979560414597076,0.6297360666539781
CID007384-1,0.2172384714648889,0.17323668331315692,0.12290770767163196,0.11783800188237269,0.36877913566794945,0.689649698306442,0.6380014234446019
CID007386-1,0.14910729991644928,0.12771449442686778,0.03127618277526661,0.2671474242183371,0.42475459866307924,0.6925808086110642,0.5665707804450009
CID007790-1,0.5118452704070003,0.04308417480982427,0.13631216915849337,0.05955255919215276,0.2492058264325292,0.8295862863489097,0.6730617997389342
CID007792-1,0.4038205004640961,0.0871034654830659,0.06310049601845667,0.0425461610198231,0.4034293770145581,0.8002892063027213,0.6651263915806379
CID007794-1,0.36556771238981667,0.0756809085522421,0.12682510361257798,0.16296821103424516,0.268958064411118,0.8424482563912847,0.6849346459404005
CID007796-1,0.15816091316318187,0.4168416422329915,0.07734971666046392,0.13411672987786996,0.2135309980654928,0.6324704105523996,0.6113614222315571
CID007798-1,0.20443569898951405,0.05527393387292755,0.22768369217698473,0.2889143378038275,0.22369233715674625,0.7869936290419522,0.6044563552817193
CID007800-1,0.3597584633742009,0.05339482251794787,0.21220509096408313,0.1067555155236016,0.2678861076201664,0.7981866969551445,0.6446630120151717
CID007802-1,0.3181191956285579,0.06759754150136306,0.1875635339947986,0.149505390353029,0.2772143385222515,0.8293050814944908,0.6620786967692933
CID007804-1,0.25603274817079735,0.08182059343974694,0.20863631734485638,0.02995603244241605,0.4235543086021833,0.819936020764791,0.6441765083936716
CID008392-1,0.022465838859978243,0.40595609457310516,0.09028408768507577,0.1516953214914911,0.3295986573903497,0.65747186183676,0.6161115400792312
CID008394-1,0.08088419030125867,0.0046089677527647735,0.4819101414037782,0.04117577411429231,0.39142092642790605,0.8312228387901033,0.6510736818303954
CID008396-1,0.4598195020658769,0.007736682266886886,0.045991124122930285,0.021010893369377646,0.4654417981749283,0.7960892073015773,0.6742777214361874
CID008398-1,0.09716504926095378,0.17216492721922066,0.06857699246772565,0.29650679016662995,0.36558624088547,0.7025649993960252,0.6321626887502989
CID008400-1,0.17839098236792958,0.11374445418907246,0.053887753316321285,0.1458910819655823,0.5080857281610943,0.7190520372035838,0.6415391111881231
CID008402-1,0.1507115295062216,0.2655233087284993,0.08453357865513662,0.14159086894841,0.35764071416173243,0.6624621691080811,0.6474987652668835
CID008404-1,0.256669673809552,0.23029727612226994,0.14938886238333493,0.07828610609488747,0.2853580815899557,0.684648988665568,0.6161908230874029
CID008406-1,0.0697451514587919,0.11360810939178545,0.05013169977010162,0.1543969249328182,0.6121181144465028,0.740722244792689,0.6640906767788569
