,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID005093-1,0.004970700643244228,0.10941857149070064,0.0024147818125939656,2.8593621494177623e-05,0.010119609147749224,0.000997652296090817,0.0014229078985055236,0.00038098391231633776,0.00028651734794606255,0.01661158211967347,0.10112326162003138,0.10798086370507481,0.001668187896063102,0.0009360896471503397,0.09361770287768184,0.0009990555880195835,3.233525312649642e-05,0.006141036096412038,0.10374584097145759,7.198078760194167e-05,0.00016150800701020393,0.001859618853721668,0.00012811706762210382,0.00018797496465789064,0.07248949518211542,0.02139397048800293,9.510985004666842e-05,0.0056754703871228504,0.02365291319806131,0.002206133749595977,0.09397875468617034,0.01264566648736125,0.1066757614026728,0.013724877797231584,0.002608438206920663,0.0017021652912648573,0.00017669332465067563,8.783421838215281e-05,0.0003031601209349588,0.00020377404266055227,0.0037912630056065482,3.496744842601545e-05,0.07196923955801827,0.00028885293941141593,0.0009899849893977189,0.7380641053273659,0.37917390713221255
CID005215-1,0.006182758774792716,0.0012678532957460672,0.0005914308644495896,0.01521562832234453,0.05709147940737961,0.002012155961467406,0.09281503219245464,0.0003851297434488632,0.0005645069875507298,0.09248183901345855,0.0027038908066283427,0.0923176287471042,0.0015846258385095373,0.0008943301038641233,0.012221636408289997,0.09212632004152527,0.08992371049601883,0.0004388260138070022,0.022491511521216038,0.060034248748264116,0.0004439850605745914,0.004358593607186114,9.804140210660454e-06,0.00015000908757393654,0.08286258992581444,0.08508461302407193,1.2253315487514581e-05,0.0006310632614215837,0.0006155859621004105,0.02313575652967898,0.004077925462162169,0.010872594980538015,0.007756039118741334,0.000691777495861079,0.00026257979565301194,0.0031316310446788615,0.0010705145182844343,0.001091106582270393,0.0005971098207207955,0.008383279422902793,0.014822160235882283,0.003798611608259689,0.09085534088365643,3.791993438314494e-05,0.01190261189356525,0.6661429096420015,0.47139180497077127
CID005217-1,0.0002149275671194826,0.08376356527659759,0.0804023129734254,0.0011437493965197664,0.014787505913910485,9.031845798902274e-05,0.0008603760817441965,0.0003903961309567819,0.0008047238713597178,0.07815725960056927,0.08289267715671149,0.04983871235343021,0.00038988302630016565,5.5324066157925e-05,0.05880712119040174,2.4553134664010507e-05,0.022496992038134534,0.018687455728600755,0.08368658713247983,2.9874485273396803e-05,0.00017091110117463894,0.01799523807360478,0.0006343261867376055,0.005961031831765313,0.08404828564931673,0.08395139373622636,2.3419840109791518e-05,0.0006439108753093915,0.03501601862110546,0.011765059862163167,0.002359166780095021,0.020129701800540526,0.0009089927815994789,0.011624370186852818,0.001576153772503744,0.0033594982648360396,0.03892976371851249,0.0012271105607074527,0.007219800359711779,0.004397223598850295,0.005287243215976153,0.00014119102386810856,0.07683341830891509,5.005230461152432e-05,0.008222401962560563,0.7061380857996543,0.33648489229106493
CID005219-1,0.007588351775866261,0.12853327046551413,0.004118754662284541,0.0001073978017349714,0.009099961702309424,8.659905460519721e-05,0.01117559868801282,0.0001168036671231352,0.0007958201047459406,0.0013572851313150853,0.019077053866744697,0.12913245616914676,0.0034429597548340587,0.006805107156017569,0.12872626428117784,0.00024832862080918203,0.000932279716119128,0.005743016573660827,0.001019375636948028,0.0010428875417246594,0.00030183532416709223,0.0010521915675648656,1.142266941433758e-05,9.809694208192335e-05,0.12844093496684414,0.06184813721672324,0.00012354284607511332,0.0001278998881894299,0.04552157316405826,0.05172583894461662,0.00028304692456454825,0.018102223690751935,0.12915770674059296,0.001864049193541633,0.0015713208992297653,0.03428147416891393,0.0007921845113160507,0.011607399740668064,3.7439897888847783e-06,0.00035374479851515923,0.002389204830823972,3.714705900972657e-06,0.0501132986535295,2.0311952070237104e-05,0.0010555292993634253,0.7188907201638502,0.32340988032938345
CID005222-1,0.016873880981303657,0.09346918104371478,0.0007186971038772447,0.000426634400916761,0.00791033122626238,0.0003339214559183833,0.027694557160859536,0.0004468753843151645,7.054005417125486e-05,0.034082028567521835,0.06105510396299617,0.009091663953709191,0.0002746287865522545,5.07628642008036e-05,0.08977321583139788,3.674093457951811e-05,0.07134112263153829,0.00796501973391958,0.08917778357453951,0.009809369089077527,0.0007004960955028835,0.003998843041906768,0.0005522944464717351,0.0001682016239676044,0.08594968638521863,0.09312305347035271,0.010203204142033023,0.0043491028782392215,0.0837641630135039,0.059916237965145405,0.00027362064124227794,0.009242515076967587,0.011263918517410383,0.0002799370853315799,0.012962502754702678,0.0023602278566526172,0.004362246120868838,0.0005551747488415596,0.00018871080797725043,0.0008284954330797471,0.005479381315294196,4.0803706404974414e-06,0.08548957769791019,1.3281973125140284e-05,0.0033689877962419334,0.7893035298214489,0.46080320629177396
CID005224-1,0.006686419726419713,0.07487793585215312,0.058101907671596564,1.1972418674122177e-05,0.002278978641527773,0.0004986238567610027,0.04012616106768,3.0665492489691896e-05,4.295695282332065e-05,0.03606800734903979,0.11414249185462536,0.0034590202647254618,0.00041343280655358497,4.950355906339427e-05,0.0657584239670211,0.0003307606778050127,0.008221734113175979,0.0030417789072823987,0.11332634664096776,0.00048611108952611006,0.013218539910465728,0.0002526774150887709,0.007999232513088565,0.00012486152349306997,0.05880839436242566,0.004921812501614587,0.00025909498564611575,0.0008458896404864914,0.0011215616821713323,0.0032910492425957693,0.0007890180977093072,0.0033256553938566433,0.003465992192250406,7.110757745975376e-06,0.00010669344112191352,0.0005052733634676444,0.04121314001134516,0.0002271232355398909,0.11526062667344322,0.001906705847585499,0.11326358435941548,0.09354392160140178,0.00011653143498230732,0.00013480157480141023,0.0073374753283458665,0.7906368161978307,0.4352157765418241
CID005225-1,0.01769379380763874,0.10313602203540694,0.05644943845351363,0.0001331021798972067,0.011050480822876761,0.0006251036928655409,0.0007105809782278998,0.00018035843261795853,3.771358815994006e-05,0.0017363367488492638,0.10192416839264709,0.009430035369539826,0.0002617581965393456,0.0004116777938816768,0.07178700914307463,0.00020438950066886132,0.06407935598616024,0.011633734363502938,0.10105026144989775,0.008419173491109629,8.204277570514222e-05,0.0018103453045301926,0.005442506088243747,0.0002701327141776197,0.06649997392581038,0.0003033237065120777,0.00032732819347926646,0.07902505327101594,0.021120427986950973,0.012932737916935142,0.09460701835816021,0.009670977305967464,0.00031568640425627616,0.00015588441690841425,0.0005568903986813579,0.0023315677129432514,0.019025842546427318,8.187143669289318e-05,0.0011370668104615086,0.0036255220304296843,0.011945098791374028,0.0011419926117845946,0.10332706721920112,2.342037587996916e-06,0.0033068056086876414,0.765017756028956,0.3351564459132692
CID005416-1,0.020341761476031107,0.12791052290224392,0.0008911647512518365,0.008027227999144241,0.013053093820494986,0.004565009214250853,0.0008954417361318497,0.00031466554652247376,0.0010448491912644637,0.00043714571458137373,0.08214417096108989,0.08517008898494725,0.0028520329753107298,0.0002615669469179966,0.022060648714631103,0.0004031374161953187,0.03449494495643037,0.021680231781248303,0.008967391087884273,0.0097179406177688,0.0002786615809776411,0.0134015652718857,0.0001757241295754889,1.3491228700835745e-05,0.08202542204973932,0.005856564784319752,0.0453815651308223,0.006947334391865917,0.04422619875586264,0.00791764473747549,0.12814905376914876,0.0781882435173636,0.0001647763919549227,0.0009226919095270884,0.00011110647660826777,0.002847464649694496,3.115749114923265e-05,0.002721415675505869,9.12547951615302e-06,0.0015804409772119362,0.0006137011035372312,0.00014947594078642385,0.1274121265974623,6.493119420297026e-06,0.005635518045547056,0.6915960988972065,0.34724324016057795
CID005418-1,0.0020320053466612122,0.0247546788667739,0.15637010412993316,1.6873631984138513e-05,0.0008749694719088327,3.109316906932493e-06,1.2790210537613793e-05,0.0004696764322084658,0.0010256051684853057,0.00024985107763345483,0.0012219421025163983,0.12266783824005935,0.0025337542047967994,7.93170190960833e-05,0.00026323665435309306,1.069892860886898e-05,1.3089514161025426e-05,0.0007136031581785786,3.3799122977252126e-05,6.004734627109755e-06,0.016995919355315872,0.00017542882721387562,0.01894447359692072,0.0006882855198728786,0.000606022318835486,0.0002747211954686837,0.003522880361651616,0.12521727689004467,0.0003218187762292662,0.006630859688006675,9.396751587469675e-05,0.0028549069765520067,4.149952195290285e-05,0.00011496135706017907,0.00012944241108159618,0.001997840527763565,0.0015725666969738262,0.002974815946740939,0.15626231250046316,0.013780032769478418,0.008021382667736362,0.1563639167055122,0.1435793678564321,0.025453500824860135,2.885185955070824e-05,0.6662924116753034,0.3267351382200294
CID005420-1,0.027260993449982014,0.000398047823519183,0.0001502680396579511,1.0024654700737699e-05,0.020079963891028042,0.0526204204962813,0.010229200420074584,1.1771585793676936e-05,0.0001228586522798322,0.01610018418744533,0.01060611444366181,0.06592903909329875,0.0004933178604149745,0.0022872353013223367,0.0009804555892468571,9.699399487047018e-05,0.000233824287730094,0.027531404526280705,0.0005990202365923554,0.0004922017246986258,7.073753742581609e-05,0.00037106354191395493,6.385394840422757e-06,5.50229395539843e-05,0.04012266806873452,2.5101221380140415e-05,2.4328043650994265e-05,0.00011345308106520938,0.14758352516982798,0.1483035428203465,0.00042135934515652966,0.005826931305510731,0.03402131450684241,0.00047541405293624454,0.019864621819354684,0.15760310265491187,0.000153131214621063,0.033233657842543694,0.00016640984777821472,0.0005183006876455516,0.009332552174629173,0.002835135916189439,0.14320718326584306,0.0010031134106258499,0.01842860387779233,0.709029048720905,0.5026458956385104
