,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID005093-1,0.353850404196111,0.03632005459090205,0.03140909890309543,0.304718140008516,0.2561440866057417,0.017558215695633716,0.9064572259639524,0.649310798911364
CID005215-1,0.10357466423458993,0.0011388294055969521,0.16927514275419767,0.001541426364773839,0.7243320591564418,0.00013787808439982136,0.8433751491027033,0.6010025781503847
CID005217-1,0.2936940622613269,0.10021223893073505,0.01632041695459125,0.25519806694935965,0.3019665038627608,0.032608711041226375,0.8280368673428142,0.6420275924475204
CID005219-1,0.22903892280064847,0.0018243717240479652,0.013741374136823754,0.6026498156100994,0.14820579284960186,0.004539722878778496,0.9001473847325865,0.6589054821087263
CID005222-1,0.27719713507149674,0.018998668450727764,0.08713522580726632,0.2987179234006132,0.2892195246010401,0.028731522668855914,0.875673713431561,0.6216691371821209
CID005224-1,0.01235854311091179,0.207115095531896,0.08451477762563837,0.12368243464995195,0.14708291309643862,0.4252462359851632,0.7171977700674438,0.573801442382615
CID005225-1,0.019893364769597025,0.10146779845480951,0.07803698682012913,0.30541529682330903,0.38464164136719037,0.11054491176496496,0.812734358317318,0.6794188586025613
CID005416-1,0.12513791417599573,0.01682208139925434,0.0559128462110407,0.4677769170615468,0.3231281617594397,0.01122207939272271,0.8389584627959017,0.6784915488398702
CID005418-1,7.313712866029177e-05,0.8940506256725796,0.013360099964162878,0.04856954939957009,0.04354755953809057,0.0003990282969365014,0.7676265126988799,0.6602815783931373
CID005420-1,0.006157285028815667,0.0002659228811971048,0.03479085508462579,0.9294638113120561,0.02897254924856587,0.0003495764447394483,0.8713781344723064,0.6009538825138182
CID005422-1,0.22053685621849736,0.0744312529642565,0.019955761985737702,0.29528468679065545,0.1403044830405336,0.24948695900031934,0.7693584395670084,0.5865963685388084
CID005424-1,0.26948354071284175,0.09848300865556094,0.03843681955558537,0.1074779288395168,0.18021347443079064,0.3059052278057045,0.6971469057740626,0.6030803683740424
CID005425-1,0.0736983292045451,0.06387745295340569,0.1895279972618981,0.28259394242218244,0.08837341567327708,0.3019288624846916,0.7028305557717323,0.5320763843488353
CID005614-1,0.42318363129211517,0.05279819610451776,0.03402236327221013,0.19902858958119057,0.17977582660064495,0.11119139314932133,0.8375973851434949,0.6008197309638695
CID005616-1,0.031268670714471695,0.08340544889676424,0.03810131241986057,0.24617987589054377,0.27584425319283384,0.3252004388855259,0.7542419389280376,0.6012077399651483
CID005618-1,0.37723758177032657,0.014285523264528562,0.07313139881158721,0.22783189424672398,0.3047529381408015,0.0027606637660321275,0.8831364596499125,0.6077998094213781
CID005620-1,0.5354686624915378,0.033763728538140504,0.04694496110044344,0.14198184727253302,0.2404310490456692,0.0014097515516760318,0.8820680573114201,0.5485304165445933
CID005844-1,0.08375499632950002,0.030811583960728885,0.04888534572329097,0.6467921912580789,0.06908954224994772,0.12066634047845357,0.8614261731908791,0.6669602487290853
CID005845-1,0.35243239327485426,0.11934543253340789,0.02204186579766254,0.018045224185207875,0.4653653882164366,0.022769695992430998,0.8234906912434822,0.5978846787855018
CID005860-1,0.3746766697857898,0.010329387742342924,0.030662127917099057,0.3516176527251676,0.16852460420296766,0.06418955762663295,0.8586004383946878,0.6765030699050373
CID005868-1,0.05229477712248806,0.13452119975525595,0.00012362170400947507,0.5442930479465935,0.00015480139688265674,0.2686125520747703,0.7975539184283579,0.5321462993993067
CID005874-1,0.24240014469417864,0.06559947849122028,0.06772469035958864,0.18179038393279345,0.24300968309790358,0.19947561942431538,0.8425709199121542,0.6446400823909104
CID005875-1,0.37051303385300627,0.06994556386086498,0.040899903149508414,0.15212673674964555,0.3535460973956423,0.01296866499133241,0.8682645250997362,0.6790147478834168
CID006320-1,0.058826516092992574,0.06358572700168773,0.04978410226472507,0.3181547138193387,0.49617855217142093,0.013470388649834993,0.8724587841466063,0.5899548018086377
CID006322-1,0.1753711412157832,0.10143593237525297,0.038232231545082915,0.3158950573529451,0.1719615423468296,0.19710409516410615,0.8135529026784633,0.6400779282410839
CID006328-1,0.10373970969756553,0.04771188205084592,0.014623699390891878,0.7104877544748496,0.09142486993117202,0.03201208445467502,0.861732863549007,0.611647551329527
CID006331-1,0.3080174253601598,0.03270034944749784,0.1700656768435564,0.07136034283301007,0.411970859848139,0.005885345667636961,0.8834913949824263,0.6553090030336369
CID006336-1,0.23729834122462118,0.06645860981534828,0.026264906750892568,0.25664008975137603,0.26572718557690156,0.14761086688086036,0.8469711861033427,0.6711328422060558
CID006340-1,0.3915804351927178,0.023744001195905546,0.0710631473801164,0.1564678165882351,0.33718535006772576,0.01995924957529929,0.8968211765623172,0.6002416351474282
CID006468-1,0.45778458574197456,0.11769618886650858,0.01403067738634513,0.08882054724198546,0.32141388067247073,0.0002541200907155558,0.7167598697010462,0.599986546645055
CID006469-1,0.05524421109385413,0.1882821828054785,0.0035424988367340456,0.09840805842107146,0.4654263957861877,0.18909665305667417,0.7421140294682895,0.684835661484686
CID006478-1,0.34986506777831716,0.05364177546945634,0.017563147284977206,0.3216486250578888,0.24243052781324834,0.014850856596112126,0.8597896647448217,0.6272513020435976
CID006480-1,0.1435995224915904,0.052900032200578276,0.043457363429199876,0.22459841106564765,0.5113751228401592,0.024069547972824644,0.8336597612913402,0.6478943410568978
CID006484-1,0.30694853934690447,0.058501197193484185,0.022765999993832515,0.22999428956649826,0.3201881576678949,0.06160181623138564,0.8225161019443531,0.6489842802149717
CID006486-1,0.012564799574271542,0.061441033940816334,0.08777134980496634,0.17685191248089405,0.5512422054938693,0.11012869870518242,0.784489753485894,0.5957077977015076
CID006493-1,0.31280230147922045,0.08500051393791103,0.04685935107871324,0.24740321098254683,0.2937047413791628,0.014229881142445668,0.8954281184619183,0.6547484788266673
CID006494-1,0.3460166468628541,0.05604510212069259,0.02837817540328975,0.22769566290882204,0.3136859749894697,0.028178437714871853,0.8403708386009271,0.6382903086051371
CID006494-2,0.2373510615409748,0.1447138398778154,0.05278503841373701,0.37984522747297605,0.1428813105075794,0.04242352218691736,0.7444858828487146,0.6145339628594831
CID006515-1,0.21044978417000568,0.08672480737415693,0.031108107258530648,0.24731912712627405,0.4224304553205935,0.0019677187504393337,0.7889319454732109,0.5783311481324384
CID006527-1,0.027022322488608568,0.05378950481288183,0.03072970097152895,0.751675695591211,0.13580298077518096,0.0009797953605887003,0.9202878006129127,0.6630425624084626
CID006542-1,0.34306551719370804,0.0528531519210007,0.012172945062736126,0.13508068341429544,0.44012658799646226,0.0167011144117974,0.8136070086742732,0.6069538128802461
CID006544-1,0.17626480029165734,0.1432003584884842,0.04937954065108045,0.39313586050488786,0.21567048277801254,0.02234895728587761,0.7957868887465299,0.6253408456351267
CID006548-1,0.39791260071439155,0.019231743266721533,0.025734829397723032,0.2975977002902306,0.2496511911311576,0.00987193519977571,0.8713790560471976,0.6331109344367816
CID006551-1,0.022278344840035595,0.0506560889810366,0.022492204884883134,0.5716565478444638,0.32630998481404927,0.006606828635531519,0.8325907020182935,0.5870149955446372
CID007329-1,0.0004673112468137427,0.001760483218925344,0.006621919931976813,0.7667268096017142,0.11543631465223086,0.108987161348339,0.8664524664524664,0.6314829440377756
CID007330-1,0.000395036502747425,0.08377762626621942,0.11138161968795625,0.2160439046606312,0.5883442727661504,5.7540116295287725e-05,0.826018767928306,0.6272815492020029
CID007338-1,0.16107344674507637,0.09061569938230099,0.08818871265380937,0.24150892198383483,0.35787357032189177,0.060739648913086794,0.868094811118475,0.6512014374608497
CID007346-1,0.00763505110878273,0.06677915968483686,0.021903484937530422,0.17188841192984353,0.4761370613255924,0.2556568310134139,0.7546282887137037,0.6528524251606422
CID007352-1,0.6114781725361237,0.05923865465372002,0.020981539149168095,0.23390353242134454,0.07361867430182603,0.0007794269378176408,0.8276115737774931,0.5488104968616907
CID007358-1,0.3883327517098902,0.04302810705493724,0.04573196979059728,0.21892251136763408,0.289407288283268,0.01457737179367327,0.8514210975870169,0.6392216950213001
CID007659-1,0.38461892251055807,0.09215095054583272,0.050169862243982614,0.08360616147088294,0.3833625316071086,0.006091571621634944,0.7798610990875565,0.6361851698935511
CID007661-1,0.14157317709878273,0.06239734011123494,0.05640369355276673,0.20949649635313966,0.47785899808021565,0.052270294803860334,0.8053003781528985,0.5978219365523615
CID007664-1,0.015804076302653722,0.07816665688765581,0.06894284918325898,0.44395964371061597,0.22690312419437741,0.1662236497214382,0.7752363130742141,0.6546380577161423
CID007665-1,0.13331891384881503,0.051100667203299276,0.02942509525793574,0.42243928536652503,0.2926428976916275,0.07107314063179734,0.8558947256032459,0.6425466997922993
CID007666-1,0.29618103999652773,0.06387050486276047,0.026981936053282852,0.2580035662076919,0.29725165487422583,0.05771129800551117,0.7996291613990728,0.6566259022989852
CID007667-1,0.3514600057881455,0.04645292839358635,0.045116742699823756,0.08172721626078727,0.43289720243063495,0.042345904427022144,0.817672777075432,0.6855990374504074
CID007672-1,0.46566293958937055,0.027658236542373076,0.03634862505887758,0.4056893850657479,0.048495554820324825,0.016145258923306146,0.7957606870162924,0.5382781250108803
CID007676-1,0.35801603207958327,0.10281488726297912,0.0035733820600144395,0.2753496638401023,0.18837064186311459,0.07187539289420636,0.8164574693986459,0.6214157390776689
CID007681-1,0.3379299231129058,0.15610596582219524,0.02143101547414673,0.134659779508372,0.30158687153771624,0.04828644454466407,0.7294878692188738,0.6813798340895905
CID007688-1,0.014509400487153776,0.5412143022029907,0.0010440300501746403,0.3533841964940644,0.052096718437793274,0.037751352327823194,0.7520361990950226,0.649167590807583
CID007694-1,0.04290073951569933,0.0724770169604278,0.00651231235351796,0.26498000454834975,0.31651993545249524,0.2966099911695099,0.8310079009182149,0.6120953396415986
CID007697-1,0.22200832569218915,0.043700690261181556,0.04404061236824518,0.35295759261431586,0.25550824793507954,0.08178453112898873,0.8190002107037505,0.6710516167823546
CID007704-1,0.16798222848418434,0.09476825964227692,0.04013199769917021,0.3080503054411489,0.38668412424776605,0.0023830844854536523,0.8687287488221541,0.6479492688004382
CID007707-1,0.4024200523058935,0.15622379655132798,0.004373702887691941,0.2118560585294017,0.07492905405354891,0.15019733567213595,0.7448067478112321,0.5421395980571715
CID007825-1,0.19748076072211454,0.019688696363148992,0.006290705050570745,0.02217989983449337,0.4371359567796365,0.31722398125003587,0.8548452353448325,0.7258467777338143
CID007827-1,0.3974695883207418,0.07507446975770797,0.033667180981093496,0.07427572234288495,0.39697753197286806,0.02253550662470366,0.8289570164348925,0.6670872172410287
CID007829-1,0.34548338219826336,0.006376028644733249,0.02463320829469311,0.07826449780228828,0.5442152733961757,0.001027609663846312,0.8960243254360902,0.6224916027823809
CID007845-1,0.1426568034320496,0.08733486196200566,0.08401420575638502,0.40734946936138644,0.26205969312884464,0.016584966359328653,0.8425168609410939,0.6176676114774213
CID007847-1,0.34320267349980627,0.052081902797935696,0.05924983615616155,0.14179618033469576,0.32590068320895277,0.07776872400244791,0.8291538991332372,0.6893923347506649
CID007849-1,0.39689558952150705,0.05972211534578419,0.0006214068413261911,0.1526410383485246,0.13530094688844627,0.2548189030544117,0.8605071535340594,0.5977385153807955
CID008109-1,0.3539331276703408,0.11299095442501497,0.08704758536520002,0.05894146797826289,0.3540501732624846,0.03303669129869667,0.8017199067053986,0.644409342438828
CID008114-1,0.40178472286576583,0.04560079327269569,0.07286024507161847,0.0959531266450869,0.3823492712175431,0.0014518409272898931,0.845514839713067,0.6667772693329032
CID008122-1,0.22446148390814077,0.14474181429012176,8.034244422023363e-05,0.3639095121063562,0.17322265020780972,0.09358419704335123,0.7458097868722314,0.6363916725969544
CID008457-1,0.07089863875588273,0.03014108743476412,0.05108378952604341,0.6094809852492267,0.23667025544610742,0.0017252435879756248,0.891709013626054,0.6682774617818001
CID008459-1,0.09302781246756049,0.07531965839827255,0.030453186311443566,0.47235514011848345,0.16284041415811545,0.1660037885461245,0.838796148298312,0.5954784984129673
CID008460-1,0.14847697655490172,0.06268448038537633,0.018078340902301288,0.6695214567787011,0.09662636777835903,0.004612377600360504,0.8178254548605379,0.5989011330447804
