,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
Other,0.15700904784307765,0.17060571353499357,0.1921582019718348,0.0766727214262874,0.39847632752094314,0.13987654166862484,0.09527859180258681,0.0860387403404012,0.15458257161523975,0.1079986882063579,0.09324747117399587,0.08810437053885824,0.13928758495140214,0.1402150668330671,0.07158759462576526,0.09138014827167189,0.11980661618691531,0.1663781858066279,0.11199117988245709,0.09337468684357568,0.07357652037112507,0.06406610006470999,0.15297403484909933,0.10159179039904263,0.10393390437696039,0.13301690832125712,0.13232904307950907,0.09448465413165719,0.1095606709221331,0.13082058524550602
CD27neg_Memory_B_cells,0.007827937479259724,0.00903996786159491,0.017368623488937914,0.007891185813574855,0.01864201005907629,0.014571403374769726,0.007604809117830643,0.012114819628583838,0.011632206318279163,0.015681304951260095,0.013333173551117902,0.009493117020954818,0.015128031799068123,0.011095588374685843,0.014895188559087833,0.017442497407203092,0.01939211912535399,0.014000005185066788,0.01371029765083664,0.013299737485241301,0.01451459232574178,0.010831375004648433,0.012408660405649096,0.009472045177087123,0.013178614851360945,0.010315592724069034,0.01790423862157531,0.01359633033479103,0.009324286290200424,0.009512098964866027
CD57neg_Cytotoxic_NK_cells,0.0541440205601095,0.029252862397062002,0.009638451801024817,0.018239057301804577,0.043669686628378564,0.01333595992369899,0.021539463630214396,0.04685941965543465,0.014704704392263245,0.015508333259533456,0.038760205205926664,0.02619351398897127,0.014671426824842328,0.0,0.019800542898424638,0.024426171067650854,0.014317843695257241,0.01653081852258797,0.026855874743760944,0.021614476979290177,0.013842908504585933,0.024451915398217387,0.010175059099367547,0.022117595126269318,0.02060143524676775,0.0,0.010901658228407139,0.02063751859095745,0.009793852064987684,0.012150781315113884
CD57pos_Cytotoxic_NK_cells,0.01741186138065022,0.016750942072495615,0.0035680436653588395,0.005594333372761149,0.005925432831448701,0.003241440906495578,0.008543943791316566,0.0,0.001911311825744363,0.00959588731235454,0.0,0.0,0.005202123937172082,0.03210384336462159,0.010139305951509962,0.0,0.0,0.00681261089147468,0.009317508931530426,0.005739287697069276,0.004750114486460291,0.0024914529150720237,0.004269960170657158,0.0043059462427739335,0.0026698940496055227,0.030585574668124855,0.002932734609766029,0.009086889666967418,0.004130803517964548,0.0
CDC,0.04225060380070248,0.03120652510626935,0.06662501580273149,0.06281364081738375,0.03239591158162566,0.05901912593334294,0.05675246132093692,0.045482378942900685,0.0079117695851339,0.07683425451390147,0.07152018873771532,0.04411454280770025,0.06709289736111597,0.05265542781578826,0.04259892516945282,0.04998365135812536,0.05029728909876787,0.02325536769849871,0.06866621444867181,0.05015902355598812,0.03985288928457504,0.059545291148083615,0.046859369405156656,0.04956918008356054,0.027839869223909307,0.021156199009647336,0.021038412786198963,0.06219241902002902,0.045811159244331705,0.09486264368956857
Central_memory_CD8_T_cells,0.0,0.0,0.0,0.0,0.00039236357877688586,0.0,0.0,0.0,0.0,0.0,0.0,0.0001376426375808453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_memory_T_helpers,0.05192223857860781,0.03372139152356005,0.0,0.021771674526073526,0.0,0.0,0.06024156070732584,0.014203392895012316,0.025943815008102108,0.07734257623944651,0.023919233205740537,0.0,0.010558376008197451,0.030783973130576018,0.018390011926589452,0.019604663594514456,0.0,0.0,0.019003123353880852,0.014551772252160314,0.06270882960148226,0.01332408529790973,0.07676411229393025,0.00851562513823765,0.00847003053256015,0.007908137536048548,0.008760618143112145,0.06225016806447816,0.0,0.002912222932198554
Class_switched_memory_B_cells,0.01817783428598947,0.022039267583981097,0.037900822472415,0.01223160159423828,0.004849293373749363,0.03016608710326494,0.0068607824253820665,0.008831531322212392,0.01584268444785465,0.02207700814366712,0.02049509916526377,0.015021653199583526,0.021239972851795543,0.014351540822018246,0.018819446473266492,0.020687520306252944,0.025343276670866756,0.022973022996106596,0.017311711565709608,0.014765523264681658,0.01696807827689676,0.015548323288167831,0.015156549614879488,0.013094407153206701,0.01688469152708132,0.012853272384388537,0.021758950452267164,0.017254210572838553,0.011128837845698491,0.020936694671856108
Classical_monocytes,0.11038677451761132,0.14036271654226615,0.09850920012305328,0.11843918972766602,0.04017180813411941,0.15273485123662184,0.14190641460756387,0.1729114781529513,0.2301808069939312,0.12254570099917106,0.1771458535881283,0.19986831646767655,0.16991426082740788,0.12391829631445532,0.1462151818103708,0.12937282201708245,0.24223501073671766,0.15939547038556282,0.20458906652212144,0.14302020675454127,0.1614422431748256,0.20600790355362572,0.15962944489260936,0.13215050700034137,0.17450397625480324,0.16063636927932734,0.2062218758253684,0.1513936712800431,0.15035468760171433,0.14875143412012629
Effector_memory_CD8_T_cells,0.009213349237245877,0.005548708355501846,0.003809159583554946,0.0028838443698586684,0.004634776079251845,0.007762364883826113,0.005163188450202725,0.007466149889531076,0.00722911380506571,0.010594071045905354,0.004295770510309598,0.008944115057244966,0.005058964379900817,0.004958466651813302,0.00491163532680266,0.004883172727674144,0.007900473340469446,0.00862064832582667,0.00806742330266454,0.0022184119529687243,0.006407834115588715,0.005895383249233338,0.0059400157636729095,0.0038314072747994963,0.008085155833035455,0.008664247615450857,0.005887362762613207,0.007693732866629143,0.004403919473686489,0.005419116848767993
