,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
Other,0.022569908963855488,0.015097796541474378,0.0032862991741768005,0.009021164853739957,0.04633619140517545,0.015747796064283944,0.010074155603323415,0.013038603973961255,0.007542348525916579,0.01878063422200887,0.009908677621896502,0.028518382511354395,0.01599208366276714,0.007782861071286503,0.017856533111505635,0.010257332737647966,0.006381399604323379,0.020466604809308644,0.007211070427603005,0.010258050390003756,0.009387552831834813,0.0171287595267976,0.01549297766056753,0.029633024535993296,0.03230071837193063,0.02017911823783129,0.007199584157706719,0.018643222422121453,0.023471243647143716,0.025969457724179607
Basophils,0.0031201581342422454,0.003853836783782619,0.006270566560669444,0.0029264242973439333,0.010613675303843792,0.0042907915404495085,0.003933621313549142,0.005659011763441931,0.0033879592862838793,0.004789087838366849,0.004559045267832596,0.0014934844379809603,0.003585066114211246,0.004129302565259039,0.004067747651648936,0.003962586972229445,0.0031683083343828594,0.0028638159988065895,0.003605723497086052,0.005129200866885927,0.00240575456767274,0.0035673055059309245,0.0022619419523548117,0.005931922640922402,0.005014965949333502,0.0022876162178737747,0.00322973069113255,0.00720675381419821,0.0030267759675406086,0.002267642024996225
CD8_T_cells,0.04502913721846761,0.05086638524620302,0.12551521133547863,0.050608553541470744,0.10380842698122537,0.06256460015496053,0.0530222418430615,0.10007901165057084,0.0654940784889487,0.08955643891064276,0.08063807739188072,0.028744875916773698,0.07578612172843283,0.08046114787637745,0.0812234171357837,0.07932409291288427,0.07836245824138392,0.057784906865412426,0.06661135159061624,0.05444939905389686,0.04332147352445688,0.07763046880896028,0.047734933812193785,0.08486123667764481,0.0720289492685557,0.028708836015081028,0.0691885840124471,0.08753161252425957,0.06251313077609982,0.029576574798043098
Classical_monocytes,0.003221153385523734,0.0025765614139525816,0.0011588364534666758,0.0007308098916335398,0.00255200732343596,0.0043445283506769366,0.0014234556464610046,0.004235397196197183,0.0027798803410788095,0.003956584532218874,0.0030661643127459404,0.0016665462744109908,0.00554725640974939,0.0050620371137081,0.003325369545756209,0.0022619038896016753,0.002984589939686477,0.004135465071502613,0.0029074737338809524,0.002904373957659744,0.002509984514221584,0.0028860987921270277,0.0031020787466865467,0.002435238487780939,0.0038441939142552133,0.0064333038536848455,0.004581809785308038,0.003059042269978297,0.0031923718158674824,0.0025805792711027123
Endothelium,0.2777730815406198,0.24768493020382773,0.25319749872482095,0.24344363241827674,0.08071580172104395,0.19567392346281665,0.258362453562697,0.24681601560490524,0.25040827249253567,0.28331110179823155,0.25156694427166365,0.29028215253219875,0.2563428789541105,0.2532517100666958,0.24697282971617615,0.23275226520629202,0.2312083205838915,0.2442234847545004,0.239190065180582,0.25424578164316247,0.2466668497155938,0.2413382359912217,0.27380143517562494,0.26686423464225745,0.30024972731129,0.2815815518129086,0.23407654579090276,0.2709706520358417,0.2752722230815051,0.29669114791423334
Fibroblasts,0.32053690317166655,0.3255412210342079,0.36866480780257094,0.27768634788544394,0.23406258047923,0.28776368100378175,0.31070282228760937,0.17516081369581651,0.3172754085190656,0.29706510102655265,0.3441047806905472,0.32923225081159857,0.31269365153802114,0.32124037297811914,0.16632777343929073,0.26510709050281744,0.347778081382075,0.305597457469837,0.3623068527816035,0.26382592530527244,0.3386729427299019,0.2953038865303329,0.29200331808935726,0.15549480349896233,0.14426596297772443,0.31165997426693737,0.32012478828982455,0.3112242103677544,0.2591524855572678,0.3456357543021781
NK_cells,0.05267042104093073,0.07241893456029073,0.0561555199026991,0.0663284900673166,0.11104735502531957,0.0671830121579242,0.05544683016678556,0.07193247048458455,0.06878154608798256,0.0643030142356127,0.04576726239505542,0.06514068350741081,0.0664786552655883,0.0580485015583842,0.07393767323657603,0.06964584930765919,0.03182225918281875,0.06796007601538555,0.04158864908212978,0.06627407997642211,0.063803519504032,0.06942980371194257,0.06569856080541024,0.04263942727850504,0.08800596174679845,0.061102100660780534,0.05522386402728805,0.04571862992136307,0.07505913132506274,0.0893576879561305
Naive_B_cells,0.15855703706728377,0.14611411414693282,0.06422714990901593,0.12130958305129327,0.2833523397825643,0.16297158072871437,0.1263530497490845,0.16110934242143238,0.11971546090018627,0.06715358022636525,0.12851239225285538,0.10303051691607625,0.0818932132732627,0.12103571903296405,0.18342997598288502,0.13915203804142684,0.1528127437135093,0.1287680759084188,0.15292752274632068,0.12277661222000441,0.11738934049148203,0.1244593273132293,0.12196275094555813,0.17342014324661306,0.16039111139785744,0.1284746698651276,0.13782266785963623,0.11451471661119442,0.10234717115929903,0.08111227342334058
Neutrophils,0.0,0.0,0.0,0.010760298622777446,0.0,0.0,0.009155543100045172,0.004559952151082203,0.0,0.0,0.0,0.0019127435824010637,0.0,0.0,0.010052249205720858,0.0,0.0,0.0,0.002635439540285004,0.0008944264383000539,0.003372378441308127,0.005677711430610981,0.0,0.015033574269841324,0.0,0.0,0.0,0.0,0.0027022892121394294,0.0
Non_classical_monocytes,0.005386173230541186,0.007515871554447849,0.003368768449629605,0.0012849990626452653,0.0053857664636889815,0.0075445573304365405,0.002578460777357786,0.0068774624284783864,0.005689318932378994,0.008903534111087729,0.004608322224664702,0.00364209591940229,0.012304023406827293,0.010359271671135975,0.005714502956659668,0.004135184561445799,0.003745206156149055,0.006032623856442634,0.006447806334492961,0.005860073761869861,0.004393777827703718,0.005323359741505231,0.005130592208588458,0.007471907675242668,0.008259273870437083,0.007174607635320342,0.008405665312787155,0.006417346813050366,0.007084527673551562,0.005875792582283145
