,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
Other,0.14251535786197086,0.07057565489535375,0.13264044826467702,0.12420992353500558,0.11322497762747455,0.18323127438684866,0.14396750006128417,0.16491551589487521,0.6348773719545168,0.22055502109437095,0.1272973618569793,0.14814702643045394,0.10839678438798235,0.13395259400611742,0.1465436330768165,0.12559763173808933,0.13425982535661196,0.15815745047819332,0.17935438744511062,0.17023969179221365,0.23485918472602538,0.13973720818253338,0.1332464323674029,0.09898932771316271,0.13566018764102927,0.1694281709322791,0.1056108406459095,0.12544490784934217,0.07689349504150282,0.10218872996426946,0.1118091510198317,0.13296180574939362,0.1307181866147448,0.12775644839802985,0.12116867174058538,0.12727354057607668,0.12965240629551547,0.13565834021874737,0.11916766518689911,0.18795727099228188,0.12551490172118585,0.10027462899588951,0.11186292844815911,0.17635100357282638,0.16499007373453028,0.1184745463684213,0.11117703027367981,0.1430735397567152,0.11981167774926221,0.13838388960847775,0.12476493715398397,0.13445597086063066,0.16539351577713643,0.13972562725481846,0.12911487603406116,0.09461583204702262,0.12215307966534844,0.1549178114314194,0.15660555202226742,0.2846086799677677,0.14405790556697928,0.1456856070283831,0.13395430604423164,0.15988448983270878,0.13070811288686074,0.11770819181875353,0.1351454895386305,0.11577959383114185,0.13453256546491,0.15841411280736373,0.1266812400465296,0.10484978602878482,0.23220039049958907,0.1551566786973237,0.160606338755116,0.15907241925294116
CD27neg_Memory_B_cells,0.0127020219081941,0.011555084950898032,0.020639679202877497,0.01477874843529008,0.013904406692387418,0.006676173587106655,0.010629698203869197,0.022505075182225442,0.002003459504460605,0.006905300292688067,0.016731000390253225,0.017027922430409598,0.013344804995530047,0.015314081527692943,0.016048667872590402,0.013993842012263377,0.014603093161417828,0.012340332978538447,0.019622786172529622,0.015496674444457651,0.013618747863363074,0.016954627754037593,0.019170882134907315,0.011909159320642423,0.009931040121445689,0.011793995979625735,0.013952519904485339,0.013912051607716717,0.012818777278867726,0.017338526622151317,0.016854043315412896,0.016506158159692787,0.020814295993928027,0.017821788041450133,0.012026697010598279,0.01529932466019261,0.016453534011870122,0.017089522508859385,0.016521826591553372,0.01040630390192094,0.016183259037272194,0.01153323169151225,0.019513955504523627,0.014637872218724538,0.019764247224199415,0.0046643246145048655,0.010141580907682385,0.016057048183863214,0.019900564366250654,0.016665557350240695,0.014717030812552311,0.0145114020487834,0.0172728099995486,0.01677502370385045,0.013812019473350626,0.019257813609663936,0.018569122236354426,0.020164636852061414,0.015502199445341322,0.012208247558388396,0.019982004787847563,0.021315770703267657,0.014831363064028998,0.01781050226579423,0.017208958736761773,0.018825588123271217,0.01781172590864143,0.012327634264718055,0.017339883055723093,0.01655913366086073,0.014355768652391392,0.019495398919622892,0.019168124381538393,0.013273158403860686,0.014286904971665168,0.021071257517105806
CD57neg_Cytotoxic_NK_cells,0.016989630574018085,0.04708762164385119,0.018989815213725312,0.029882283914476913,0.012306608913114558,0.022583539448194714,0.02357944546711145,0.0,0.005598956127481107,0.02471472118623899,0.012477607746857786,0.015958489529978998,0.03316862673699178,0.027941292268921714,0.021134406024419527,0.02448899955320396,0.01240678936614588,0.052155913729738275,0.09788404028017186,0.008514110436980193,0.005421057756557098,0.017431423469037123,0.02917686046935341,0.021703882983921546,0.035999349928440304,0.03734088620327619,0.019196864559479013,0.028048948648933255,0.027987285897864988,0.029081974454283316,0.036825372605486344,0.009311083372137185,0.04349915094625509,0.008577318330477755,0.020856643127120655,0.02956440338937851,0.014099779164316996,0.011416011373746336,0.03415776808109675,0.028182156363061893,0.03140581463761608,0.04311318310516408,0.019460808998298575,0.02307407872089398,0.0042361197320432194,0.03097168220872926,0.019023082086411854,0.01321147371645324,0.0,0.014243422135256294,0.020648036985068806,0.014459845545645854,0.023850547754300504,0.013036231004945316,0.016011475529699618,0.02303282909557431,0.010106268008754464,0.021731242893191914,0.013418278702072175,0.0013359331925815853,0.009628289679912631,0.03262509523722376,0.023249601322291848,0.010397676613452388,0.030519709501637186,0.030398454262057263,0.0356923470208538,0.03728907809919285,0.013640221931280179,0.018862303631469055,0.025716461110955074,0.03033659963131257,0.017061696681265958,0.035832854117664625,0.011449293638825042,0.03597312161435268
CD57pos_Cytotoxic_NK_cells,0.00662394835508091,0.0,0.0,0.012754988211389413,0.008105228438657682,0.008832179964855205,0.0,0.0249961312596193,0.0,0.0,0.002921209059306783,0.01034508293385798,0.008887028086511872,0.0021903798420406496,0.008302103741419112,0.0,0.0,0.0,0.0002625723648365973,0.022835492660866024,0.004370807595736442,0.004905130091529559,0.012933012732947856,0.0,0.0,0.010830565932012391,0.0,0.008869086887159849,0.0,0.018440302546032513,0.0,0.0077409385703474335,0.0,0.003196671141048993,0.0,0.006308313122681228,0.005816608075456438,0.000510510064960667,0.0,0.0,0.0,0.0,0.005912863928839668,0.0,8.210470032941619e-05,0.0,0.0071466513263538,0.0,0.032250101554943594,0.008608330537882706,0.0,0.0,0.0033080444008839927,0.007432168028660503,0.0035294011242241806,0.003702853842825998,0.0014766877702092538,0.0,0.014611848636949388,0.0,0.0038395065704164184,0.02134827592560525,0.006545404048054797,0.011419135115573352,0.0,0.011599972619390036,0.0,0.0,0.0,0.010867236947234118,0.0,0.006708807787194834,0.003104950343060259,0.007450633601342915,0.011211297378079842,0.0038517781284165874
CDC,0.0429518008019151,0.014781206152244722,0.046136414224165485,0.04441660745184092,0.045778940366717105,0.0639504878891908,0.0523307209630474,0.04131013504038646,0.0,0.05671015913567068,0.0003036694208066867,0.0,0.047348773998928166,0.041492232637485214,0.026672093402847156,0.027718960129707787,0.0518719447313683,0.014204921202294498,0.0,0.06043580376553144,0.0,0.040537704311684096,0.031915923970185625,0.03357245195130093,0.018423768736300764,0.030724159659859036,0.04079999522574918,0.0106342841520867,0.015382103796023039,0.05683348308940056,0.0,0.008855362839175134,0.0,0.05480062592837935,0.06560359523431485,0.03548154532215208,0.054476009296498304,0.06592630291694787,0.021604037536784915,0.04653846214114529,0.03200886766331788,0.06597763932727455,0.04697911244077244,0.019216260457402875,0.04799055365214625,0.05739490978976695,0.02864298017371273,0.07202193820592727,0.007771507974540201,0.040700564069637374,0.055392171599294535,0.0,0.07387169991958818,0.05959234087037378,0.015987660338630093,0.07304272736536574,0.06994924005837776,0.0309566001707082,0.0424034264959466,0.0,0.03294130963990744,0.05858149522067015,0.05017088389851442,0.027689481085017127,0.018615218687427253,0.028692743160035106,0.008125960251017342,0.05814782521589946,0.07626273637428399,0.0,0.06554609097246195,0.013498203138020682,0.011936813677699864,0.02877205401826369,0.01889918771745025,0.04784218225155219
Central_memory_CD8_T_cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010100210365307203,0.0,0.0,0.0,1.3793450098023056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.805508557632075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00022390033077543858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_memory_T_helpers,0.0,0.0025193430321289504,0.027994170948801092,0.02077741233184557,0.02060748320458024,0.03637791065818893,0.019033789029708998,0.022492275614646957,0.0,0.008939893606537729,0.027060114890057156,0.007042244080850657,0.041198240871220544,0.042995051545107986,0.018742462034206313,0.027603648912398842,0.025366821264714096,0.02857301585126844,0.021984820561144362,0.0,0.052441937634482745,0.028042575742409342,0.0,0.02267140122008015,0.05432521179373932,0.013663209142573605,0.012510819692792899,0.023259842664398844,0.019138015277374663,0.029095976392556178,0.02315137595616905,0.03095490637943114,0.0,0.019713172087625474,0.022235568787195528,0.08049368406516803,0.017100405706853748,0.033695607132039965,0.03594394558490706,0.03813209635923735,0.015909310679738702,0.07970552613291004,0.022147825938000566,0.020956163950562167,0.004217532816054124,0.002453912575867801,0.06390078162616762,0.018467229317985303,0.04018198940550339,0.019875950914118368,0.023607653169331,0.0,0.0,0.035596188698237864,0.023926505433243237,0.016587264134642673,0.05417588355679534,0.02879541598771076,0.0,0.05497197375163351,0.0,0.00368071121586903,0.0,0.007235218686769674,0.008054271684053834,0.030768316883962202,0.0,0.030374278433455165,0.02489250087480211,0.0,0.014549628846766272,0.011824739372650082,0.0,0.0,0.027990312697818674,0.06941561624942923
Class_switched_memory_B_cells,0.021112065420009537,0.009277617870549525,0.025490974152972922,0.019837701412770123,0.016449184370317206,0.011776277478241403,0.01378941929038198,0.026953487630075018,0.004378646202191729,0.0073185427997405185,0.017882082400859665,0.02418227901772261,0.019073498029876693,0.018083597938384613,0.027457328869017538,0.027740717378147657,0.024279777990623124,0.019429432760820778,0.024921846002553958,0.022285081537306475,0.01660603791912172,0.0239195446228144,0.021384247077614674,0.01694760294276143,0.017526177763078864,0.01750111499924867,0.018891654970257507,0.01877810087092136,0.01553071965987377,0.018740251994629562,0.02328670331217175,0.02381590586881661,0.013930870275266382,0.027448379459524733,0.020840181276333084,0.02026203317394841,0.017470413524371176,0.021434526231101314,0.021515762447439905,0.007410040909852632,0.02128688009559312,0.007363261625850947,0.02883907675624491,0.02475979638727881,0.02306627390904777,0.008335280482848935,0.011719552273600994,0.018594811675407757,0.022266048392471368,0.0186104701664994,0.019451710709588916,0.023517399499621786,0.026305968434109456,0.01962806653347505,0.017080639003912237,0.023111686109696668,0.017669248135719743,0.025039462353777967,0.02636376823384325,0.01455764490225755,0.03606494067417321,0.03312431949295601,0.02702014776667445,0.02195127399198009,0.018952142072999886,0.02758212410348279,0.02622443772289038,0.009951495529040719,0.02424978814700023,0.02467512533544132,0.022897076713633887,0.017327832936739763,0.0311008503533275,0.01261863524092547,0.0245305018953376,0.022986743072520202
Classical_monocytes,0.18161462123170619,0.13357874800704855,0.18533842136568007,0.1890541603815854,0.19304028497913955,0.1291628219159406,0.19410537231387245,0.1911139029507166,0.18152473607705893,0.15581900965925766,0.2557838634435883,0.21053178186543386,0.18076320107835506,0.18443676387067953,0.19002789933216918,0.23163477735348803,0.18850833365986916,0.17778220286758964,0.04986792316038587,0.1882339091272769,0.17743226025629297,0.19225987805694525,0.198741261810142,0.17935973420878012,0.19568192255657688,0.1558209155378389,0.2147206933005468,0.15670907682397975,0.15071709406907505,0.16607206709220457,0.11499198365848695,0.21876232530664524,0.20198280175022215,0.1991849810580442,0.1693881235914649,0.1873744596476051,0.2188253348758339,0.14807807373318213,0.18990878287669102,0.11358510259591109,0.16641500522607378,0.12304996633728908,0.17226628872684766,0.1952790233776655,0.15409677359897192,0.205503053946551,0.21944846794575398,0.15261952064031045,0.22333132961195165,0.21577858897341767,0.19959068986231207,0.21380127602183366,0.16442623983327406,0.17414228087917585,0.1721583065004474,0.16975313984743104,0.16801088264005895,0.16549897460629828,0.12815361345030024,0.19138549757299417,0.20850772672999116,0.1611417058147253,0.13535981183511556,0.15446004133834487,0.2110594384822262,0.18956091461459776,0.21315602913403053,0.1573768840308976,0.16862969642161238,0.22080033140255148,0.17719704301202233,0.19470409095659671,0.1464926898914747,0.17589990272242026,0.22205704934335788,0.11881854936025593
Effector_memory_CD8_T_cells,0.006995149521723824,0.00627026077261239,0.005213624867431868,0.00473261359225341,0.005979076704883103,0.0029318818333900435,0.006600002989399617,0.005339970972289975,0.0015869525242756244,0.007543999650374854,0.005171105136581086,0.005494779769148506,0.0030054357143822204,0.00556585998095134,0.0039541076954285595,0.0031023638163577305,0.00273897313736479,0.003446883658484971,0.01337082725429089,0.004636530184639431,0.001796576142164254,0.005319939230963054,0.0055522842779042545,0.004173793526064985,0.007279633321155661,0.006518189060615409,0.003926805421677886,0.0035210866718164797,0.005037269984842335,0.004186009539439472,0.004229665642295679,0.004500155212813141,0.004097749100624964,0.004071872275315174,0.004134966215581074,0.00411895795409231,0.0064224575907055005,0.0028601987081802115,0.006591902748291609,0.005005206793445848,0.008149566529243132,0.0075962798991053,0.005177543756894981,0.005429076845805275,0.0069970222090935804,0.004020185331189943,0.004903602770959229,0.007703531546129162,0.005430326151862049,0.003135289625805266,0.003208398864249846,0.005608544635883359,0.005405725810349916,0.003330716757178794,0.003501176011207131,0.003632590406393447,0.002858170834133805,0.004178173509786832,0.004264846893485075,0.0031585327189839287,0.0062357010222375215,0.006034149923057119,0.006169387212201664,0.005219144678727977,0.004008153866821554,0.0056571242697267266,0.006588964221986619,0.004940905372374865,0.004636248137802199,0.004113129682020741,0.006327066083871754,0.0037794971579474907,0.005510608359778587,0.0057764014485894525,0.006232908750733227,0.0031930814502815798
