,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
CD209+ moDC,0.08369158876041058,0.05534013170067405,0.11656494347273783,0.08324147810337591,0.060152864213480754,0.060941131609632965,0.10085209979299296,0.08399021376832813,0.03512500812588996,0.08290768900156605,0.09599665123364055,0.1011739304802821,0.06845968219763102,0.10249789807000842,0.08636784740426634,0.09000435042672048,0.08611491578306271,0.07375517479277069,0.041611769805615775,0.09564527537177325,0.09391108909824732,0.062448899092178316,0.07367802555911186,0.09171339307173755,0.10305775593672065,0.129333754642639,0.08504922792978424,0.07873294876741845,0.06237323000992388,0.05834311779714907,0.06633692661582237,0.08654754239399867,0.06384612274432178,0.09199547155216274,0.09357340230663583,0.0963834190864377,0.062247419916908686,0.08493072681272895,0.04408463872764906,0.07612968602915539,0.05901277681537438,0.1033366346124713,0.07022588701452007,0.054197048107875984,0.06431179291793117,0.07281940952813688,0.09492928436702262,0.08062391399349457,0.07114929562336644,0.06289237377574743,0.10504644830930061,0.10841989820805463,0.07938955440212897,0.07840472318786829,0.07917918327082264,0.07613692002794774,0.05042183566651772,0.05827070044545881,0.09123979289261397,0.10295329047850255,0.09139937065423241,0.11480602653726006,0.07978969225483491,0.06711634252834336,0.05945025771505026,0.05942144230292322,0.0342658165656797,0.07263420629463797,0.07043996507442601,0.055738090883865464,0.07523168971429739,0.05737763758249304,0.10470390443382416,0.10928615312203416,0.10622711978519628,0.06450790654448187
CD83+ CLEC9A+ DC,0.05212115691116821,0.00523147317660163,0.013616924784988493,0.034018202669518646,0.03095285373272198,0.03948874589323148,0.04695298563905263,0.028912639044867978,0.021834455028056296,0.0,0.013155296026989968,0.03824101815295463,0.01208005277802554,0.026771997171630105,0.04776653764701321,0.012190284943506515,0.04189199109384407,0.055111728202114754,0.046192639228069966,0.044911307097109325,0.017304892197371177,0.016850946561008155,0.014267231148753013,0.013323368634479613,0.018132011200829537,0.00426076467507744,0.0,0.03684540830429153,0.0222909329782736,0.01027050165813794,0.03465965377264097,0.05268117445668482,0.03736801580342876,0.021439136841935272,0.022914023284862944,0.015803990126720752,0.008919005470689599,0.0,0.027143798598847836,0.006940306655956968,0.03774492493762652,0.01715266621919107,0.031078709401668424,0.004218895305662656,0.048395041338548515,0.020248117415716946,0.03564552633272646,0.001945991920725512,0.053810970232186055,0.044395721206862256,0.01695813018273979,0.0015116323727964712,0.038576602302530905,0.05384037901600152,0.049708484192377896,0.032839935104889854,0.028014886997221662,0.04573848727156144,0.005520850321942914,0.019138504326938404,0.004545795727114369,0.0274396022031439,0.024014320031834745,0.04037808865468336,0.0446978548789173,0.03448157027276184,0.06420386809027633,0.02399573897481604,0.02243881881585072,0.053936360007690975,0.007477893426971024,0.018558991041475247,0.04348308701244129,0.006106247670367603,0.010938199625388672,0.016522361755964856
CD83- CLEC9A+ DC,0.0012259169208193236,0.008598349870595743,0.03344364624801462,0.0,0.0,0.0,0.0,0.0,0.008780699125092805,0.030196204821322917,0.010268839255619779,0.006577022692082962,0.0094278987362321,0.008353702245366669,0.0,0.01474578633434533,0.0,0.0,0.0,0.0,0.0138573167980947,0.0,0.008006064192542272,0.005228093122956963,0.029895202123832527,0.037210384061666824,0.014715062138465875,0.0,0.0022092575097039406,0.018681060201717992,0.004554565961990765,0.0,0.0,0.003146156641597509,0.0023962445438505437,0.01856437931485803,0.01249058264712681,0.035301283434162944,0.012598904471887842,0.04381611023762579,0.0,0.030847624669422122,0.0,0.027698966489717477,0.004532644704995066,0.0,0.0,0.02187428341025388,0.0,0.0,0.02223627832408794,0.039244941280362614,0.0,0.0,0.0,0.0,0.0,0.0,0.030300750943021995,0.019843983922381046,0.019436341014711287,0.008289447172476455,0.013227474230220145,0.0,0.0,0.0,0.0,0.008329131595092942,0.005532556711507543,0.0,0.012379117727084658,0.0013915735423376114,0.0007567521558430509,0.02774802754268036,0.020632459210871743,0.01704190093894049
CLEC10A+ DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL7R+ Activated DC,0.0028988293169008744,0.017406007156866337,0.00985824548474984,0.01171078873615477,0.012466945192952501,0.0002750498504029237,0.013747885575823895,0.01752002205832933,0.0,0.04494353673525985,0.024900390540229432,0.017746788930399153,0.017531460392309656,0.01966942052324352,0.03892589932527781,0.020616699668715918,0.03297992491568018,0.034230080757452735,0.02166240518325226,0.024669496051411017,0.014119838693338663,0.04172462169504306,0.011451838808007393,0.025868367658896028,0.023316025770283903,0.019494115879017403,0.02423762218839205,0.017166424607690706,0.04797632495488092,0.010560727036293384,0.014002994956850357,0.037653479056605745,0.02367077875174365,0.012511305685925055,0.019404913931424943,0.027858876294729787,0.007810157629331578,0.02482926238995615,0.02326892181489623,0.004974611110141643,0.007151437488764815,0.01747639700375926,0.035403350952676334,0.01958320203303799,0.025537048564853324,0.003907486790427396,0.04550107842547785,0.008995711308565708,0.022843623001140463,0.01887852873884923,0.017650009900161863,0.02014939154765226,0.016398902652267632,0.0,0.009534152276389424,0.020140692527306686,0.011153681876461688,0.010826337096090325,0.01355770568730877,0.014394368250602555,0.012955105949423602,0.010367535843207579,0.01842830793063993,0.011582928471786885,0.014791125943773766,0.01229135678992434,0.022707156996012275,0.024538206603930413,0.011786016824133853,0.024868996262735515,0.024610004990553786,0.021864000450621462,0.02009522195808628,0.03311876856510645,0.01630139309558562,0.010518766512838772
Mast Cell,0.0,0.0,0.0,0.0,0.0,0.001855732817882193,0.0,0.017208266443225977,0.0,0.0,0.0,0.007246949772240302,0.013634039607736105,0.0,0.0,0.01108826696092367,0.0,0.022841490668501052,0.0,0.0,0.0,0.0,0.001537995465927265,0.0,0.0,0.0,0.0,0.010307636887213622,0.0,0.020115314983721967,0.02373960022366903,0.013110378327797873,0.013925966974335785,0.006883390074113031,0.005446496212586347,0.0052092990124245776,0.013948921563606498,0.006661624737033946,0.014346277244401054,0.008621243673204845,0.006949299194098409,0.015466961961567343,0.0,0.0,0.0,0.014778282119987114,0.0,0.005818314479174531,6.093953463598571e-05,0.0044430545580578075,0.00874355667309755,0.017355932571755942,0.0,0.007551152446603482,0.0,0.0,0.05161922469381168,0.010292099455283676,0.016350544567350626,0.0032833309237325623,0.012711215508753636,0.0,0.004765407267051372,0.019034055507224836,0.014389451495548168,0.008103176945660847,0.009444065846719682,0.0,0.013579890157784807,0.014803542684269783,0.011182279068245838,0.013004095592833467,0.0,0.0,0.0,0.0
Monocyte Inflammatory,0.008281121233709285,0.066072435241777,0.012292357188976758,0.023045314054307032,0.02811888685420052,0.03584070024782853,0.024791887176297097,0.00562320114238044,0.01237934216377042,0.035118486930299696,0.022871118841121592,0.03151871368964136,0.03384639967776492,0.024267287953031225,0.011233335358084092,0.029307499671322196,0.031636222030974465,0.03149444502978311,0.011724406713158383,0.011654134921433579,0.0027841331426401873,0.029625472619068418,0.007682162676153717,0.02866244231610274,0.01231265377749011,0.0117531862344139,0.035392542491220036,0.0038287197764639356,0.04430745524087277,0.015255151137318778,0.008202198904309824,0.03372277963382856,0.0317762944528641,0.012988544550595584,0.022781489161319113,0.02036393088378987,0.010629822815127365,0.00995134361914511,0.024848051210562595,0.022156293452558217,0.010203560428652012,0.02076820296986411,0.024276838966342286,0.032900862162334676,0.024196469855941604,0.013569371352000325,0.03495240527972884,0.009946067784895719,0.012961896936121703,0.04564157549593197,0.034574382274412514,0.027240466563397025,0.007007524477903244,0.026923374896593303,0.032046695952705685,0.02346774098545908,0.0017071381450765185,0.015494928783720198,0.01234659718086759,0.014273343600048522,0.00952083455181276,0.0015006725963696555,0.02280962783726166,0.030923921769751443,0.013911630010083526,0.012450584646352486,0.028655605271248923,0.03895012408161204,0.008559964189496543,0.02336986296072918,0.025357377990726803,0.03313149808117496,0.0015719860750212317,0.03693231007799353,0.023739048542839505,0.021945463385424847
Proliferating myeloid,0.05356081774246364,0.0145872704742287,0.007796903815263368,0.016189637462191802,0.03409399461759822,0.006094418344757148,0.010127485680986566,0.06479382219763426,0.021662927250496497,0.0,0.0,0.014100782748306657,0.0,0.012616908376728755,0.018384406342255008,0.02829919223073184,0.0,0.028281221968840146,0.0,0.05766833777446909,0.0,0.07155101547122368,0.028542322783848266,0.014122970325124913,0.004231231521364227,0.030218305612990076,0.0,0.026984582424483372,0.010910912441626614,0.0,0.0,0.0,0.0,0.02081670322727074,0.014613490200130344,0.018896746978676916,0.031499340677896885,0.0,0.0,0.04881804661424639,0.029028285138882927,0.0,0.0,0.052493121467516425,0.003130947640463809,0.0,0.016018900053913026,0.0,0.005799075735051433,0.0,0.0,0.0,0.026724631981202854,0.0038133493150034094,0.0,0.029964993471003072,0.0,0.0,0.0,0.0,0.0,0.03865315615082991,0.0,0.0,0.02060012648358616,0.0,0.0,0.015358633643161501,0.03800161100869703,0.0,0.0,0.0,0.021377620006829082,0.0,0.0,0.0
Resident Macrophage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4 SELL naive,0.039421348952336524,0.063373525242778,0.006971547979475711,0.0,0.032523987932235834,0.0,0.0,0.03138576594952747,0.0,0.0,0.023992945585599446,0.0,0.035865802129463935,0.058473253911701384,0.001438276825915888,0.045831080649894045,0.0052068216818453505,0.006012229544265958,0.017043816538055874,0.027275921812287985,0.0,0.04407673481011322,0.02288463771817034,0.001949103438748556,0.0,0.0,0.0,0.02294923423689141,0.009859277382397705,0.021988093611303428,0.0,0.00598995754477255,0.0,0.0,0.0,0.019165279519407042,0.01645130125216606,0.0,0.006918826585310779,0.0310866341628351,0.03367053640916549,0.0,0.016549042482382457,0.0,0.0,0.0,0.0,0.0,0.04719711427994423,0.038609198645028854,0.001907032781362358,0.01721510207467514,0.0,0.011518844420669458,0.03258381420173795,0.005400077715578989,0.017145432812353516,0.0,0.0,0.0,0.0,0.010585090492775407,0.041698347724938085,0.04961995689371788,0.007706469093050795,0.012365717301930727,0.034464574424576254,0.009284828096174662,0.05400668895668237,0.026409941497607142,0.06423175255267978,0.0429904093364002,0.0,0.0,0.0,0.0
