,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID003352-2,0.05769814020066964,0.11805982548410131,0.18064790799642805,0.4726215581591449,0.1709725681596561,0.8334622164332116,0.7433984881515822
CID003353-1,0.035328042854383894,0.6601809036941243,0.00013770030303203164,0.06535426498572378,0.23899908816273602,0.9214674909293182,0.8014021654640999
CID003354-1,0.06450560171592329,0.5047469709464639,0.0028325242162920766,0.27472865394752477,0.15318624917379595,0.8989959444429374,0.7613162190062892
CID003355-1,0.3164875453411356,0.2749446940991307,0.12045584993532764,0.0004298682151015576,0.2876820424093045,0.774789887021218,0.6156341503990378
CID003356-1,0.04232481680776926,0.21069354652219927,0.020189060445135392,0.3652865549350191,0.36150602128987697,0.8979525255472054,0.778536016946951
CID003357-1,0.23447415737025062,0.2944435176758377,0.01452365380642704,0.13829759034776212,0.3182610807997225,0.7612256957427488,0.5389115773372886
CID003358-1,0.0014324588872518845,0.5086070656242462,0.019054609219459145,0.1585868358387472,0.3123190304302956,0.9052802294354234,0.7597570338879619
CID003359-1,0.04593774611311589,0.378430259559934,0.0033699953938784587,0.4020067526897682,0.17025524624330357,0.8923497138051706,0.7405901068128716
CID003360-1,0.2574600651108592,0.10607150862644665,0.08414814194296763,0.3770352238983387,0.1752850604213878,0.8422635214259594,0.6497149463552147
CID003361-1,0.36825180171927424,0.2672847830953922,9.585564291099283e-05,0.24503849470575684,0.11932906483666576,0.8770529187707756,0.6783081120975769
CID003362-1,0.11008725482160633,0.39816561645150533,0.0008181199808965884,0.3971497812969598,0.09377922744903192,0.9271422877640494,0.7381803637637759
CID003363-1,0.3093251416899055,0.41028408580576675,6.22392170015565e-05,0.05213019472487113,0.2281983385624552,0.8121578040702954,0.6848381669213038
CID003364-1,0.223680512407584,0.2074772199198809,0.0014882497771972908,0.27591786098403515,0.29143615691130265,0.8324678579793158,0.7116464324843131
CID003365-1,0.20828010904621688,0.4206303680334439,0.007098809237400074,0.2225233679297127,0.14146734575322648,0.8658322821348301,0.7451006010137154
CID003366-1,0.0305938992459231,0.0002339913923597342,0.2379360789029222,0.4366893483813777,0.29454668207741713,0.8344318242414547,0.7352543282861708
CID003367-2,0.24803899071283994,0.00823788186302758,0.053029985000479965,0.34277441701077205,0.34791872541288044,0.9003126887534773,0.7157045254280393
CID003368-1,0.30929080520168256,0.22505223475484887,0.02555810161817083,0.1523099930008082,0.28778886542448956,0.8634688317931734,0.7352964448032626
CID003369-1,0.05992559423819274,0.3145324370398516,0.1341426799143721,0.25927791135717265,0.2321213774504109,0.7451323142446356,0.4753651167420314
CID003370-1,0.29058509130520777,0.29197472425029863,0.00036080812026111005,0.03893761419828613,0.37814176212594625,0.8989912603287957,0.7382766270009837
CID003371-2,0.4485498827284743,0.07750271861787714,0.0005997784320659611,0.21481893963244125,0.25852868058914136,0.8955711011040881,0.7122710561755407
CID003372-1,0.08582424207070734,0.15528648716982657,0.1678312699860116,0.22588392322558928,0.3651740775478653,0.8952523533081953,0.7069168080019098
CID003373-1,0.01258151933614329,0.4502551615714936,0.09188342228321582,0.23863983266569602,0.20664006414345126,0.7214799651834648,0.5036919706001893
CID003374-1,0.03010780117260681,0.7376391741947339,0.011876314978026077,0.18267648555298596,0.03770022410164726,0.9361247796629444,0.824213406786051
CID003375-1,0.01949593759027063,0.5618180410156128,0.04065545441046674,0.3527744478767597,0.02525611910689006,0.9272704860440558,0.790272128148172
CID003376-1,0.13909967137653576,0.4064736364888924,0.09441728512262258,0.35522150931154783,0.004787897700401471,0.9104781549309086,0.6891690670140671
CID003377-1,0.0010150642975013287,0.28855310877071705,0.4933499571301193,0.059876669970397194,0.1572051998312651,0.7671326940292436,0.5153117955779721
CID003378-1,0.0033655582224945404,0.6568709884359152,0.006817120851482195,0.13588218067867877,0.19706415181142936,0.9259988977679801,0.7945133976952318
CID003379-1,0.00034092322547846584,0.6713504602064514,0.022335252492683137,0.13386127973539202,0.17211208433999498,0.934848289612891,0.8162862910768343
CID003380-1,0.0202086890999053,0.4587122043381449,0.05807039062769871,0.10296442264950925,0.3600442932847418,0.8877541880159262,0.6863858856428248
CID003381-1,0.032917614507515236,0.26344035588118925,0.08309602263425844,0.20253662908850031,0.41800937788853676,0.7159565580618212,0.5205813530612121
CID003382-1,0.011539653885704724,0.42273735967631537,0.06646387575787509,0.09211545444816871,0.4071436562319361,0.7268439802278807,0.49341510902390173
CID003383-1,0.12014072570965698,0.33839747666207615,0.0007265146014460548,0.35850612785614416,0.1822291551706767,0.8942594289424053,0.7078908841232299
CID003384-1,0.1250446532959284,0.44309155049124077,3.987478156205945e-05,0.27982607510007573,0.1519978463311931,0.9394246434485337,0.7898859590984253
CID003385-1,0.029136822003400963,0.5287102469818475,0.0136581384547057,0.32083049434659155,0.10766429821345422,0.9157895450722947,0.7473662961472612
CID003386-1,0.005204025707508661,0.0003243564189490661,0.33192761247340175,0.3135326223589468,0.3490113830411937,0.6727714690287515,0.6660423567680451
CID003665-1,0.09056751030439938,0.6225509866585371,0.041311948307735505,0.019131137935025803,0.2264384167943022,0.7584096858638744,0.6059426194508016
CID003666-1,0.003859954020624099,0.7230481866088437,0.0004948924035569229,0.26904589065155554,0.00355107631541965,0.9165726323380161,0.829094143042137
CID003667-1,0.003978331612391789,0.00012242701724489522,0.20767723424763354,0.46554399685410275,0.32267801026862714,0.8075933185036487,0.6806216872472841
CID003669-1,0.0924641053442291,0.00024641804172102256,0.2030892011447299,0.3719743875472533,0.3322258879220666,0.7585221039310031,0.6254048684404289
CID003670-1,0.04639517487486919,3.442561425283309e-05,0.15439120132657388,0.40807468728433605,0.39110451089996817,0.7538082795641587,0.6124245989861434
CID003671-1,0.02147729689929533,8.290092765409122e-05,0.4385351970116311,0.32738125036117144,0.2125233548002481,0.8156603058693855,0.6117515759138695
CID003672-1,0.29120724952377736,0.02524962677393364,0.04074158094503411,0.2257836858268302,0.4170178569304247,0.873999379994489,0.7613850013508946
CID003673-1,0.090649402303831,0.48211728632071704,0.03589201638167704,0.22471092072359614,0.16663037427017888,0.924762331220722,0.7904674128569441
CID003674-1,0.3967560753222144,0.20240057757247765,0.0733508859278387,0.16976445703758902,0.15772800413988025,0.7455564606591528,0.5466775459077291
CID003675-1,0.1358024212329974,0.3516590472728711,0.08817843939687983,0.30883159398057425,0.1155284981166774,0.9066522888734576,0.6214491986616418
CID003676-2,0.09526393475400452,0.4086920173058269,0.015121582217027498,0.3545357012901861,0.12638676443295502,0.9449717100910947,0.8151063875584156
CID003677-1,0.017604386366510627,0.381000699680802,0.04352733483895283,0.001629310430433644,0.5562382686833008,0.7503000976588992,0.6241773889500084
CID003678-1,0.06524357351838773,0.5470035946846894,0.05763021048728047,0.060475736663825524,0.26964688464581693,0.9198643902569307,0.7841705491323238
CID003679-1,0.2895367037860794,0.26246520038184373,0.0029928114221726286,0.014123886948050633,0.4308813974618536,0.8931550606298999,0.7339800315973811
CID003680-1,0.00046811286303367173,0.5376682763010598,0.003405801729788297,0.06878897418861701,0.3896688349175011,0.7698263984568752,0.5822507426764811
CID003681-1,0.0187209206438705,0.5619525502720024,0.05886187680983807,0.19212069126220474,0.16834396101208432,0.9214201298007586,0.7406881701907897
CID003682-1,0.20251595407850825,0.647996499655228,0.0028344021196561237,0.08099960659755706,0.06565353754905064,0.925766395701295,0.8493072420738677
CID003683-1,0.017418645100610405,0.6285788152261089,0.0015973425511051332,0.3521473313805067,0.00025786574166882843,0.8979718823752815,0.7856271834151799
CID004696-1,0.1488482526797019,0.222927688129736,0.004770019298637544,0.3109460864015918,0.31250795349033283,0.8229220168219153,0.6661346392907052
CID004697-1,0.10099884839338587,0.1218999432919597,0.1669264211645579,0.35044095924016166,0.2597338279099349,0.8420432833551791,0.6349813988097875
CID004698-1,0.12214251682750091,0.16962291162167734,0.1016939306250058,0.305419115464388,0.30112152546142795,0.8285479490329658,0.5899534782890998
CID004699-1,0.18331632512298554,0.26155051973045645,0.004489921220670231,0.36142300279814427,0.1892202311277436,0.9382663510837425,0.7869251139862076
CID004700-1,0.001137880382752245,0.35134710144215503,0.05339659351401016,0.43173233246113124,0.1623860921999513,0.9006046017840927,0.764170789015875
CID004701-1,0.012443753909905233,0.1900067823619099,0.051445956617676425,0.5354400680776902,0.21066343903281826,0.9402909833876395,0.7744914093249267
CID004702-1,0.10652513267129166,0.42565812656507074,0.028422876686360763,0.43626608182722715,0.0031277822500496892,0.9137159832849165,0.7809254149705027
CID004703-1,0.19314254768799163,0.1815514595453971,0.021105825283844647,0.3090156456179554,0.29518452186481126,0.8775048998861829,0.7339493903535643
CID004704-1,0.1677243059980882,0.19198562918787332,0.0018762588145957726,0.445031494787992,0.1933823112114507,0.8636726341870298,0.6850728235519558
CID004705-1,0.19097323286199722,0.2670694490004352,0.09147323285925725,0.19538924766391927,0.25509483761439106,0.8672638295949017,0.689316641983677
CID004706-1,0.15336623067725458,0.31038252528586036,0.06053171822333923,0.2534614517195487,0.22225807409399714,0.906061888541457,0.7863744218500216
CID004707-1,0.2886442263492745,0.2387537431632034,0.0010610822248370531,0.22859567426387262,0.24294527399881244,0.8516778771679685,0.6536449077145328
CID004708-1,0.002286548887353637,0.4143342863427907,0.06021718728657897,0.0727551419814717,0.450406835501805,0.8116792854737191,0.5627736361963686
CID004709-1,0.1434217981499447,0.01086269443790871,0.08340038745997187,0.3687615882537983,0.3935535316983764,0.8980773596495913,0.7198829409282268
CID004710-1,0.15874158156469326,0.14439517679741734,0.01669199969068435,0.35555591332479675,0.3246153286224083,0.8967297111840673,0.72432071176999
CID004711-1,0.24427343467090235,0.18403171065521004,0.001342631179723566,0.3248192546624824,0.24553296883168169,0.8649053099563222,0.6292802406366893
CID004712-1,0.059333548936935654,0.4126879728756787,0.005710372253622726,2.7895991358209255e-05,0.5222402099424047,0.7634162303664922,0.5472770219132951
CID004713-1,0.09069670802912072,0.3099216997420351,0.0047023364405593526,0.3700689879383527,0.22461026784993204,0.927381015971369,0.7774104066332242
CID004714-1,0.12144215783943547,0.39378396967694046,0.002808072579420746,0.3373408818065805,0.14462491809762282,0.9184001512082277,0.810404403711017
CID004715-1,0.0015492422310704184,0.6267772363892936,0.0001742245657736302,0.37112642363523424,0.00037287317862816827,0.9009677725632749,0.845031263998378
CID004716-1,0.06894979656865086,0.43533150358412454,0.03396404201943295,0.4130733803607929,0.048681277466998775,0.8895374846429144,0.8008346464032692
CID004717-1,0.09150411398672524,0.4613611207799565,0.01557449773400097,0.10571995197858729,0.32584031552073,0.91815174135997,0.7585904249915769
CID004718-1,0.0015460870052797743,0.6771090853169697,0.0015552357608694762,0.2178695806530206,0.1019200112638605,0.925599338660788,0.7657360285365388
CID004719-1,0.04372181190649074,0.454132942573848,0.0012503332031290064,0.44705283282555863,0.05384207949097361,0.926060820222457,0.8197480712100046
CID004720-2,0.14894907881849387,0.23838304393494267,8.6353194631925e-06,0.41286729300241737,0.1997919489246829,0.9256113853999945,0.7242778750419256
CID004721-1,2.7880464050742288e-05,0.2761548773058135,0.3804583883768586,0.13060389308535533,0.21275496076792186,0.832589404946317,0.6761458385652946
CID004722-1,0.02784372273672105,0.526308139413975,0.04117055640748592,0.25827501116954427,0.14640257027227377,0.9269135040555571,0.7804896901697755
CID004723-1,0.009369032761826839,0.49075080555606343,0.0011294767772636733,0.41284800478613914,0.08590268011870693,0.9416845747063151,0.8293695637610786
CID004724-1,0.10750388450991105,0.4506116827674287,0.0013856392518381236,0.41763338156383567,0.02286541190698649,0.9174239490411837,0.8170827136161037
CID004725-1,0.44764219615326106,0.22211841607518645,0.06943229784699803,0.04040433224034488,0.22040275768420958,0.8972944821323647,0.7966891803533831
CID004726-1,0.008156295000617668,0.26577445326186855,0.2781591388746421,0.23106830406398438,0.21684180879888726,0.9085371014861962,0.7438732108020251
CID004727-1,0.20456276123747824,0.402776354494176,0.014000693945318731,0.37834113726021573,0.0003190530628112273,0.9124997431925481,0.694777136321962
CID004728-1,0.23947574093941923,0.40368404743630076,0.014806780335075374,0.11886856781157165,0.22316486347763298,0.897441375994872,0.712411579637002
CID004729-1,0.23169934550324234,0.3295946263362224,0.0011019406147013927,0.4190021176444061,0.018601969901427897,0.922014356563793,0.7624302612211571
CID004730-1,0.29996557339718954,0.3389326029495497,0.01705640550294462,0.26767078359583013,0.07637463455448591,0.9025988914135915,0.7069403635996283
CID004731-1,0.030438112515977073,0.1425422144295288,0.237872868056322,0.1816520635780049,0.40749474142016723,0.804656492890166,0.6072191101018843
CID004732-1,0.030725412560679732,0.6101306620003333,0.009252312017047532,0.3462702901734074,0.0036213232485320414,0.9297246407777363,0.8298812804834321
CID004733-1,0.04617962159292373,0.3321692546072412,0.00020775242728983642,0.4854772932804079,0.13596607809213734,0.9131289728112815,0.8070384321041405
CID004734-1,0.281618723309433,0.2516618228606694,0.007767143927134313,0.45765524153781606,0.0012970683649472133,0.8747579589765504,0.6443679924337055
CID004735-1,0.009219487581972082,0.26760947082018227,0.09632754004108657,0.2667588927054744,0.3600846088512846,0.7851609827360724,0.6038392037851045
CID004736-1,0.05550963553130681,0.49581275946186565,0.11454267588069413,0.3181559126704062,0.015979016455727225,0.9082633670618235,0.7843988626971737
CID004737-1,0.025497476103197456,0.42111083385597964,0.052643247955754875,0.3926493624506504,0.10809907963441762,0.9464394160403988,0.7887128934599716
CID004738-1,0.09289537589268661,0.5339004370570757,0.011903502354518945,0.35437874194914515,0.00692194274657364,0.8842088040782585,0.7682607358152465
CID004739-1,0.26307493197554754,0.15850624339481661,0.02414084602101958,0.3850598247063632,0.1692181539022531,0.9068809759094065,0.7949678288465059
CID004740-1,0.2044002367122876,0.31744980045579035,0.006782489715433526,0.31891756068626975,0.1524499124302187,0.9362032764521948,0.8083438684818732
