,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID003352-2,0.017690809206713547,0.0767199882172816,0.26640626137030926,0.13386566189446555,0.30538797205334844,0.19992930725788158,0.8481170189741001,0.7396914192341725
CID003353-1,0.3825053618480974,0.0010449863376223412,0.022072526895567178,0.14334585960345453,0.29305653362799955,0.157974731687259,0.9321342305037957,0.7923562445545342
CID003354-1,0.37577586942388863,0.0022784789854855495,0.18073245418845288,0.09225406979683329,0.17410082565615514,0.17485830194918447,0.9147878606504973,0.7841251436200571
CID003355-1,0.3875923666616596,0.005343550693241571,0.004176725396681402,0.48683709389199736,0.11166087055122512,0.004389392805194998,0.8120936515268916,0.6424976715677586
CID003356-1,0.10935634632445207,0.01799630997103381,0.23752996983677194,0.27198292566248583,0.16718567940463577,0.19594876880062057,0.9004117410617664,0.7891962132587208
CID003357-1,0.22784963406529574,0.005923010433540176,0.10394786177998537,0.3150877944097173,0.17901053708352382,0.16818116222793764,0.7604920791814709,0.5535493573034034
CID003358-1,0.2304433670254334,0.004355647866969961,0.03916322613962016,0.17861713985461172,0.5340593568514829,0.01336126226188187,0.9251696572348747,0.7608913062627752
CID003359-1,0.2441966154061392,0.02161883767221624,0.2831208167119841,0.10569666829892295,0.3200298879849053,0.025337173925832308,0.8987924030569548,0.6992158609749906
CID003360-1,0.06940395511900123,0.08519445100986357,0.33699591217976776,0.2131384076865749,0.06484419340281072,0.23042308060198172,0.843316808723345,0.6644425598399459
CID003361-1,0.13167545931955604,0.003480825528423893,0.13278816025494586,0.07904855624068387,0.30568678491349993,0.3473202137428904,0.8637879147041545,0.6578707892124811
CID003362-1,0.24911278646055932,0.013921718565106076,0.2594179232476505,0.07193862024509275,0.22165170337431495,0.18395724810727634,0.926409659167036,0.7374265222298005
CID003363-1,0.2830618693685061,0.015898886880791115,0.06468500154499172,0.22504419056035094,0.14959521964462677,0.26171483200073326,0.8262725839199399,0.6992140460854757
CID003364-1,0.17490541283570782,0.005757813582464993,0.2236155392591087,0.3132416522930542,0.20316596331976025,0.07931361870990417,0.8513893040081627,0.7363968244024184
CID003365-1,0.3479304693380436,0.005227063574790561,0.20623669939752007,0.14046927815445928,0.12985905684588436,0.17027743268930212,0.8777041442072825,0.7665895385066374
CID003366-1,2.6386441936592277e-06,0.2226754053219056,0.43239939934126786,0.34019364556107606,0.0040435482501986145,0.0006853628813582107,0.8656947319990798,0.7606855404631341
CID003367-2,0.00024113826725738694,0.03937605532316749,0.2528750186381897,0.27218987781533255,0.23658521205697194,0.19873269789908102,0.8991624636816181,0.7146880011292858
CID003368-1,0.1842042790974189,0.0007055674810196608,0.1426284428261161,0.3133054007612377,0.05886182506032674,0.300294484773881,0.8749445676274945,0.7470797293112413
CID003369-1,0.26987570971390695,0.05026800657934069,0.21606496729555869,0.24996738192278448,0.20628959950750966,0.007534334980899499,0.7314107872732616,0.4492476148660225
CID003370-1,0.2738086579853411,0.001131383473517581,0.08018642089051721,0.42820278806140927,0.06599927058917826,0.15067147900003655,0.9031474837838014,0.7471965163424932
CID003371-2,0.15621637975532196,0.002036032280165682,0.305837127376263,0.38057447096594554,0.03168243197131545,0.12365355765098825,0.8981827855088367,0.7125168089054936
CID003372-1,0.06428585177937995,0.04535634327625158,0.15435955092855475,0.344402397665347,0.024727572425940352,0.3668682839245264,0.8999034184429965,0.747883385158446
CID003373-1,0.3210972785682657,0.02958473253612081,0.1431272508248109,0.2229838936277228,0.2447588209970021,0.03844802344607766,0.7252453710631176,0.4889944336289742
CID003374-1,0.6617045587777405,0.0227362014022383,0.170741205356462,0.025071687172273902,0.0943080411845786,0.025438306106706745,0.9446905137178425,0.7666134342297907
CID003375-1,0.3919566659813445,0.0022624345122366336,0.22301575858263864,0.009998466745869579,0.2631547299456644,0.1096119442322463,0.9360951075473837,0.7818986944229817
CID003376-1,0.28150038511820497,0.009252951869330544,0.24407203117296597,0.07241889352495724,0.3101502449643543,0.08260549335018698,0.9133002341428862,0.6724160423511896
CID003377-1,0.1628787233675407,0.19919369509861254,0.00652166778215465,0.09256446656808598,0.32205753366172246,0.21678391352188356,0.7729383164587397,0.520672498735663
CID003378-1,0.45150846789554083,0.01782447528307173,0.07378528374991696,0.12269007480318447,0.27409226213577165,0.06009943613251435,0.9242436431020054,0.7886659905625605
CID003379-1,0.39056500358901225,0.001654161862026486,0.05377791965904948,0.16523490549757347,0.36475648944324734,0.02401151994909095,0.9406445118550459,0.825824895183004
CID003380-1,0.3999744114682771,0.018579677796968033,0.03191901568631303,0.37226976895641173,0.07099115385113228,0.10626597224089779,0.889968771579045,0.6943084083253585
CID003381-1,0.24112074337583647,0.0012018602211160431,0.1669990474453026,0.39491539683012916,0.092279975731202,0.10348297639641368,0.7115312937847728,0.502367812985937
CID003382-1,0.3921492457786667,0.01427821004912013,0.08629171472038076,0.4336750408957731,0.05326101508817557,0.02034477346788375,0.7383202613705464,0.515046831108038
CID003383-1,0.23161328852370777,0.0038557340838166103,0.24688658785788548,0.16958531585714004,0.22746938682468495,0.12058968685276515,0.9047249734609955,0.6977873390607545
CID003384-1,0.3083338003622665,0.0265912997941982,0.19996951827029297,0.10736842788558812,0.24136579374739697,0.11637115994025725,0.9420110597601047,0.7720702226286159
CID003385-1,0.2878072986885331,0.0026104971990988973,0.1448885148942897,0.014369545475991905,0.36632702798062283,0.18399711576146358,0.9209990069783576,0.7364855294833719
CID003386-1,0.00016881831860911085,0.2231205082277883,0.28366288679754836,0.27420496124054466,0.21813034613382226,0.000712479281687191,0.7085149412786755,0.7117985707866819
CID003665-1,0.4735084455674087,0.018067560699938028,0.012958470630987552,0.2052526161265455,0.2699130303810764,0.020299876594043822,0.7552667432479364,0.6115664915489596
CID003666-1,0.33720009728965594,0.004329527551329189,0.14094237746253058,0.0011945923396889748,0.5161229134441521,0.00021049191264319438,0.9235888120107928,0.8397405285791018
CID003667-1,0.0012939392178658528,0.1367685876004183,0.3767652913227802,0.2907645324375004,0.1941700845882544,0.0002375648331808511,0.823511487764069,0.7202515229610409
CID003669-1,7.196518553828038e-05,0.21559725958384388,0.3226829521668414,0.21371289496772178,0.24707927229671395,0.0008556557993407819,0.8000788440331041,0.6674054693104983
CID003670-1,0.0008463552880632226,0.04485234252756643,0.30492225779834975,0.2675812854279849,0.381514830257106,0.00028292870092970284,0.7726535541752934,0.6655409257172024
CID003671-1,2.6315252063926843e-06,0.24999268384831777,0.3197322399435237,0.3039294111498064,0.12575866718753145,0.0005843663456141983,0.8260899684661469,0.6377045506251622
CID003672-1,0.05938909580402431,0.018006724045956213,0.2133949132718078,0.2982099070166965,0.34250864965507566,0.06849071020643957,0.8739325017343872,0.6936802534071526
CID003673-1,0.33192792897313245,0.0019472110587014995,0.1780232244641672,0.16355532660159372,0.24335985334890028,0.08118645555350486,0.9302086394357921,0.7697469886366902
CID003674-1,0.18394101977713556,0.037362006970667334,0.15219135359609146,0.2514800217245081,0.0990769434997445,0.275948654431853,0.7519344662263643,0.5490336393812724
CID003675-1,0.2790191048678318,0.1276441642767514,0.27527836578831577,0.13581787618390614,0.16983766272043652,0.012402826162758316,0.9058533864758614,0.6020916008797982
CID003676-2,0.30724634390448663,0.005084353836480668,0.28891166524345063,0.11856143874987313,0.22528764513830005,0.05490855312740902,0.9544674069167253,0.8036767341632363
CID003677-1,0.2146788362490488,0.002389918314029178,0.0031515979041695113,0.41792748232782695,0.3601118367637621,0.0017403284411634254,0.7618892421125746,0.6426650581419606
CID003678-1,0.4550061675649915,0.07904955081512713,0.036878148057597225,0.22088371969110815,0.08764383932435621,0.12053857454681978,0.9223679640958513,0.8048833749675798
CID003679-1,0.20395122017690165,0.03438744567505254,0.04270743423988297,0.33089908363318193,0.36416258082283526,0.023892235452145666,0.8878075494884194,0.7404316190586109
CID003680-1,0.3721500473915671,0.002399184451498096,0.04806138804060239,0.3513621646448487,0.2250011901375959,0.0010260253338877563,0.7701222912954171,0.5783052949751131
CID003681-1,0.44404815664155245,0.004428791513806252,0.11342712504725234,0.06351329593668278,0.01481151097804217,0.35977111988266397,0.9274196404562179,0.7066668940258983
CID003682-1,0.4349033872740982,0.011018113956229078,0.0489899165991022,0.09797357908742206,0.20153975447652853,0.20557524860661994,0.9241902792703331,0.8175376339058652
CID003683-1,0.3613115596358483,0.0010912027170177092,0.24100555251466524,0.0002037217742826304,0.3941283613617931,0.0022596019963931264,0.9247482168140412,0.7820502503457588
CID004696-1,0.12498604854279224,0.12816684947447501,0.22386872242536626,0.24548626357345116,0.032609001236918886,0.24488311474699645,0.8300450577486866,0.6632115375077381
CID004697-1,0.00484370159838779,0.074282887936563,0.2246896721140487,0.20586717575130087,0.03215381990641606,0.4581627426932837,0.846313397301782,0.6375816975899881
CID004698-1,0.08472016350442994,0.09686659397000835,0.22385030068862294,0.2425097589787239,0.1689550767736844,0.1830981060845304,0.8409746771517206,0.5991834854005638
CID004699-1,0.22355070338474148,0.02584295755703919,0.3100841459016947,0.2136734065848711,0.21643883731727817,0.010409949254375241,0.9452287350536639,0.7386749251326458
CID004700-1,0.26486420360469626,0.006742905720939059,0.3358024024297472,0.19123328106925722,0.1895984190056166,0.011758788169743673,0.9103829580707151,0.764952776282846
CID004701-1,0.06621887559653059,0.004324596946680129,0.31769592096830923,0.09034478071435732,0.2396985440720393,0.28171728170208343,0.9414527288755912,0.7507256045060949
CID004702-1,0.33399314931937074,0.03393775427285083,0.37272892336023944,0.01162806655464425,0.09829266739935154,0.14941943909354313,0.9159950323105939,0.8080891705492307
CID004703-1,0.06323632509473445,0.024339793061438787,0.1927174453324049,0.21836272907756085,0.15990951292152603,0.341434194512335,0.8703247549651129,0.6917216954588106
CID004704-1,0.07701545304732026,0.00042977520110697767,0.25810598706164184,0.1819140395563447,0.2904980378964192,0.19203670723716704,0.874558112690282,0.6924985197534459
CID004705-1,0.19602433743695918,0.03618012010073529,0.1388735236764482,0.2908169651792959,0.18378576397832724,0.15431928962823416,0.8670750503374411,0.6959609849624144
CID004706-1,0.23616127409453946,0.013229609488850658,0.17035105510008355,0.22646744056730306,0.035366983081363934,0.3184236376678594,0.905580405454152,0.7584847637383111
CID004707-1,0.1898443529308491,0.029527609558648204,0.1643827965324306,0.2509860299199355,0.09857165465781796,0.2666875564003187,0.8402789945066836,0.6342292396830164
CID004708-1,0.4237349901769212,0.0017804418903189685,0.021838477771658413,0.4887906980938415,0.04775288481329296,0.016102507253966957,0.8186138405351334,0.5632774236814951
CID004709-1,0.0047111863093703115,0.0005485593920357283,0.24747094024125824,0.29589532390994067,0.304584469442316,0.14678952070507897,0.9060044205127532,0.6869671751546108
CID004710-1,0.13306162634262497,0.0004458522891517245,0.2751964038532176,0.27917916350145916,0.30357506175682675,0.008541892256719814,0.9027873684644481,0.7408239373322146
CID004711-1,0.1922812072250739,0.001516044111027621,0.37357127350060904,0.2990556070912947,0.049790496381887844,0.08378537169010691,0.8703737104105043,0.6463623253366375
CID004712-1,0.34430332126545904,0.0008714479117275043,0.0007082211802001731,0.43627078799582086,0.20667580687863046,0.01117041476816195,0.7958512542409105,0.5835523426848159
CID004713-1,0.24126359388422924,0.01088481942716872,0.29015280033076857,0.21926203111214398,0.2360823135995853,0.0023544416461041954,0.9383939304891407,0.7815517412273105
CID004714-1,0.36984486576341624,0.010030780079969362,0.3176644326125596,0.13969220515770023,0.009795226471156836,0.15297248991519774,0.924987702579507,0.818955350272836
CID004715-1,0.5243264788187758,0.0004146045036290127,0.3316918043813775,0.00015345869951715837,0.13947284792960862,0.003940805667091863,0.9172815430235355,0.8124364142620709
CID004716-1,0.26163943903188414,0.010885959906825051,0.25384781410936336,0.061829921123497056,0.2800400237075686,0.13175684212086178,0.890385488739882,0.8061353802166469
