,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID003352-2,0.012157164025624305,0.029978487644322167,0.47005163624080193,0.20022314391208265,0.11667450443355225,0.17091506374361667,0.8474782746913504,0.7656310238875695
CID003353-1,0.03625905152345009,0.0044087241348398955,0.19683377228022683,0.5008415640016721,0.12422571970881349,0.1374311683509975,0.7295939781974015,0.6622820881412604
CID003354-1,0.06615634089426327,0.0008135316085759601,0.458082441915798,0.327200721662729,0.14747019754702717,0.00027676637160661924,0.889290972185709,0.785422492765967
CID003355-1,0.2547463054471126,0.00025642393554405215,0.04676007065461885,0.307832352805265,0.39019678619776316,0.00020806095969644486,0.7068405969063263,0.6507157359271023
CID003356-1,0.004066295292649599,0.00020934870464422417,0.32568244661159734,0.3296567900665418,0.32544788901338007,0.014937230311186978,0.9157801139304754,0.8165444157983773
CID003357-1,0.29274145590441036,0.0002293830078024853,0.28991024385594916,0.41348048565025997,0.002819920476675354,0.0008185111049027183,0.7882668437588346,0.6518515971025288
CID003358-1,0.0008072687879799625,0.005151130787495227,0.437168462797585,0.4335205838954218,0.11551709822438809,0.00783545550712998,0.7038216722983802,0.6795340764461387
CID003359-1,0.015016706717195077,3.1147271236803735e-06,0.3900683639419698,0.2600496869679024,0.3339841536846047,0.0008779739612041264,0.9243754868954346,0.8063305609344178
CID003360-1,0.08939825604163272,0.0015313272513179626,0.25572450632586685,0.20221282310979893,0.43345051944531554,0.01768256782606784,0.8077816218417896,0.7391506620344108
CID003361-1,0.0973283528491453,0.017090831468769965,0.3016707502766031,0.18964963818833613,0.3039497195367489,0.09031070768039659,0.8390402368362885,0.7626292807900539
CID003362-1,0.013449661383269317,5.863001102037206e-06,0.41652992969966496,0.24960105838357066,0.3193658831353311,0.0010476043970619052,0.933705007888096,0.7953673585346356
CID003363-1,0.25555958507002774,0.001261102437009194,0.3031778754303126,0.33297090512559857,0.10466767129110259,0.0023628606459493075,0.7053147823721367,0.6707465795106409
CID003364-1,0.11827216157705839,0.002520762930229783,0.3830982157785272,0.4369699309961101,0.056563990508168155,0.0025749382099064058,0.7539046314010326,0.7034105761551567
CID003365-1,0.09474195803549045,0.00023054370483536395,0.44291281104816727,0.3415675849953277,0.10619170759820774,0.014355394617971527,0.8326413816890433,0.7700897393054046
CID003366-1,0.24857497051775354,0.022057493707452826,0.22378645491469562,0.23859559827065233,0.2177307740616229,0.04925470852782275,0.7903802643049268,0.7539879256103381
CID003367-2,0.06079636668362898,0.03904215569588683,0.34100156845470203,0.32959237017019966,0.04391065535093598,0.18565688364464655,0.9049649687935406,0.7981281989302693
CID003368-1,0.13102189531051375,0.027071931122856347,0.24930654150207313,0.38011786480495857,0.1993671444938765,0.013114622765721735,0.8423111406935708,0.761847335039773
CID003369-1,0.1655440873050966,0.03750447525561419,0.41957685778189374,0.2589241706108279,0.037644757059063255,0.08080565198750443,0.8299830099257802,0.681842110150469
CID003370-1,0.23547075850470248,0.0031599462138948496,0.1869680070744228,0.4290836485986435,0.09963867120459276,0.045678968403743636,0.8393238589796335,0.6662573265672354
CID003371-2,0.2144834544138623,0.004815295365430309,0.22637430409251458,0.28399558210850157,0.2320616524543302,0.03826971156536092,0.876643119019941,0.8011078766740539
CID003372-1,0.009074262387693106,0.04153735155495813,0.23161576086363347,0.36847646761890124,0.296093281829965,0.05320287574484902,0.8807923999329969,0.7546162861115274
CID003373-1,0.03288448726743626,0.0018720276547728742,0.4834341742942166,0.44813829714621023,0.025077001092728327,0.008594012544635697,0.8407336739090294,0.6993988105998034
CID003374-1,0.020198440465456685,0.013812703152205674,0.3464954162276526,0.14137974167975353,0.12053461677279166,0.3575790817021397,0.7957227976750982,0.6538683155160819
