,B Cell,Epithelium,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID003352-2,0.004354425254517789,0.01662381387950848,0.2963638172155751,0.0825839082500679,0.29993199603129084,0.30014203936903994,0.828682879679652,0.7404475301033986
CID003353-1,0.028792313093140103,0.4914677734172056,0.00976375629199626,0.21200266207838822,0.2515519477686354,0.006421547350634377,0.9182040534981711,0.7867880469144832
CID003354-1,0.017858173124793545,0.36882726223617973,0.2501677821896166,0.15573224378744277,0.17903155477726151,0.028382983884705833,0.900922326701508,0.7436556405843658
CID003355-1,0.2273122283553897,0.23393737007221332,0.002656338586056307,0.28170365937634095,0.24079865023022748,0.013591753379772253,0.7513278003152588,0.589103552431921
CID003356-1,0.013517415381533797,0.13655787451933732,0.25038456818553617,0.2516941584969825,0.25664377263021887,0.09120221078639128,0.8920364238002362,0.7613030636209785
CID003357-1,0.18726267215718037,0.1775053262947576,0.0659812728452185,0.22983535188126608,0.11630880276638433,0.22310657405519305,0.7200923325972041,0.5100923801219635
CID003358-1,0.0008894930314044992,0.4072931272995127,0.14867375524605347,0.24783187144258564,0.1840146287075255,0.011297124272918135,0.8672962967080614,0.7250331618345844
CID003359-1,0.008361010960210228,0.2761154849998725,0.3252203455067233,0.19460733113991202,0.18061043676578414,0.01508539062749785,0.8955752300820401,0.7009432058734633
CID003360-1,0.1481982364700065,0.09124390406249791,0.3855636087176038,0.21841384329500396,0.03334269672845295,0.12323771072643486,0.8010627307000955,0.6289409695490249
CID003361-1,0.16355713434376926,0.2858171428183465,0.29883224981491835,0.17037915203656642,0.03313043986798328,0.04828388111841622,0.8348975118293516,0.6392088068994457
CID003362-1,0.06576125736366159,0.3061802041089741,0.32602186570621433,0.07945916767923393,0.0897951855995691,0.13278231954234698,0.9124439159413628,0.707140823386144
CID003363-1,0.16922449899373962,0.27516234444928134,0.09245336269865653,0.09791661900829578,0.05556061545964898,0.30968255939037787,0.7629010822099868,0.6436988516750489
CID003364-1,0.030745002956175254,0.11173555373521103,0.20996329480411793,0.24056221697928568,0.20906244380610756,0.19793148771910263,0.7594332760461487,0.6521920496241301
CID003365-1,0.01536485538188992,0.353430652489348,0.2176561427757395,0.11005701697339254,0.07542049027887456,0.2280708421007555,0.8347170202116091,0.7074330977756339
CID003366-1,0.18402435934634567,0.0011283340712853612,0.35359991927070317,0.2896964394783622,0.17014383381552542,0.0014071140177781627,0.8320227560050568,0.7458082041235191
