,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID003352-2,0.1107745174783327,0.1502341044639911,0.14574265210115844,0.20264153100447996,0.11563614724749295,0.2749710477045449,0.8922207514509725,0.7869173592134828
CID003353-1,0.006552077918041731,0.4816630984791568,0.00035750911592471253,0.19617386449974664,0.24880666131874993,0.06644678866838023,0.9367070217917676,0.8550429686376111
CID003354-1,0.09910493956036506,0.4300558676580198,0.0009859424098393338,0.16746717249306148,0.1882360591734915,0.11415001870522283,0.9335754228631777,0.8308283718612298
CID003355-1,0.3808493530148812,0.1594274842734444,0.0007471482407492981,0.22974018478359512,0.2248697462331351,0.004366083454194786,0.8233504871112606,0.6192112381773611
CID003356-1,0.018505067110463763,0.1676057376854218,0.005503853166767413,0.2813703401790916,0.09025081745213098,0.43676418440612447,0.9190705944091546,0.8089932493048542
CID003357-1,0.21776796297839257,0.21222527277215478,0.009394114927643677,0.25912172616387097,0.18109757860913642,0.12039334454880156,0.7970707007302325,0.5831291291208289
CID003358-1,0.007651859175527152,0.34297924357595067,0.0032659135877684087,0.20431269939250418,0.061898526116497515,0.3798917581517521,0.9510531943959166,0.8234807023054082
CID003359-1,0.07327864160379031,0.3657898954580492,0.022348183972388486,0.2650847136002034,0.16524373604192044,0.10825482932364815,0.9182212046190337,0.8173533985356366
CID003360-1,0.3018014710553574,0.06681214642313742,4.8525885955118134e-05,0.15993516281380343,0.2592733946032991,0.2121292992184476,0.8692597495163426,0.7066362931699474
CID003361-1,0.21566682689404312,0.2493074282614538,0.005560631151756615,0.1672233242217583,0.1284486713934031,0.23379311807758507,0.9017607481613183,0.7449528966600414
CID003362-1,0.01604634642773462,0.3704117524846516,0.0019117487103310644,0.1305027191696115,0.06441255503337884,0.41671487817429237,0.9386962944973994,0.8353777585897649
CID003363-1,0.21542668808255822,0.2914570607958404,0.0022296480341700803,0.20246335428625434,0.17594686333567366,0.11247638546550336,0.8933388421984289,0.8024609525436495
CID003364-1,0.24223386952047235,0.2264778834774973,0.0019029867809216682,0.3327983489106104,0.18156870154432597,0.015018209766172465,0.936390934488933,0.7901099118467063
CID003365-1,0.17358843901625437,0.38348533224279796,0.003116458601211914,0.14949391867851208,0.1865513495910772,0.10376450187014646,0.9135915649727804,0.8320293158290265
CID003366-1,0.23067441749034112,0.0010015264521503172,0.16753375042704305,0.21768888774469422,0.37823390702156373,0.004867510864207745,0.8826435657277403,0.7808917124909234
CID003367-2,0.2373742215684779,0.011486925280761392,0.02571952935821031,0.21539416125741753,0.29534053361803875,0.2146846289170941,0.8948534483359228,0.7386502547335333
