,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,rho_Spearman,rho_Pearson
CID003352-2,0.010014972688130463,0.044689998452341416,0.046877948534397,0.3131729285309719,0.33127391333864803,0.25397023845551125,0.8358058572304794,0.7504932959911621
CID003353-1,0.04014484998624823,0.43159072626741973,0.0014603951781679673,0.07733641023355017,0.44644763766571105,0.0030199806689028504,0.9157560488053805,0.8095848757976478
CID003354-1,0.046608027152214765,0.36561670922004763,0.0019192436936526843,0.25224025268611944,0.3303881344539641,0.0032276327940013927,0.9176192228823808,0.810020349438463
CID003355-1,0.37552895077007314,0.2643798973070316,0.007700156081121809,0.0013841426130440345,0.3407147406989412,0.010292112529788275,0.7244041236409126,0.5742399230032277
CID003356-1,0.08154549875099115,0.22010474211297454,0.05448932641892791,0.3275440406448785,0.3042673246923948,0.012049067379833123,0.9006162522843401,0.805995056513762
CID003357-1,0.32538283146888775,0.2550929562793231,0.0042564119708721,0.12511554573634845,0.24826235186760728,0.041889902676961396,0.7166323823345525,0.5201367271591862
CID003358-1,0.002239413591329533,0.37627453082196893,0.030286325140640707,0.1412368704412587,0.3672456470382053,0.08271721296659686,0.8859048598694337,0.7443067161033636
CID003359-1,0.08726253841818693,0.4056402761222035,9.607290024318697e-05,0.44137961615728344,0.06545516090549741,0.00016633549658555378,0.9176877998529284,0.7709137266259736
CID003360-1,0.16233311184203275,0.151551007356329,0.09920777954847483,0.380700757626032,0.2017709550634516,0.004436388563679774,0.8147175101039934,0.644408899379796
CID003361-1,0.19306791641227938,0.2808398931234494,0.01549889474488505,0.27205070387925934,0.21235551373122222,0.026187078108904686,0.862822468208158,0.6866442990977019
CID003362-1,0.05712070709041173,0.31211762533761206,0.0015436128799973582,0.3197717832353386,0.30588084765499957,0.003565423801640718,0.9334717236621913,0.7880864605984147
CID003363-1,0.21585910870704095,0.34239539333041363,0.020173904841805198,0.11547313310581035,0.2937636135378027,0.012334846477127154,0.776608861790973,0.6765146765224255
CID003364-1,0.1316761148097505,0.16880011264619682,0.0005222675661594547,0.22948142844556757,0.30024065964713637,0.16927941688518924,0.7820774238563816,0.6945668952862265
CID003365-1,0.07334676630640179,0.36214672479548893,0.00018089186192005424,0.24268336324280906,0.30736652397092695,0.014275729822453133,0.8614210344783537,0.7701325161818343
CID003366-1,0.3030998421405591,0.0005148724120188123,0.23280860268880177,0.40730735697389686,0.054174694958207564,0.002094630826515908,0.8355656936281672,0.7300046364008271
CID003367-2,0.2629323568113811,0.023166989902884984,0.038791489155429675,0.34622692024393953,0.030007033640849234,0.2988752102455155,0.8860229246353558,0.7194408510057018
CID003368-1,0.14482455686965948,0.1399629080219873,0.017248833322305646,0.0978217828940128,0.2992589535809304,0.30088296531110437,0.833958431803375,0.6990883969579315
CID003369-1,0.052008430848247765,0.3021570212951514,0.08980884549596548,0.23526044458292084,0.04685033865748447,0.27391491912023014,0.725998321957414,0.4820826380618337
CID003370-1,0.28558512280866033,0.2614179953580743,0.00258724872864542,0.05105584098287222,0.11846690395588087,0.2808868881658668,0.8750845410475911,0.7295156744981632
CID003371-2,0.41182784539531747,0.1562186335094977,0.04298226849199556,0.26436787874901774,0.041940713718169126,0.08266266013600232,0.8792247226457753,0.6996455092897275
CID003372-1,0.05683631902235358,0.17193871947507255,0.1666056094427339,0.23663406805833095,0.12445713571409772,0.24352814828741132,0.8854693822017344,0.6944590472319558
CID003373-1,0.0048228257028625115,0.4309495613786777,0.04824706625447698,0.2900132682711574,0.17644605610697053,0.04952122228585501,0.7418108207581892,0.5557565783548832
CID003374-1,0.0012138457327499719,0.5895892137330943,0.003235132270448889,0.17109461537115597,0.22711328632721006,0.007753906565340883,0.9416675429833324,0.7989221325633507
