,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID003352-2,0.0016972928692372854,0.029885813020827885,0.37361645489665074,0.08269515018210745,0.21483303568042786,0.25829433718900296,0.03897791616174582,0.8381630209364411,0.55829886288731
CID003353-1,0.29288170424975346,0.0001565081390269997,0.06911367517811486,0.19066806785007584,0.2874616965335835,0.15843283041673942,0.0012855176327059177,0.7676020323079147,0.6539550991377298
CID003354-1,0.17012557773874448,0.00025418873837317887,0.2030413677496399,0.14239230970214126,0.3530613103683133,0.12773395462507914,0.0033912910777087117,0.7235923749688702,0.6002866762944
CID003355-1,0.07011560367705494,0.000494922188902965,0.018703012436244244,0.2454133939988794,0.20246670484365561,0.15965771102981552,0.30314865182544726,0.6750816732291139,0.5436437854566128
CID003356-1,0.0502186836563626,0.006812250286271863,0.18379730954702111,0.29837619176169966,0.27436078970532707,0.1076642061117205,0.07877056893159726,0.8402540690750299,0.6220018472969
CID003357-1,0.07149270970723816,0.0002912619486983535,0.10841512972030093,0.27223939998831087,0.12145214236931658,0.09133898133423264,0.3347703749319025,0.6992217395854066,0.6415754548082351
CID003358-1,0.07073006548549518,0.0011819938959732425,0.18475056144007138,0.11560852374762652,0.4982119499987143,0.11993284218575295,0.00958406324636642,0.7679388579449323,0.622856077850993
CID003359-1,0.08815732357887966,0.00011035836624461686,0.2498596054316261,0.2066653717846956,0.26189117269207696,0.1918583226793463,0.0014578454671308,0.7725369731197547,0.587237912624917
CID003360-1,0.0255873355159338,0.0004300409266903905,0.24546517210389598,0.1426484397542432,0.15444092271336163,0.10738523953925305,0.324042849446622,0.8296053272065266,0.61344178193159
CID003361-1,0.06811027465909109,0.0025840013391712074,0.23451708511163938,0.0943964729703307,0.38008845610521175,0.02703651121910934,0.19326719859544655,0.7825376272902509,0.5651633583806085
CID003362-1,0.10413206258977652,0.0012655416684555349,0.23403502336835116,0.09545740672299262,0.2801676334378276,0.28445917181919483,0.0004831603934017488,0.8081595036604656,0.6124948054785305
CID003363-1,0.060417644630224636,0.0008761010062895242,0.1801082544405667,0.12276746623468772,0.293097196208463,0.17099139114609774,0.1717419463336707,0.7364013077347398,0.5376771585043716
CID003364-1,0.01920972736563774,4.701075503850218e-05,0.261382388739058,0.20122029985673698,0.11581229825312096,0.22170456682744516,0.18062370820296264,0.8014964978623316,0.5972985456506488
