,B Cell,Epithelium,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID003352-2,0.02149719138859512,1.4895059681213432e-05,0.40930473021485475,0.09768527707183482,0.045699682780331416,0.18740159260257958,0.238396630882123,0.832467528491969,0.6097869662614684
CID003353-1,0.00019764713169377862,0.30931429425748436,0.09218812402983981,0.23527734180291152,0.2990525190667705,0.0605936494148125,0.003376424296487408,0.7436953587153954,0.7066103902704876
CID003354-1,0.0005859671892449645,0.1774685603758565,0.20965595530639747,0.14861945058701484,0.33129537252679453,0.13072581754807452,0.00164887646661715,0.6385464274453502,0.6532778928179263
CID003355-1,0.5123729132874096,0.05490982625177787,0.03399862243398616,0.18338231301195543,0.039980225365641074,0.04276399955847086,0.13259210009075903,0.7441937458899295,0.5794585461923297
CID003356-1,0.0008592306868679634,0.060070200615607555,0.20761329830068187,0.4240479618632761,0.1829208448138035,0.04122363830797323,0.08326482541178983,0.8209455247086561,0.6713949944319094
CID003357-1,0.25106241142441565,0.04873112613482625,0.07101178424820796,0.21602508679761576,0.0018080083243118487,0.23371308457915976,0.1776484984914627,0.7307784829337286,0.6609417158171662
CID003358-1,0.11654000189319483,0.050600611293683144,0.15004859819448857,0.09199584514900261,0.39124758097732204,0.1960519299144237,0.0035154325778851275,0.7230298870655769,0.6723068831583929
CID003359-1,0.014309688321944248,0.07350077226282045,0.2797631055832114,0.23307413789922785,0.19065732832624718,0.20232198410920882,0.006372983497340084,0.7289150245966125,0.6452472810446583
CID003360-1,0.05973560364732271,0.03919634255846954,0.2191469340719494,0.1448639167288419,0.044645570571101315,0.28095276778686956,0.21145886463544555,0.8346519893103459,0.6851901545227362
CID003361-1,0.11614297547868463,0.06326861089509077,0.17893070107845063,0.10029667457624918,0.19591743217311045,0.17532221062640957,0.17012139517200467,0.7495101095020129,0.6435837639093064
CID003362-1,0.048984660224087366,0.11097310744478942,0.2788911182749216,0.09557451316419276,0.26417702567140017,0.19627650459556528,0.005123070625043515,0.7428793452839005,0.6879793486748178
CID003363-1,0.18067983731798068,0.06422831857072224,0.1742264904712268,0.11334728673189809,0.24908328682567035,0.019593806601287626,0.1988409734812142,0.7193677702914825,0.6076653307950893
CID003364-1,0.07211055850244223,0.030149917261361472,0.26376533040866107,0.20972509248613377,0.04379522339223826,0.2382142004824268,0.1422396774667363,0.7737279605156346,0.6262566869187589
CID003365-1,0.1052887146204019,0.16617036496979765,0.2998831463560144,0.1524284317807382,0.14188131528466671,0.10276539476173284,0.031582632226648165,0.6546454439774658,0.6687487050022302
CID003366-1,0.4976939043898434,5.2521886110122575e-05,0.16888646392317072,0.13784842867727456,5.1303116247914255e-05,0.03900284176143194,0.1564645362459213,0.8753439891787459,0.6353720098347944
CID003367-2,0.11752625674806717,0.000903581708862792,0.1305379813715656,0.16861056259405838,0.004063844943038064,0.2875912189829688,0.2907665536514392,0.884034412789557,0.6766625067577883
CID003368-1,0.1314013113666351,0.015530046137285492,0.09757834743579014,0.18480880029919636,0.08953580879147266,0.1788660973576164,0.30227958861200377,0.849023635400755,0.6525308675008075
CID003369-1,0.07855443248765794,0.0948470253116419,0.12498327763685876,0.08589919049381227,0.014005787338482527,0.28094103823146294,0.32076924850008376,0.7169710564198929,0.6505674456294331
CID003370-1,0.2214229717379671,0.0069048326709519854,0.027492911315629334,0.19981711015218598,0.12071065002501467,0.19011834144144785,0.23353318265680323,0.8421445429805523,0.7048895689607545
CID003371-2,0.376362297799185,0.005857211236175077,0.04961453081153226,0.1804237959291909,0.0028211417518078045,0.09325197826691523,0.29166904420519374,0.8643882433356118,0.6714376136026305
CID003372-1,0.054893283180921654,0.011575005491842582,0.09912793276549106,0.39415315437401716,0.0862016718334829,0.12763304947089316,0.22641590288335153,0.8441420159972292,0.6618425185302494
CID003373-1,0.00023530838056407346,0.14490762335674023,0.09899853575453876,0.2089957065986942,0.05160393025702347,0.22194952333215742,0.27330937232028174,0.6760374461739587,0.6402955545831891
CID003374-1,0.0011133903553015103,0.5115449549614762,0.08717267119321442,0.016146544179062115,0.19015078839898897,0.1834724356677295,0.010399215244227263,0.7243338417341211,0.6336741011752285
CID003375-1,0.0010170894820619837,0.17983846454407845,0.3138597827269595,0.0014999788944265332,0.33764900282635935,0.08103456878232732,0.08510111274378687,0.7497359728901555,0.6360288725105512
CID003376-1,0.00018778485204857626,0.05698748184044888,0.3243249487993174,0.00038849089594872777,0.298981314494532,0.10899026679034718,0.21013971232735715,0.786819290492405,0.6411790731089144
CID003377-1,0.01009048631467278,0.09896095055344471,0.13208435184464976,0.12180492668970848,0.08100437851114785,0.11768254171790836,0.43837236436846805,0.6590423341263715,0.6001443759787303
CID003378-1,0.049823468628622136,0.49044021314908426,0.1568088316732946,0.08334587610071624,0.18525566623417056,0.012197548141201064,0.02212839607291105,0.7544084141799738,0.6713218549094719
CID003379-1,0.0013638358483947315,0.12556462952756875,0.08916611057570632,0.06590733234806513,0.19380307239370576,0.4754507703087658,0.04874424899779349,0.666252319063384,0.6019991812627411
CID003380-1,0.003391428175193528,0.08833942761494694,0.056919248715027765,0.22488892743556768,0.15261587640467544,0.20632869139217075,0.267516400262418,0.7086083551952882,0.6730472006867175
CID003381-1,0.0002219797877089702,0.008831636252776331,0.08648515039681476,0.4059104842744016,0.0015913552700972265,0.23581696720651577,0.2611424268116855,0.7219644613635493,0.6091089199989314
CID003382-1,0.06740639645916653,0.04772569182153127,0.15461614326901493,0.27285735525540356,0.13078193994591797,0.04955863355896693,0.2770538396899989,0.6536367449083305,0.6541103352203725
CID003383-1,0.03236825779904573,0.17656235606560958,0.2360143228608062,0.1296960087341499,0.16094899880081898,0.17897648822182846,0.08543356751774114,0.7157800967946343,0.6462556895875977
CID003384-1,0.12909446087050305,0.10282777645614208,0.2359323021121075,0.07908054571928896,0.24342802382515893,0.1868806565527389,0.022756234464060516,0.6941412001677529,0.6574425516583431
CID003385-1,0.005621895761013217,0.15690510638278313,0.39421490005036125,0.022609469216988125,0.3685447387069,0.017797614284853883,0.03430627559710037,0.6833599288658717,0.610338988409807
CID003386-1,0.5647095488511129,0.00012097139551715741,0.04283179436057243,0.22444282797166842,0.00010234384738741823,0.11126872584673633,0.05652378772700529,0.7926494723706698,0.5537349460771318
CID003665-1,0.05843217122410023,0.16994603111059317,0.043930436812439924,0.22996518319924159,0.03550626995212511,0.16772449830337288,0.2944954093981272,0.6797389901422305,0.6162619780005614
