,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID003352-2,0.0036960850644346217,7.508581295083697e-05,0.00666286061083621,0.04730759415295894,0.045969383670976624,0.2225842061310165,0.6737047845568263,0.757245337159254,0.5414120455347737
CID003353-1,0.00041290884269178834,0.2803206087316899,0.0011234993519607223,0.1947929366979488,0.2856827621583539,0.016179167301104802,0.2214881169162499,0.7292929731317771,0.6540014886821024
CID003354-1,0.0012116978654356711,0.13933320082738795,0.00013371148132108502,0.08104513392450502,0.2484115900079654,0.2609964225871377,0.2688682433062472,0.7212755905397171,0.5988957264835719
CID003355-1,0.4873480774335103,0.04079610615991972,0.0019986485898835136,0.1317859088160115,0.012921814874503541,0.04651523166325376,0.2786342124629177,0.7794995873051838,0.5505407690468632
CID003356-1,0.0006131518048959967,0.027124435042298056,0.00010278846048480057,0.4061969189482979,0.14950032505142757,0.011417575237192425,0.40504480545540333,0.8072782014403744,0.6223111262581454
CID003357-1,0.3138439921251313,0.06869884258657577,3.588723531054572e-05,0.2082180221429886,0.0011901096006040363,0.023403080500290864,0.38461006580909884,0.8048464132692381,0.6471932083888744
CID003358-1,0.0023915542076786635,0.05936576986633549,0.00011286953526862149,0.06330867587745598,0.27202828006290736,0.27846257882323777,0.32433027162711614,0.7681573501411516,0.6221759549654102
CID003359-1,0.0025012000020317145,0.08392498310314385,4.264331200344648e-05,0.15508868438126572,0.11887098018029603,0.10648640873646222,0.533085100284797,0.7242470814245604,0.5544335056164383
CID003360-1,0.13747731850110645,0.015021915167575067,0.00026036361627154383,0.08071722622301966,0.00030623039987564513,0.3679382653202612,0.3982786807718904,0.8123343534217724,0.6174099499546599
CID003361-1,0.033958620535278344,0.0362240589894691,6.505816422129265e-05,0.0409117100749847,0.1380920408484518,0.3633490033231203,0.3873995080644746,0.7813062314917557,0.5653844206244835
CID003362-1,0.002622643992749123,0.14023148499277394,2.5557843685089516e-05,0.08479482702273491,0.1595499192614277,0.23356840429233303,0.3792071625942962,0.7471574964275342,0.599416262722912
CID003363-1,0.1149441393033851,0.04134499885406723,0.0005567484801370975,0.04538913359682599,0.09738795215507709,0.35240016107389216,0.3479768665366153,0.7606496636068588,0.572838050516908
CID003364-1,0.023962884964228902,0.02160066414384307,0.00034083481116043335,0.15153866187629908,0.02861003909640224,0.39193073007779916,0.38201618503026713,0.8106617820178371,0.6101193798226556
CID003365-1,0.016112868952001844,0.20385265219130946,0.0002693416168823897,0.1440143721569972,0.0976528137987829,0.037677109985315614,0.5004208412987106,0.7196534913372834,0.6162631136454214
CID003366-1,0.3690109123118243,0.00011080539535884695,0.02514122201098111,0.09329010759927964,1.80494292711581e-05,0.28444743108635323,0.2279814721669318,0.8611594859862689,0.5776977477047368
