,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID003352-2,0.003279398170841909,0.0007037007961439892,0.026833846954502093,0.3573356133113981,0.24005701918800892,0.34023642687618794,0.03155399470291703,0.8271047790967359,0.5434110878626722
CID003353-1,0.014444811551227973,0.38887435503597706,0.00398614681652885,0.09125492758674503,0.4072356144669211,0.09293650412753923,0.0012676404150607898,0.7384852447089266,0.6455826897738163
CID003354-1,0.01131168589346704,0.1858438151630569,0.0007295162341407128,0.21235368633503657,0.34163571394570375,0.24005122412264668,0.008074358305948368,0.6940357577380366,0.6074743630917588
CID003355-1,0.4895220410111271,0.0650017414706235,0.01850873535975861,0.04309978241366009,0.1286333242442353,0.23376066168215265,0.02147371381844264,0.7207574489433515,0.5285341520783822
CID003356-1,0.006661040607379486,0.05810817243918872,0.002242490497179246,0.25288284440486986,0.33119840360167807,0.18233262917632326,0.1665744192733813,0.7859045364224411,0.5881428439208947
CID003357-1,0.29533853550742917,0.06917346211023293,0.0031304255354982534,0.09885603162150088,0.0004833021416846359,0.2667581977309349,0.26626004535271935,0.7276317763131713,0.6561779234966275
CID003358-1,0.14917344744788727,0.06508403834905628,0.0007986792522105724,0.17705906958148476,0.45401349831081794,0.14706677153345515,0.006804495525087896,0.7459512655985513,0.6434924098907707
CID003359-1,0.051194160993428224,0.0984480696200138,0.0013856889100226782,0.3048325294557719,0.23235623933715457,0.29155201193974695,0.020231299743861824,0.7566845371779082,0.6070002906498896
CID003360-1,0.2271288835841992,0.04762028395249774,0.0003694202982492683,0.3239106040687332,0.06349131116534283,0.020672770629251717,0.316806726301726,0.8431685517027293,0.6526837334176946
CID003361-1,0.11526299478702272,0.08398094486636086,0.009300722233753023,0.24658788692120598,0.3577511441787071,0.037620294985008323,0.149496012027942,0.778201844128782,0.592737793216758
CID003362-1,0.021692276769462226,0.10374094792550417,6.185290071050522e-05,0.22956291906555176,0.2826911246591595,0.36153705025404265,0.0007138284255691472,0.7903354989031224,0.6169245527123648
CID003363-1,0.26337625150115723,0.0711479678049223,0.0007274961520145793,0.17431145609424034,0.2439082926320274,0.16689430131829064,0.07963423449734744,0.7315319844162373,0.5802379490595762
CID003364-1,0.10184026836490133,0.015036167892654675,0.000995685181326416,0.29531833327591756,0.1031023991671806,0.23467034475213516,0.2490368013658842,0.7846890902814169,0.5873458255851691
CID003365-1,0.06485035734775499,0.23505762743685377,0.0004363535406537451,0.3474687168111916,0.2750368459904202,0.06275464351756992,0.014395455355555664,0.7169637035427081,0.615127985124425
CID003366-1,0.3817978791022251,0.00014690736862068277,0.02848955799175731,0.12024502113132067,0.0010189307729569293,0.3470258537334774,0.12127584989964194,0.8830709752580128,0.6332472310311796
CID003367-2,0.32679467912352317,0.006677675892379726,0.05035966281520246,0.18686707579321318,0.0007879475318524246,0.03153707043913291,0.3969758884046961,0.8636901455924674,0.6556625777576905
CID003368-1,0.1908928300456786,0.04185956297875134,0.03850202615081682,0.16673731024047203,0.18165054458623234,0.19181289734739154,0.18854482865065728,0.8181555405760509,0.6059369815025509
