,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005226-1,0.018888754136833916,0.4737158836664313,0.10865688297202192,0.25875415430005655,0.1399843249246562,0.7688725359498036,0.5552366308946867
CID005227-1,0.026271281703846967,0.4743858088311803,0.051821640622211576,0.22654155682063784,0.22097971202212333,0.7553907193375885,0.5495283915675011
CID005798-1,0.03978418912608549,0.13288150358396542,0.04237958204511657,0.523192640652203,0.2617620845926296,0.7787457510158294,0.6883920887276759
CID005799-1,0.0003044762951130491,0.029289110481733042,0.5733468996323637,0.20641832055406256,0.1906411930367276,0.7671561101707148,0.6029387697201075
CID005800-1,0.01041685753732064,0.46839310106143545,0.11529451476350472,0.331792596054851,0.07410293058288808,0.7977720193412231,0.7580040137377563
CID005801-1,0.003675353912848433,0.3622044901533956,0.17376741674802612,0.00013200888185376978,0.4602207303038761,0.7657334767509199,0.6640086098604572
CID006004-1,0.003237286581634114,0.0007222105070510445,0.5367237717474413,0.4135159032433537,0.045800827920519774,0.7969154725819785,0.6748173488615858
CID007374-1,0.0007757193013447431,0.00022228081479928535,0.3066463134555892,0.351588160935833,0.34076752549243394,0.6752305583636713,0.5978870772077517
CID007376-1,0.005298590380182037,0.2727313837364417,0.11069814343462986,0.24232644686557892,0.3689454355831675,0.7352788980289514,0.4231883368992482
CID007378-1,0.010219036554144663,0.464237352580474,0.11252692534179637,0.11983927871860486,0.29317740680498006,0.7434860157881887,0.533995775262166
CID007380-1,0.14169858980716069,0.21352055112779728,0.12071438791845047,0.25188677555298644,0.2721796955936052,0.7495956295625625,0.4937720950854686
CID007382-1,0.014317315073492333,0.004048173628311713,0.38715486274996136,0.28125793261178655,0.31322171593644804,0.8307703523858612,0.5863353017867401
CID007384-1,0.04483283246355822,0.3270993163582798,0.18442019834015394,0.10285460369199764,0.3407930491460103,0.7686154585759308,0.5901933669484456
CID007386-1,0.009113058705144872,0.31872691098646244,0.03501923279510972,0.37934188473175035,0.2577989127815326,0.7406534169192616,0.5226056891561031
CID007790-1,0.2458451194841822,0.023247481333153745,0.3430097236664242,0.00817242942432066,0.37972524609191916,0.7625956243387679,0.5601998096992483
CID007792-1,0.03276595577851716,0.19822450772198952,0.2510298709654245,0.0009850295174830038,0.5169946360165858,0.7919545810424841,0.6046331251517244
CID007794-1,0.298725197806748,0.037269390766690294,0.10302472291770545,0.29102629298714533,0.26995439552171085,0.9235819114016764,0.7940692520143683
CID007796-1,0.10385926217149333,0.4849420881482839,0.020468739350106735,0.25164609888576905,0.139083811444347,0.7153531318666414,0.5544784942583428
CID007798-1,0.13888563264698134,0.01422268233135429,0.25487172664708846,0.3780493356433154,0.21397062273126055,0.8295127232683986,0.5959431095891923
CID007800-1,0.02261550906170336,0.08374001903178342,0.33756855927887947,0.20074722982732432,0.35532868280030944,0.8235547903834854,0.6618804270310075
CID007802-1,0.0980358280797756,0.0014559745849658898,0.2906702364580279,0.2701659532444544,0.33967200763277616,0.8539361391773121,0.6288872709486577
CID007804-1,0.006662064709262884,0.1914506281460681,0.37369243057404106,0.0015825684174929397,0.426612308153135,0.8472063686646432,0.7016302016530489
CID008392-1,0.03019102556011671,0.500293999810219,0.04817551274577288,0.042246283672124324,0.3790931782117671,0.8723855898868785,0.7977458771516723
CID008394-1,0.0034723413128755214,6.555654394799862e-05,0.47253652726628476,0.17796342115535704,0.34596215372153466,0.7904638466308296,0.7603449149696976
CID008396-1,0.07918350626575009,0.10154390566991502,0.3339311026808831,0.032818114098761085,0.45252337128469067,0.7692443837625313,0.7052503333180344
CID008398-1,0.0008351617825277549,0.2593462590073475,0.032948542120568275,0.42580831479184905,0.28106172229770743,0.7292487599889776,0.4889319959267141
CID008400-1,0.022550313276122766,0.2638830504458959,0.08169230706042328,0.26258469344815727,0.3692896357694008,0.7193734499862221,0.4840531118867706
CID008402-1,0.06793635345655824,0.33295753954040974,0.05810981455990976,0.16950602549114804,0.3714902669519742,0.7536913837823179,0.5190552095241308
CID008404-1,0.00715516436349683,0.41362479136194075,0.3225542487864439,0.0059705649317582845,0.2506952305563603,0.7519192686433552,0.5445876895423847
CID008406-1,0.0025061289410834723,0.2101160737605052,0.017616324195831843,0.1803245330371082,0.5894369400654713,0.7056029993055927,0.475599923375286
