,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005226-1,0.3945774577465139,0.04714558161058741,0.1717549509762532,0.20305141033723761,0.18309212542488137,0.00037847390452658107,0.7789609900188981,0.5536543213769454
CID005227-1,0.31634066418100437,0.10050760049222594,0.08475507046241763,0.20680859020251463,0.28266067861730654,0.008927396044530866,0.7670618337924938,0.5155149281097708
CID005798-1,0.04092789762699188,0.04683816078608332,0.37645209524697865,0.18260862290804547,0.07904261065161029,0.2741306127802904,0.7859647977191676,0.6909062759059597
CID005799-1,0.017701868417603833,0.46914909634012786,0.15409369907642445,0.13748297110604396,0.21413098420491733,0.00744138085488267,0.7487350435876546,0.5710815222191599
CID005800-1,0.356938675714212,0.04810429839112183,0.25139242431795666,0.06953337739009854,0.22119742598041928,0.052833798206191676,0.7526729888214501,0.7396291881749832
CID005801-1,0.27274467331583646,0.061505350271258676,0.0003273402082979218,0.32917210279120795,0.332518910520639,0.0037316228927599293,0.7495472463710652,0.6520696879849437
CID006004-1,0.0013775956053850692,0.341290203061151,0.3348870766987667,0.10314290028903518,0.20966906177820446,0.009633162567457547,0.8003536789411396,0.6771290471920636
CID007374-1,9.764596339203624e-05,0.12309032014386694,0.42800090848853883,0.4063214712416304,0.04248325689898726,6.3972635845451036e-06,0.6819890033630491,0.6277939856311134
CID007376-1,0.13585918630247962,0.03313598466119211,0.0882619273779559,0.31414557210139005,0.18164821999942254,0.2469491095575598,0.7492454302785448,0.42907285988962807
CID007378-1,0.4019244092775139,0.026710786884306822,0.09417798500520014,0.37470196693318536,0.1018220515561304,0.0006628003436633311,0.7528143616594984,0.5506030504641037
CID007380-1,0.20477051735800858,0.06853249899618215,0.19607076018302455,0.3562752655693342,0.03679670415933953,0.13755425373411098,0.7568235600556414,0.507230246892635
CID007382-1,0.0002521139196027436,0.24068969175059393,0.21723203910742228,0.24744418406658458,0.29265040848716023,0.0017315626686362426,0.820682285683755,0.5827894995198492
CID007384-1,0.23139395054893416,0.048248935462701106,0.011513513948588846,0.36128276821769956,0.11952950174033784,0.22803133008173862,0.7796721531120204,0.5998599633427737
CID007386-1,0.30956235699328266,0.04685207329893841,0.30429662829666987,0.29570402346115804,0.020703491431376512,0.022881426518574482,0.7421762137309048,0.4951058381187494
CID007790-1,0.05054659141188272,0.21616545322558917,0.027211890311148276,0.3505116803637533,0.34058285088674606,0.014981533800880522,0.7652525846178506,0.5709356369196216
CID007792-1,0.18432669687986608,0.013532785461761699,0.011652685751014195,0.4098069465803238,0.3020563450559081,0.07862454027112614,0.7802245609368159,0.5954102026604173
CID007794-1,0.05703363646328436,0.01778314269791275,0.25126628573618903,0.26157214847949445,0.1829143361951873,0.22943045042793211,0.9101274604491723,0.7888063870103115
CID007796-1,0.3507007745903087,0.04224261714623939,0.16938878525298662,0.20003893725357808,0.2143852317647187,0.02324365399216864,0.7041327171212567,0.5273538351889272
CID007798-1,0.0022521550924447793,0.13993487582119055,0.27240080466957284,0.21363200406181349,0.32237264050137043,0.049407519853607834,0.8287779315410799,0.6005374384648492
CID007800-1,0.04587963577926001,0.2926756988706988,0.13312964727059445,0.34487984536037664,0.016750529166085715,0.16668464355298437,0.8291478379495117,0.6583902457685823
CID007802-1,0.001030971801929681,0.2100051530650559,0.20327106702555148,0.3131066061813782,0.23075183513030292,0.041834366795781716,0.8403614457831325,0.6253961556773978
CID007804-1,0.14752371016991583,0.24101561033609528,0.002920156319858013,0.3174268030420545,0.2861256624304885,0.004988057701587875,0.8530912123303428,0.7112165029159749
CID008392-1,0.36571856084847226,0.018021884697386626,0.006723679767014294,0.3465588949550359,0.2095550899397088,0.053421889792382105,0.88114230758956,0.8135457541752383
CID008394-1,7.742869337610664e-05,0.3283591091624522,0.15696832787892656,0.2565362820583912,0.25795599658262786,0.00010285562422614159,0.8013315022689277,0.7887978765390989
CID008396-1,0.12183958376637319,0.18536423134054203,0.021974335336968704,0.42766297956181487,0.23173329585125638,0.011425574143044896,0.7674050632911393,0.7241072785447465
CID008398-1,0.14300211730970386,0.06616526340559316,0.2674523243547558,0.21784559875073206,0.243621373699955,0.06191332247926013,0.7376095233344971,0.4595137896134416
CID008400-1,0.19511410476180369,0.016830309428984485,0.20062061410288776,0.47788511018339985,0.10842657891874576,0.0011232826041784618,0.7184579598166311,0.4930065787378032
CID008402-1,0.276975172826265,0.04195124682839483,0.09667877560152352,0.358914965887054,0.1812107769263641,0.04426906193039847,0.75677368225625,0.5234192343055696
CID008404-1,0.3486688668609741,0.18843644798017864,0.0003013456343146804,0.3272689683140813,0.1350748837698776,0.00024948744057369786,0.7752648044546175,0.570873440951968
CID008406-1,0.18021210386471775,0.002580498146401351,0.12634255118350068,0.545202975525446,0.12868131998158489,0.016980551298349217,0.7293045890693968,0.4752941403646276
