,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005226-1,0.003255807405058367,1.158226330077481e-05,0.38255890193402764,0.3056427948232648,0.30089439296202397,0.007636520612324607,0.8313032986436908,0.772483731269096
CID005227-1,0.002409154774533673,0.001087962194670834,0.4012227926819174,0.37921625728810965,0.1871558624047868,0.028907970655981642,0.8081693177773037,0.7710069531223152
CID005798-1,0.0005990480658659877,0.000340879276272665,0.4262867219411078,0.23815377217290648,0.33385280511335846,0.0007667734304886515,0.8116401054461907,0.7735558112699977
CID005799-1,0.0004290875469068656,0.3361484326259031,0.21691072630245187,0.13869945628514213,0.30418208352860765,0.0036302137109882862,0.6952051214557308,0.5722632446889538
CID005800-1,0.1229714965097271,0.0025965471227499485,0.27803088700495343,0.06418041480018417,0.1771978773699448,0.3550227771924406,0.6609431812976312,0.6405906317168386
CID005801-1,0.21581295453751503,0.06444788697214555,0.0014024158407846946,0.3744558985526722,0.32967971502191473,0.014201129074967797,0.7691759682073348,0.7396639964970454
CID006004-1,0.00042259076223631723,0.30626879658752854,0.2927745735415298,0.11516294310737393,0.28518600064741684,0.0001850953539145553,0.6788422567957149,0.5287713575309991
CID007374-1,0.24584428166376673,0.01679569767391609,0.09302719326123746,0.47858681247873364,0.12306603953727446,0.04267997538507161,0.8251648077539822,0.692225119057727
CID007376-1,0.0021433897737019973,0.07038267298445493,0.3552655585721516,0.5506024614047772,0.017696520017312988,0.003909397247601327,0.7856908058383386,0.6817760168601043
CID007378-1,0.002076891409325692,0.03956957001372851,0.24537849943155085,0.3763701307384685,0.33462592406824665,0.0019789843386798667,0.7838351579565923,0.731118766775372
CID007380-1,0.14216762252313914,0.07284534194227904,0.3023246133275228,0.27820305635765624,0.1996425246601165,0.004816841189286253,0.8424651240186667,0.7092585838635329
CID007382-1,0.00047622299643901,0.28872154526648386,0.262531293956361,0.39325343765828297,0.05459310915052532,0.00042439097190781456,0.8149716496829682,0.5924749136412232
CID007384-1,0.02055000052222763,0.12034819570708731,0.14757872320469845,0.35882749146546733,0.21985705094146088,0.1328385381590585,0.834674864891756,0.7818845911715276
CID007386-1,0.0010949696290752952,0.0004840799507168016,0.39980850679481594,0.29709496854832207,0.2988314072563439,0.002686067820725992,0.8817105440476176,0.7945124016149634
CID007790-1,0.28461626268587553,0.1272083241885346,0.032392380111062824,0.4380272452889914,0.046460999359596966,0.07129478836593876,0.8038773994699994,0.7150190731429206
CID007792-1,0.13619948246212452,0.028736322750809836,0.05956563340563686,0.3766258721585977,0.3786915206560952,0.020181168566735987,0.8600919655462957,0.7839241127514113
CID007794-1,0.16863349720100115,0.054358197368788615,0.260816436947474,0.261150524026292,0.2277144496276172,0.027326894828827025,0.8549622513764515,0.7168502632207733
CID007796-1,0.03276731226481338,0.0034582181888208273,0.303469736343299,0.246860026160216,0.38624858244498106,0.02719612459786987,0.7989418476260581,0.6689305310016322
CID007798-1,0.00019189498273862793,0.23175940950954213,0.39796391919902824,0.2503622756014312,0.11921337154420364,0.0005091291630561988,0.8409165981606443,0.622705176152588
CID007800-1,0.0031571713989451936,0.31963801935837755,0.22126945412596585,0.34646876544429206,0.08138700533311145,0.028079584339307923,0.8341686514786125,0.6876773521824314
CID007802-1,0.05360223256775317,0.19340388134621622,0.25592125250801123,0.309954108747332,0.18311161735653253,0.004006907474154865,0.8166940276822281,0.7265242194754017
CID007804-1,0.0016955469712875233,0.2575351225897828,0.028501933518190706,0.4383905631005057,0.19951990188527255,0.07435693193496068,0.8782065029009405,0.8051928273879428
CID008392-1,0.00045805029995862163,0.11040433063247723,0.2879886064579108,0.49532821529080656,0.10230020820789663,0.0035205891109501477,0.7751743403279373,0.7521374888210165
CID008394-1,0.0003077484249166104,0.45657364032942066,0.010666192533202654,0.47314501926608077,0.05336260957754429,0.005944789868835023,0.8134196037352615,0.7599831196420492
CID008396-1,0.0915291993049664,0.07720432228882003,0.03876611919031497,0.37925826011101604,0.3955781718443414,0.01766392726054114,0.7901393549092119,0.7071227890743944
CID008398-1,0.0007269347048402347,0.0006626177608467525,0.4376886568289216,0.3252018752026131,0.2346199277419456,0.001099987760832713,0.8868605079131394,0.7693119108087897
CID008400-1,0.06044208084773386,0.006728918702183445,0.38133797856006135,0.45289905091285354,0.06815074005575524,0.030441230921412554,0.8583462142793271,0.7161304365492854
CID008402-1,0.009486059551110084,0.12361902714112702,0.2896347230921413,0.3892404724844694,0.17162607967182308,0.016393638059329158,0.7970888912118872,0.7295609821358088
CID008404-1,0.07913270226543895,0.27824016019666037,0.02733618655473473,0.45284529374229054,0.1567581772858411,0.005687479955034282,0.7124755687842516,0.6598655606244125
CID008406-1,0.000808405501567541,0.015423325350351172,0.237221090157715,0.5068924782374988,0.2355635997444876,0.004091101008379789,0.7865542788466211,0.7168511956741646
