,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005226-1,0.026435106047873372,0.3998041620073304,0.0014715487758221388,0.1818847592888511,0.05663678103332266,0.33376764284680027,0.8003735219265594,0.6670956971372776
CID005227-1,0.001079736725497738,0.414419489201431,0.0021067859236494463,0.2768517771293607,0.13496954743129513,0.17057266358876597,0.7940328464615656,0.6595617778869362
CID005798-1,0.005174860048369484,0.14274849529354777,0.05809881919948933,0.26257124221413786,0.2558186671718217,0.27558791607263383,0.7887886600543618,0.7285037374363885
CID005799-1,0.015558595185166208,0.039262360064259705,0.38734106069889573,0.12148454402758256,0.1554157489351094,0.28093769108898636,0.7123904908650671,0.5625941708748705
CID005800-1,0.007514720364914852,0.4671868583142679,0.05054418020941642,0.1078232319658959,0.06197899185464203,0.30495201729086296,0.8004061498413949,0.7871136810292696
CID005801-1,0.04426344785244856,0.26440904856973557,0.12377605064863531,0.26202543138058043,0.25575076937735236,0.049775252171247675,0.733737132921835,0.5822791260192516
CID006004-1,0.03408953649517821,0.02919617351256863,0.3696997527601649,0.16242717587880975,0.28971892420183704,0.11486843715144146,0.760460736928002,0.6489766066539818
CID007374-1,0.00019283139353491364,0.0003353127016979022,0.34810464053397433,0.4085995357664357,0.24254073509288315,0.0002269445114740031,0.7596564233888178,0.6936813590706926
CID007376-1,0.02417971056612137,0.26667667989855026,0.1325862225070298,0.308798296022582,0.10474607899959888,0.16301301200611767,0.7737006223556354,0.5073285409717158
CID007378-1,0.004258123476876022,0.3628074557646691,0.02252090870017183,0.24896596859105233,0.13524184640687903,0.22620569706035168,0.7696378130688595,0.6082188321939764
CID007380-1,0.11532085089735251,0.19722454611714346,0.07697478238424021,0.2006211562296034,0.21084695142913207,0.19901171294252837,0.7621136986587994,0.5543295791672137
CID007382-1,0.08269431357746772,0.009781968602174763,0.26909587468824353,0.26964181405867993,0.20719151218417767,0.1615945168892564,0.7787606500313682,0.5336148406478981
CID007384-1,0.06310883369890885,0.26245745757820943,0.14645199858069982,0.2420192554826187,0.26894860401672627,0.01701385064283688,0.7755183163237334,0.5924728232032175
CID007386-1,0.0017868655006180961,0.3685096095777885,0.09485126986956578,0.3318058157527951,0.13084079962166612,0.07220563967756638,0.7934195499861106,0.6349393689289055
CID007790-1,0.20132719383610284,0.028633221829303144,0.176915503849854,0.2787103921026441,0.28482953466142347,0.029584153720672447,0.7431263027948111,0.5635097555531504
CID007792-1,0.11740932097470483,0.14606242140215292,0.042874653117779944,0.2818998231335137,0.4002094688054479,0.011544312566400754,0.7562352747512784,0.566013620252317
CID007794-1,0.2965093600312132,0.06474446284916276,0.06759968098063944,0.1929814015367567,0.04114589451066235,0.33701920009156555,0.8816835101374678,0.7391398919686092
CID007796-1,0.0021494028581110973,0.3827089739974457,0.0792668110170874,0.23612153108553688,0.2292382370147196,0.07051504402709938,0.746983587315079,0.6016031722809317
CID007798-1,0.10094801057702321,0.09446489375500959,0.2685894087188457,0.25850718149196183,0.20395402523670517,0.07353648022045454,0.7957801640439083,0.6077187411022359
CID007800-1,0.025545583257128027,0.0941841409634475,0.27908578993034655,0.2527814744932838,0.22639801058424242,0.1220050007715517,0.8304919426194673,0.7189656599045264
CID007802-1,0.13969788703762936,0.05022327774877659,0.2128154440059482,0.2517782452248322,0.17622219812728082,0.16926294785553278,0.8184326365010614,0.6249544870620338
CID007804-1,0.013885297745658698,0.08550532231083147,0.1931295740351157,0.2517745079378034,0.2350656939904095,0.22063960398018126,0.7952942899587805,0.6040554885264507
CID008392-1,0.0010791510274995207,0.3165996864431572,0.042253355739101384,0.1837438507555512,0.09916363845851826,0.35716031757617245,0.8815048671402264,0.7567350210975874
CID008394-1,5.8869169812000536e-05,1.8830848855288253e-05,0.38227186414120495,0.29206972862909986,0.32472493621338705,0.0008557709976409596,0.8357196958911132,0.777874360034274
CID008396-1,0.09387782859446597,0.1303340479982405,0.26795956202662946,0.46902888332567866,0.03538723883805801,0.003412439216927414,0.7643577550613628,0.6582724056333065
CID008398-1,0.06017715378884261,0.3623151847579051,0.14612011063007316,0.3328320648604441,0.09219731527726366,0.006358170685471347,0.7678153704517399,0.5742602597140039
CID008400-1,0.013028071454101174,0.20844642205493533,0.03967024741998043,0.30337521953671653,0.4300297726498265,0.005450266884440014,0.7197032830231386,0.5545303413835881
CID008402-1,0.009954137765878697,0.29556068822191006,0.1008392856415956,0.32244142482859023,0.25827481157784277,0.012929651964182595,0.750029321892651,0.5440598334498545
CID008404-1,0.007246479550245356,0.2752752099110961,0.17117165174950744,0.18968842911212505,0.13324111413373346,0.22337711554329262,0.7502539817456945,0.4762798670297851
CID008406-1,0.0001316503431397514,0.18424465176933058,0.003171143346553977,0.4658275185334688,0.3078351548860932,0.0387898811214137,0.7508030083233023,0.5336508699444356
