,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,rho_Spearman,rho_Pearson
CID005226-1,8.772041640232082e-05,0.32860526821108055,0.017035031946056663,0.18794106180321193,0.44569213924240114,0.020638778380847364,0.801291521901484,0.6278435608627813
CID005227-1,0.0049423259900811395,0.47375875860707134,0.019390152427617612,0.24265555142530384,0.20875639589024653,0.050496815659679575,0.7854202111025359,0.6074574451613703
CID005798-1,0.017810046301935615,0.13765761525472237,0.08925412048650261,0.5021948643476265,0.06084204256550241,0.19224131104371056,0.7766440526305791,0.7059638085200336
CID005799-1,0.012170445838034914,0.007571158695300857,0.45671580395097616,0.2233966889816396,0.22671412879427116,0.07343177373977723,0.7195898410018291,0.5705457889881921
CID005800-1,0.1441698029774132,0.43981148047497753,0.00048780736366835133,0.28728579653974834,0.061446832621174105,0.06679828002301845,0.7767249163789134,0.7370115887822175
CID005801-1,0.09257082516321931,0.3367488827021042,0.2342020638962512,0.0038960425162077733,0.32604770930487437,0.006534476417343189,0.7361225247852697,0.6564397670580177
CID006004-1,0.0026861081760637803,0.001200773187586217,0.28619186510317707,0.30961174771864924,0.3997658962921226,0.0005436095224011081,0.7911299227088701,0.6771099104017437
CID007374-1,0.025817178370177038,0.000400391353583034,0.3183586323228738,0.3632905407591673,0.29203755570674966,9.570148744920325e-05,0.7079319365445077,0.6441948201433979
CID007376-1,1.7147500397106455e-05,0.34176302675721376,0.2416658026983038,0.3127163024810943,0.06716230675853564,0.03667541380445543,0.6998493649029942,0.41975223905404535
CID007378-1,0.0036223353801626513,0.5179347774220973,0.09978098196020573,0.20793891484764399,0.009307617476760998,0.16141537291312938,0.7310557863189443,0.5448654294384878
CID007380-1,0.12079533776134926,0.17648103576051,0.11142499347213831,0.19620744750390612,0.1194079868738595,0.27568319862823687,0.7295210510313485,0.4978303319544599
CID007382-1,0.05672966989913578,0.06972036610545236,0.4048797273451901,0.3601948604766086,0.08197785177061181,0.02649752440300122,0.8092396005092438,0.5676367009318485
CID007384-1,0.0010453308124619887,0.22701394093711003,0.05768257783558854,0.05027213984265105,0.23398401713727754,0.43000199343491097,0.728589312860081,0.5706111712239026
CID007386-1,0.017445074122706187,0.31440442936403207,0.01468710345441722,0.3652803264497438,0.16334232652475547,0.12484074008434518,0.7498026382465741,0.5699519082817844
CID007790-1,0.2740737858258841,0.03455932764223072,0.27213280261568595,0.04165924694514914,0.27423792492115295,0.1033369120498971,0.6984836066901421,0.5308052668465459
CID007792-1,0.166258040526392,0.23099676662116725,0.16571723645924233,0.07852246277111583,0.18625034029529708,0.1722551533267855,0.731750705434916,0.5515085346407689
CID007794-1,0.24508161078182783,0.026140931895702643,0.08264198284066743,0.22573100921053751,0.1033376727470989,0.31706679252416575,0.8984949261265051,0.747260491055351
CID007796-1,0.0022362695082684954,0.41033186958228396,0.030155959517837637,0.2621466703742201,0.28123445015538545,0.013894780862004342,0.7296466691203534,0.5762720541633488
CID007798-1,0.006669384464231456,0.040285434691163705,0.2597514844958709,0.3465712902912843,0.25861382140651457,0.08810858465093516,0.8298561826111818,0.6013950846392351
CID007800-1,0.0008026559460208287,0.12299641530799557,0.24952809267229453,0.18367692347829442,0.4364116397807486,0.006584272814646062,0.7914452646307966,0.638054203643597
CID007802-1,0.1835251685649125,0.048188375724512206,0.3190144827047614,0.30927479756321685,0.05448218329415328,0.08551499214844382,0.8274959602918414,0.6112121427083742
CID007804-1,0.030609568192992927,0.2782633614455776,0.44865991130660204,0.023115633729445334,0.031015225781767974,0.18833629954361414,0.8126269309523478,0.6801408974816638
CID008392-1,0.024370473037368674,0.3609600616886317,0.07929307911543433,0.08612722948364655,0.3312795821754166,0.11796957449950204,0.8560800194172277,0.7449080615837115
CID008394-1,0.0074017954985447255,4.327861268968244e-05,0.4514707287833638,0.22066799580969654,0.3199270446644988,0.0004891566312063366,0.7885769901892771,0.7679836286418101
CID008396-1,0.11997168246077182,0.11154932347841894,0.24641883115220245,0.06693665613099183,0.21293603687663384,0.2421874699009812,0.6920256412068612,0.6154297678446602
CID008398-1,0.008183144871832203,0.276989725786411,0.07117786366566042,0.425411583942904,0.18807509685563573,0.030162584877556645,0.7374795303857089,0.5486062858075971
CID008400-1,0.0017042452387101086,0.24051554285410004,0.14328982029338216,0.2790906799192182,0.23102289999692438,0.10437681169766513,0.6816486145433515,0.47031879478658967
CID008402-1,0.0022174577677175128,0.32346745482335654,0.11521937245263236,0.20403098890567245,0.29812813014209083,0.056936595908530306,0.7079046049297766,0.4987248806695631
CID008404-1,0.010635222391486239,0.32705501873533893,0.3150054828981186,0.0036608138891634314,0.3307708751177984,0.012872586968094386,0.7356893754550913,0.5517603403028141
CID008406-1,0.0020339275279836707,0.2456220499324358,0.13492292572996875,0.21168364898616734,0.3591617832173056,0.04657566460613889,0.6258859125409388,0.3984948043523837
