,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005226-1,0.32182380215386586,0.015615349043307816,0.1266445111169976,0.19323976364194126,0.07984551850973395,0.2398212161490934,0.023009839385060103,0.7464416078987378,0.6299039328999648
CID005227-1,0.31819518631394184,0.0038115808855361012,0.10072314411861599,0.18357143480581514,0.06555089615942213,0.3139180346997815,0.014229723016887349,0.7702566501630866,0.6184322990729436
CID005798-1,0.09455753914396713,0.00035678960302009023,0.27077242377362953,0.17494018173008005,0.07483443511508636,0.16454213646305738,0.21999649417115955,0.7101015023990856,0.655498334182056
CID005799-1,0.0009070453776629704,0.27519595367008376,0.1599042126740641,0.1136513439001039,0.1293908033397406,0.14809730069792934,0.17285334034041536,0.753593533108496,0.5068282315306152
CID005800-1,0.2629043871130244,4.575438412552225e-05,0.07759990531343562,0.09708506879324244,0.018906946117652562,0.2758155620472351,0.26764237623128434,0.6170227165986849,0.5386971105548963
CID005801-1,0.05905619887667637,0.02061447912056155,0.0012118306336067045,0.28527973509022014,0.2845472716569952,0.26003470550490976,0.08925577911703028,0.6908698129876392,0.5599584317037412
CID006004-1,0.009737961210964551,0.29704432379069556,0.2536172397334358,0.12206995736345734,0.02200507737753992,0.22271956546318467,0.07280587506072228,0.7600151889120942,0.5436607691084547
CID007374-1,0.00047811438749772875,0.09701455522878544,0.07574203627892445,0.44299480286896403,0.1819571039351989,0.10316520645711112,0.09864818084351842,0.8282636323333826,0.5519038920167625
CID007376-1,0.058876982557900366,0.05565468613455356,0.17769003680780474,0.3576908645898414,0.12320396632361023,0.21997946212884573,0.006904001457443777,0.7072167317857964,0.6175551694240167
CID007378-1,0.13198758530762386,0.020813392915778155,0.10516631654835976,0.3765089856538107,0.10436726776485486,0.24755701847017447,0.013599433339398198,0.7099417425279545,0.5968262274725563
CID007380-1,0.03362679331766641,0.030311236023918043,0.09658103094048527,0.20078147588964745,0.1248282057648861,0.1858717331291119,0.3279995249342848,0.7304451386851235,0.5903086529159882
CID007382-1,0.004723840792176381,0.17688394273538052,0.06874922681531673,0.3483915762429857,0.00810946047502773,0.033995702882906036,0.35914625005620693,0.7955444214035442,0.6006514688984131
CID007384-1,0.08731359899699083,0.05591078168436714,0.04705551144715507,0.34058697629026546,0.05938731307682446,0.06360994447841063,0.3461358740259864,0.7338300138088389,0.6261004567304933
CID007386-1,0.07236823432776075,0.01518968665441458,0.23897626033724204,0.27185015389089273,0.11748992045860283,0.240655101692302,0.043470642638785,0.7213324273280505,0.6038913855072047
CID007790-1,0.0013545348825150438,0.11030255412131765,0.022497460999357278,0.24673355046921797,0.11504200789861,0.20498799680079827,0.29908189482818376,0.7740069749083169,0.5510828045577705
CID007792-1,0.036178525218662175,0.03780453437521061,0.004758422362349001,0.6633751321514707,0.09672856618730435,0.025000421544363906,0.1361543981606393,0.7785052236542649,0.6092574576180029
CID007794-1,0.0023490705899438134,0.07447656310143994,0.1294463888728275,0.30915656691472554,0.06924131153549147,0.09481267678399856,0.3205174222015732,0.8211230509903075,0.6398558985632834
CID007796-1,0.23108337497628983,0.031675077038197615,0.07761514793854074,0.15340732406297022,0.21711459933529473,0.2377466383742192,0.05135783827448759,0.6485044117838161,0.54771831270314
CID007798-1,0.0010656865681744566,0.16540572999728445,0.23064053403298446,0.18701289232852245,0.12578272290686277,0.006665563042043279,0.2834268711241281,0.7949500275971594,0.5671573614204292
CID007800-1,0.008578088089142281,0.20259072090908004,0.10233091264236661,0.2588159196093901,0.22802678156931888,0.1835982775959562,0.016059299584745713,0.8084688175392822,0.568268039922876
CID007802-1,0.009367658287452268,0.1120455275009058,0.09614963998001051,0.22085180518882055,0.137882878410497,0.17273060449785185,0.250971886134462,0.804218868278105,0.5836405243342544
CID007804-1,0.021001689469641094,0.10954196381482963,0.0030996495046073927,0.36391908009425744,0.06724518711912471,0.32964789276203593,0.10554453723550371,0.8337956934752381,0.6091701182193868
CID008392-1,0.15066036172860983,0.05855568232235848,0.11075545548253964,0.3478927860279256,0.13081141494800727,0.19738802532862604,0.003936274161933324,0.6453045365352877,0.5776352221362632
CID008394-1,2.252874473697736e-06,0.32913699713413674,0.02977211113370815,0.25437435053486995,0.04053010743450875,0.30439326684593154,0.04179091404237099,0.8305781657998413,0.6023436118179986
CID008396-1,0.0009202587831739276,0.05246900053649566,0.034206429429637634,0.44101651300991784,0.05258091186555648,0.35855828758316527,0.06024859879205319,0.7813056577762459,0.6213719031086288
CID008398-1,0.09464293685256742,0.02779387655682143,0.21747732154824365,0.29181569613123126,0.05702794457632503,0.14944659357258874,0.16179563076222245,0.73051023402267,0.6343407119023651
CID008400-1,0.0540714358994398,0.02787317592764287,0.08565780383091665,0.349603304409059,0.07834911723254714,0.13787671255713396,0.2665684501432606,0.7441979280586168,0.6423028453882967
CID008402-1,0.19165012639111279,0.05591405678018557,0.08329216475029018,0.31659969335151944,0.07416429802077426,0.11092021614649915,0.16745944455961864,0.6711097522185427,0.6060426395844314
CID008404-1,0.16312656987807864,0.09492763796534194,0.037174552925704665,0.22623814789881974,0.14584369237317266,0.12443935930367254,0.20825003965520975,0.6904259890280096,0.5781133378611443
CID008406-1,0.07490951291373174,0.030887230752442443,0.1055229237866017,0.4984263922128749,0.041837539154445505,0.2383885944482849,0.010027806731618816,0.7588247332693886,0.6251399246383346
