,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005226-1,0.00010693452303817172,0.0010766372468181274,0.1631908262390716,0.24568337968582177,0.20555914096715558,0.12454628471949478,0.2598367966186,0.7314053223664208,0.6307968197531945
CID005227-1,0.0001300590597589208,8.163138147698867e-05,0.1208114369044666,0.2827029900928948,0.14783412507492988,0.21652056060771996,0.23191919687875298,0.7119335216633654,0.6396750517384763
CID005798-1,0.05650395584612973,0.000547856405389282,0.2676871462437253,0.24431811715387045,0.03327790241554315,0.19007316970119498,0.20759185223414697,0.7633911887653869,0.593634369816373
CID005799-1,0.02480162836502823,0.29709142747618866,0.13579141545976528,0.0994355457656363,0.02597154978729405,0.3051209430814117,0.11178749006467581,0.7429677123330677,0.5433972490064333
CID005800-1,0.055657833633959465,0.0005931479936360647,0.059076739385455615,0.04493314407539099,0.05675755118411621,0.3777541504686177,0.40522743325882393,0.5671712175418323,0.45592920021255856
CID005801-1,0.2826077749560407,0.02988959334955523,0.013197157861288306,0.2757695171068848,0.18772517697813426,0.10839873111723523,0.1024120486308615,0.7511124114313131,0.6241912141555803
CID006004-1,0.0014982063917015627,0.3538727358712045,0.277470319895611,0.10506669227871178,0.011547308421026225,0.11435182248896537,0.13619291465277952,0.74052835298476,0.5416325779034503
CID007374-1,0.26051730368825965,0.08353693663847339,0.0751426583541529,0.3306885465278805,0.0026558903715493652,0.24611925874485213,0.0013394056748319999,0.849191749906522,0.646566355069608
CID007376-1,0.0016970100906693608,0.08531551370071479,0.22132973879017,0.28333860512576836,0.15222881181710765,0.028919706537189317,0.22717061393838037,0.7710363945274077,0.6455480862414219
CID007378-1,0.0009863674341662157,0.008971491006143813,0.1694949219995073,0.33294598152073807,0.08975424254395246,0.05088091799653086,0.3469660774989613,0.7474089821950571,0.6334603669028793
CID007380-1,0.11770286390160081,0.07024245320686995,0.1381498411292374,0.22007136552715978,0.10635671254582316,0.1276907031240672,0.21978606056524164,0.8092401318399532,0.6610614650602186
CID007382-1,0.012036647690413552,0.16270265642744108,0.08111476483653252,0.25985954151425106,0.0017380327490779527,0.25257041064327046,0.22997794613901337,0.7662813148226747,0.5975893378722691
CID007384-1,5.979095817202775e-05,0.08992896616928822,0.0838381187820584,0.24983339347665554,0.14364110181937434,0.1926775920259714,0.24002103676848002,0.792106641458336,0.6725179894797696
CID007386-1,0.005088572987622476,0.013677971352044151,0.2955937157196559,0.31222507749707407,0.1034465503162987,0.012671123219564314,0.25729698890774033,0.8042091950792657,0.6432335537725185
CID007790-1,0.49443543144069907,0.08927792283620786,0.03247928782954299,0.18699958834655844,0.0012167918686465373,0.08205293158575827,0.1135380460925868,0.8496290740386598,0.6719103743834592
CID007792-1,0.14995670338315767,0.07205522086476074,0.04451359622592526,0.3066265931316654,0.07517364292954089,0.2530928825063986,0.09858136095855144,0.8467990095395154,0.7124864816020918
CID007794-1,0.21227382598044278,0.10983846369651032,0.1441338101773339,0.21158631130196215,0.046916255432434946,0.14782337928386258,0.12742795412745334,0.8330626226386793,0.6852036236607414
CID007796-1,0.00045413702473072226,0.037954332491725695,0.10992840754036162,0.18761473327027484,0.2103011762097729,0.16374130659878727,0.2900059068643469,0.6737980430994361,0.6436677476678141
CID007798-1,0.0053350015286352465,0.14744252929286145,0.18911715829321266,0.14820078232408448,0.0073581996758820215,0.3512291173632326,0.1513172115220915,0.8023711930351944,0.6212409167984702
CID007800-1,0.003583950269686917,0.17964498199078927,0.10118904535663559,0.23697021599237558,0.1395843645410453,0.1932282697690822,0.1457991720803851,0.7907525633097521,0.6602232943336642
CID007802-1,0.20782620875767577,0.1567417932789339,0.11990711302348159,0.24184669805615075,0.0007470599347351379,0.03300128059025444,0.23992984635876838,0.7856328590481346,0.6560836503378344
CID007804-1,0.015113082938770521,0.16247736311599195,0.0023946533006232017,0.34100433394398355,0.03503303481610617,0.13130242454225133,0.3126751073422733,0.8558965824412048,0.6592702130995468
CID008392-1,0.000398424989341414,0.0651864500077369,0.13809975484838097,0.2369420363289443,0.3310302514048189,0.22130849410726444,0.007034588313513068,0.757526073633717,0.5750492354117294
CID008394-1,0.054565042272344114,0.3609500719525118,0.059754068527410394,0.29804625152967734,0.00953508648638974,0.21708343934124114,6.603989042549776e-05,0.8102953750906474,0.6435841867569804
CID008396-1,0.08691818233466148,0.07664448244353558,0.056040917921018875,0.4873448847024881,0.005757809406532129,0.1440068824101762,0.14328684078158774,0.8020596514984143,0.69810168541322
CID008398-1,0.0002884350826125701,0.03462018908476267,0.22501426494969437,0.24428581979616892,0.07713146194177471,0.21386108010196675,0.20479874904302,0.7987161635645943,0.67819040782618
CID008400-1,0.011545171713620886,0.0399734969173778,0.10757042429046643,0.35420727048728945,0.1316212239127091,0.1644066534384529,0.1906757592400834,0.8316317549727161,0.7074521676641136
CID008402-1,0.000996147276033431,0.05542163843276355,0.10123313844856718,0.30148958974656637,0.06312852922504528,0.07831371036070833,0.39941724651031585,0.7281172504039708,0.6547110660341123
CID008404-1,0.014699732731232895,0.10595524672918245,0.04833539541223173,0.26438827643440316,0.09908894027641585,0.1882301553658118,0.27930225305072204,0.7386777969075294,0.6335826322300495
CID008406-1,0.0007165003245596996,0.006807422380256605,0.1097249802901974,0.45419970491548695,0.018619774559802675,0.17473516193004893,0.23519645559964783,0.8096600767653399,0.6705234393855707
