,B Cell,Epithelium,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005226-1,0.000265407471186028,0.32695466175706805,0.15557642641909464,0.20127510010869404,0.08688333021792734,0.14011995384894993,0.0889251201770799,0.6900007886849993,0.6900893296490491
CID005227-1,0.00019657474087498574,0.35334162609450637,0.11418746934195652,0.216958176405484,0.07042758884693132,0.2398094541445955,0.005079110425651307,0.7056409817215014,0.6738412203607189
CID005798-1,0.09536382982635803,0.06824504298536657,0.30755057775433603,0.19025939994310828,0.004854090821324066,0.23008039237360423,0.10364666629590268,0.7207822731219727,0.6436445875213028
CID005799-1,0.016491419432251696,0.00016884667457248698,0.13392145352901746,0.12090467091355035,0.00034664446378903843,0.1975947578216859,0.5305722071651331,0.7301979636726457,0.5652375300645561
CID005800-1,0.19800117790191663,0.3578957261934501,0.15168774410658947,0.12948236746441977,0.002148186119324048,0.1252345307218345,0.03555026749246537,0.59790132414984,0.6119516275476218
CID005801-1,0.2737778098882124,0.0168318760357849,0.002204140713947237,0.2990352201303165,0.22714219772562694,0.14300416557665413,0.03800458992945794,0.7317248103110056,0.596196575624861
CID006004-1,0.0004684609828536938,0.0007073470171819434,0.19662279283951872,0.08229378935316255,0.0011709843890225426,0.22278504745089012,0.49595157796737044,0.7420778988515732,0.5772911770200126
CID007374-1,0.33921219470897884,0.00013126058402346505,0.05561618866571805,0.34829367078780016,0.00013155766353067352,0.08173730578244146,0.1748778218075074,0.861768459816291,0.6119144940960057
CID007376-1,0.000147770328899385,0.03698465876678342,0.12846245910395326,0.3010671056701828,0.06164427559535101,0.1566646164805554,0.3150291140542747,0.7232784676037358,0.6294621149633615
CID007378-1,3.872520463937903e-06,0.13831027683793842,0.15110463693194354,0.4187877966308523,0.048636085917404474,0.018957752460734542,0.22419957870066287,0.6767861933291602,0.6236211384647908
CID007380-1,0.1374469771691308,0.027595547014532863,0.05755835252931409,0.18074446567510882,0.014838454881224851,0.16663283020319739,0.4151833725274912,0.7612371897485242,0.6350492680702059
CID007382-1,0.001421186117550181,8.954556165766577e-06,0.06630592806211698,0.2746237428665084,0.0005688293007198877,0.21614058391705254,0.4409307751798862,0.822691132037688,0.6359756796974207
CID007384-1,1.767388692692885e-05,0.041493274005747434,0.01699370423921658,0.22024217229666135,0.00531700361522758,0.27080878134204595,0.44512739061417417,0.7571270834428729,0.6492300676736298
CID007386-1,0.0004709368945774609,0.05708870381379168,0.17544597026638753,0.3194013388302887,0.030429704625803466,0.23912779489932517,0.17803555066982601,0.6945874477842644,0.5832871162478287
CID007790-1,0.4262458117224382,0.00024495111869889856,0.010597054596109228,0.13495873812963757,0.0003227594693251875,0.22337048003457305,0.20426020492921787,0.8348066580651754,0.6269159262490224
CID007792-1,0.29738718993802515,0.03748933005462121,0.009151335167804576,0.3063357246004216,0.002233255847577286,0.19878048110440108,0.1486226832871492,0.8300501389810742,0.6558033005971714
CID007794-1,0.236122589555681,0.0024398194529462952,0.10184165346056062,0.21149612919303454,0.0007047210548939203,0.07676644883784217,0.37062863844504146,0.872674286456473,0.6713958481099085
CID007796-1,0.001051983967964416,0.184222201727741,0.056468665051187354,0.23963736348911088,0.1608447064239602,0.12809596483498467,0.22967911450505143,0.628903990746096,0.6163770759513769
CID007798-1,0.0002723410815938639,0.001645763133088436,0.1292066510741694,0.08984662307550108,0.0005566291797516649,0.3829041063515065,0.39556788610438914,0.7903110047846891,0.6144804795913421
CID007800-1,0.06282878573722261,0.00022723166735867472,0.06927311092177812,0.26243227005292197,0.029892599456442088,0.1654286859849944,0.4099173161792821,0.8072892330285028,0.6601889061908456
CID007802-1,0.19052768258952565,0.008047827091352688,0.06979255099288577,0.19175910916650335,0.0005805641169432756,0.2129432362273431,0.32634902981544617,0.8323776154197834,0.6592371012352725
CID007804-1,0.07953865538929833,0.03191311110658931,0.00046726726687653844,0.3404809996617335,0.0007974854118786873,0.19050510432004075,0.35629737684358287,0.8316665043131907,0.6433060427847791
CID008392-1,2.2019159172591615e-05,0.13532552070748435,0.10184974629704215,0.24266890171795624,0.27869893777861143,0.06985352852565159,0.17158134581408163,0.6520832333189314,0.5855314394167058
CID008394-1,0.000761310133080835,2.3222866881504628e-05,0.015728799402880803,0.405470259517513,0.00013512346652557873,0.3776566813863524,0.20022460322676583,0.7646085872889996,0.5837574057509183
CID008396-1,0.053128669456835795,0.0043701292547147445,0.02463219323982319,0.3637776479149446,2.1133083469726457e-05,0.32038526517671795,0.23368496187349408,0.8128910833708697,0.6755399169759059
CID008398-1,4.699033398686316e-05,0.06961443776409791,0.19801334600113402,0.2557304495230899,0.033391233680217396,0.18029349523775315,0.26291004745972085,0.7095604297339074,0.6430262117872283
CID008400-1,0.0007410685650210613,0.048445378366192206,0.07803441147198595,0.3705717505273547,0.006830149956934646,0.12550170450970421,0.3698755366028072,0.751395972448604,0.6524659146769575
CID008402-1,0.004900784685625067,0.1984374134508189,0.07547300176416227,0.3446172855392363,0.0029561122668197463,0.04546040826705518,0.32815499402628256,0.6930231654102944,0.6519292289393348
CID008404-1,0.015379041826586785,0.06383110714748137,0.004189015244808682,0.18239083032399062,3.965301374659362e-05,0.35518780297967334,0.3789825494637127,0.7272224422273603,0.6331377267529281
CID008406-1,0.00046489382488152395,0.051326161896782525,0.08124989590030046,0.48140427122929624,0.0021432252686261143,0.19849744688959864,0.18491410499051447,0.7584650170539466,0.638705284005419
