,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005226-1,1.0655997384163187e-05,0.2999587556266659,5.245017231905035e-05,0.17010816244939397,0.01767516553581818,0.24073984972370474,0.2714549604947139,0.7590784767515255,0.6542225895150974
CID005227-1,0.0005685035756460779,0.40200757224131,0.00024884728304359877,0.2297612801491205,0.03367914072883122,0.048056300195253,0.2856783558267956,0.7786949574476768,0.6356396663020091
CID005798-1,0.03914730702224352,0.02785486594344703,0.0001862658912361809,0.20464665623904887,0.00029526903635084434,0.24716786316980188,0.4807017726978717,0.6623353455224664,0.5528341329918424
CID005799-1,0.0020639436121526857,0.0009249569475883437,0.3154594453295541,0.05767153229564974,0.001492555563696945,0.24171970847811242,0.3806678577732457,0.7532694523771912,0.499874637014486
CID005800-1,0.055734675148051034,0.34223278607015967,0.00015015234356804112,0.0729376398830312,0.0024819666965618034,0.04786921299168658,0.4785935668669417,0.6620863007959782,0.6202699773895395
CID005801-1,0.4378968616833038,0.030889019107186392,0.01751295207244847,0.18187055892107953,0.05963002217991544,0.25788699375847907,0.014313592277587316,0.6945365158095939,0.5202863787864891
CID006004-1,0.00041533164690544925,0.001211527502230422,0.2923336383077004,0.060157740568746995,0.00012984216578031655,0.2119853819241613,0.43376653788447506,0.7210140253506339,0.5070214025109453
CID007374-1,0.23069945994267302,0.0001208481002026185,0.05222785731573915,0.3037797388884475,0.0007461116321758487,0.19939551604434486,0.2130304680764171,0.8165920286609941,0.5794560232303785
CID007376-1,5.7005789353144284e-05,0.012683544206422075,0.002200726020500179,0.2026522928662256,0.000982397970806871,0.19155233252368803,0.5898717006230041,0.7529939411851634,0.6176529828129409
CID007378-1,2.404169317488365e-05,0.0901561599951753,0.000585165347186333,0.23990655143238196,0.028363204524884392,0.3226603154908535,0.3183045615163437,0.7369108107565321,0.5995035445388488
CID007380-1,0.141215968998596,0.013337622155933183,0.0016996251569912112,0.16843201384245746,0.0008754513944395826,0.14184466946920157,0.532594648982381,0.7744458219073874,0.6091222036874715
CID007382-1,0.000361752738367586,0.0011521005501050803,0.1723760330756574,0.28594561897247,1.451276793829492e-05,0.01959204194247035,0.5205579399529913,0.7966413360694939,0.5966555058550959
CID007384-1,0.0004953039500391244,0.05405040669115715,0.01791531365933834,0.15558506060601227,0.02126797097801436,0.4144402617257062,0.3362456823897327,0.7382341572147069,0.6210789289604641
CID007386-1,0.004684647302630817,0.055722290859596124,0.0005241346250860913,0.23914746070467524,0.030753305833161132,0.26180821343443356,0.407359947240417,0.7242661066526662,0.5696512576389661
CID007790-1,0.3703184152980245,0.0021243614024740536,0.06358654944983362,0.143209746471586,0.00024255843532280496,0.2922414560094688,0.12827691293329027,0.8445588887246934,0.5926027050103381
CID007792-1,0.14674136727419682,0.028408324416695246,0.01365523137541365,0.28018679519530193,0.010494233853206825,0.3084751364830394,0.21203891140214612,0.7699762731996179,0.6524503337637848
CID007794-1,0.2790426501528684,0.000457765221747761,0.030841528797843326,0.17774218838072584,0.0011402696812231234,0.04236358383207947,0.46841201393351195,0.8377753321788668,0.6048925060473701
CID007796-1,0.007649433939791497,0.253465908594268,0.003523574116145023,0.12434950715858592,0.12423815728516939,0.0802854715828915,0.4064879473231487,0.6609502055733211,0.5701749306839942
CID007798-1,6.908618722230894e-05,0.0006525704398763374,0.10808899915122024,0.08432836730448548,0.0009910011833574512,0.25897472226444673,0.5468952534693914,0.7797344933623341,0.5664610197671874
CID007800-1,0.17143914797440063,9.387455936203034e-06,0.11473070016891175,0.16794926245165745,0.0249819669614325,0.17845621168812414,0.34243332329953724,0.7971258151604786,0.6105772936459261
CID007802-1,0.12703322127483238,2.688670570066022e-05,0.07320121202249882,0.15037848670078952,5.2019749665939234e-05,0.25028785727006864,0.39902031627644396,0.822340643574503,0.6025282268583738
CID007804-1,0.07785235462944569,0.06594900466657475,0.19354641584429083,0.3830885510829925,0.02104292429691857,0.03549153094850783,0.22302921853126995,0.7846532833564218,0.6324612470600744
CID008392-1,0.00010263899910774889,0.15644852210704488,0.0054456478866044015,0.18433922493581886,0.19646824973423832,0.07569831359551159,0.3814974027416742,0.654237964163225,0.545757135311544
CID008394-1,0.037143606383610354,0.00037532226554739986,0.467176677608459,0.3494030436804262,0.0009624930835028052,0.08106318213091163,0.06387567484754264,0.8121245978694304,0.6109973528265907
CID008396-1,0.06266315195899087,0.001060810427052971,0.04392121372127941,0.2899705672800128,9.112777811045278e-05,0.3871423784141065,0.215150750420447,0.7819716175254892,0.6432361411183584
CID008398-1,0.0014788001501823936,0.05575745046534582,0.0038676727558578866,0.1778162302583273,0.0043904268070347405,0.3653549496660874,0.3913344698971644,0.7435968671494015,0.6190727441358485
CID008400-1,0.02560916908767579,0.03476450354566229,0.002124206548871278,0.47502178044507115,0.000718984493765353,0.007168860514711409,0.45459249536424273,0.7567374184354608,0.6139655224724724
CID008402-1,8.303718114694975e-06,0.18758904410125932,0.029667196152548272,0.32976972984336567,0.0017017224545835283,0.03772532152863203,0.41353868220149653,0.7189140868354904,0.6179902281894715
CID008404-1,0.011930659772405606,0.12737740730877192,0.06788100918695486,0.17011242236351895,0.05522576396251908,0.28157731991717955,0.28589541748865,0.678091584875671,0.596524652002666
CID008406-1,0.000940699320320721,0.04054402747076948,0.0009095245214081946,0.5042294442171168,0.00024906961409469907,0.11268385356876881,0.34044338128752133,0.7973382061824272,0.6298820717642233
