,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005226-1,0.00014997848159144884,0.35280344955627174,0.007182909091147082,0.16869208471718153,0.16069125985985921,0.2277719956014105,0.0827083226925385,0.75587806507534,0.6177410710686387
CID005227-1,0.00019449064953764884,0.41916060750707734,0.0003408962392651757,0.13417714423972465,0.14765535754339776,0.2573729399533496,0.041098563867647854,0.7506736770472953,0.5952831210451086
CID005798-1,0.09855659422622527,0.07036333643100919,0.00016397255858700892,0.31852792232583693,0.01570596200533136,0.1816121192351205,0.31507009321788976,0.7313144258316839,0.6573265445632385
CID005799-1,0.052399120887003124,0.0016734501883736215,0.36599885527468473,0.16466871428708696,0.08408421019143039,0.18539213778036706,0.1457835113910541,0.7516300804173006,0.5301758177750648
CID005800-1,0.1051282676098944,0.39578965872293503,0.000489005449227709,0.14614662363446784,0.0005607477733024962,0.10638401555240269,0.24550168125776978,0.6213044662643744,0.6017439086475987
CID005801-1,0.6832070218774621,0.017888367824849538,0.012819100083582927,7.665793850731674e-05,0.0028843892177261195,0.22212311430691647,0.06100134875095558,0.6907388776455745,0.5214959658020427
CID006004-1,0.0003739568151809184,0.003744642130000811,0.30221140877694347,0.21437674974637005,0.0008037596911490854,0.2597758139821108,0.2187136688582449,0.7450217731366,0.5539183047998961
CID007374-1,0.3719465619816346,9.185387463672416e-05,0.08652821623647013,0.0995750775952969,0.0040370514249833695,0.2648160608892124,0.17300517799776582,0.8127112703195709,0.5896600638394628
CID007376-1,0.0012333508139605663,0.08482575654380616,0.07157802962190132,0.23008305548280733,0.12275187877815508,0.14561913673627738,0.34390879202309227,0.667203989470888,0.5715863717420844
CID007378-1,0.00032623022093566587,0.18093345381340342,0.0541841187243219,0.2099529508533316,0.16606260799360273,0.22592689696587095,0.16261374142853371,0.6453863465866467,0.5779686845041445
CID007380-1,0.28186888592310083,0.0912764470824417,0.0734674665793936,0.1298878564800089,0.03041124907840807,0.1589172921419189,0.23417080271472793,0.7179756385142594,0.6085557401473872
CID007382-1,0.2018018541094511,0.02457792460192942,0.18636532937629585,0.11001797683935743,0.004855253874204571,0.10444858446146095,0.36793307673730075,0.7642159556927239,0.6047536504339912
CID007384-1,0.03567317850104182,0.1407310006752499,0.10568624823369553,0.09032051197572162,0.07257698492034234,0.1985796911345891,0.3564323845593597,0.6666627891670824,0.6005779505751672
CID007386-1,0.08037633478432003,0.11357527814074375,0.009297735774181592,0.25518463531953994,0.08896568772860247,0.2822187005068292,0.1703816277457831,0.6944625564490812,0.5783374076368154
CID007790-1,0.6181816547201636,0.0006324656456229453,0.021849800102258243,0.006394837009465451,0.0002374149572454677,0.35241150999945897,0.00029231756578529427,0.8163957656080688,0.5539727584173454
CID007792-1,0.3845510083048105,0.049125770030604664,0.0446357814484126,0.011049788172481768,0.0005030481456820781,0.2929152763505204,0.2172193275474881,0.7699211281632116,0.6236781832563305
CID007794-1,0.3982576456850023,0.012167489958510972,0.06896448147871269,0.12496778459328368,0.010984369803287767,0.03118738826318409,0.3534708402180185,0.8531687307066939,0.6417791090180285
CID007796-1,0.0008159296173568136,0.3273733945200258,0.05345861297104065,0.11032943456636532,0.29803017703535856,0.20994213905187004,5.0312237982799085e-05,0.6497790282785869,0.5422398612660783
CID007798-1,0.00014006404664708042,0.011222839246601623,0.18637283094472717,0.256973910925782,0.13937827046487844,0.0695396074095991,0.3363724769617646,0.7745793168049813,0.5528556023149651
CID007800-1,0.05644002697386928,0.006965507288272538,0.2578444982478268,0.13916253488629757,0.19273419588423019,0.1024657809247583,0.24438745579474527,0.7988721186412812,0.5898658243580731
CID007802-1,0.2579997628866824,0.026318470257106995,0.11684717415768711,0.1014797941472595,0.0010322812964295152,0.23242230454473686,0.26390021271009756,0.8150927530921611,0.6492232865682604
CID007804-1,0.2717488637362759,0.07298867923431711,0.21395567621916234,0.00880000065267287,0.023146759254438647,0.07888415396652908,0.330475866936604,0.7852550337345544,0.6163505353106986
CID008392-1,0.00062776375654606,0.2650121825100842,0.132085016762426,0.20882340518013767,0.2958797343774203,0.04451656569664471,0.053055331716741025,0.6017817360874824,0.513357150139481
CID008394-1,0.0815188226170858,0.0006178505299210208,0.48478898952708066,0.039973636967412816,0.0001868852906012714,0.22874845026175586,0.16416536480614258,0.79274567755283,0.6273938480277301
CID008396-1,0.30207417221227184,0.007723506668448449,0.11206280202331127,0.07987065324662548,0.001206346775117163,0.1824652778838289,0.31459724119039684,0.7292583465352344,0.616856285340623
CID008398-1,0.0010157690119776258,0.12017424158465372,0.014586760520632824,0.30347287456702843,0.010321471292645216,0.17924944963233652,0.37117943339072573,0.6924731182795699,0.6221318354586653
CID008400-1,0.10712678722999289,0.04378106790615599,0.020517676897070222,0.08255243132923265,0.0007553162869460648,0.38109140011744663,0.3641753202331554,0.681139739983041,0.6418251807991441
CID008402-1,0.08192129896916528,0.2263162222225525,0.05779228034637883,0.09401067333144877,0.05071833065166584,0.23461688015408935,0.2546243143246995,0.6400601318553937,0.5738548082855961
CID008404-1,0.2891170858404156,0.16911659444921356,0.11358382155454014,0.05173015688944958,0.007836702351058404,0.0866198412172528,0.2819957976980698,0.6605901475368843,0.5818262117130223
CID008406-1,0.2534605492773215,0.07647850878783816,0.03476447192492701,0.18278233799305613,0.0016086381107224706,0.192629411960883,0.25827608194525176,0.6401386060800915,0.5289752065249352
