,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005093-1,0.10222221178415035,3.117844160784975e-05,0.023920404696210207,0.5583790838085216,0.31544712126950997,0.9048274317993938,0.8117452600803681
CID005215-1,0.00445770824539264,0.0009242315771397021,0.5821385600888205,0.00016688832014434373,0.41231261176850287,0.7255825398278704,0.7507788344956592
CID005217-1,0.32929580080841947,0.17032870757996202,0.007269734688986854,0.26263288017544684,0.2304728767471848,0.839901714651995,0.6199861001662725
CID005219-1,0.031928372511700394,0.0001420418247807339,0.16123719289222227,0.6211670818043455,0.18552531096695102,0.882713765215832,0.7848700690675897
CID005222-1,0.04927038212395017,0.000521164423101405,0.2640588703928311,0.40994710238849696,0.27620248067162023,0.8241185341019751,0.7603735746292135
CID005224-1,0.04172211890813787,0.656191973871288,0.18060819744061057,0.09071444201188014,0.030763267768083403,0.9160777900588809,0.840678900364407
CID005225-1,0.07841712835267346,0.1237828026295,0.05924042939734659,0.39449969716766925,0.3440599424528107,0.8866987222960693,0.5592206767447438
CID005416-1,0.0032140604383493984,0.0005843136540763806,0.07391537978961359,0.6217101230332218,0.30057612308473874,0.9025385781206944,0.7749605038817284
CID005418-1,0.0018810904220144685,0.9933551087752623,0.0029754762079172085,0.0013778606427209419,0.00041046395208507594,0.9066215470276238,0.8717939012195122
CID005420-1,0.0011973750230903808,0.00011836596829515553,0.11460542003008964,0.8429523399281632,0.04112649905036161,0.7787676241636425,0.6866709730449881
CID005422-1,0.3100659785646383,0.28055940234025833,0.01574627165277795,0.3021833626927052,0.09144498474962025,0.8593287985242656,0.7210206298041772
CID005424-1,0.1066795146608598,0.31162964091574,0.10751776395723474,0.2563771877827847,0.21779589268338076,0.8703224028658033,0.7333844113049625
CID005425-1,0.124910368034351,0.2699493764907634,0.31126134305711783,0.18030270266492565,0.11357620975284202,0.7491965008443829,0.5885956276205374
CID005614-1,0.37471285991448267,0.10562201657469256,0.04738873813008463,0.3584380112185435,0.11383837416219653,0.9062788394768524,0.7314354306571995
CID005616-1,0.004593296234057303,0.32719227711415844,0.07255318622042141,0.3602713712785965,0.23538986915276636,0.8727246832867646,0.7813449782847621
CID005618-1,0.002893179663271016,0.0004049794703498414,0.19725558088280987,0.5335736251585947,0.2658726348249745,0.837171052631579,0.7220666387702822
CID005620-1,0.15818071181900512,1.2818554063114575e-05,0.1682578258932374,0.36844198477251916,0.3051066589611752,0.8511147241066181,0.6508328788693213
CID005844-1,0.1598552830356403,0.014575622534329457,0.1379464155006053,0.6438055596204483,0.043817119308976644,0.904308201813677,0.7517040756541007
CID005845-1,0.2191121309610001,0.27459309648784036,0.0004892518931740929,8.545652220187267e-06,0.5057969750057653,0.8149652259429323,0.7209958555742415
CID005860-1,0.005678026632713866,0.006695449036623878,0.03080482275536231,0.6506365403875243,0.3061851611877757,0.9251026202577936,0.8208794430240266
CID005868-1,0.008778888098891617,0.4767659859438297,0.008883804648740666,0.48894155488184005,0.016629766426697987,0.7714832623497816,0.7142072155350264
CID005874-1,0.2993013846075769,0.10552521655163224,0.09804962464837423,0.30404465519211127,0.19307911900030536,0.8883064267605691,0.6859653047135427
CID005875-1,0.4741956982517845,0.04213124643364865,0.01139024141138041,0.23945212332476748,0.232830690578419,0.8714662010576358,0.735777339176294
CID006320-1,0.05560530517013804,0.02616525353594555,0.1314588407501267,0.3854062391201601,0.4013643614236296,0.8406133794627999,0.7111301484616116
CID006322-1,0.08058453921864761,0.28434548483944044,0.02414411548247892,0.4319680123604117,0.17895784809902132,0.9171756932773972,0.7279918374964863
CID006328-1,0.1641572077931831,0.16172005606538442,0.007769390306930674,0.5946739723634061,0.0716793734710957,0.8623137118743657,0.7304171062231269
CID006331-1,0.13442615380931947,0.0016625614066470321,0.27203919120994785,0.21855649474908925,0.37331559882499643,0.8543729484849307,0.7024324653158524
CID006336-1,0.03238008816867986,0.17594529626082725,0.046924931349822126,0.4784347099232013,0.2663149742974694,0.9164040382458203,0.7480033904429523
CID006340-1,0.1831101352697467,0.0003527464167757253,0.22859038514037375,0.2962053981023754,0.2917413350707284,0.8398474769181462,0.7262310048957898
CID006468-1,0.36376696400033215,0.2576013639898041,0.012040361533134503,0.0009759826523225535,0.3656153278244068,0.7356235265301123,0.47234933862513484
CID006469-1,0.053810686907827435,0.40234988971244084,0.015413989829741502,0.06699413695132674,0.46143129659866344,0.8550077453127504,0.7102653245733738
CID006478-1,0.12976362984632914,0.08180858118813619,0.040474847055935737,0.4564825882732674,0.29147035363633156,0.8453558169969552,0.7137368441721899
CID006480-1,0.24187803472075448,0.05638774474752474,0.00022297143666646018,0.25145620842671523,0.45005504066833907,0.78627960285381,0.662123496665837
CID006484-1,0.2983928219261943,0.05681760169458864,0.0003795229492873912,0.2728939370023018,0.3715161164276279,0.7895278030019763,0.7234091558771606
CID006486-1,0.034473815951224986,0.059510416802055065,0.13288423368421232,0.25410749922826753,0.5190240343342402,0.7940598125100156,0.6456411364614159
CID006493-1,0.3331701137043165,0.0028059058309047136,0.022816656454928894,0.36257158962071984,0.2786357343891302,0.8816302547940815,0.6769484692483988
CID006494-1,0.33555199845284933,0.0016870381768290198,0.0029916516545895706,0.3610439564159668,0.29872535529976535,0.8721107107197593,0.6701712510375387
CID006494-2,0.34656898195254104,0.24173002479979694,0.0063119801256845435,0.34404680121661513,0.06134221190536235,0.7627824469550841,0.6067682386992567
CID006515-1,0.3110296229722512,0.10726227562247591,0.0027324255864745696,0.10314244339178784,0.47583323242701053,0.7356217769554777,0.6221673030832225
CID006527-1,0.0006327093889298372,0.00020274975609932533,0.004071128138485714,0.7850741885413957,0.21001922417508942,0.9068425657163008,0.7060930746798156
CID006542-1,0.3049783423129241,0.05428077250909019,0.026273422688707568,0.15948772418138188,0.45497973830789634,0.8049201016726213,0.7232486699129973
CID006544-1,0.235486221210993,0.14949171085180163,0.0034022039608831494,0.32390678015683216,0.2877130838194902,0.7475083870234049,0.5644862880713589
CID006548-1,0.059341021066182956,0.00027452819455540457,0.18061917080276266,0.3902424315141325,0.3695228484223665,0.7590927673794415,0.6071494005209687
CID006551-1,0.020834479973151854,0.058319311713258944,0.00623731777280946,0.44934653471040414,0.4652623558303756,0.7844298483574316,0.6689622137185965
CID007329-1,0.03709381313998344,0.07265993698602999,0.07401473743745464,0.5926973245607311,0.22353418787580087,0.8531011297473426,0.7260347544470632
CID007330-1,0.014998285494210107,0.0006838744501326952,0.0954485544644777,0.3483784191844604,0.5404908664067191,0.8127320255328242,0.6235623300751091
CID007338-1,0.2504917861667841,0.08073685431078158,0.12294635810350765,0.28583656642820227,0.2599884349907243,0.8602905827680146,0.7389512179987842
CID007346-1,0.023774085341418345,0.3186140154638078,0.038234426989520405,0.3379077579418657,0.2814697142633877,0.924648995574694,0.7819496782353903
CID007352-1,0.46955399936881664,0.10077046761755462,0.00017183246832522123,0.3359404922575678,0.09356320828773564,0.7602117977375689,0.6318675191437166
CID007358-1,0.34638246495815567,0.0028781978761553396,0.12702085178866573,0.27835519218255206,0.24536329319447114,0.8011607953634956,0.6352368877791615
CID007659-1,0.41560130909430615,0.12614518499042804,0.12838891897621993,0.015881347338608385,0.31398323960043756,0.8123287578330576,0.6875870177595964
CID007661-1,0.29967095539076455,0.15218838127576942,0.030778870626167392,0.1938415621093159,0.3235202305979828,0.8300797541222732,0.5966312535239301
CID007664-1,0.08967349231603491,0.2570739995056088,0.0019430210646604366,0.41498013389991645,0.23632935321377943,0.8615639368376936,0.6827533884421103
CID007665-1,0.2921870235379731,0.08775679845109459,6.983279538755877e-05,0.3917614641645567,0.22822488105098793,0.784139469045457,0.6030132261882277
CID007666-1,0.12473082666097263,0.009668569483409625,0.13972158048444785,0.3680427252331127,0.3578362981380572,0.789816600838921,0.6080961601196027
CID007667-1,0.12952753843860798,0.17580966724447056,0.04737166610949912,0.09990747928833067,0.5473836489190916,0.8365588777308905,0.6410603029004343
CID007672-1,0.39882199694778386,0.0008948959271138171,0.057743955546981376,0.4851255401699356,0.05741361140818549,0.7887164720311417,0.6542755024941039
CID007676-1,0.33031397768293036,0.17449194094829426,0.0005523654806966931,0.3842286245015412,0.1104130913865374,0.8632042173946987,0.6741284826969989
CID007681-1,0.3108742184581703,0.3833585267782472,0.004118690085756076,0.013201066159187615,0.28844749851863877,0.8375912161245693,0.7320746369849263
CID007688-1,0.04670058406491182,0.6008215136010221,0.0216324850239319,0.27856480283937535,0.05228061447075884,0.7534324467363872,0.648805470103823
CID007694-1,0.06649952857625605,0.41363596182759094,0.002382635163648761,0.17068055578942995,0.34680131864307434,0.8399858447732493,0.7282378365271167
