,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005093-1,0.006213437914737906,0.01040434605565109,0.5363724668211671,0.38274710598408984,0.04392490462723149,0.020337738597122502,0.9180090596221077,0.7886792858407117
CID005215-1,0.0007487775493026662,0.47844669775582754,0.0005512656064733066,0.48063261649932415,0.03856357090463543,0.0010570716844369118,0.7224810716365754,0.772666462525612
CID005217-1,0.16353446403620941,0.013411972747132352,0.23757000261046746,0.23981942882525445,0.12084060907811123,0.22482352270282513,0.852520432456945,0.6371171747260943
CID005219-1,1.2772317720115404e-05,0.06715886142058748,0.4282397598849636,0.20540886433135008,0.2983165369816418,0.0008632050637370231,0.8926161614878607,0.7887087402470029
CID005222-1,0.00207677608322629,0.19898733770786184,0.3964059651311019,0.3104803128679901,0.09017004527697653,0.0018795629328433833,0.8434377684936808,0.7795264309105358
CID005224-1,0.3894537850863254,0.0653070608547768,0.010962608436151973,0.03592941556249788,0.39017361637535647,0.10817351368489148,0.9170359796757604,0.8125068597928309
CID005225-1,0.07256833455173468,0.008125229621774368,0.2802734526097983,0.26952447867844387,0.10492761762671268,0.2645808869115361,0.8902973312318009,0.5600516632743425
CID005416-1,0.00025155510175329013,0.0013600459224391314,0.4402505190063676,0.22687328191569875,0.33063566623376334,0.000628931819977931,0.9022810780255042,0.7970072487135412
CID005418-1,0.7689693318543603,0.02071379995367934,0.0270763128245425,0.001727660688002407,0.17744170640320195,0.004071188276213453,0.9317978576825636,0.8865527590368512
CID005420-1,0.0008348264288489563,0.04908021435453663,0.8379787343545291,0.09466134331802037,0.014848925479272197,0.002595956064792772,0.7899480723839496,0.6884499854979655
CID005422-1,0.21838908129855983,0.001651412769248051,0.23674684296290968,0.1446128272552823,0.1576939929173594,0.24090584279664076,0.8607271658696872,0.7077446622330079
CID005424-1,0.250553486110152,0.02055463854723092,0.1987915816663438,0.23485373548877297,0.19278399782462485,0.10246256036287552,0.877785536546572,0.7527867955048987
CID005425-1,0.10128456819645769,0.16626797804457488,0.07102361048980362,0.05557193644870108,0.1784398913976523,0.42741201542281043,0.7707052488669976,0.599879098559202
CID005614-1,0.06641809801035901,0.08998582657352625,0.27845530533853063,0.15315889809133665,0.09783768884507342,0.31414418314117404,0.9025624544995441,0.7277569995260713
