,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005093-1,0.07534362071825954,0.0003168279712735522,0.3524698649178157,0.21537010451452154,0.3518493482744597,0.004650233603670116,0.9095246858404753,0.7707711052974063
CID005215-1,0.0022358995556674413,0.33416738741805124,0.00016268310573008953,0.4377731297796848,0.22536206417858326,0.00029883596228316706,0.8537147824957908,0.7562590888559676
CID005217-1,0.20853887072751784,0.0003150785564854141,0.30849204604994307,0.2948837684627873,0.18106641982621421,0.006703816377052276,0.8460049304648956,0.6940273122967533
CID005219-1,0.1816213805777701,0.000546030041381916,0.4452422853905258,0.15333845549342087,0.2190562607706639,0.00019558772623740346,0.8502253798207289,0.7632967119066835
CID005222-1,0.27029453299826994,0.003990090227603264,0.3295230483912582,0.2758852509779953,0.033839227264850794,0.08646785014002248,0.7778219307025365,0.6983194293340015
CID005224-1,0.02147343930186617,0.1895398074867701,0.26454343221385673,0.2604440152328022,0.17763081734407296,0.08636848842063181,0.8232265811627343,0.7117509321774202
CID005225-1,5.45556934558917e-05,0.001629444254161026,0.29669108686913725,0.2825365301413533,0.4182964058204864,0.000791977221406245,0.9213359563623357,0.7276495503064981
CID005416-1,0.016984857325835278,0.007375080068095912,0.5161916480060261,0.26946174205282264,0.1852186626255554,0.004768009921664696,0.9158679816511484,0.7820892041629812
CID005418-1,0.002124967315432769,0.004600804950270296,0.22079934371434748,0.2965617953080868,0.3812030261239354,0.09471006258792726,0.6113023093421118,0.5414570866313306
CID005420-1,0.012006865857692357,0.1103966615141555,0.8317493856521726,0.002455844611522019,0.02286028588071564,0.02053095648374191,0.8135126348455742,0.7219054334790714
CID005422-1,0.20235773852572633,0.0017371684553530832,0.3272636819296944,0.17066085290249908,0.2979125796743514,6.797851237558004e-05,0.8362325247553031,0.7042688237054555
CID005424-1,0.09683517118746002,0.028856789398028763,0.23775848115172565,0.20376528046776687,0.28040522177853866,0.15237905601648005,0.8889568330292098,0.7233255471615405
CID005425-1,0.05444190353482341,0.28366166680422766,0.3528965906336781,0.196999899178459,0.054221269216887816,0.057778670631924045,0.6897769973748327,0.6293232073436216
CID005614-1,0.18360580443927887,0.002582043487019941,0.2828480213817536,0.1732059645963867,0.35755072511891367,0.00020744097664725252,0.8969877568190148,0.8054892959233996
CID005616-1,0.037177970353109345,0.0025962644228558042,0.3489562997361131,0.2560913366127959,0.3395389423171605,0.015639186557965458,0.8890739770825615,0.6803378667575697
CID005618-1,0.16911619184229731,0.0003757028348644187,0.3503656953485497,0.23424393648675765,0.23561588427968436,0.010282589207846556,0.8617582270876444,0.728419525044598
CID005620-1,0.17119001445950008,0.00304283580610437,0.2466882190514558,0.2937541199055367,0.2765356093368073,0.008789201440595648,0.8476248072103935,0.6884091452387713
CID005844-1,0.07835449003931995,0.020145594526595405,0.3713064051379929,0.018302622237994014,0.3464038845880013,0.16548700347009643,0.90195981035215,0.8228600786448553
CID005845-1,0.37231302815833844,0.00012827483796971795,0.02019265852962448,0.5953067002722063,0.010967556204352387,0.0010917819975086623,0.8681995753232988,0.8180727199168292
CID005860-1,0.01341813800331314,0.0001578931349936318,0.513266797115705,0.23520990874135608,0.23015291525747933,0.007794347747152797,0.9108601924391398,0.7699213770787403
CID005868-1,0.07185317852353978,0.009363633347146657,0.47389577537301913,0.07049316280602083,0.3487493645711616,0.02564488537911198,0.8343548137598481,0.7726617792827695
CID005874-1,0.2003976642239021,0.03801727781460846,0.39225536122856747,0.3633494518346186,0.0032478848284357847,0.0027323600698677584,0.8798469615871028,0.6646382015904337
CID005875-1,0.29575614876900536,0.0007400120802984058,0.2365289179422638,0.24726080495313082,0.21743599529185018,0.0022781209634513927,0.8498146590251853,0.7184032514302927
CID006320-1,0.0009998917871081804,0.00450639048700047,0.366185030672625,0.36412699243053714,0.24953662158811943,0.014645073034609702,0.8352328043194335,0.6557006895999515
CID006322-1,0.14738492721234678,3.7790888345785634e-05,0.47615231230878946,0.2655647413525312,0.10958572526408672,0.0012745029739000915,0.9215647909087671,0.7565416268607629
CID006328-1,0.11899547367182987,0.0021765170266593295,0.675649185000438,0.14258003379537848,0.059000847089285255,0.0015979434164090282,0.9100250565531276,0.737635839504531
CID006331-1,0.043739603979399085,0.1056653417445318,0.10484993304933875,0.3482444375058586,0.33300374387033743,0.06449693985053433,0.8404338217447401,0.7635761789836991
CID006336-1,0.07401442244274133,5.447562761375553e-05,0.49710163849750666,0.34835260983253163,0.07050441371607172,0.009972439883534948,0.9203459160890223,0.8163025238875767
CID006340-1,0.21648742398688434,0.01651218804339607,0.2042491816578647,0.28106799897141177,0.26729382277241626,0.014389384568026837,0.8099706168694183,0.6591512521747198
CID006468-1,0.29575774264323745,0.0001078028213183346,0.13573543337694266,0.4389793802248359,0.12803366538548427,0.0013859755481813675,0.7183181044737109,0.6703353816336008
CID006469-1,0.026420787918288578,0.006393756641948625,0.15033714638795234,0.451327354614405,0.29719279738736265,0.06832815705004283,0.7849811949088578,0.7326478228753915
CID006478-1,0.03836350658235403,0.007666414721778896,0.2817266638945841,0.21603023432041182,0.43985006946478344,0.016363111016087714,0.8538896932999869,0.7415250006884037
CID006480-1,0.049819072070541065,0.009548960571793705,0.22712652088792565,0.40059320140984855,0.3019923585148035,0.010919886545087468,0.7697421000052579,0.6664687488887759
CID006484-1,0.14683946488970717,2.820520081687942e-05,0.25077461587213346,0.3355148859608715,0.26115225901861683,0.005690569057854183,0.7515092421055565,0.6963335060095459
