,B Cell,Epithelium,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005093-1,0.029616678133763612,0.0003005638057139272,0.3542262246735078,0.2444341698382969,0.3712032921258979,0.00021907142281987142,0.9027236036760647,0.8183840303687964
CID005215-1,0.03500849492290854,0.0006267360891189538,0.07228659495813632,0.6583729459378795,0.22881913243551597,0.004886095656440634,0.71538789848649,0.7907473436411336
CID005217-1,0.26361786327231085,0.06121891130150582,0.14496250136301495,0.059782399357698,0.15766645224893827,0.3127518724565322,0.8325215320089062,0.5938274879084865
CID005219-1,0.08074122188712339,0.00018849139234882026,0.3967614291819298,0.14834046796541556,0.3738938813233388,7.450824984369169e-05,0.8773329174950943,0.7751271417943981
CID005222-1,0.18762325183446807,2.0519681195037716e-05,0.4103149187884385,0.308241429791015,0.09350457543201698,0.00029530447286643636,0.8237336614401357,0.7551049186272781
CID005224-1,0.03893246832441338,0.3924280068048523,0.07794049339341742,0.07561237249112275,0.3171574762629669,0.09792918272322726,0.9163100806541095,0.8297163153637435
CID005225-1,0.0005720563996853126,0.13916684911126287,0.36646200204873497,0.3316997580956325,0.1558536137065764,0.0062457206381079395,0.8825737211835359,0.5553544335364278
CID005416-1,0.0007903001150746033,6.033287481881137e-05,0.5330192030437878,0.2737077327382792,0.19211313745177847,0.0003092937762610838,0.9012737645056074,0.7899498238627354
CID005418-1,0.00021832615938611156,0.7563751475527023,0.005140564245844832,3.896201808419147e-05,0.23801292858655204,0.00021407143743056421,0.8884166162197211,0.8476559249933447
CID005420-1,0.0034224334204187357,0.0004170575610114938,0.5769880552966935,0.06186639852968103,0.35707867922023484,0.0002273759719603608,0.7937954775089487,0.7228973056221374
CID005422-1,0.246856131380643,0.2150482004877284,0.24325141147014404,0.08109484489587569,0.13490729856031455,0.0788421132052943,0.8479361167669187,0.6994379893138125
CID005424-1,0.10476732017192014,0.24018906623725345,0.18793775678244445,0.13698639210243105,0.14052127725509556,0.18959818745085535,0.8734282564036623,0.7174246351587321
CID005425-1,0.12505220970682518,0.1552921144693629,0.19085649982510197,0.08045232918661176,0.20553823978286798,0.24280860702923024,0.7333971136135556,0.587016572742059
CID005614-1,0.28026160268038885,0.08666987612037434,0.26895087660108946,0.1326313887554331,0.17192641940809342,0.05955983643462082,0.9020246129416435,0.7206756549620156
CID005616-1,0.010096974277361124,0.24076302941683217,0.27267139721547967,0.18459417242057183,0.23564588790919333,0.05622853876056176,0.8741157281175931,0.7612468444098531
CID005618-1,0.0011342683589362127,0.00025651979208822924,0.46174420909135105,0.3710253244011843,0.16496200802906827,0.0008776703273719256,0.8588636125810217,0.748133620937156
CID005620-1,0.22305085695153043,0.0001702628805530503,0.30308314619050053,0.2707979558298275,0.20222370925347266,0.0006740688941157837,0.8556004116994593,0.6691001569012436
CID005844-1,0.15865075821772584,0.011805375909472216,0.6330025505524275,0.12170892869768023,0.048953873122819215,0.025878513499875036,0.894762537633242,0.7599884190659801
CID005845-1,0.21683838362894992,0.17812993766208415,8.825060743168751e-05,0.345480876405618,0.2588282844550877,0.0006342672408284995,0.8217358878446028,0.7269139695408494
CID005860-1,0.018013073428522125,0.010368686904264115,0.44667306703028586,0.21965109568314362,0.27640665631356276,0.028887420640221494,0.90687598053421,0.8128077382135541
CID005868-1,0.02583034461058359,0.2980537855379734,0.3374586381022103,0.0020004390856001694,0.3255140324310063,0.01114276023262629,0.7447424613512311,0.6744932903606106
CID005874-1,0.1899684747294494,0.07127585264748305,0.20859236875638829,0.15355093618307325,0.15376195668545276,0.22285041099815328,0.8843620780207072,0.6872456981989318
CID005875-1,0.3841369202514332,0.0025499273896079527,0.21424839601349457,0.22263943802508177,0.02700033310197756,0.14942498521840494,0.8446253177911401,0.7196696263908466
CID006320-1,0.020794375346707267,0.055928476439672484,0.367039279077389,0.3337433129579713,0.10214905139820402,0.12034550478005605,0.8328010552296823,0.710406030051001
CID006322-1,0.1717540644743696,0.20578223498244014,0.3149633686995885,0.12072628298953755,0.12487746920590609,0.06189657964815821,0.9108164286823865,0.6964036293918758
CID006328-1,0.10922961644835454,0.10367488819497794,0.4581341132586802,0.06037427750996858,0.158612225531816,0.10997487905620273,0.8646228253375037,0.7108290801105859
CID006331-1,0.206886961080756,0.008012206388542572,0.18705559253028578,0.35756021406988625,0.23892197288914804,0.0015630530413814447,0.8578401643452261,0.7179264999223032
CID006336-1,0.01074754788520324,0.07068543760422416,0.25487242513133046,0.12367579353326892,0.3401757992210416,0.19984299662493163,0.9100756447793111,0.7269258762699935
CID006340-1,0.3349225156864963,0.005455479740957588,0.3094021861341237,0.3314429984230674,0.018619666563560826,0.00015715345179423548,0.8347061709886848,0.7281406914181692
CID006468-1,0.3351000590898584,0.214928346154415,0.0006893841834152059,0.2602520197989904,0.18201594672161822,0.007014244051702807,0.7014296249473241,0.44007043813823965
CID006469-1,0.000990696106532205,0.33147960792050535,0.09662304247290066,0.44202848689309304,0.09142994530433594,0.037448221302632874,0.8233223772620014,0.6861979931063004
CID006478-1,0.00016746323662888632,0.01474466502102365,0.3298603335440993,0.26092015413352093,0.12721045289962146,0.2670969311651058,0.8354431265176421,0.690753694009163
CID006480-1,0.17932977199921624,0.00870803789773789,0.16670120948173184,0.3082657369701118,0.30730917837759364,0.029686065273608647,0.7468991667504499,0.6230851009406903
CID006484-1,0.17890398313170477,0.05395024256653865,0.22387907815491473,0.25330384516465404,0.26481117602043,0.025151674961757776,0.7233819311902312,0.6713202646953184
CID006486-1,0.003962612937100472,0.08141342312921084,0.25337625054215485,0.3687556882002601,0.23043820452322794,0.062053820668045566,0.7726439699019715,0.6452975961369739
CID006493-1,0.3063674676191728,0.007913007721378379,0.291637241097494,0.2551064791329494,0.13542246402632144,0.003553340402683888,0.8796488563348754,0.6444557627548981
CID006494-1,0.2677060083182415,0.006214248309726018,0.2820739401372174,0.20604044114382125,0.23114914249181562,0.00681621959917822,0.8545799748002141,0.6592489909885653
CID006494-2,0.22392586559941494,0.16770806054995235,0.302861959089187,0.11394904817177855,0.11309165795089737,0.07846340863876985,0.7439373452148167,0.5836476844538806
CID006515-1,0.2825235215798552,0.015348804017533862,0.07273882172756743,0.36708219792413327,0.006571222284295181,0.25573543246661506,0.6968279339336998,0.5812477904395094
CID006527-1,0.001029015324873318,9.865971654093542e-05,0.7156741623430116,0.2253695522268807,0.05779409702300891,3.4513365684547415e-05,0.8831166464340062,0.6904481877240519
CID006542-1,0.19619954463734277,0.02202065830840506,0.1427436284563922,0.35850605787532125,0.2739263362417757,0.006603774480762859,0.7641877370417193,0.6967230918693521
CID006544-1,0.20144617311480498,0.08518487991853402,0.2737136016064952,0.1747563512676826,0.08156354276315643,0.18333545132932685,0.706303202697008,0.5275099721454997
CID006548-1,0.14554652210336844,0.0004010659996066319,0.31603861900084707,0.2670301150329879,0.2546290980543197,0.01635457980887021,0.7419806152549515,0.6130905408055572
CID006551-1,0.011522534893183051,0.022509319784604104,0.32304243158562196,0.2910124435550532,0.3140329574702424,0.03788031271129513,0.7325390790713968,0.6310369288604931
CID007329-1,0.0017708116249363628,0.058733205817083405,0.5344197813099402,0.25891816019366687,0.1332059583405879,0.012952082713785213,0.8300600561590039,0.7138334446752415
CID007330-1,0.007163695102489622,0.002988170239777839,0.22835164418259032,0.3763051321658136,0.25579012128692463,0.12940123702240394,0.7918823664011615,0.6129884590671655
CID007338-1,0.1566367054022397,0.05303555740898919,0.20639047826681556,0.1823894361638892,0.27333880122474935,0.128209021533317,0.8524676985800366,0.7266593638573664
CID007346-1,0.0028141471911441087,0.22699319286506062,0.24965004192762189,0.22117450028850374,0.2817100733571758,0.017658044370493797,0.9257322154826976,0.7130228164174608
CID007352-1,0.38625585886953173,0.006038925576180195,0.2124275304727449,0.06542446094765059,0.3182701647283509,0.011583059405541775,0.7358306409889063,0.6126111830349001
CID007358-1,0.28837229919008417,0.0010523274777329067,0.23487395574824185,0.20594711648979885,0.26950497009533386,0.0002493309988083364,0.7814235608006155,0.6257664262834945
CID007659-1,0.3017066896174516,0.056997983991154216,0.004091342698690879,0.24883742015221302,0.27402408016134033,0.11434248337914991,0.8070391433636704,0.6909987664715991
CID007661-1,0.2226870433868485,0.056779458031542676,0.09632740905563615,0.16709592120884803,0.21123017772981434,0.24587999058731033,0.8037671460872524,0.572572194166792
CID007664-1,0.0009122645936164741,0.21444420202019748,0.34597468495097256,0.19121500762888619,0.1675830134396432,0.07987082736668415,0.8427637824388197,0.6801053105338836
CID007665-1,0.14515740460675577,0.03617819346810715,0.3196126267247407,0.16629564066037383,0.16218372858733035,0.17057240595269207,0.7487012454476514,0.5921456192461764
CID007666-1,0.1332735509612017,0.011667812600627095,0.2660206570214745,0.24345625760876352,0.30872137037965064,0.036860351428282666,0.7846051485971958,0.6165937455960087
CID007667-1,0.11522194442405698,0.11832465507855475,0.0719350885816614,0.37068032173621396,0.17353085549020072,0.1503071346893122,0.8247149580806011,0.6520790333954907
CID007672-1,0.25096729344764745,0.001502967122275849,0.33943789676884273,0.062393221014855685,0.33938365367787754,0.006314967968500674,0.7762547408343868,0.64790922943148
