,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005093-1,0.356246790999278,0.03619504979160516,0.036345638963965775,0.37550787020358417,0.16522589679205305,0.03047875324951378,0.8917247295629067,0.7547627584854457
CID005215-1,0.00014499313951004807,0.00019760470497863386,0.35040702006943636,0.3128976696838844,0.3361697377629165,0.00018297463927416464,0.7275328093789087,0.6817845948724036
CID005217-1,0.29392627940375826,0.20780772981427792,4.678940042780936e-05,0.2726102267300142,0.22196872824363104,0.0036402464078907626,0.8889199198591464,0.7283075584997875
CID005219-1,0.28450549181417994,0.003732855649785905,0.12275404488819502,0.2894797592408692,0.28995179328175297,0.009576055125216965,0.8444690188881772,0.7690569354440006
CID005222-1,0.22184279388395786,0.023436001811135195,0.12270456622924632,0.256767883330024,0.13325549359379768,0.2419932611518389,0.848124522882244,0.7741696710526577
CID005224-1,0.00632021736979689,0.6294655516954958,0.1669609068829835,0.14466540930811173,0.051078994886005126,0.0015089198576068658,0.8890737255378138,0.7740808900339883
CID005225-1,0.05523178510384956,0.12810690100169173,0.0072799786636403956,0.2866856240723974,0.25681555982321774,0.2658801513352032,0.882633440043521,0.630937736441805
CID005416-1,0.09878883267871255,0.00022186488670620334,0.0870678996110767,0.293613490452156,0.3083974523605228,0.21191046001082564,0.8732095722123693,0.7602085038493993
CID005418-1,0.0011601745276103865,0.5135419749783571,0.0007256463388070303,0.00150743948973639,0.4826320528973767,0.00043271176811241147,0.8848763496513007,0.8466782435392388
CID005420-1,0.004361019038936118,0.002530712487512834,0.37949696376659975,0.24925527369967573,0.3337559505790225,0.030600080428253084,0.6912063953488372,0.648570587001487
CID005422-1,0.18103448370267208,0.274876253555439,0.003852729100162158,0.17780182686862822,0.16235965625666574,0.20007505051643273,0.8904964280654888,0.7609463450778768
CID005424-1,0.1330993491388163,0.30475302454293707,0.018667759334604316,0.19897564717509153,0.03882960636953696,0.3056746134390138,0.8805833149900947,0.735048990154552
CID005425-1,0.1659273343315568,0.1561465498437831,0.15655334655576278,0.07792280437443398,0.21265366931943416,0.23079629557502923,0.8284734919097748,0.6517667595540417
CID005614-1,0.4138598906443398,0.17539510389816945,0.00042156328571987464,0.2269446497995051,0.09485062288359394,0.0885281694886718,0.9141582174731346,0.7599163510518507
CID005616-1,0.0344836929824093,0.33654215483408595,0.10544981883913873,0.2533462294412628,0.12488534487500016,0.14529275902810307,0.9053489305225471,0.719614943817082
CID005618-1,0.19529844492191697,0.002645038118737111,0.20631465303984378,0.4178338005189617,0.17349540148668188,0.004412661913858562,0.8067350697184951,0.7116336997975918
CID005620-1,0.3810183837188292,0.012079031468095571,0.07287668457081616,0.3773370066959509,0.1299358652248944,0.026753028321413838,0.8425489011486658,0.6674388501931721
CID005844-1,0.2299068144914222,0.06807389964601851,0.11358842838889284,0.06775085662708517,0.18267731953401434,0.33800268131256694,0.8239682626710425,0.6984018387933177
CID005845-1,0.21814095929229946,0.16421284085862528,8.726103834471626e-06,0.3888868676438997,0.22869761481963388,5.2991281707211325e-05,0.8280074927538642,0.6941268713512943
CID005860-1,0.16074521971535424,0.10450971219523429,0.0015777566378871245,0.25765812829903373,0.20682272149262754,0.2686864616598631,0.9220132584482444,0.8254907628710837
CID005868-1,0.08733807317633925,0.32996771650456935,0.0035185016207211536,0.007879374472424474,0.334018371297957,0.23727796292798883,0.850889280211314,0.7961472537084343
CID005874-1,0.28086127036119923,0.18214108789721956,0.05364044416130194,0.2530563755370313,0.08946550483560241,0.14083531720764542,0.9006347932549358,0.7160246160464094
CID005875-1,0.29986941759011426,0.11729788490190579,0.00012378145885428562,0.2854559257795794,0.2949553729197921,0.0022976173497540834,0.8646556500060595,0.7670083056044704
CID006320-1,0.12044372558919379,0.0745441066928678,0.07647354736569367,0.2892199672189079,0.1654941748802647,0.2738244782530721,0.8501455806249164,0.6676519639310435
CID006322-1,0.15072395813139614,0.23214438538013954,0.0003198787548145665,0.1456902307582831,0.33329300291983427,0.1378285440555325,0.9391112894430899,0.7910971900518766
CID006328-1,0.19443897717477845,0.21688038010688632,0.009243417331560784,0.20288353112252938,0.19438088668340747,0.18217280758083765,0.8790157554453581,0.7306384451438306
CID006331-1,0.2789655351145775,0.014825968661512782,0.197021240271249,0.34748725201787706,0.16124154626011153,0.0004584576746720823,0.8262292046050804,0.6898182512306892
CID006336-1,0.09778174348220459,0.18468089801301849,0.0035629448357900064,0.2455335928209266,0.2170765696549557,0.25136425119310457,0.9430136026458824,0.775642170410467
CID006340-1,0.2851175961558591,0.019285490094676217,0.11940992031116236,0.26549113870731933,0.17571534629568997,0.13498050843529302,0.8396393661587032,0.7012440717091782
CID006468-1,0.3124423269520588,0.2138436778520761,0.002914828716936401,0.30028600651898363,0.16474609790688668,0.0057670620530583805,0.7861263989088537,0.5309549253471306
CID006469-1,0.002549101390758999,0.2382581848332873,0.0008996090449373411,0.3127742333371693,0.2809429494074178,0.16457592198642923,0.8901900264411453,0.7272656771672303
CID006478-1,0.20750777489074024,0.135166573530762,0.0062917763090679785,0.30847182477138335,0.25887888034107215,0.08368317015697431,0.8910773132311036,0.7912152917326812
CID006480-1,0.2540679065466313,0.14403001058557252,0.00047966643617586546,0.4629983149657227,0.12805804754877878,0.010366053917118803,0.8970217917675545,0.7553145040098872
CID006484-1,0.3182149281380671,0.17627148153542216,7.957613149361152e-05,0.38879763118954974,0.11438337085568345,0.002253012149783908,0.9190676458895655,0.7852045217502633
CID006486-1,0.025915994140688015,0.026407692535030648,0.07160623653116037,0.348973274703095,0.033055715181149935,0.4940410869088761,0.842286442838929,0.7396809863844388
CID006493-1,0.3667910504157404,0.08537651053093318,0.0017737570217794406,0.3292876432986412,0.2158807246699325,0.0008903140629733389,0.8815736749438406,0.7065489016089253
CID006494-1,0.3426271601201122,0.07210159100303801,0.00323143733410822,0.2375469580044735,0.34004257474443195,0.00445027879383614,0.8585651283776453,0.7154933212813824
CID006494-2,0.32624037185025195,0.19106524121506197,0.0017309161474597043,0.11419032428482441,0.24495900223088385,0.12181414427151821,0.8265741348548667,0.7113233817787986
CID006515-1,0.30809997714940507,0.11596146463337002,0.00035632306398134417,0.3269875980803219,0.24723891351672964,0.0013557235561919875,0.84751605754748,0.7037067479008696
CID006527-1,0.018607691032071046,0.09787002922856358,0.023552108332907648,0.3041853095982734,0.1752593759282647,0.38052548587991963,0.8406126420187056,0.6917845011375938
CID006542-1,0.26771526394954076,0.09449871657456155,0.004413816971810386,0.3449704892000933,0.2878728043956756,0.0005289089083182935,0.8696914873357456,0.7545073482343828
CID006544-1,0.23849381757368482,0.21365297582960738,0.008305393270587661,0.29264774090106843,0.209587191494559,0.037312880930492696,0.8489192978051179,0.6693203046970122
CID006548-1,0.35124985148050036,0.0013794288488097823,0.004462262784627911,0.3285733958396146,0.2366814870302975,0.07765357401614982,0.841805072510796,0.674619014763815
CID006551-1,0.0430053754576309,0.0895190780172527,0.0049634358030639005,0.30203588469398623,0.3967979965431974,0.16367822948486885,0.88614671959265,0.747940733291221
CID007329-1,0.05475598646321654,0.10372138894188719,0.0003396314990911673,0.21117849629068164,0.16560243181772116,0.46440206498740233,0.8671199886669501,0.7468675520101433
CID007330-1,0.07027095210406005,0.0369436600403409,0.10094265310162455,0.3040352546090621,0.240179388400237,0.24762809174467534,0.7662911406730661,0.6282646522085257
CID007338-1,0.2055275753736872,0.088653314043849,0.03177345384320807,0.2572205315821969,0.18643041976613767,0.23039470539092122,0.8780668656585693,0.6984328632672888
CID007346-1,0.01243361191345111,0.2947668585217018,0.003146160921602015,0.25238403351224264,0.14945823282418275,0.28781110230681956,0.942366533946521,0.7586898994610828
CID007352-1,0.552383001141195,0.19636840505862516,0.003891546306360049,0.19715282760484024,0.04353689591991586,0.006667323969063715,0.8424848503554636,0.7547142532722354
CID007358-1,0.5904150625720815,0.008165807077128077,0.010793908022840646,0.2762480792346043,0.08176320609290767,0.03261393700043777,0.8749715097871967,0.6806357583818113
CID007659-1,0.3069283820156913,0.08576977721245875,0.007641822057780315,0.2995240632088922,0.08352817158060942,0.21660778392456803,0.8455770748588428,0.7048033964240503
CID007661-1,0.3308960520567394,0.22283850282805,0.03767177203167501,0.32301844477566327,0.016766443980881163,0.06880878432699111,0.8725104684300957,0.672449359011013
CID007664-1,0.03374736219286738,0.17218159965677737,0.008674384811696242,0.1373764289550659,0.24536291369597202,0.4026573106876211,0.8992232270543329,0.7892182250544669
CID007665-1,0.27290508285648823,0.12601346114424247,0.00022652572287530962,0.28946576506556715,0.28470469455395925,0.02668447065686767,0.8799060975856555,0.7287026929168904
CID007666-1,0.35941111384093194,0.03299242330170264,0.020962843534385957,0.31408099462088,0.03013059831380984,0.24242202638828966,0.8244952189651205,0.6584668567876004
CID007667-1,0.15485444919323246,0.11653558937419728,0.020554725589237058,0.30368755686891896,0.23026659414507064,0.1741010848293435,0.8682356488842591,0.6361214764771121
CID007672-1,0.48828305071541245,0.008211963612685185,0.04507723861166098,0.025091629361126404,0.31473006903846645,0.11860604866064856,0.7917310775601135,0.6804742332474166
CID007676-1,0.3806077624569903,0.2948315243871412,0.0014661492971622767,0.29637567020217104,0.0181465881191025,0.008572305537432745,0.8858660676340234,0.7394750096526681
CID007681-1,0.2201767393524056,0.292952853233104,0.003104782332696759,0.23370682253770717,0.23816372925653112,0.011895073287555449,0.8919555582539008,0.7770685289160665
CID007688-1,0.09879789770428891,0.4099940787673179,0.0001353604646439696,0.028909447390314404,0.24782627431747348,0.21433694135596135,0.8379416959083303,0.7698225529729315
CID007694-1,0.05396578857037736,0.2926635014481677,0.0018446552339338243,0.24814078256268535,0.13712784958164012,0.2662574226031956,0.9359440979052672,0.7780199175342242
CID007697-1,0.16471627150272658,0.1263073424932163,0.038800309201137015,0.35119807100958955,0.029958265503078355,0.28901974029025224,0.8788954391596449,0.8001986061306731
CID007704-1,0.2844963011239208,0.05730022352893952,0.0009221707481317908,0.34177644655264267,0.1392918493841145,0.17621300866225068,0.8246371931483188,0.6391870383645504
CID007707-1,0.37114082200154946,0.32879146949756277,0.0010030410695923873,0.19240292012505722,0.09097718760953914,0.015684559696699185,0.8862318324043625,0.7642096660991784
CID007825-1,0.13087250166490724,0.19312765731101367,0.02219848834534989,0.27440587766989577,0.3186361225699046,0.060759352438928896,0.9337275350317646,0.7667738985706974
CID007827-1,0.24930260018122744,0.12047952756942891,0.0010006168369034918,0.2574986881735738,0.3666624783696261,0.0050560888692401645,0.8843647443077237,0.7559446143835957
CID007829-1,0.26724998355332164,0.00015440686140822876,0.13977794896889015,0.575131858306545,0.01683612504348649,0.0008496772663485096,0.8416852984031359,0.7657673524470432
CID007845-1,0.19284501031564427,0.06937407234020086,0.015939786233355416,0.17318854027452657,0.32747790074462363,0.22117469009164936,0.8502624085451728,0.6709641060011454
CID007847-1,0.3497546627232732,0.1759417885731209,0.0016029727179973446,0.3539875986637939,0.07827246234008406,0.040440514981730576,0.901257152411939,0.7255208604368286
CID007849-1,0.3668533330167247,0.224294480010209,0.005516192556482919,0.28752602494867047,0.00048428528763533156,0.1153256841802775,0.9216765949566345,0.8094294086261754
CID008109-1,0.43016060768764,0.10521666196518728,0.011096870563921037,0.21633518693514814,0.20025133719733787,0.036939335650765605,0.8499501013405764,0.6808368100827958
CID008114-1,0.4390223810980061,0.004048525144129319,0.0992251035782632,0.31290679233327917,0.08430724268898554,0.06048995515733665,0.8302291857223475,0.6862599564901921
CID008122-1,0.10307169396509205,0.3610305654015138,0.007608884465709187,0.2558008557870382,0.04022304326167787,0.23226495711896886,0.8859754080171978,0.7571039903515451
CID008457-1,0.2120401492106225,0.012022955761389613,0.06114759362151203,0.2707211807241599,0.2493221970475869,0.19474592363472915,0.7963677914163537,0.6537367562981198
CID008459-1,0.1349972211848083,0.2442035682438906,0.0008544589522656933,0.20224590555391872,0.1119619247734121,0.3057369212917045,0.9199450171236339,0.7875816462596968
CID008460-1,0.3776966320963103,0.13093567422047533,0.00033244745162483945,0.1496291522152372,0.34078469665636485,0.0006213973599874247,0.8035206013838663,0.6741951085860638
