,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,rho_Spearman,rho_Pearson
CID005093-1,0.2758619330510857,0.0026601907084983435,0.026785180864299433,0.4594273939415656,0.22238629701177692,0.012879004422773984,0.9191742468058257,0.8348450987917996
CID005215-1,0.08953288866282484,0.00043293679888149717,0.40447491693001575,0.038341454931461044,0.4648956695628006,0.0023221331140162844,0.6335092016114264,0.7162659240551614
CID005217-1,0.310692779181026,0.14822363260952082,0.010303578964770792,0.18622966236636018,0.3131525650544549,0.031397781823867266,0.8339341602687752,0.6270877434079049
CID005219-1,0.1166842828939622,0.00027258448156084814,0.11526156901853711,0.6014892973864623,0.1649844766134813,0.0013077896059962137,0.886306294773114,0.7840589287260676
CID005222-1,0.1786984570002178,0.0008911521728418074,0.16398049560995517,0.28898117513557703,0.3660986285086424,0.001350091572765666,0.8161998909310283,0.7350244414986875
CID005224-1,0.006490411423542974,0.44476585402097574,0.1096245800046748,0.06566413234112965,0.14897811880263398,0.22447690340704288,0.9103217894508246,0.8078072283664607
CID005225-1,0.1055924860526483,0.15409656801724314,0.04595722556997348,0.33516095215902175,0.32396229232812845,0.03523047587298487,0.8861937264531428,0.5726872117278821
CID005416-1,0.0809093346165264,0.0013099769976238323,0.10745820943072909,0.712428662102511,0.09616348659043845,0.0017303302621712788,0.9153198060520715,0.794076972498896
CID005418-1,4.1026611961933266e-05,0.7531699746858361,0.00023909218483423263,0.0014181104413359335,0.24294612530045234,0.0021856707755794035,0.8926158978052386,0.8610014372761078
CID005420-1,0.0011388098963726666,2.108513329925369e-05,0.06868304192136129,0.5347701906247537,0.3947349828214794,0.0006518896027336559,0.7926839951766003,0.7129751694223655
CID005422-1,0.22542604527294963,0.23407716710797583,0.0027993020516883195,0.2599395449989447,0.25616369879873724,0.02159424176970428,0.8679503584467416,0.739937935988891
CID005424-1,0.12698509629668614,0.24494478755128227,0.0367164558261894,0.17310804081557088,0.3488199486501494,0.06942567086012187,0.8805654871444345,0.7402166947722875
CID005425-1,0.14563130283960987,0.20772781663500214,0.21452562095796426,0.20195965249822623,0.22760664044953255,0.0025489666196649463,0.7040414713983625,0.57357026046803
CID005614-1,0.3068593463586643,0.12216170623357696,0.003084729489534927,0.29881057746800355,0.24697657353396796,0.022107066916252298,0.9098883743307561,0.7318238091844812
CID005616-1,0.0005882836598055233,0.24073638275285097,0.004922979054785139,0.24716176154051822,0.19421754308381836,0.31237304990822173,0.8779408668158981,0.7285535532097202
CID005618-1,0.13202436910097773,4.359297019685039e-05,0.19401257232861538,0.4944158994379966,0.17726491940096434,0.002238646761249112,0.8718754929281245,0.7663408511004506
CID005620-1,0.34124770264360904,0.0002638089191259272,0.1838188765888477,0.3395633944298978,0.1333001676048841,0.0018060498136351685,0.8548332290083163,0.6752804577743641
CID005844-1,0.13571023514310887,0.012320313085234222,0.11882843058733412,0.6010333142759045,0.11902786898081391,0.013079837927604402,0.9020003954694815,0.7572545061828164
CID005845-1,0.40967587683532053,0.2887846267910063,0.0024789872014428396,0.013851442014828038,0.2815918958820389,0.0036171712753635854,0.8145216757467686,0.7256760360845962
CID005860-1,0.13008884819221264,0.016134799693506924,0.012610007293627747,0.37652968250651386,0.38145021124664186,0.08318645106749696,0.9109541267996066,0.8287762698784871
CID005868-1,0.0829439458391138,0.3185523999414377,0.0011983364571864913,0.31515925541384926,0.21186790498895797,0.07027815735945486,0.7575616131441375,0.6827559300686793
CID005874-1,0.20948577024491694,0.10121915262737105,0.062184802392750226,0.23150769319201564,0.14186334947769733,0.25373923206524884,0.8850682562692619,0.6916919701431362
CID005875-1,0.4191079751262943,0.08768154836251173,0.001953153130922631,0.2540904935435125,0.2332363934295447,0.003930436407214222,0.8654352382464131,0.7129903861757542
CID006320-1,0.07005318616397213,0.059217942064547995,0.12748986268423185,0.3665353298461714,0.06507041396539459,0.3116332652756821,0.8325110818717185,0.7034281251273851
CID006322-1,0.12601847861240334,0.14417360415996772,0.0003775728522960694,0.2157299049368776,0.5052827677573155,0.008417671681139768,0.92729910717097,0.7588193150771713
CID006328-1,0.1787794765741258,0.15472924329220264,0.00047960169587115656,0.5184060903328862,0.1469819809618328,0.0006236071430813965,0.8777235921972765,0.7505674188986949
CID006331-1,0.2981116462401378,0.025909237137052257,0.25464055450746387,0.18353364138058925,0.23775658744778572,4.833328697103852e-05,0.8246413102985816,0.6648400045647233
CID006336-1,0.12228623632434266,0.14417525213479565,0.008209202864340223,0.3482706332950096,0.28552894043276744,0.0915297349487444,0.9226031859582785,0.7710739696647805
CID006340-1,0.3349125127291744,0.0030159186978902714,0.18999181500326587,0.29078275738352544,0.15772976300381386,0.023567233182330272,0.8192263659755187,0.6914736567323473
CID006468-1,0.46778337975577244,0.2775837742886598,0.00033171909601358853,0.014553275668444889,0.2272259175069971,0.012521933684112144,0.6755759496034096,0.4367079883951064
CID006469-1,0.21015621917099853,0.3410912151763686,0.0171711384740159,0.11586297891990587,0.273973925311584,0.04174452294712704,0.821403661169377,0.6998333365111339
