,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005093-1,7.169997370409395e-05,0.00201562888237728,0.19719326318180697,0.14988474570620064,0.0777978222786184,0.3466603288403605,0.22637651113693213,0.87206239445205,0.5939163145109355
CID005215-1,0.0006815593155944077,0.10236335934166226,0.00010383286421262397,0.44050710885647526,0.0038068581437130894,0.44706308073700396,0.005474200741338312,0.817722371967655,0.5882684751260021
CID005217-1,0.07534755206808912,0.0005200574790854339,0.248684664392014,0.33270403862960257,0.018135201934766722,0.014758126726080819,0.3098503587703614,0.7831678828792933,0.5719894769039742
CID005219-1,0.0002285714217227418,0.005133098083025543,0.3504011428809732,0.08231498424775675,0.04612654948683677,0.35776501810893196,0.15803063577075294,0.8531372098368191,0.5843899749623731
CID005222-1,0.00015521378343548437,0.02563871084347195,0.1774087148750061,0.17936553452229642,0.00339773355561331,0.2858391961062141,0.3281948963139627,0.8461363204860453,0.5718299507301733
CID005224-1,0.10586925804012094,0.03168675399275192,0.058747821975458324,0.0666165759863543,0.3126462395930633,0.29119836728364756,0.1332349831286036,0.7265519739990659,0.5232354195501393
CID005225-1,0.0382512964233933,0.00999438228048904,0.20914887744377564,0.3166507978453373,0.03628614512686733,0.11805334464617492,0.27161515623396243,0.815421184094053,0.661098769240163
CID005416-1,0.0007934984345513163,0.021080093270460384,0.4035531670860464,0.28031523266952224,0.08113824603289278,0.022802929632380124,0.19031683287414677,0.8132230380417326,0.6343661961270813
CID005418-1,0.679337941011284,0.003859156272194406,0.015265258058660918,0.020809237370486934,0.00015521297373393,0.2805291205959343,4.407371770553993e-05,0.7392398787567996,0.6293682250784266
CID005420-1,0.00016476196424081082,0.02751420414894159,0.8680757594802936,0.019758527895465165,0.001125713601579859,0.08297155427107955,0.00038947863839940535,0.8694483181792826,0.6051399481623819
CID005422-1,0.06115110012370697,0.0013768769871589951,0.22777724545718997,0.12159178694855355,0.17287556500067353,0.13722569804558665,0.2780017274371303,0.7616122962430496,0.5720035052486429
CID005424-1,0.11390699000149943,0.037266996385617444,0.09077875668511197,0.22285628483984862,0.2019594028832982,0.13718225772281747,0.1960493114818069,0.7018159323619624,0.6076602065627029
CID005425-1,0.012608051970929447,0.11304320889169978,0.21180178232226363,0.04242451038292474,0.2797425823826206,0.18614043985372764,0.15423942419583428,0.7049443029819296,0.500811639252605
CID005614-1,0.02966456776516794,0.017158394302744535,0.18374450249951882,0.23189192159696187,0.16852315645955096,0.1307179973602482,0.23829946001580776,0.8009120646015718,0.5679043497494001
CID005616-1,0.04146854648009941,0.00589371164865286,0.1699642034779402,0.19294253620534535,0.23262753532299793,0.1925961477838334,0.16450731908113086,0.7582408478174569,0.5711283165489057
CID005618-1,3.723549348282275e-05,0.024298468963593847,0.14370061554862376,0.22482576156590497,0.027321784569011593,0.3166641687175375,0.2631519651418456,0.8341440748253774,0.5524251687172694
CID005620-1,0.00023650377336682552,0.02526290559674604,0.11497087300104324,0.3188946380215049,0.03764019642887354,0.18199553115624548,0.32099935202221985,0.8307083471251387,0.5523093761658605
CID005844-1,0.00028553543539675203,0.013677383162474467,0.43386952293566333,0.025283560599732156,0.0946002972605871,0.18429226904238877,0.24799143156375747,0.8468850090998812,0.6389546869749848
CID005845-1,0.10580831057665854,0.01443501026137842,0.0007563689778942459,0.3228022640166954,0.08341798405897245,0.3158623682722698,0.15691769383613122,0.7747048676216906,0.5788016155246745
CID005860-1,0.00029683107822637775,0.005254938831062847,0.2704367071882654,0.14798017265291685,0.18521056558840462,0.1666958626614231,0.22412492199970074,0.8348954162140051,0.6122959121345045
CID005868-1,0.0957369044571933,0.0006797629361374305,0.4026377396253113,0.0005565741008120582,0.19557908301768842,0.29768519935836535,0.007124736504492078,0.792184121175957,0.5166446936406892
CID005874-1,0.029535361748471954,0.03307661695386395,0.10906437828082838,0.28058191830632206,0.10801254465687316,0.1575017136541963,0.2822274663994443,0.8294986055826666,0.6215742365563157
CID005875-1,0.00024040326892011565,0.0004968211878724787,0.07773135972656783,0.3580315826002562,0.016214455858145432,0.1897020909315921,0.3575832864266459,0.8252653813553622,0.6077664598938143
CID006320-1,0.0024455897449219867,0.003684536769520864,0.19706947014418388,0.32086618872728134,0.004838492218080567,0.19057077063326355,0.2805249517627478,0.873532448377581,0.577879207987349
CID006322-1,0.07209865201970311,0.0025437433235925557,0.25280589402729625,0.1369345031218599,0.1915062450434228,0.06870633952739956,0.27540462293672585,0.8136740179668842,0.6018160644281407
CID006328-1,0.026351292385919354,0.0005021757827381852,0.43802711743832157,0.04730118423761498,0.03328144458018439,0.31727531283959776,0.13726147273562375,0.8510105804580839,0.5954695068535962
CID006331-1,0.0012052018681428444,0.0918031199513978,0.03493381440054955,0.38961049620262683,0.05623922721386359,0.2921417231592945,0.13406641720412502,0.856092052801455,0.6127525625414686
