,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005093-1,0.30268798516697537,0.01678789339609162,0.280442556581369,0.23455283401653512,0.005087630758214204,0.06674155830815895,0.09369954177265556,0.884053133969695,0.675389052982618
CID005215-1,0.06834138673859315,0.13546286228143084,0.0013098055543358752,0.5383863902407007,7.123848195318198e-05,0.2560763024297931,0.0003520142731931245,0.7960275019098548,0.6135639293059514
CID005217-1,0.2546900930760421,0.0002580965889780604,0.1922802466622735,0.22481543580123792,0.056312454309867,0.1752590459424262,0.09638462761917518,0.8737541528239203,0.6277987999896554
CID005219-1,0.16450011918706434,0.010958071106487766,0.4085731740798706,0.09436662145828915,0.0010348032657039802,0.3022198366608443,0.018347374241739905,0.8629042675964502,0.6051985963756352
CID005222-1,0.1869042876798204,0.055008017492999495,0.2262918048956685,0.19734188505626604,0.0025737492550098134,0.2224671785595396,0.1094130770606962,0.8525333714380977,0.6456568021136831
CID005224-1,0.0002428338010307029,0.030040290303583368,0.059946519386855156,0.049967534156978265,0.3497098085933352,0.2720343791554852,0.23805863460273208,0.7653320925334665,0.5330013168751145
CID005225-1,4.910937699249301e-06,0.02417907675707603,0.2133048651438437,0.30359663762093536,0.04515902008069078,0.18286955351183787,0.23088593594791693,0.8393097076552065,0.6999249728580844
CID005416-1,0.04965488497588923,0.03446838332974867,0.3593510844892147,0.19937985656629648,0.005596886684832956,0.26967013709250875,0.0818787668615092,0.8121266835717177,0.6824429038285514
CID005418-1,0.08959761531634783,0.003485232372294971,0.05139032653663256,0.027157067685866232,0.4006790848479659,0.2775092408512613,0.15018143238963136,0.591269301891862,0.4116669095736716
CID005420-1,0.0028002833619944203,0.029853378266652797,0.5858584626115771,0.01897897123685855,0.0015067831399654872,0.35542738722356115,0.005574734159390486,0.8472182722657106,0.584883532617159
CID005422-1,0.10841916234954947,0.0002395129611452602,0.1893521195940155,0.10796233644962694,0.1849885905902785,0.26538311840046414,0.1436551596549201,0.7837971397611309,0.5940884025779417
CID005424-1,0.08949143285941547,0.012699581293417231,0.06946626390628957,0.1372374178095005,0.21035948875170238,0.18559077444709782,0.2951550409325771,0.7655529062851717,0.6278293739684352
CID005425-1,0.021290862521465927,0.11312407277861797,0.2235605248304951,0.04527550644270185,0.123648793589685,0.2118916484155504,0.26120859142148384,0.6637791517053677,0.5855010553885125
CID005614-1,0.23221093504723656,0.03888703031679144,0.2204354008074695,0.21446591746460575,0.10796948183949807,0.027793961369970102,0.15823727315442862,0.8418926160111457,0.6645174005722752
CID005616-1,0.010536559026132961,0.010872777685052955,0.24591289875672645,0.1944424735262621,0.2892457934201211,0.030710883592676,0.21827861399302845,0.7389989584291046,0.6267056125131087
CID005618-1,0.2419690831384131,0.04509936303564066,0.14295592362177786,0.2097608732454507,0.0030733872402241994,0.3295475550858944,0.027593814632599096,0.8806082838061698,0.6159485686419973
CID005620-1,0.29681859749783523,0.04527876426271017,0.12734142051142186,0.2566014359577156,0.00016701188407227953,0.18866581687340414,0.08512695301284075,0.8586382187447172,0.6091658266214925
CID005844-1,0.06144691856154454,0.03308474859837959,0.4289879709409726,0.0522919793926182,0.041650407608916536,0.3625157360073645,0.020022238890204273,0.8638409898644202,0.6856390355686084
CID005845-1,0.2755537684668349,0.00025735953890842323,0.0025478511233308684,0.29003884618582687,0.03712436192287894,0.2770490123887544,0.1174288003734656,0.8107048873807587,0.5668479089736467
CID005860-1,0.14316963167676597,0.030949628902999727,0.389770849945244,0.18843392138200896,0.0919761905536613,0.14658084059882306,0.009118936940496864,0.8113807245386193,0.7089926652456151
CID005868-1,0.050064967717562824,2.5521399929116745e-05,0.545505101795384,0.003008790359400236,0.20982941752230141,0.1344343050608466,0.057131896144575804,0.821309129929357,0.5672918623171904
CID005874-1,0.1324160080370526,0.035312325620960185,0.1341882652489264,0.1952885987408128,0.17156743891909954,0.13700620369249464,0.19422115974065382,0.8340544462165298,0.6638135859570252
CID005875-1,0.2851799228141879,0.014003004457740997,0.11859561323562684,0.2641891214229489,0.0010392547399261044,0.12234708668104975,0.19464599664851945,0.8827101273146376,0.6766740562955182
CID006320-1,0.015561497749816335,0.01991511441495246,0.2401721365559799,0.3057040491953153,0.003885943176440457,0.21864162211986388,0.19611963678763167,0.8755206250729559,0.6360278333251367
CID006322-1,0.17266344786379895,0.0018662999308100019,0.24708860151153053,0.09935430999100564,0.14639300000494138,0.08382246721766791,0.24881187348024567,0.8353905836713102,0.6303796461482374
CID006328-1,0.06635169089345967,0.007325335522650544,0.3698367538237861,0.07216183521681749,0.041119265881147456,0.3557720559210102,0.08743306274112861,0.8818619145882803,0.6405803450326458
CID006331-1,0.22300601709638357,0.12564370689169171,0.04423881764404142,0.34135115254587023,0.000503794650753051,0.15603681849492154,0.10921969267633855,0.8543715120914165,0.6745767520047512
CID006336-1,0.1182475227003038,0.003886495280452765,0.2005194840056295,0.24883150793893172,0.0866374025806753,0.08048472615710407,0.26139286133690276,0.8479679443670443,0.6770758806917573
CID006340-1,0.3165344622058974,0.07241810995162044,0.1784040459055621,0.3103070159448257,0.013782930951732539,0.03472554392547251,0.0738278911148892,0.8547405153469052,0.6584485222099588
CID006468-1,0.33311522791929205,0.0013332609859173497,0.09505689106713376,0.24061571501998638,0.05990184891000429,0.15979955480361746,0.11017750129404873,0.7636092207270744,0.6075690803896463
CID006469-1,0.014308380577299414,0.00015430380932223513,0.03787872258887607,0.39282412279305606,0.0805097177554527,0.36916831325204874,0.10515643922394473,0.7303700770301861,0.6512039208681019
CID006478-1,0.09529803937503545,0.0024793986581575756,0.2986659806473329,0.21193241783743455,0.00424770989148739,0.2452672153436563,0.14210923824689572,0.8618029896882321,0.6480586941697355
CID006480-1,0.0828412003214446,0.01703297117626957,0.19309062237207153,0.28893075788939404,0.0032379084198241735,0.21626147619985675,0.1986050636211394,0.8257562422322148,0.6486481992802369
CID006484-1,0.17489098044302281,0.0013084012724913837,0.23207742621330577,0.18596463208443081,0.03968615629065149,0.22883129670213948,0.1372411069939582,0.7955314827352742,0.6549596599493341
CID006486-1,0.00034118011821307573,0.0396555925083072,0.12032797936332063,0.3345327550478625,0.0002302791852867957,0.3324454516186353,0.17246676215837456,0.7659144147407568,0.6168186501831238
CID006493-1,0.14154319411921698,0.007469986130043703,0.1536641504868826,0.22833115768125054,5.625589322784892e-06,0.28670986628674916,0.18227601970653423,0.9009937453210655,0.6367542738832775
CID006494-1,0.22681960566736295,0.0012004566695009127,0.26803745067732687,0.23581636511848925,0.0014127497479550677,0.059823738198191166,0.20688963392117374,0.8316961101536408,0.6574792751370514
CID006494-2,0.15248327987772048,0.011178430197783275,0.2739166802800831,0.08246355787101753,0.028891047698527763,0.25972671174907364,0.1913402923257942,0.8192199491231239,0.6313964749979571
CID006515-1,0.25195154277634274,0.01785800328044541,0.20171224180413,0.36379091778425354,0.0037425703073965,0.008735691032427145,0.15220903301500482,0.8087452594246488,0.5530302381778944
