,B Cell,Epithelium,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005093-1,0.2312871659865178,0.000506054366238213,0.20230891638330095,0.1670768638914628,0.0006839229726489087,0.2557980871360902,0.14233898926374103,0.8984219192779673,0.6265410102158023
CID005215-1,0.08487733904558571,0.00016276205561821384,0.00015962131297799853,0.5870384767754792,8.806009687009454e-05,0.30526426887926317,0.022409471834205667,0.8123518210838763,0.6034737222191505
CID005217-1,0.2363776140854908,0.06308633548609201,0.1759355743060042,0.20697495246891018,0.02560062224441145,0.2250472004875274,0.06697770092156406,0.8250078485353425,0.6269433086673003
CID005219-1,0.19987515641107426,0.0004951659543712754,0.44432239973914817,0.09729131420357297,0.0001957596723106027,0.22278607092694946,0.03503413309257317,0.8901738608346853,0.6360447152824907
CID005222-1,0.26728159328635975,0.0013653845995211954,0.2361429163660329,0.19365575916967515,3.208429781287349e-06,0.04593506088760186,0.25561607726102775,0.8757394586602149,0.5911279111457479
CID005224-1,0.012113909579121427,0.08444524136838948,0.054000079851307385,0.04440630171757744,0.511142189529159,0.14979991919710456,0.14409235875734072,0.7556222540675193,0.5491109792081169
CID005225-1,0.0034523881409042837,0.02976415109333776,0.1956984908202431,0.36881959037860773,0.00796149491717523,0.06123176726458043,0.33307211738515147,0.8147307402872533,0.6488977913307702
CID005416-1,0.05211232302772338,0.0005169664522334949,0.3495973532924078,0.23569879675339012,0.0015986813728085792,0.2668773818956807,0.09359849720575576,0.8149416284912073,0.6493212900702924
CID005418-1,0.00018569527256200835,0.5289740447531835,0.003160250322524209,0.006275368345904667,0.002554987293575023,0.45879613194976965,5.352206248088064e-05,0.743961318999812,0.679897142621562
CID005420-1,0.0003202882199631148,0.00044987847633619896,0.6677717793375078,0.010171141729838067,0.0011894341331628057,0.2725708888763334,0.04752658922685858,0.8328487504758378,0.5954270155968354
CID005422-1,0.2446927193683094,0.04634586414232248,0.24409931772176385,0.10320482438939034,0.22190226192648493,0.011796605508703517,0.1279584069430255,0.7703463117325995,0.5958455950317249
CID005424-1,0.22652677940401936,0.02660167651167201,0.037337974752785996,0.06304083868070308,0.2503828489058969,0.2515682450145321,0.1445416367303906,0.7168581418581419,0.5567686451100544
