,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005093-1,0.26265642638924314,0.00019233760191066088,0.0043981131206475635,0.14864384880806275,0.0015513680015654097,0.2550224834461115,0.327535422632459,0.8413177248906422,0.5432973208721363
CID005215-1,0.049505624500825796,0.00047248209234865144,0.09215913276218474,0.4232896516814628,7.002624853831714e-07,0.43393993807197184,0.000632470628720748,0.792581119312165,0.5683224436835708
CID005217-1,0.1801586775789291,0.07317342802457955,8.750275538094721e-05,0.2720750869208708,0.0002004135600871502,0.004981955060742505,0.46932293609940995,0.8061837733112532,0.5818630903043914
CID005219-1,0.31374199288063837,2.1005621566637864e-05,0.025350847760806552,0.13400838758677858,0.0005130957463447679,0.10514027783053508,0.42122439257332994,0.7197698471672725,0.4472266425375413
CID005222-1,0.15990964893034781,0.00026296049004783013,0.0290407322813899,0.15624322848875524,0.0006619762381638313,0.27831283649659333,0.3755686170747021,0.8301783670108535,0.5649621453382733
CID005224-1,0.000601749043255832,0.12700577601984867,1.0080120629339098e-05,0.03213752527312535,0.31260422128771903,0.16873504654853044,0.35890560170689145,0.6755206084328119,0.5223751757421183
CID005225-1,0.0008176053703535139,0.03237089941275019,0.0001483687546063121,0.3179142250794713,0.009983243793531561,0.07406627532734868,0.5646993822619385,0.8223019419800961,0.6431819132701148
CID005416-1,0.037214254119882405,8.658095778041413e-05,0.006515941681409364,0.1461621945724021,0.003548618384047046,0.3975052942480625,0.4089671160364163,0.7784790475936114,0.5972109755134511
CID005418-1,0.0001683638224243342,0.4749465221103151,0.0003716060912519685,0.0026216581385884574,0.00245816308396041,0.5184100423221418,0.0010236444313179115,0.7398013245033113,0.6396619343659022
CID005420-1,0.0010130967133092797,0.0006867653585372711,0.01353359046508367,4.018031983323587e-05,0.00015023285388771169,0.26281758615131673,0.7217585481380321,0.46769142872689184,0.3023628178679125
CID005422-1,0.05216541962892123,0.008744870653633625,0.00013985063092071667,0.09477783553324073,0.08072586664183105,0.3494164128481216,0.41402974406333115,0.7603655054254712,0.5530851435283854
CID005424-1,0.08883270508839902,0.0643705991025732,0.001251343304647966,0.11752751861481588,0.08194433002970984,0.25399397832250936,0.39207952553734465,0.7269054368401722,0.5998128633231187
CID005425-1,0.03355874282379524,0.0002050646853661163,0.06123858757069633,0.00017575833328002172,0.06639032007424157,0.24801188720599807,0.5904196393066227,0.74033600840021,0.5417768311009222
CID005614-1,0.19766544590781432,0.0019820011209192292,9.76291900370758e-05,0.10939935295450862,0.005653020037149881,0.23640775758568075,0.44879479320389004,0.8334848632442554,0.572250068047846
CID005616-1,0.006648455244479765,0.018537367733844307,1.2712501364099022e-05,0.14814204045311924,0.10335643699621357,0.2986512206651274,0.42465176640585156,0.7485842989122087,0.571208163887169
CID005618-1,0.29919674224801557,2.298191371611222e-06,0.036297096486798706,0.21001703978167313,0.00010906297609816342,0.16237999281423754,0.2919977675018054,0.8459417296777101,0.5368966937306002
CID005620-1,0.2468882771929977,8.663457376382148e-06,0.00885714404538375,0.15521886050718703,0.0001112525493876494,0.28268837853918427,0.30622742370848316,0.8486300511206141,0.5483888956086559
CID005844-1,0.04877868734428017,0.00021487701481038538,0.009169168912594857,4.953406321806735e-05,0.0035153250487134375,0.29051977149416597,0.6477526361222171,0.7309029111866411,0.5382671231107403
CID005845-1,0.2389169416164057,0.05608093069431168,0.00990873040535722,0.3019411096596068,0.016065376797129445,0.3355516478743923,0.04153526295279687,0.8375970410895571,0.5512252918150922
CID005860-1,0.3638246697337606,0.0002112637162391565,0.0005239260083349657,0.11334191748034363,0.005278650379100519,0.10672002106051637,0.41009955162170475,0.798688875851338,0.5556990974594237
CID005868-1,0.06174646882234648,0.1281344300498011,4.438060199141112e-05,0.00015261471646790112,0.1555159306145292,0.13826111126624652,0.5161450639286174,0.631799911334417,0.44505865386275034
CID005874-1,0.11124071845295815,0.0007462937544014238,0.0006812115277991239,0.1316170169434834,0.01613657270132049,0.30523869211492405,0.4343394945051134,0.8650415927514825,0.6402025990756774
CID005875-1,0.28586895749659436,0.028025955516206374,1.7574165655364048e-05,0.20261114052306822,0.00018406457431523654,0.212423716169149,0.2708685915550115,0.8948477454381973,0.6001553146711278
