,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID005093-1,0.32021538237725994,0.0001641976002329865,0.0022798576067345998,0.21467592941327568,0.003934246006862072,0.24947920250195002,0.20925118449368463,0.8953893235213565,0.6093391731971135
CID005215-1,0.1840725826965792,0.020986497171626033,0.2777243393506711,0.0013351505270844184,0.09407443189110992,0.2949213531780126,0.12688564518491677,0.7001044932079414,0.5812541069573502
CID005217-1,0.30523140117375924,0.05764540297180922,1.791943827983141e-05,0.21720456111265643,0.07048929198022422,0.24895157852705957,0.10045984479621145,0.803792339811679,0.5994986431522974
CID005219-1,0.214944108116326,0.00013610100356498467,0.01283273138775197,0.5756370712590042,0.004037800711240442,0.13455793561229257,0.057854251909819854,0.8895569130377833,0.6394322106341606
CID005222-1,0.280134112786716,0.000343883556853245,0.051285906237192425,0.24121618798304464,0.00010973053217655389,0.16315136552541507,0.263758813378602,0.8583924050038285,0.5724990707500476
CID005224-1,0.0011999249594039233,0.06992202436954581,0.009031372415128658,0.030636967803028665,0.4916277872506034,0.25214347565851714,0.1454384475437724,0.7150513555817062,0.49522839173883226
CID005225-1,0.00896399278303234,0.04200314039233764,0.01936549495224437,0.25034074909175247,0.052474827536233226,0.30951072190845236,0.3173410733359475,0.7577838376151487,0.6386081116289154
CID005416-1,0.13483347717258368,5.922530026264911e-05,0.02241630041717052,0.31328110208007287,0.002046217912520916,0.36845907387817806,0.15890460323921135,0.8078560141139289,0.6643499767386778
CID005418-1,0.0004718094323249841,0.9050175037710287,0.00033923681584781414,0.0214050920959701,0.05513152578731779,0.004311758829684357,0.013323073267826183,0.732498880429915,0.6344092747253323
CID005420-1,0.00019355271769830272,4.804903035474798e-06,0.02204030746100366,0.7027338068952371,0.00812319693876806,0.2650592072577161,0.0018451238265412373,0.8457694552207855,0.5904328022015849
CID005422-1,0.2056925214339771,0.047229156077311665,0.007990279298933468,0.22297938473553375,0.27477539306785465,0.18639797646279344,0.05493528892359602,0.7572691855084718,0.5288192843873819
CID005424-1,0.374574207894553,0.025881203667786436,0.0011547595878234882,0.0432130933350564,0.36452737051672873,0.05851490517484877,0.1321344598232033,0.6884838845365161,0.5175855940197052
CID005425-1,0.021914373400851485,0.0031689794805087055,0.1159641508240716,0.1846161026203681,0.21466540882318658,0.2282305867531383,0.23144039809787514,0.6882257684336841,0.5219236427509768
CID005614-1,0.36113461003898156,0.022843341706967238,0.0017764494192646107,0.15824440035758763,0.058711090095070376,0.05344094860727354,0.34384915977485503,0.8368031646033257,0.582273763807096
CID005616-1,0.053156041605038146,0.03183125723116693,0.010945642731622523,0.21101279472437853,0.2702124397068824,0.2292778191822107,0.19356400481870079,0.7147675669164154,0.565984711399993
CID005618-1,0.4255854970549612,0.00016494503161162272,0.04664804126496356,0.181688376042261,0.000134314507899743,0.13904925190250012,0.20672957419580265,0.8716179044761191,0.5719569752184818
CID005620-1,0.3629247984466616,0.0056581790453916325,0.028078763426407114,0.11774637883833812,5.4574485160644955e-06,0.21099318806795472,0.27459323472673075,0.8575349415550984,0.5605909103897927
CID005844-1,0.09613223339219981,0.004975224026030563,0.019914305622392263,0.47447123908369476,0.05328990589375417,0.2506603952031766,0.10055669677875183,0.8666327895650364,0.6757232589270258
CID005845-1,0.4357519668645293,0.1561192373905004,0.013497038387979905,0.0021701776754198695,0.12110252549799816,0.09902189846766965,0.17233715571590277,0.7438600580915571,0.5261684635390895
CID005860-1,0.27249944708450463,0.0011904461890645604,0.00883508383170541,0.3029713753827758,0.10639992596955912,0.1397316802576538,0.16837204128473662,0.8456217247458282,0.6684984088050847
CID005868-1,0.038433378329312894,0.09374684506664041,0.0009188460115803403,0.3237100033378337,0.17576245907685242,0.3667013623418562,0.0007271058359239721,0.7725860036437681,0.5121617187248342
CID005874-1,0.190987901928126,0.019680593805310464,0.022741739955535457,0.13809773801550304,0.15207340820241083,0.1499021947282467,0.3265164233648674,0.8185828372959201,0.5961941445264674
CID005875-1,0.3503435853421663,0.02642444005498217,0.006084772191800359,0.09118509350131797,4.198724393998355e-06,0.352554316051728,0.17340359413361117,0.8518765638031693,0.5940501621934815
CID006320-1,0.03896668967198759,0.01310903931298789,0.011665430763080565,0.306891603948499,0.00940164122867388,0.2096477618606912,0.4103178332140797,0.8317264761780016,0.590023005573088
CID006322-1,0.2137645464422413,0.06695638407002878,0.0014282403657388597,0.24351206574000528,0.18196780061132167,0.0058407315886024914,0.2865302311820616,0.7992176615582467,0.6052066113438236
CID006328-1,0.051632356281855085,0.027618068272374605,0.0005686520343194926,0.4356646470151516,0.03553423219159629,0.3523451434719749,0.096636900732728,0.8494718917824695,0.6049584003762932
CID006331-1,0.44515419533629186,0.00016299745517431017,0.19849727605818362,0.06017594819523265,0.0006942623154455489,0.007742264971186264,0.2875730556684857,0.8278367210850333,0.6121922269681316
CID006336-1,0.24392936978540888,0.0409583247816242,0.0009980553579956681,0.2308356881244864,0.20346414363408305,0.03730928297255599,0.24250513534384585,0.8292545488355318,0.6187602877663091
CID006340-1,0.3294927699764126,0.001943372735097737,0.04985447619072393,0.14689502176612293,0.027843779180361437,0.1342712408349452,0.3096993393163362,0.8676636923463616,0.5689667481946932
CID006468-1,0.34662828184941236,0.150754883402899,0.0006741216924436622,0.09767989253659785,0.09145757457560287,0.06415807133665626,0.248647174606388,0.6589045824940828,0.5260200213323606
CID006469-1,0.3208384076903601,0.21625475193130617,0.0006364511009576551,0.10401045643446827,0.1558393808744383,0.09514955892227205,0.10727099304619758,0.638797794686767,0.6601285903269392
CID006478-1,0.3111866617327087,0.024528798410424033,4.8557790320002695e-05,0.2690376964531647,0.003736745694633411,0.14567103779734394,0.24579050212140524,0.8469679674178047,0.6048967024225089
CID006480-1,0.15574008043277945,0.017583544903028537,0.004161688674872799,0.23203238973231258,0.0016419253492810685,0.26753267453813395,0.32130769636959167,0.7725167267112713,0.6472738717991123
CID006484-1,0.26056654091704823,0.026320855298814318,0.0006625689035255574,0.17551418166931423,0.024821446978882274,0.25836551920729495,0.25374888702512055,0.7932244966003407,0.5932818924080026
