,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.08120291811611995,0.09197024953221439,0.0823244979302104,0.5648518308551481,0.17920644756338927,0.0004440560029178898,0.8561471677493777,0.7434392425691231
CID003353-1,0.015262142158795285,0.6225885186913184,0.001280409368772542,0.1695642168963824,0.19087002432975975,0.00043468855497163936,0.9223579852979673,0.8254258625924117
CID003354-1,0.00892051204076072,0.46539859364931824,0.0007137048208891809,0.4067716686090227,0.11731742083501594,0.0008781000449931216,0.8948316090688972,0.7907038083962992
CID003355-1,0.36563662478057457,0.21020799342390364,0.012371433387813933,0.13618726405700599,0.2744239756163177,0.0011727087343842066,0.8254791759964175,0.6416564409110697
CID003356-1,0.022837532698259996,0.2189876946788774,0.006638916810192672,0.4207547671383637,0.3253753821757951,0.005405706498511135,0.8922147802915729,0.776612671997729
CID003357-1,0.25900097158388335,0.23428528612470748,0.0019273222788646308,0.25657851302627344,0.24749790686930395,0.0007100001169671158,0.800682986790395,0.5976922022546781
CID003358-1,0.00035400094566235,0.44407662160915534,0.005189810956007735,0.29108266152065015,0.25379556728717695,0.005501337681347528,0.9087592298790045,0.7799900646525073
CID003359-1,0.014756236463322114,0.3553033123433574,0.00027306689434116984,0.46457948078411315,0.16508403169389796,3.871820968130632e-06,0.900461262875056,0.77512204814238
CID003360-1,0.26889710737776357,0.08794529108674377,0.00112136670168835,0.4042015443829292,0.2327613541569146,0.005073336293960492,0.8674964078278996,0.6705567183240314
CID003361-1,0.21538127576971247,0.2848403735954353,0.0012355151518770975,0.3563235346860779,0.1417875602018368,0.0004317405950603142,0.8948292959342683,0.7174308349308534
CID003362-1,0.024800717495009124,0.4050177830397506,0.00040695247757405455,0.43445220432282955,0.1347941277536247,0.0005282149112121528,0.9304484706318096,0.7946922239507789
CID003363-1,0.15496822634699076,0.33820472285617575,1.0265230707964411e-05,0.31005308816609006,0.19639605419790304,0.0003676432021325076,0.8737902980996903,0.7572476304967029
CID003364-1,0.10656609258957013,0.18804318911631773,0.0006281361512683998,0.3692791936746273,0.3343716170151608,0.0011117714530557358,0.9026616047820407,0.7421036781464131
CID003365-1,0.11820619309082321,0.4246883327218361,0.0009256179666424749,0.3353014410057849,0.12019586813876029,0.0006825470761529017,0.891185941952941,0.7823399666906996
CID003366-1,0.0580636788307161,0.0005841799876258684,0.20629768380921853,0.5112296318206444,0.22373776629511352,8.705925668151064e-05,0.8684547655734096,0.7560406933605203
CID003367-2,0.28183774298212255,0.007116564286299982,0.027833731871962683,0.3720913644849256,0.3074649931503747,0.003655603224314627,0.8926395887721855,0.709710631155227
CID003368-1,0.22984850809323715,0.21235653360785497,0.0003658231380755648,0.2782669799556165,0.2774783393388219,0.0016838158663938735,0.8956018663821063,0.74302348930359
CID003369-1,0.12703869014811217,0.30625854117696966,0.02308435503005525,0.2772493983273829,0.2654722064301094,0.0008968088873706033,0.7503981925520681,0.49890223047178406
CID003370-1,0.15102676830790668,0.268472201730344,0.0009883082247193395,0.22322653717205151,0.30137247205522544,0.05491371250975313,0.8965517608244878,0.6706400282553427
CID003371-2,0.26760878286220613,0.14834958332607576,0.005870225948362611,0.295710924961635,0.2523438072143084,0.030116675687412164,0.9051375742901167,0.7333554304981791
CID003372-1,0.13454669075154982,0.16624403992268189,0.035324601908247266,0.30889364048319373,0.3326826441581113,0.022308382776215933,0.8944899029607555,0.7081732386947978
CID003373-1,0.009463925490426114,0.41428769279189415,0.0023783598272112474,0.25795872578504764,0.3106532090951648,0.005258087010256065,0.7523244552058111,0.5792005450199244
CID003374-1,0.0002444661044960409,0.853854268009604,3.1316518807959616e-05,0.14567939183139214,0.00015411545581691372,3.644207988299822e-05,0.945824345146379,0.8269761306092848
CID003375-1,0.03277435834641267,0.5189356730492565,0.00457772864246452,0.4101471041098688,0.030499353785457657,0.0030657820665398717,0.9361240968975775,0.7786287221940323
CID003376-1,0.0026767219472603296,0.4292569944926976,0.07445237373337221,0.4025936114193599,0.07691095961327524,0.014109338794034622,0.905977862866947,0.7333588277110593
CID003377-1,0.08614138407831558,0.2712457289159834,0.22586695058635348,0.2271023431893912,0.18693562290527624,0.0027079703246801114,0.7470675621953006,0.4979031487660648
CID003378-1,0.0002174535523407858,0.6242081281925702,0.0010767671320398948,0.19487507488210648,0.17864795110490267,0.0009746251360399329,0.9394265212563001,0.8150044803649381
CID003379-1,0.0013051444749252795,0.6671149183960977,0.001997341906596793,0.14404849722390428,0.18468456236340222,0.0008495356350737357,0.9308270286179257,0.8223511471832573
CID003380-1,0.018216117569001183,0.385713579069656,0.009206986563884419,0.23880038679450796,0.30051361913883967,0.0475493108641107,0.9007068119386402,0.6987669534985539
CID003381-1,0.015233191334222953,0.25283664132366335,0.015793644053638946,0.29731044349890273,0.35054399713249473,0.06828208265707737,0.7591129828084694,0.5641961031216179
CID003382-1,0.02750101457437564,0.3028808342150275,0.0010027797614264402,0.2765562266836496,0.38879027915859343,0.003268865606927431,0.7647396524584091,0.529151888139101
CID003383-1,0.025939186978541296,0.3559475109171161,0.0024593269102782013,0.4370480823101951,0.17806673075172252,0.0005391621321468414,0.9005586592178771,0.7231074637814932
CID003384-1,0.10148891712499422,0.42376539316373796,0.0011069015272576056,0.35950422970947327,0.11054721007116582,0.0035873484033710585,0.9276349596618467,0.7994532561160996
CID003385-1,0.03479803474246076,0.505422453479076,0.00014102672066756145,0.4257669745147004,0.033701189019441254,0.00017032152365402788,0.9177115987460815,0.7799250641140182
CID003386-1,0.0012594158937714553,4.7756543473745024e-06,0.130568832825044,0.41664827528463727,0.181218958634791,0.2702997417074089,0.7411998528605678,0.7248805608606081
CID003665-1,0.0689502335856414,0.5063286185888596,0.03500615621603959,0.19198073033124885,0.1894182685711109,0.00831599270709968,0.7618853560232871,0.6398856168441154
CID003666-1,0.0012883257627207823,0.7469093212914166,0.0014582748266817004,0.2500243527983361,0.0002816404235162979,3.8084897328510836e-05,0.9129848117983711,0.8243431710267636
CID003667-1,0.07292344172894906,0.0025169546303724873,0.14316522318969324,0.5573907819120292,0.21849842460951438,0.005505173929441674,0.8455757119243403,0.6987819352311356
CID003669-1,0.0791897177765858,0.0035852342637488726,0.13908665946031332,0.5368205695654639,0.23801950397696986,0.0032983149569183238,0.8108756804889402,0.6654331377071648
CID003670-1,0.2413800510524119,0.002719406393836771,0.00878108517876836,0.5618001885374572,0.1774034076107665,0.00791586122675925,0.8245074531258115,0.7027855137349246
CID003671-1,0.0004600355947776869,0.002178093303547884,0.33316607932345094,0.4611167430092864,0.2005084282453895,0.0025706205235475517,0.7923651680073708,0.6514548185806305
CID003672-1,0.2529513159881306,0.07923071632029946,0.0031221260517734794,0.33225104413454415,0.3323445598015433,0.00010023770370904241,0.8742655620241827,0.7600012315359527
CID003673-1,0.008215522583699394,0.5122443473042277,0.04028776844945024,0.22147493558330258,0.20758122155448877,0.01019620452483126,0.9262516793551276,0.8452221792726571
CID003674-1,0.2926533926624266,0.17180354537119608,0.004383190801794193,0.3028016440599351,0.21464373500723294,0.013714492097414979,0.7920120991388624,0.605979369485463
CID003675-1,0.07587699881817789,0.3448968346186078,0.0031604808382796994,0.3603277094394069,0.2033589588904354,0.012379017395092274,0.8948409933090692,0.6502238308189551
CID003676-2,0.02615038185548307,0.4322588456063615,0.002589480351492842,0.37634452868006085,0.15370077306821472,0.008955990438387023,0.9399995815286758,0.8157438191446399
CID003677-1,0.05628651431795516,0.2708442431059714,0.005919676198763559,0.19415900889384108,0.4552078152996001,0.017582742183868714,0.7858472998137802,0.6518638277120697
CID003678-1,0.11397027035506915,0.5381547642984184,0.05864419234214402,0.09499713315785313,0.1940027571207677,0.00023088272574761236,0.9026091687067145,0.7813339271564389
CID003679-1,0.3151025283832233,0.2057531338186729,0.0012780617157206215,0.1476271778318008,0.32548669483409126,0.004752403416491122,0.909963802230452,0.753696519658533
CID003680-1,0.006079586497211397,0.41943678883884405,0.0039465165343710385,0.222091123969485,0.34462965359693626,0.003816330563152289,0.8135506656740707,0.6288452496380865
CID003681-1,0.0712085301526184,0.575938130621956,0.0008331342030305069,0.18132561599980324,0.17066966554303245,2.4923479559445873e-05,0.9128018354475962,0.774381829145819
CID003682-1,0.03513536993075187,0.7018740972490154,0.00033423881997702903,0.13038343563583218,0.13188847906229229,0.0003843793021311685,0.9092525413593782,0.8183000518612732
CID003683-1,0.0008513352625890496,0.6996162038938424,0.0002089097323465843,0.29720504569634615,0.001425192576377148,0.0006933128384986546,0.9188479484443328,0.818103823195544
CID004696-1,0.14650753307391678,0.21429432004227805,0.0006148832464152092,0.3550036886253204,0.2832574329107415,0.0003221421013280889,0.8453811227585629,0.6428797013323987
CID004697-1,0.18786143959681065,0.15924005755064535,0.001393674877035274,0.42576770742434655,0.2245245969712526,0.0012125235799095547,0.8246312221455024,0.6158228808077965
CID004698-1,0.14434629525328363,0.16658813776116163,0.0002867825595119221,0.4225677142789965,0.26557369974816813,0.0006373703988782716,0.8553323708492875,0.6132107845210109
CID004699-1,0.03645443899891757,0.2899997557241095,0.0012871595723748241,0.4269123071315077,0.24273800907984389,0.002608329493246413,0.9353943046052768,0.7596183270593226
CID004700-1,0.0029826271739905983,0.34775362688619305,9.36427451069358e-05,0.48275571381393373,0.16604885616668982,0.0003655332140858431,0.9253091456907915,0.7924122460340218
CID004701-1,0.016522136361345287,0.2284469018738593,0.0009119112680733044,0.5431311914682742,0.210526566913199,0.00046129211524903273,0.9282138337603013,0.8052935653755964
CID004702-1,0.0010254394279545298,0.4630216650682507,0.0007499127976138268,0.4764815308568126,0.05835775873445462,0.0003636931149135999,0.9205330581021188,0.8256739097803284
CID004703-1,0.14054779106437543,0.20455653145299826,0.001711529017228118,0.3665999253276997,0.27476033990053855,0.011823883237159922,0.8881994616801246,0.7608336916998508
CID004704-1,0.06598310152194466,0.21822430112226865,0.0004930030582626567,0.5121649536933709,0.20269765650909008,0.0004369840950629859,0.8736607775281808,0.7216977540518763
CID004705-1,0.14486077528548913,0.25600930055248566,0.07600210916661365,0.22770772388998828,0.27543950647432003,0.019980584631103228,0.8848562119280351,0.7135669073034792
CID004706-1,0.1160583380731295,0.324469897641913,0.010582754835687073,0.2766219127321553,0.2624171072013993,0.009849989515715899,0.9175783700645579,0.8211492687613431
CID004707-1,0.24831427127131356,0.2292895866166222,0.00131147870653617,0.28953371482023116,0.2315098246600871,4.112392520981029e-05,0.8700180114544755,0.6993611254874725
CID004708-1,0.030317437089360078,0.3782876253732182,0.012506089196028027,0.15546262361383809,0.4205842586744804,0.002841966053075136,0.8281392745185848,0.6024890035649968
CID004709-1,0.2384665032505356,0.011154369574734405,0.002917204502207612,0.37926005826815495,0.3672805932893541,0.0009212711150133724,0.895800640261126,0.7058553027494379
CID004710-1,0.07864774454584482,0.18570228336846623,0.0026753473888511273,0.38407551335974693,0.3468381433112556,0.002060968025835298,0.9006533123450313,0.7538591299651255
CID004711-1,0.2077128024676946,0.22058432159765046,0.0024266335096014852,0.39077145110980605,0.17846797043840723,3.682087684027977e-05,0.8601644083665134,0.6697860675579994
CID004712-1,0.3109239804134742,0.25931006245685007,0.0011346498701579626,0.17255996079925506,0.24890170840892356,0.007169638051339215,0.80187265917603,0.5743541295252745
CID004713-1,0.038002285219916866,0.32228294189631707,0.003189238698523818,0.366703105552307,0.2697982988314243,2.4129801510908258e-05,0.9275883000504132,0.8033105377585276
CID004714-1,0.008816392973067407,0.41655559444405493,0.00015494816512743147,0.3658476413199928,0.20617792712584956,0.0024474959719078563,0.921750671317016,0.7638999902533226
CID004715-1,0.0001285469529112835,0.7458780776206789,0.0005781598581533871,0.25206489321712044,0.0004961678219325879,0.0008541545292033597,0.8991923616280882,0.8350092229441839
CID004716-1,0.0015163258285475706,0.46273961932463437,0.0014102188641292041,0.45028053609264934,0.08355133814591861,0.0005019617441209033,0.9027777630012479,0.8393225976763671
CID004717-1,0.014594169876575453,0.4295538634044601,0.08504728446752646,0.21489098638889415,0.2509404449817149,0.00497325088082892,0.9137126314859952,0.7540834952979882
CID004718-1,2.0864731679898677e-06,0.7031789550318516,0.00047953093524242694,0.21840069415033606,0.07653268427460878,0.0014060491347931577,0.9279466248853033,0.8065173504257899
CID004719-1,0.0008316425805423807,0.4411109337576853,0.002806074161035921,0.4762878490834213,0.07639072920009429,0.0025727712172208266,0.937187454229699,0.8089162982858292
CID004720-2,0.10808706157369959,0.26537785832211436,0.00021268502883210882,0.450739670505147,0.17524855628677552,0.0003341682834314787,0.917661582240077,0.7561377843275184
CID004721-1,0.05355600355986701,0.2618523780302864,0.0727860695009228,0.22946580526216484,0.26353981217292494,0.11879993147383403,0.827482329701534,0.6521443597991242
CID004722-1,0.012864567811305317,0.5590251027427865,0.0032470414599722794,0.21668387656853172,0.20509187942032223,0.0030875319970819085,0.9284499148339928,0.8252486505138759
CID004723-1,0.0031071162161055866,0.47705947118784087,0.00025714423627991025,0.4469220818858702,0.07151548638092012,0.0011387000929833425,0.9408541415887322,0.8448109468607545
CID004724-1,0.007044692396312099,0.5029591826081853,0.0005363605832334361,0.4232304968378667,0.0649311112903322,0.001298156284070332,0.919454731864499,0.839358348428314
CID004725-1,0.2914308585982788,0.22718141136900402,0.004501933850884376,0.23205818569415895,0.2399827811952155,0.004844829292458403,0.9027027583155859,0.808192100626404
CID004726-1,0.17341472319593915,0.267141530370869,0.00870725199588649,0.27753636291412187,0.2419228973255944,0.03127723419758898,0.9013316333758323,0.7424864821985934
CID004727-1,0.07932113717689329,0.5029455743813733,0.004695181397822436,0.3372691705707534,0.0711061314052116,0.004662805067945906,0.9092809584522291,0.7464325338912862
CID004728-1,0.07045220052391558,0.351857163210362,0.0011197519057248124,0.2744608856847625,0.30167344260875845,0.00043655606647660406,0.905088575839239,0.7406912426177666
CID004729-1,0.05306333535376803,0.3589566134897026,0.0003158673401417702,0.48946656083723294,0.09807526635365482,0.0001223566254998518,0.9157710628928877,0.7931309189752045
CID004730-1,0.271114550659089,0.36929847296418494,0.0007181942599288645,0.29543561862988477,0.06341960237928786,1.3561107624370104e-05,0.8954947169151312,0.753766545707251
CID004731-1,0.2468373695949528,0.1206240338242969,0.0850721301226036,0.2655012132474056,0.26618177098627993,0.015783482224461166,0.7868390931102796,0.6086057111887423
CID004732-1,0.0032741958176310914,0.5920184476795809,0.0020399167687031733,0.39016614363503294,0.010627824383932958,0.0018734717151189604,0.9289610389610389,0.8443064504711705
CID004733-1,0.00011190243093508579,0.33678228422090245,0.0023912342387140753,0.5048789714440851,0.15039778895232092,0.005437818713042356,0.9123640766013646,0.7669128920732979
CID004734-1,0.0747072931708281,0.28742085528324174,0.0038643041320341074,0.5277797388843042,0.10480519806146067,0.0014226104681311557,0.8557006457644432,0.6666397322093552
CID004735-1,0.008952745300559091,0.27831107015692597,0.0023983483171439667,0.30813775648386077,0.3739570691628394,0.028243010578670888,0.8047839372587039,0.6540989573421677
