,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.004227083568698069,0.11919838783681544,0.1115270962720839,0.5528764103034285,0.19605971809731818,0.01611130392165589,0.8542652655390278,0.7362040670191915
CID003353-1,0.0016216885722490362,0.6042351375703638,0.03000853360003024,0.1609278407889312,0.19470031004151742,0.008506489426908256,0.9186701671813148,0.8344044294728032
CID003354-1,0.007794778168951353,0.4635068513939177,0.0018935195921241385,0.38914893425263636,0.1369763187517674,0.0006795978406030978,0.899934703711765,0.7885683503484443
CID003355-1,0.40304997617232646,0.19667144547797152,0.0005267704106684914,0.08857141396809445,0.30914780412518295,0.0020325898457561123,0.8104367856369876,0.6338362288436806
CID003356-1,0.027714402403977767,0.20601422319382037,0.0006063584558791618,0.40513906230046304,0.3517462760139967,0.008779677631862933,0.8883621879001847,0.7781174926683825
CID003357-1,0.23031206513461785,0.24562670224671976,0.0008796381536864857,0.25827781412391676,0.26360805606709276,0.001295724273966396,0.795929433747962,0.5801047218772535
CID003358-1,0.004108475436046785,0.4642594417282983,0.039803902618362946,0.2765519710797811,0.20398006697892435,0.011296142158586661,0.8990146569968474,0.7569178222360983
CID003359-1,0.020320737487046055,0.3543474290677798,0.0009931170467177223,0.4618082194413372,0.16193455805501827,0.000595938902100975,0.8987936347614581,0.7705383616711201
CID003360-1,0.29332159367899724,0.09222893015250117,0.00234994269123263,0.44066328799337506,0.16777934482635115,0.00365690065754276,0.8674066314067055,0.686559955194169
CID003361-1,0.25608966057037863,0.27797233576196456,0.003950143503970127,0.3246289041548747,0.13409944367676077,0.003259512332051211,0.8832898378072691,0.7151427400522228
CID003362-1,0.0026287418919391983,0.4070276048655963,0.0008837667293518191,0.4206534769776436,0.16793451967120585,0.0008718898642632387,0.9299589880737602,0.7962464348290473
CID003363-1,0.20940386366485142,0.3479634151842217,0.0003963570566813156,0.2764496728167218,0.16426617003996652,0.0015205212375571766,0.865019399159138,0.7649539430261459
CID003364-1,0.15709111216416952,0.20288622727553277,0.000630807100987411,0.3173414117497233,0.321865730697383,0.00018471101220400777,0.8912676906677232,0.7485984680733087
CID003365-1,0.12064624115604944,0.40400381137267677,0.0014270743282153932,0.31378590120089456,0.15940526645973138,0.0007317054824324618,0.8898904068883057,0.7852536085634126
