,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID005226-1,0.021089247798812726,0.4482083662012946,0.00025658612543329705,0.3183428000704184,0.20911438886125105,0.0029886109427899395,0.8035923398635264,0.6501048793897766
CID005227-1,0.001957853485654869,0.4361937585591496,0.013520739098881822,0.26493353527504826,0.2748258866113505,0.00856822696991505,0.8051812440952713,0.6243700409630203
CID005798-1,0.006861569958551988,0.11003849869544005,9.6759466462076e-06,0.5229553156039585,0.3571009048442438,0.00303403495115947,0.7795642291342508,0.7130038257808421
CID005799-1,0.026627863817229622,0.005714423237515637,0.32975460077292473,0.26123010121431234,0.2558942719673495,0.12077873899066817,0.7287893462469733,0.5646571902243352
CID005800-1,0.061527549329337086,0.568898161224051,0.061589896452866034,0.2646410046902468,0.03447323848205669,0.00887014982144234,0.7850746268656716,0.7660810328692829
CID005801-1,0.010116574425582872,0.3630927280774601,4.9411340543306335e-05,0.000606670730472724,0.5082143240629187,0.1179202913630223,0.7825075598983746,0.6700343696473653
CID006004-1,0.001706723603812197,0.0011874945770205256,0.3398238074093299,0.48396543778931167,0.12119336437207928,0.05212317224844644,0.7585711261169727,0.6249415468453717
CID007374-1,0.00027184064325638606,8.453682114825538e-05,0.11186728726567703,0.29616657369010585,0.2893652773254685,0.3022444842543439,0.7159633469978297,0.6575809057136892
CID007376-1,0.018566188734919217,0.22381651956823798,0.04809785342288037,0.29683033626444816,0.39139600472267655,0.021293097286837724,0.7653569554615884,0.4759091289124784
CID007378-1,0.000102702404938974,0.4044998395998069,0.005030655295026205,0.2586243469496652,0.30301474917539184,0.028727706575170885,0.7723390454669093,0.5922589351187202
CID007380-1,0.10821808988183035,0.246251398164911,0.0035221152121598207,0.28120100798389697,0.28631195769639417,0.07449543106080761,0.7674360727826735,0.5329923873012692
CID007382-1,0.07625219608941329,0.001979701264304114,0.34126972079302753,0.3191515645501393,0.25780099900623876,0.0035458182968769697,0.7783545707530392,0.5619706539819206
CID007384-1,0.02422601656429948,0.299892471593822,0.11648319252348467,0.195443106050116,0.3368200880586932,0.027135125209584696,0.7919503688385444,0.6098955407369341
CID007386-1,0.008025146408822936,0.3303280145718268,0.00033640596294288625,0.3788287080516811,0.27651396230415665,0.005967762700569574,0.7668994147430285,0.5864524627330031
CID007790-1,0.1391591549774299,0.05697113997672102,0.22412411210119085,0.20995278482829177,0.3461579419820172,0.02363486613434918,0.7494591258134037,0.5717947146421358
CID007792-1,0.16229219789138863,0.19567441514509634,0.0013543399954512817,0.07686660180526708,0.520394166108411,0.043418279054385646,0.788572739391631,0.6099665031451202
CID007794-1,0.2599874251014345,0.07319314530297763,0.05063013170880925,0.3565306756714279,0.25232414836776557,0.007334473847585239,0.8889469310979872,0.737926464748346
CID007796-1,0.02488520880999935,0.439939259584998,0.003659593062469759,0.33225180655699815,0.19485598188437772,0.004408150101156948,0.737450381890547,0.5965004508227005
CID007798-1,0.0767426732008794,0.01306735739682277,0.21281527790610222,0.43627264710370206,0.2590025749814387,0.002099469411054658,0.8026389816445065,0.5806586099260945
CID007800-1,0.05114538603034272,0.0775042363774297,0.297828862963724,0.31226183404946745,0.2609879187909061,0.000271761788130055,0.8496994717989194,0.6818677002861899
CID007802-1,0.21568864108435168,0.012498356412254804,0.19410740063368792,0.29600817948940733,0.2777042812690921,0.003993141111206238,0.8117135166858923,0.6358077929011974
CID007804-1,0.06244077887745724,0.16717588034753336,0.2447810224947238,0.0649568563078953,0.4383247933442815,0.02232066862810889,0.8325054813633646,0.6551124277839468
CID008392-1,0.0011856033820236333,0.4601954492760021,0.02336542248957594,0.11148114551945712,0.38661908292679875,0.017153296406142472,0.872487602787019,0.7653790606055862
CID008394-1,0.00232194710553179,0.00027946420637894496,0.17585230651631956,0.26344285988390415,0.289097981505891,0.26900544078197447,0.8498317150260543,0.7874068798539725
CID008396-1,0.04257338060756598,0.10995826162106472,0.2020862615889365,0.17682754124300815,0.4353218894253131,0.0332326655141115,0.7702393258270717,0.6940519907176707
CID008398-1,0.007423106195965832,0.27162570917158374,0.003171793839009118,0.4638037225213046,0.25300591760714536,0.0009697506649915212,0.751668500990535,0.5485511948141131
CID008400-1,0.011884250356435599,0.27066993682233575,0.0014978745827270272,0.30280595528706117,0.3684028280271363,0.04473915492430422,0.7272749284613691,0.5408803445679308
CID008402-1,0.00838255369521582,0.3198288884219604,0.09299188854541796,0.24957062825703918,0.3190629344673768,0.010163106612989798,0.772404823323696,0.5600647155376045
CID008404-1,0.05610538283426591,0.3801218093348801,0.07234226513516222,0.11524245799152168,0.3297359757662968,0.046452108937873375,0.7464119262940214,0.5204220926576014
CID008406-1,0.0007937456187973467,0.2153380182448463,0.02319534960729037,0.3322355514609799,0.4195467108878964,0.008890624180189592,0.7307827506120143,0.5122597878902458
