,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID005093-1,0.1316371804494298,0.0001295963088349334,0.004410039562245803,0.5503446164078195,0.31209219175928604,0.0013863755123838728,0.8945190402817521,0.756690994751068
CID005215-1,0.0038543351735494964,0.0008257826763058687,0.3175138809711787,0.007356844020246551,0.4822568067266578,0.1881923504320615,0.7789324299578831,0.7681597474471501
CID005217-1,0.23901061563783726,0.18343325234678617,0.0004951880711753045,0.33228988316841834,0.2443672346339241,0.0004038261418588209,0.8548071893373507,0.6547274955779082
CID005219-1,0.018427738686638603,0.0006389017862294808,0.002352773138044556,0.6585871592422774,0.2062809263597197,0.11371250078709023,0.8601122606207351,0.75692909406534
CID005222-1,0.06153995864303757,0.0005689293355391835,0.153624505175273,0.4976890429282385,0.28013749782957087,0.006440066088340818,0.8412583733025722,0.7643739046808281
CID005224-1,0.011682395640142913,0.7453070827232808,0.011052242886040895,0.07259739387700569,0.11477588043543425,0.04458500443809542,0.899628589359754,0.8225581460605105
CID005225-1,0.04875342815288514,0.1448038167469224,0.0009678917157163607,0.4480403026907187,0.35698107631388354,0.0004534843798738181,0.8665222940597995,0.5650113110806574
CID005416-1,0.009086112136529587,0.0013050071594761174,0.011245975820262957,0.6541120577242435,0.20947479536010996,0.11477605179937789,0.8896427283337358,0.7394597356501602
CID005418-1,0.0012207405996866782,0.9914639450529174,0.0007031158051066042,0.004385557728954288,0.001665056634315833,0.0005615841790192416,0.913279888462879,0.863382082509912
CID005420-1,0.001501318462448459,0.0005022448647558705,0.014694365340660435,0.8323255736631445,0.005912878958970285,0.14506361871002038,0.7451836018444191,0.6366158616795347
CID005422-1,0.18082158983420066,0.27970678144008493,8.248201366976198e-05,0.3307914027487995,0.2084394470125581,0.00015829695068708024,0.8571004121942544,0.6950234516038295
CID005424-1,0.17355675225280034,0.3165935783477825,0.00013010611356876662,0.2559693667175598,0.2530671509527512,0.0006830456155374633,0.880784402797929,0.7483294808628964
CID005425-1,0.2181632111179116,0.24243856224890914,0.16708831098846783,0.3104083738936699,0.05589220011614772,0.006009341634893695,0.8096411875417401,0.628887670787376
CID005614-1,0.27207280614633095,0.14725445241353466,0.0005428439192007974,0.36503368724423746,0.21507599927125998,2.021100543607112e-05,0.8954926592384539,0.7356480914876808
CID005616-1,0.009956934082649305,0.3016708991670161,0.016062629207085222,0.41084052526302056,0.2577453016583018,0.00372371062192712,0.8811080411392774,0.7157063274295781
CID005618-1,0.02268184541212388,0.0006949219582984774,0.1560093770521786,0.5634952276236287,0.21966338070516425,0.037455247248606105,0.8259506835090735,0.7206379189368121
CID005620-1,0.2936644622297175,0.0002485680743446261,0.0010976513890957535,0.38027723364988303,0.3061073630379698,0.018604721618989302,0.8270378715392451,0.643565667097613
CID005844-1,0.2047082597691091,0.03178901056853559,0.04665938733235428,0.6770949099634318,0.03788476654315541,0.001863665823413843,0.8768401028069536,0.7250889863800274
CID005845-1,0.2902371063717875,0.25593999749752533,0.0017377645689373793,0.10466350241545859,0.34656908241357265,0.00085254673271855,0.8437906262983661,0.7508673455293411
CID005860-1,0.07933934545061523,0.04282882224974773,0.0005981459206645085,0.5917373110014349,0.28132452884281,0.004171846534727591,0.8910272502207373,0.7538695506306993
CID005868-1,0.0018150726809044962,0.46345058752520885,0.000225000551877669,0.5338640040763324,7.836470893177868e-05,0.0005669704567448067,0.8116508914813999,0.7363362920822198
CID005874-1,0.23000912724455516,0.14392533744779884,0.0002766115927787125,0.3141146943614122,0.3096248221428755,0.0020494072105795612,0.884698596028707,0.6474070921372646
CID005875-1,0.25304360651153845,0.09090028722456193,0.0003427263220746501,0.3075527596999555,0.34774449870475577,0.00041612153711384134,0.867810893163207,0.741512950742203
CID006320-1,0.07997681822249075,0.042455076865274076,0.005935773246279587,0.4292603470089374,0.4312806996146268,0.011091285042391399,0.8446697215073337,0.696122928724282
CID006322-1,0.110578592498331,0.2800036547637043,0.0006537212392476627,0.4389942452305156,0.1695829950496352,0.00018679121856607123,0.9179086931034153,0.7494947325649334
CID006328-1,0.03134046251960788,0.1949783613773901,0.0007488018635512318,0.6216115388348424,0.1511515101008458,0.00016932530376254106,0.8592787327553464,0.6931930150073157
CID006331-1,0.26078117890187014,0.0016817505098312116,0.15182819374752585,0.24973117580818466,0.30572921732503194,0.0302484837075562,0.8147051532615761,0.6788940773841834
CID006336-1,0.05326636113034472,0.18760515626790938,0.0008124265165813606,0.465200476714205,0.2919952992735403,0.0011202800974193568,0.9133265430002984,0.7550601920626658
CID006340-1,0.17135731238967322,0.00376893903471661,0.07665046249824244,0.4059852347985352,0.3346149999732632,0.007623051305569214,0.8221056205438441,0.7144637885778953
CID006468-1,0.2719260882795265,0.22738008520179828,4.4076244699525246e-05,0.1989558107870493,0.29966847717746764,0.0020254623094587815,0.7630581187998823,0.5223030764253623
CID006469-1,0.16662297348314833,0.3273237152990998,0.0020007968123066547,0.212638186584274,0.290868151489449,0.00054617633172213,0.8764858997705691,0.7287945806970644
CID006478-1,0.06854753165979237,0.09955389654483952,0.0021384523199813655,0.4958445019797308,0.3332445637757391,0.0006710537199168529,0.8675555829912446,0.7332224051062906
CID006480-1,0.11330943235249033,0.09150782379896294,0.00017858540433894792,0.3928878413095809,0.4007426141291989,0.0013737030054278775,0.857721769755668,0.7030486030915231
CID006484-1,0.14586996004609729,0.11423927317939313,0.0004611429940760254,0.3960126164342428,0.34172568387507624,0.0016913234711146592,0.8909553158705701,0.7821313927046517
CID006486-1,0.1620140080386847,0.05144191605819685,0.039716573375072194,0.3593315767237641,0.38684562544293727,0.0006503003613449405,0.8341944710227682,0.6897587001421257
CID006493-1,0.2441209676200928,0.03708008872282592,0.0007019890488084137,0.4023543762792153,0.31564338758643334,9.919074262425932e-05,0.8732430013272016,0.7015856293251406
CID006494-1,0.1912109098681993,0.049636685153129224,0.001864808682111652,0.4262653306255256,0.32677558169302723,0.004246683978007008,0.8668852326310891,0.6826930095935391
CID006494-2,0.2728403250386627,0.224035609396983,0.0009181974460668682,0.42580568355197485,0.07460771297607169,0.0017924715902410146,0.81211772378552,0.6760414049437864
CID006515-1,0.17413037006160062,0.12899000374813221,0.0009554572399743852,0.3291059006416658,0.36674864546458896,6.962284403792181e-05,0.8173475676865507,0.6885735391743807
CID006527-1,0.0021909262023512882,0.015702633329949672,0.001674734836971126,0.7777473498779568,0.20220794979436757,0.00047640595840351796,0.8791100178843295,0.6796021125573544
CID006542-1,0.10105137253390963,0.12051316319833325,0.001319452855834173,0.3294532784260811,0.4448032743336648,0.002859458652177136,0.8604948499776085,0.7590221837708273
CID006544-1,0.10149462142235693,0.1954889782164798,0.00366766341569714,0.4878742036366607,0.20811458002999528,0.0033599532788102216,0.8239885538190623,0.6553609491172694
CID006548-1,0.26970688088408523,0.0013731668269715825,0.005272277000317062,0.44285899477659885,0.2634979944062233,0.017290686105803952,0.8122457194300653,0.6555622434716551
CID006551-1,0.006375647564002462,0.09786814676641073,0.008416515724322398,0.5796136321052585,0.30737941079908593,0.0003466470409199236,0.8463669257803708,0.6807347546905739
CID007329-1,0.000695067071916254,0.08203558374538564,0.0011706379508646565,0.6744461155800278,0.24112451603939225,0.0005280796124135042,0.8710289412224659,0.7145378742926577
CID007330-1,0.07676287091364122,0.027310828756631957,0.060785693661575255,0.3842778222309402,0.4292510014066224,0.021611783030589058,0.7977777091885553,0.6051200843735106
CID007338-1,0.2378171635761246,0.0977338926264359,0.002291488325017212,0.3771804331440429,0.28331684714884603,0.0016601751795333201,0.864561663425826,0.708190295456262
CID007346-1,0.000761293070550175,0.3398676366813485,0.00040188449358058437,0.35834858140519965,0.2994779178214153,0.0011426865279057844,0.9190045205542121,0.723740042447887
CID007352-1,0.4165413752654145,0.06080265819411163,0.00024206731495003556,0.4387625365443799,0.08302446509056254,0.0006268975905814368,0.8403071579520014,0.7212242935377977
CID007358-1,0.34930738443643633,0.002182090197518536,0.013277931354323317,0.36546866879884243,0.26731679821001686,0.0024471270028624433,0.8430609998250975,0.6615927358254011
CID007659-1,0.34561146776221835,0.1669431719627767,0.036540453638673386,0.12000426276215073,0.3278463503136395,0.003054293560541406,0.8168626603701761,0.6956083467573029
CID007661-1,0.20027313194383592,0.1550553836110409,0.002719664491529747,0.30240682352616527,0.3382536120774617,0.0012913843499664822,0.8497379232185862,0.6299844893619373
CID007664-1,0.018852223567710602,0.27637218258981006,0.017144151586585676,0.44205962597413223,0.21224822176898148,0.03332359451278014,0.8706756219530057,0.6907182602347703
CID007665-1,0.15178670156473445,0.08703748769839957,0.00017964614758820345,0.47004483465637437,0.29056876628999756,0.00038256364290583967,0.8604195602744942,0.7037767037403014
CID007666-1,0.19852858938911125,0.039816463939317884,0.001073262881572476,0.4228092425806396,0.33225593932296094,0.005516501886397802,0.8034032478662074,0.6261830022145954
CID007667-1,0.11049039238757247,0.1578895603933083,0.02134878711568599,0.22913151154824188,0.47917157805764576,0.0019681704975453903,0.8565271064800285,0.6354181585652785
CID007672-1,0.36632334507481246,0.005526005516791139,0.04938181599876596,0.5470519068290375,0.011467979634812924,0.020248946945780003,0.7877745982830728,0.6497005608329541
CID007676-1,0.15397684892763736,0.20318788283228367,0.0017700466337823909,0.4554271231057662,0.1841463742062417,0.0014917242942888635,0.8592555395141548,0.7045405834156325
CID007681-1,0.17910510563659907,0.3256115384557568,0.0023212546346517873,0.2241641278877552,0.2687306657153744,6.730766986275786e-05,0.8683807113388274,0.7539266426585967
CID007688-1,0.03545265785328572,0.5642333714073378,0.0017920735869051622,0.374479148311429,0.022832917560325666,0.001209831280716748,0.8147010893277016,0.7106465579378408
CID007694-1,0.048682461169375496,0.31664189365556783,2.6396690475588224e-05,0.36708594391271665,0.2675287932587218,3.451131314273031e-05,0.8914417785604226,0.7710911925922276
CID007697-1,0.0944433556661881,0.07238318092003725,0.006446467485910413,0.52063728499928,0.2790869384442855,0.027002772484298783,0.8685782482998448,0.7133060631449882
CID007704-1,0.22365375315700828,0.04305263867270964,0.0016306583469364007,0.4465815517136382,0.28488213153279573,0.0001992665769115262,0.8135064935064935,0.6034042310312827
CID007707-1,0.26316057505207835,0.2883438103519569,0.0001684784799069198,0.34522496377056644,0.10234091945092585,0.0007612528945654804,0.8699704977716401,0.7279053068002035
CID007825-1,0.22396284160615926,0.2378609751314292,0.010885754389773633,0.10849178622914991,0.4187138160662222,8.482657726570436e-05,0.9319172353070657,0.7860038664296726
CID007827-1,0.21209999227865597,0.15665916890307477,0.002117597165460805,0.1982988775689503,0.42953038435171753,0.0012939797321405396,0.8805010827110274,0.7537223573239593
CID007829-1,0.018667147563590444,5.2970637398726325e-05,0.06283110818553186,0.4573784964904643,0.37945202684443324,0.08161825027858144,0.8023227298673322,0.7221945512039462
CID007845-1,0.19696705651279914,0.07788200068619161,0.0006316072421119339,0.42009358060101565,0.29621244136634267,0.008213313591538995,0.8481911577009185,0.6260108005033389
CID007847-1,0.1757978358712031,0.13623708278778557,0.011412198333873181,0.34998082314673534,0.3176504910128152,0.008921568847587545,0.8995195324958589,0.7120543725180956
CID007849-1,0.2423729847888486,0.1919267269540638,0.00026426202690782864,0.32475101243803084,0.24068268441755003,2.3293745989022325e-06,0.8826459941832486,0.7500274665769209
CID008109-1,0.48482097660858375,0.1597544206955037,0.006517528738023275,0.09185545867995451,0.25456262256043904,0.0024889927174956655,0.8537269957237583,0.7172126131423473
CID008114-1,0.25855086643646435,0.002145849654159706,0.13279144181454836,0.30487947346724287,0.29963876491196717,0.001993603715617497,0.8104602080729834,0.6516492290630705
CID008122-1,0.010011985361441914,0.3396568622763904,0.0008761118609285082,0.4324141921435454,0.2169387308853013,0.00010211747239247695,0.8431521606741627,0.687269185204462
CID008457-1,0.04999400016638735,0.00037353283180615167,0.02497163352556233,0.6205123284976864,0.29450671141128365,0.009641793567274118,0.8077790377590416,0.6607236713539167
CID008459-1,0.14136737114330103,0.22305744603914704,0.0016941740487907428,0.47787247821885653,0.15497597824159814,0.001032552308306505,0.889520140876073,0.7537116000229934
CID008460-1,0.19113842945469645,0.09574684965013411,0.0005349237188835543,0.642327767356215,0.06486471497387586,0.005387314846195044,0.8043588940459581,0.6780203938366514
