,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID003352-2,0.12658385049347562,0.05581424554528629,0.05288617611912819,0.08280027998073039,0.31181435187821566,0.3701010959831639,0.578702973198386,0.3346679223547231
CID003353-1,0.09562161484320926,0.06854307670766935,0.2096916160879786,0.011377702905511985,0.27205317276907237,0.3427128166865584,0.5190126329366835,0.26038223670811966
CID003354-1,0.12669332858425517,0.04933503253091082,0.13613616470370796,0.03734585230843846,0.2845520682082839,0.36593755366440367,0.45871290038201584,0.1921733429571335
CID003355-1,0.1537520689696215,0.05206715250639886,0.13239932807203958,0.01560324127811789,0.42137641685219596,0.22480179232162623,0.5187450230928492,0.29547151675560346
CID003356-1,0.08774144390950181,0.07423683601467268,0.12947523859865184,0.007463925836626971,0.32941145283837786,0.371671102802169,0.6051406220897747,0.35438953031720555
CID003357-1,0.10648180028657891,0.05849095731581069,0.15704904470112252,0.005802959887902412,0.3242611788425377,0.34791405896604777,0.5345936428505236,0.330216184641724
CID003358-1,0.0966751199351984,0.05266151201116214,0.21726894021187035,0.007412218410938704,0.2808888192512995,0.34509339017953083,0.4389855859460592,0.3090385267476954
CID003359-1,0.0995081633919545,0.10676220500690153,0.1223505098436958,0.0031118234384186635,0.27915638195212067,0.3891109163669088,0.49564143721447085,0.26104570851666864
CID003360-1,0.12205552026060208,0.05290353974586478,0.08108401129299764,0.04847022334298789,0.4538492319328503,0.2416374734246973,0.5889439895436898,0.3453254388549232
CID003361-1,0.1740105254844329,0.04348106400972084,0.12990060666846315,0.0320457295530971,0.2756013574881641,0.3449607167961219,0.5566514566514565,0.3977648021503519
CID003362-1,0.1359906841242,0.08351265154756676,0.2050607216523064,0.03943444193452432,0.23590939196859687,0.3000921087728056,0.5274387514547463,0.35774012250558107
CID003363-1,0.12428487189243186,0.06000357727364309,0.14073825302886273,0.008781600572594056,0.283613597062016,0.38257810017045224,0.4400525879562148,0.30907114980435657
