,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID005226-1,0.11308416837691962,0.042712847030105534,0.1375418588960654,0.05348711101824626,0.31357203466427597,0.33960198001438713,0.5083588695948247,0.11243205762100983
CID005227-1,0.12574820338208778,0.05357634443629169,0.15027636528414992,0.02536298438848308,0.30343288848679384,0.3416032140221936,0.5327205992062308,0.2857839069638217
CID005798-1,0.12886547894980974,0.1416835326657785,0.023253167673178306,0.0061071538776956095,0.328471857322431,0.3716188095111069,0.425388762181215,0.18999967612543378
CID005799-1,0.06802058903569279,0.043909644103676704,0.3548951301343635,0.004950487600266958,0.23436289340125926,0.29386125572474076,0.4716475216365066,0.38826152822628424
CID005800-1,0.196548000838004,0.21660109574494965,0.17704449495911118,0.0016051116516507707,0.17630717753024586,0.23189411927603856,0.2651412372177787,0.07497272427071788
CID005801-1,0.09407473423504993,0.15722051729859418,0.011670434555485583,0.00585149600965963,0.3269431242930039,0.40423969360820683,0.48108609026040217,0.23146496302573438
CID006004-1,0.03764513984700604,0.09001703206922117,0.36243161165596144,0.006870027452586564,0.23722372089259242,0.26581246808263237,0.5351351351351351,0.39566176312554613
CID007374-1,0.12845072148972564,0.03120355238780285,0.1324629551125094,0.0032145091903719833,0.4447856787031755,0.25988258311641466,0.6434782608695653,0.3970982877248419
CID007376-1,0.10686367858368856,0.07309600392362771,0.12172019304770436,0.0024540609242802284,0.3275205810522736,0.3683454824684256,0.6349719876903653,0.3688212144891758
CID007378-1,0.08181440757228693,0.11393010977653936,0.07879191904814095,3.347073899629093e-05,0.3247355003093422,0.4006945925546943,0.6149013750384396,0.305361821391566
CID007380-1,0.11144917538124963,0.12523709155729013,0.09611520823753661,0.0006243715304337483,0.3072429824877659,0.3593311708057241,0.6164411275457448,0.3616326417743094
CID007382-1,0.07031979334359893,0.08020431012620183,0.15168072773898492,0.00043521625772396407,0.3549804227480313,0.34237952978545894,0.5318905136857892,0.39878566516933867
CID007384-1,0.08236738781543598,0.1280866950350558,0.09638724505210995,2.7161242113889206e-05,0.32091481154743673,0.37221669930784773,0.6114258660143612,0.3422660128109509
CID007386-1,0.08916305362743764,0.10492474319224246,0.09470534254982077,0.00031572990267377443,0.3288811132998013,0.38201001742802404,0.6277205104862285,0.3196337434356896
CID007790-1,0.16952282581074113,0.041438992148204803,0.12736272122678896,0.004135560497929627,0.42540713322582374,0.23213276709051175,0.4767189898234254,0.31850162841707264
CID007792-1,0.12403656746229222,0.04626955045441978,0.11587951336565214,0.00024821551181407347,0.3414753219603637,0.3720908312454581,0.5318191136775208,0.3310873138945081
CID007794-1,0.12380578780814254,0.09652921613090652,0.11556797433456624,0.006254807343776134,0.4278418666644191,0.2300003477181895,0.6196695627403505,0.39093304238412896
CID007796-1,0.06331376873305015,0.17028730225695346,0.12237075588763832,0.00011867551539061363,0.2897930216289393,0.3541164759780282,0.5223210289158784,0.2386925382996331
CID007798-1,0.06861450148018733,0.10771622084334811,0.12834985812939764,0.0022388391082515066,0.3238872549374648,0.3691933255013506,0.5113232857255583,0.3711805026443028
CID007800-1,0.14530725890861954,0.10403839562892866,0.2659637945045759,0.00040625471594212795,0.2532093892355185,0.2310749070064153,0.5152212281041818,0.31340580140957686
CID007802-1,0.12862203672523023,0.051536016984008226,0.12889000023919533,0.0009421059855480431,0.4448936744699893,0.24511616559602878,0.5932350230414747,0.38301129498139574
CID007804-1,0.06868778689915478,0.12175669177502162,0.11576925114505822,0.00041717314766518174,0.33906014424569697,0.3543089527874032,0.5454734697007877,0.37710928695924717
CID008392-1,0.09004430218800213,0.13553428227010966,0.07338751221168947,0.0052187200628076545,0.3269493018710936,0.36886588139629745,0.5369015725101922,0.28970478590244975
CID008394-1,0.03590671400528479,0.01891799021263476,0.3597984070093448,0.0001548095696826156,0.31603507353585036,0.2691870056672028,0.49423972224414103,0.42403091252226366
CID008396-1,0.12866567846281846,0.08341072464009318,0.0759752960154388,0.018722118101159726,0.4530211775661028,0.24020500521438698,0.6610826860079103,0.37439663615238983
CID008398-1,0.07710514730202572,0.11895080943269669,0.09487663090735293,0.00037616963868970755,0.307080069703307,0.40161117301592797,0.6745801368442877,0.37099768975680814
CID008400-1,0.07852061571040982,0.10234268859597372,0.1233049498984703,0.0007540805425373733,0.3214804855472725,0.3735971797053363,0.6114265561629343,0.3522118584677708
CID008402-1,0.09053664491645105,0.06218614125359725,0.13653931310929018,0.008170902531734848,0.3315166382612829,0.3710503599276439,0.7044752544752544,0.4164687036756509
CID008404-1,0.08538110566738866,0.09174902935388098,0.13137595566987229,4.999816475110179e-05,0.30923038675498965,0.38221352438911727,0.6025516759461713,0.3457466834669287
CID008406-1,0.11724562812259466,0.04693214870163521,0.0656893264833441,0.03696993091965945,0.4643841498348885,0.26877881593787806,0.6248249449827089,0.3418173436104248
